date,open,high,low,close,volume
2017-01-03,13.0179,13.1647,12.7732,12.92,499615
2017-01-04,12.9689,13.2626,12.92,13.2136,411842
2017-01-05,13.1647,13.2136,12.9689,13.0179,457084
2017-01-06,12.9689,13.0179,12.7242,12.871,597813
2017-01-09,12.871,12.92,12.3817,12.4795,628408
2017-01-10,12.5285,12.7242,12.3817,12.7242,572942
2017-01-11,12.6753,12.7242,12.4306,12.5285,374378
2017-01-12,12.4306,12.4795,12.137,12.2348,470209
2017-01-13,12.3817,12.5774,12.2348,12.4306,503686
2017-01-17,12.3327,12.4306,12.1859,12.1859,351040
2017-01-18,12.1859,12.2838,12.088,12.2348,520042
2017-01-19,12.2348,12.2348,11.9167,11.9901,503922
2017-01-20,11.9901,12.137,11.7454,11.8923,537028
2017-01-23,11.9412,12.088,11.8433,12.0391,470016
2017-01-24,12.137,12.4795,12.088,12.4795,436933
2017-01-25,12.5774,12.9689,12.4306,12.92,631116
2017-01-26,12.8221,13.0179,12.5774,12.92,884939
2017-01-27,12.92,12.92,12.5774,12.6264,357292
2017-01-30,12.5774,12.7242,12.2348,12.6264,481784
2017-01-31,12.5774,12.6019,12.3082,12.4795,598414
2017-02-01,12.5774,12.7732,12.3082,12.5285,409009
2017-02-02,12.5285,12.5774,12.3327,12.3817,316069
2017-02-03,12.5774,12.6753,12.4306,12.5774,317965
2017-02-06,12.5285,12.6264,12.2838,12.2838,219128
2017-02-07,12.3327,12.4795,12.2348,12.4795,378599
2017-02-08,12.3817,12.4795,12.2104,12.4306,691006
2017-02-09,12.3817,12.8221,12.3376,12.5774,419059
2017-02-10,12.6753,12.7732,12.4795,12.7732,282633
2017-02-13,12.8221,12.9689,12.5285,12.6264,244173
2017-02-14,12.5285,13.0423,12.4306,12.7732,622585
2017-02-15,12.6753,12.871,12.3817,12.7242,1121545
2017-02-16,12.7242,12.8221,12.4061,12.4795,731159
2017-02-17,12.4795,12.6264,12.3082,12.4306,683855
2017-02-21,12.4306,12.7976,12.3817,12.6264,744309
