date,open,high,low,close,volume
2017-01-03,18.9,19.7,18.85,19.5,628865
2017-01-04,19.65,20.6,19.6,20.5,494625
2017-01-05,20.45,21.05,20.1,20.75,562783
2017-01-06,20.95,21.5,20.8,21.15,551185
2017-01-09,21.45,21.6,20.7,21.3,488308
2017-01-10,21.4,21.65,20.85,21.35,483759
2017-01-11,21.3,21.45,20.3,20.75,576397
2017-01-12,20.55,21.1,20.001,20.8,431448
2017-01-13,20.8,21.6,20.8,21.4,470935
2017-01-17,21.25,21.45,20.4,20.5,480333
2017-01-18,20.6,21.1,20.4,21.1,572459
2017-01-19,21.15,21.55,20.6,20.7,462329
2017-01-20,20.75,21.25,20.7,21.0,617727
2017-01-23,21.05,21.25,20.3,20.7,776759
2017-01-24,20.8,21.2499,20.5001,20.85,521530
2017-01-25,21.05,21.2999,20.7,21.15,429707
2017-01-26,21.15,21.25,20.5,20.95,443441
2017-01-27,20.95,20.95,19.65,20.2,753365
2017-01-30,20.2,21.0,19.5,19.6,483348
2017-01-31,19.45,20.7,19.3,20.5,668386
2017-02-01,20.85,21.25,20.15,20.95,532854
2017-02-02,20.9,21.35,20.7,21.1,610873
2017-02-03,21.35,21.65,21.0,21.55,413227
2017-02-06,21.55,22.0,21.5,21.95,410841
2017-02-07,21.95,21.95,20.9,21.2,492395
2017-02-08,21.05,21.05,19.95,20.4,675628
2017-02-09,22.65,24.65,22.0,24.65,5266970
2017-02-10,25.45,26.15,24.5,24.8,2508113
2017-02-13,24.95,25.1,24.15,24.4,909617
2017-02-14,23.65,24.8,23.25,23.85,1499639
2017-02-15,24.85,26.05,24.15,25.4,1195211
2017-02-16,25.4,25.4,24.425,25.3,941951
2017-02-17,25.15,25.55,24.7,25.3,542234
2017-02-21,25.4,25.75,24.85,25.3,656367
2017-02-22,25.15,25.55,25.05,25.25,522477
2017-02-23,25.25,25.25,24.5,25.0,517640
2017-02-24,24.9,25.15,24.35,24.9,416167
2017-02-27,24.85,27.85,24.8,27.4,1441755
2017-02-28,27.4,28.55,26.35,26.45,1533992
2017-03-01,26.85,27.8,26.35,27.475,888682
2017-03-02,27.35,27.825,26.65,27.2,864448
2017-03-03,27.15,27.45,26.95,27.25,582317
2017-03-06,27.1,27.5,26.65,27.15,621464
2017-03-07,26.8,27.7,26.3,27.2,848185
2017-03-08,27.2,28.55,27.15,28.3,982213
2017-03-09,28.3,33.0,27.25,30.15,4093263
2017-03-10,30.25,30.355,28.05,28.15,1471607
2017-03-13,29.4,29.45,27.9,28.3,831693
2017-03-14,28.65,28.6999,27.25,27.3,687909
2017-03-15,27.35,28.6,27.0,28.1,942940
2017-03-16,28.05,28.15,27.5,27.7,612482
2017-03-17,27.25,27.8,26.6,26.85,1628484
2017-03-20,26.85,27.4,26.7,27.0,530164
2017-03-21,27.5,27.5,25.55,25.6,612663
2017-03-22,25.55,25.9,25.1,25.55,484440
2017-03-23,25.55,26.2,25.3,25.4,429387
2017-03-24,25.45,25.6,25.1,25.4,509976
2017-03-27,25.15,26.65,25.05,26.4,542251
2017-03-28,26.5,27.0,25.75,26.1,314971
2017-03-29,26.1,29.75,25.55,26.95,1259007
2017-03-30,27.0,27.1,26.4,26.75,515297
2017-03-31,26.7,27.3,17.5,21.0,9647453
2017-04-03,20.05,20.4849,18.2,18.4,4880706
2017-04-04,18.35,18.65,17.6,18.05,1881996
2017-04-05,18.15,18.3,16.8,17.05,1824618
2017-04-06,17.05,17.4125,16.75,17.05,1632362
2017-04-07,16.95,17.15,16.55,16.6,1138398
2017-04-10,16.55,17.175,16.4557,17.05,1057672
2017-04-11,17.0,17.65,16.75,16.95,821243
2017-04-12,17.0,17.15,16.8,16.9,981412
2017-04-13,16.85,17.05,16.6,16.8,649583
2017-04-17,16.8,16.9,16.45,16.65,874771
2017-04-18,16.55,16.55,16.0,16.15,1081925
2017-04-19,16.2,16.35,15.8,16.0,1023265
2017-04-20,16.0,16.3,15.8,15.95,638105
2017-04-21,15.9,16.05,15.6,15.85,782788
2017-04-24,16.1,16.25,15.825,16.0,1366201
2017-04-25,16.15,16.6,16.0,16.5,766218
2017-04-26,16.45,16.6,16.05,16.5,1001714
2017-04-27,16.5,16.5,15.3,15.55,1249711
2017-04-28,15.3,16.65,15.3,16.15,1672555
2017-05-01,16.25,16.825,16.05,16.5,856985
2017-05-02,16.6,16.65,15.875,16.1,1334809
2017-05-03,16.1,16.2,15.8,16.0,577306
2017-05-04,16.1,16.4,16.0,16.15,569982
2017-05-05,16.2,16.25,15.775,16.05,356404
2017-05-08,16.0,16.15,15.7,15.8,467123
2017-05-09,15.9,16.3,15.675,16.1,1095150
2017-05-10,16.1,16.2,15.6,15.7,473982
2017-05-11,15.6,16.3,15.6,16.2,819388
2017-05-12,16.15,16.225,15.65,15.7,741588
2017-05-15,15.8,15.9,15.6,15.65,609736
2017-05-16,15.75,15.8,15.4,15.5,431365
2017-05-17,15.25,15.5,14.9,15.0,656215
2017-05-18,15.0,15.3,15.0,15.2,435329
