date,open,high,low,close,volume
2017-01-03,27.21,28.13,26.545,27.95,385003
2017-01-04,27.96,29.44,27.96,29.39,147106
2017-01-05,29.3,29.9,28.23,28.92,126279
2017-01-06,29.08,29.33,28.65,28.96,121962
2017-01-09,28.97,30.24,28.45,30.01,210115
2017-01-10,30.02,30.02,28.25,29.25,916361
2017-01-11,29.24,29.24,26.955,28.51,395521
2017-01-12,28.32,29.08,27.885,28.62,223752
2017-01-13,28.75,29.2846,28.39,28.7,170964
2017-01-17,28.6,28.96,27.81,28.09,146975
2017-01-18,28.07,28.5,26.7,28.0,198557
2017-01-19,28.14,28.3,27.53,27.75,101382
2017-01-20,27.68,27.88,26.86,27.19,329108
2017-01-23,27.2,27.72,25.93,26.43,195780
2017-01-24,26.58,27.243,25.89,27.16,447727
2017-01-25,27.08,27.74,26.82,27.3,102900
2017-01-26,27.31,27.62,26.23,27.04,65249
2017-01-27,26.9,27.3,26.54,26.93,64472
2017-01-30,26.62,26.92,25.91,26.11,131384
2017-01-31,26.01,26.72,25.53,26.53,234370
2017-02-01,26.52,26.92,25.89,26.35,287271
2017-02-02,26.33,26.35,25.4198,25.59,150961
2017-02-03,25.84,26.19,25.27,25.87,342476
2017-02-06,25.82,25.975,24.83,25.25,260580
2017-02-07,25.28,25.68,24.86,25.1,228595
2017-02-08,25.0,26.03,24.87,26.01,144844
2017-02-09,25.96,26.85,25.96,26.6,155287
2017-02-10,26.69,27.25,26.25,26.51,92680
2017-02-13,26.68,27.59,26.575,27.35,192205
2017-02-14,27.52,28.34,27.28,28.3,129949
2017-02-15,28.25,28.25,27.53,27.81,144822
2017-02-16,27.81,27.81,27.05,27.47,90746
2017-02-17,27.51,27.954,26.825,27.88,121548
2017-02-21,28.04,28.1241,26.74,27.65,142163
2017-02-22,27.52,27.69,26.995,27.19,82840
2017-02-23,27.41,29.78,26.89,29.52,622951
2017-02-24,29.26,31.38,28.4,30.8,334704
2017-02-27,30.7,32.3,29.92,32.08,314275
2017-02-28,31.97,31.97,30.72,31.23,585394
2017-03-01,31.1,31.36,30.4,31.24,539722
2017-03-02,31.1,31.87,30.44,30.81,312979
2017-03-03,30.73,32.18,30.43,32.13,215884
2017-03-06,32.13,32.73,31.3,32.65,174044
2017-03-07,32.47,32.95,31.82,32.14,132152
2017-03-08,32.26,33.25,31.8,31.89,127251
2017-03-09,31.9,32.38,30.85,31.44,116374
2017-03-10,31.67,31.89,30.43,31.14,197369
2017-03-13,31.19,31.57,30.07,31.13,93401
2017-03-14,31.09,31.14,29.89,30.48,90153
2017-03-15,29.75,31.72,28.71,30.65,372396
2017-03-16,30.81,30.81,28.7,29.0,301536
2017-03-17,29.0,30.06,28.81,28.98,210597
2017-03-20,28.98,28.98,28.1,28.88,387662
2017-03-21,28.87,29.11,27.36,28.72,489593
2017-03-22,28.66,29.65,28.5,29.61,381932
2017-03-23,29.31,30.26,29.01,30.23,189813
2017-03-24,30.28,30.74,29.84,30.53,240858
2017-03-27,30.3,31.43,29.73,31.21,189848
2017-03-28,31.27,31.64,30.69,31.25,264359
2017-03-29,31.2,31.5345,30.26,30.42,135971
2017-03-30,30.4,30.455,29.62,29.9,255773
2017-03-31,29.89,30.86,29.3,29.82,175453
2017-04-03,29.92,30.4,29.71,30.15,193638
2017-04-04,30.0,30.65,29.8029,30.45,128330
2017-04-05,30.5,31.1,30.03,31.01,230668
2017-04-06,31.0,32.07,30.58,32.02,460413
2017-04-07,32.03,32.67,31.49,32.45,216683
2017-04-10,32.57,32.78,31.66,31.95,117104
2017-04-11,31.9,32.33,31.13,31.84,94884
2017-04-12,31.76,32.0,31.44,31.78,110864
2017-04-13,31.74,32.38,31.57,32.25,77809
2017-04-17,32.3,33.1,31.78,32.99,126031
2017-04-18,33.0,33.02,31.5,31.94,175189
2017-04-19,32.55,32.65,31.91,32.43,112943
2017-04-20,32.41,32.6504,32.19,32.23,71547
2017-04-21,32.2,32.3278,29.88,30.22,1194841
2017-04-24,30.57,31.501,29.95,30.03,220211
2017-04-25,30.1,30.34,28.2,29.25,709338
2017-04-26,28.99,29.68,28.65,28.87,377536
2017-04-27,28.97,28.97,28.1,28.82,271043
2017-04-28,28.56,28.86,27.86,28.11,262762
2017-05-01,28.27,28.6,27.55,28.11,174248
2017-05-02,28.04,28.36,27.02,27.14,150717
2017-05-03,27.02,27.32,26.5,26.97,256852
2017-05-04,26.9,26.9,25.37,26.65,496446
2017-05-05,26.73,26.75,25.9,26.07,194480
2017-05-08,26.01,26.28,25.14,25.24,209538
2017-05-09,25.4,25.41,24.53,25.11,166702
2017-05-10,25.23,27.07,24.8,26.83,398255
2017-05-11,26.83,26.86,25.5,25.75,743714
2017-05-12,25.78,27.19,25.44,26.71,271180
2017-05-15,26.68,26.82,25.65,25.73,193074
2017-05-16,25.7,26.63,25.545,26.61,153518
2017-05-17,26.33,26.675,25.5,25.56,584113
2017-05-18,25.49,26.09,25.45,25.95,197015
2017-05-19,25.9,26.45,24.81,24.85,211063
2017-05-22,24.96,25.555,24.51,24.81,137621
2017-05-23,24.86,24.88,24.13,24.32,294405
2017-05-24,24.27,25.09,24.08,24.98,191790
2017-05-25,24.98,25.54,24.6,25.21,253611
2017-05-26,25.21,25.56,24.75,24.81,366400
2017-05-30,24.74,24.84,23.0,23.38,521515
2017-05-31,23.53,24.17,23.34,23.78,171860
2017-06-01,23.71,23.775,23.32,23.55,444603
2017-06-02,23.59,23.8825,23.43,23.61,529938
2017-06-05,23.7,23.85,22.75,23.31,791880
2017-06-06,23.15,24.67,22.78,24.26,290446
2017-06-07,24.2,24.9,24.035,24.41,354686
2017-06-08,24.33,25.63,24.33,25.39,272181
2017-06-09,25.52,25.52,24.35,24.84,498213
2017-06-12,24.83,24.83,24.04,24.48,212583
2017-06-13,24.58,24.78,23.93,24.61,282958
2017-06-14,24.72,25.575,24.38,25.07,365253
2017-06-15,24.98,25.465,24.31,24.58,257733
2017-06-16,25.0,25.96,24.76,25.49,511777
2017-06-19,25.56,26.385,25.28,25.76,291847
2017-06-20,25.73,26.54,25.25,26.06,263156
2017-06-21,26.18,26.76,25.54,26.23,269558
2017-06-22,26.33,26.62,25.625,26.02,295525
2017-06-23,25.97,27.19,25.815,27.18,1164701
2017-06-26,27.19,28.14,26.94,26.98,332893
2017-06-27,26.97,26.97,25.85,25.99,295862
2017-06-28,26.15,27.23,25.695,27.14,283226
2017-06-29,27.23,27.56,26.595,27.27,261103
2017-06-30,27.39,27.39,26.69,27.12,239094
2017-07-03,27.09,27.985,26.91,27.83,66141
2017-07-05,27.64,27.9775,27.09,27.54,149264
2017-07-06,27.33,27.73,26.84,27.47,290255
2017-07-07,27.56,28.16,27.09,28.09,249425
2017-07-10,28.02,28.31,27.38,28.15,247410
2017-07-11,28.15,28.59,27.55,28.15,166741
2017-07-12,28.39,28.955,28.05,28.62,211114
2017-07-13,28.69,28.76,27.91,28.34,153982
2017-07-14,28.34,28.6,27.85,28.23,143075
2017-07-17,28.28,28.77,27.85,28.54,356650
2017-07-18,28.5,29.17,28.24,28.6,161870
2017-07-19,28.75,29.48,28.52,28.94,279976
2017-07-20,29.03,29.43,28.61,29.17,142045
2017-07-21,29.38,29.58,28.94,29.07,187712
2017-07-24,29.17,29.85,28.62,29.6,229605
2017-07-25,29.82,29.86,29.125,29.35,288260
2017-07-26,29.43,30.08,29.32,29.64,268559
2017-07-27,29.67,29.86,28.96,29.18,147466
2017-07-28,29.01,29.55,28.61,28.65,112411
2017-07-31,28.71,29.01,28.12,28.8,174337
2017-08-01,28.8,29.115,27.71,27.93,204738
2017-08-02,27.89,28.03,27.25,27.64,160436
2017-08-03,27.68,28.12,26.68,27.03,250468
2017-08-04,27.12,27.32,26.64,26.83,150552
2017-08-07,26.72,27.62,26.555,27.0,155448
2017-08-08,27.0,27.2,26.5,26.73,161912
2017-08-09,26.48,27.27,26.48,26.97,142434
2017-08-10,24.9,25.91,22.31,23.02,530926
2017-08-11,23.46,25.36,23.34,25.08,1243235
2017-08-14,25.3,26.99,25.28,26.59,337826
2017-08-15,26.71,27.04,25.98,26.9,343146
2017-08-16,27.19,27.65,26.54,26.59,167384
2017-08-17,27.19,27.19,25.23,25.26,319479
2017-08-18,25.1,25.4,24.26,24.96,264652
2017-08-21,24.97,25.04,24.51,24.6,308969
2017-08-22,24.57,25.3,24.34,24.6,243198
2017-08-23,24.44,25.83,24.16,25.71,253637
2017-08-24,25.81,26.43,25.6,25.82,355124
2017-08-25,25.92,26.24,24.76,24.84,702631
2017-08-28,25.01,25.105,23.95,24.45,250459
2017-08-29,24.25,24.97,23.905,24.6,211817
2017-08-30,24.65,25.73,24.65,25.05,428712
2017-08-31,25.07,25.94,24.94,25.93,181186
2017-09-01,25.88,26.12,25.34,25.8,112785
2017-09-05,25.8,26.38,25.59,25.87,176358
2017-09-06,25.96,26.62,25.75,26.44,186446
2017-09-07,26.45,27.42,26.15,27.38,429714
2017-09-08,27.47,27.94,26.97,27.45,329358
2017-09-11,27.94,28.93,26.53,26.59,371557
2017-09-12,26.66,26.66,25.51,26.08,218106
2017-09-13,26.1,27.22,26.1,26.95,306359
2017-09-14,26.8,27.12,26.38,26.44,348435
2017-09-15,26.5,26.55,25.58,25.83,913104
2017-09-18,25.79,25.8507,25.23,25.35,120048
2017-09-19,25.55,25.97,25.12,25.29,356594
2017-09-20,25.3,25.91,24.85,25.86,146629
2017-09-21,25.76,26.05,25.5,25.97,135419
2017-09-22,25.94,26.29,25.41,25.51,189375
2017-09-25,25.55,26.045,25.37,26.0,126005
2017-09-26,26.12,26.45,25.78,25.93,202932
2017-09-27,26.01,26.34,25.87,26.05,121639
2017-09-28,26.02,26.265,25.52,25.79,138093
2017-09-29,25.88,26.23,25.325,25.81,515258
2017-10-02,26.0,26.48,25.62,26.4,303268
2017-10-03,26.33,26.38,25.69,26.24,149887
2017-10-04,26.35,26.74,26.24,26.7,162646
2017-10-05,26.65,27.7,26.65,27.21,257981
2017-10-06,27.06,27.9,27.01,27.61,305732
2017-10-09,27.5,28.62,27.24,27.8,417668
2017-10-10,28.0,28.16,26.93,27.03,523264
2017-10-11,27.0,27.4,26.43,26.57,661855
2017-10-12,26.41,26.88,26.25,26.55,463422
2017-10-13,26.46,26.75,25.96,26.14,170959
2017-10-16,26.25,26.62,25.81,26.54,177143
2017-10-17,26.59,26.78,26.23,26.55,117143
2017-10-18,26.63,27.09,26.535,27.03,151018
2017-10-19,26.96,27.2,26.09,26.63,198672
2017-10-20,26.87,27.05,26.06,26.09,261091
2017-10-23,26.07,26.14,25.25,25.82,191076
2017-10-24,25.84,26.33,25.48,25.57,121557
2017-10-25,25.57,26.24,25.26,25.39,149819
2017-10-26,25.29,25.29,23.95,24.11,261276
2017-10-27,24.18,24.745,24.05,24.69,114684
2017-10-30,24.59,25.26,24.53,25.22,118210
2017-10-31,25.19,25.6,25.05,25.21,93335
2017-11-01,25.25,25.47,24.77,25.01,137399
2017-11-02,25.13,25.18,24.39,24.49,307157
2017-11-03,24.51,24.715,24.32,24.55,393668
2017-11-06,24.66,24.78,23.96,24.01,199266
2017-11-07,23.93,24.13,21.92,21.98,535110
