date,open,high,low,close,volume
2017-01-03,20.79,20.87,19.84,20.58,213476
2017-01-04,20.45,21.63,20.32,21.59,222587
2017-01-05,21.4,22.1,21.02,22.02,266460
2017-01-06,22.22,22.91,22.12,22.41,322712
2017-01-09,22.5,22.65,21.88,22.34,198879
2017-01-10,22.42,22.52,21.57,21.86,172696
2017-01-11,21.9,21.96,20.625,21.3,248625
2017-01-12,21.04,21.71,20.74,21.58,340035
2017-01-13,21.55,22.23,21.24,21.27,244318
2017-01-17,21.06,21.06,19.45,19.46,357551
2017-01-18,19.62,20.0424,19.08,19.37,304972
2017-01-19,19.37,19.79,18.6,19.01,456879
2017-01-20,19.06,19.44,18.66,18.83,340747
2017-01-23,18.79,18.8,18.22,18.58,245012
2017-01-24,18.57,18.57,17.69,18.32,315957
2017-01-25,18.54,18.77,18.07,18.34,468276
2017-01-26,18.4,18.64,17.02,17.04,370425
2017-01-27,17.01,17.34,16.8,17.13,309208
2017-01-30,17.11,17.365,16.575,16.9,390865
2017-01-31,16.75,18.35,16.42,18.28,505815
2017-02-01,18.36,18.56,17.76,17.96,273595
2017-02-02,17.97,17.97,17.45,17.77,899962
2017-02-03,17.89,18.74,17.49,18.73,288452
2017-02-06,18.66,19.14,18.26,18.66,221923
2017-02-07,18.7,18.99,18.34,18.8,214362
2017-02-08,18.69,18.82,18.27,18.64,203677
2017-02-09,18.69,18.91,18.21,18.54,232541
2017-02-10,18.55,18.91,18.2,18.89,310429
2017-02-13,19.0,19.36,18.41,19.09,253243
2017-02-14,19.07,19.52,18.845,19.51,126819
2017-02-15,19.44,20.24,19.31,20.03,234216
2017-02-16,20.08,20.14,19.41,20.08,241131
2017-02-17,20.17,20.61,19.34,20.01,1120653
2017-02-21,20.1,20.509,19.95,20.07,209480
2017-02-22,20.0,20.0,18.91,19.74,315434
2017-02-23,19.79,20.1,19.22,19.57,141181
2017-02-24,19.51,19.68,19.39,19.63,151351
2017-02-27,19.67,21.17,19.56,21.03,633205
2017-02-28,21.15,21.5,20.24,20.27,366247
2017-03-01,20.8,21.279,20.5508,21.04,219697
2017-03-02,20.97,21.5,20.71,21.0,201109
2017-03-03,20.92,21.96,20.65,21.91,285652
2017-03-06,21.67,22.18,21.44,21.65,228574
2017-03-07,21.4,21.62,20.95,21.31,205685
2017-03-08,21.35,22.3,21.0101,22.06,325206
2017-03-09,22.25,22.445,21.81,22.1,180466
2017-03-10,22.2,22.5,22.07,22.19,302523
2017-03-13,22.25,22.93,22.25,22.32,308129
2017-03-14,22.05,22.14,21.27,21.86,433394
2017-03-15,21.28,22.922,21.01,22.67,348945
2017-03-16,22.62,22.62,21.866,22.06,319887
2017-03-17,22.02,22.67,21.905,22.43,1047439
2017-03-20,22.47,22.69,22.14,22.61,261580
2017-03-21,22.73,23.0,21.75,21.98,418205
2017-03-22,21.98,22.815,21.8,22.32,132500
2017-03-23,22.34,22.906,22.26,22.78,196835
2017-03-24,21.91,22.9694,21.81,22.82,266415
2017-03-27,22.5,23.4,22.48,23.26,281309
2017-03-28,23.21,23.37,22.2,22.33,315810
2017-03-29,22.4,22.76,22.2,22.31,363302
2017-03-30,22.28,22.34,21.23,21.76,314856
2017-03-31,21.75,22.1,21.63,21.73,256263
2017-04-03,21.72,21.88,21.06,21.08,280331
2017-04-04,21.0,21.52,20.01,20.96,374473
2017-04-05,21.0,21.26,20.29,20.51,267454
2017-04-06,20.5,20.5,19.7,20.31,526442
2017-04-07,20.25,20.67,19.98,20.02,530952
2017-04-10,20.02,20.255,19.71,19.76,272502
2017-04-11,19.71,20.06,19.455,19.7,244754
2017-04-12,19.7,19.96,19.22,19.57,173004
2017-04-13,19.47,19.81,19.37,19.57,276017
2017-04-17,19.57,19.83,19.43,19.62,147620
2017-04-18,19.57,19.63,19.2,19.42,166548
2017-04-19,19.52,20.08,19.5,19.75,699175
2017-04-20,19.86,19.91,19.41,19.65,173592
2017-04-21,19.58,19.745,18.84,19.07,267506
2017-04-24,19.32,19.33,19.01,19.29,146225
2017-04-25,19.5,19.79,19.49,19.53,234425
2017-04-26,19.57,19.8,19.38,19.62,199893
2017-04-27,19.67,19.89,19.37,19.67,392045
2017-04-28,19.67,20.1,19.39,19.44,709506
2017-05-01,19.46,19.84,19.29,19.57,162699
2017-05-02,19.65,19.68,19.21,19.48,140992
2017-05-03,19.38,19.9,19.35,19.58,179617
2017-05-04,19.67,19.68,18.97,19.44,176527
2017-05-05,19.44,19.53,18.96,19.26,240897
2017-05-08,19.23,19.4,18.97,19.3,238246
2017-05-09,19.4,20.45,19.11,19.8,646485
2017-05-10,19.73,20.18,19.53,19.79,241416
2017-05-11,19.76,20.08,19.52,19.87,406045
2017-05-12,19.89,20.1,19.0,19.26,320809
2017-05-15,19.23,19.49,18.97,19.18,149964
2017-05-16,19.56,19.64,18.9,19.03,367265
2017-05-17,18.84,19.15,18.67,18.97,292686
2017-05-18,19.02,19.42,19.01,19.04,273025
2017-05-19,19.04,19.33,18.86,18.88,194948
2017-05-22,18.87,18.98,18.5,18.81,292316
2017-05-23,18.85,18.85,17.85,17.86,321709
2017-05-24,17.87,17.94,17.08,17.26,617393
2017-05-25,17.19,18.325,16.89,18.26,822659
2017-05-26,18.2,19.1673,17.12,17.15,289501
2017-05-30,17.13,17.18,16.28,16.43,335094
2017-05-31,16.48,16.76,15.97,16.6,230335
2017-06-01,16.64,17.175,16.55,17.13,253399
2017-06-02,17.25,17.99,17.18,17.77,268937
2017-06-05,17.9,18.51,17.57,17.74,266442
