date,open,high,low,close,volume
2017-01-03,28.7136,29.3039,28.5871,29.3039,766082
2017-01-04,28.6714,29.3461,28.6714,28.8401,547921
2017-01-05,28.8823,29.0509,28.2498,28.6714,443212
2017-01-06,28.7136,28.9666,28.4185,28.5028,337223
2017-01-09,28.3763,28.7136,28.039,28.0811,415100
2017-01-10,28.1655,29.0931,28.0811,28.7979,705111
2017-01-11,28.8401,29.0931,28.6714,28.9244,210206
2017-01-12,28.8401,29.0088,28.292,28.6714,192044
2017-01-13,28.8401,29.0088,28.5871,28.8823,180239
2017-01-17,28.7979,28.9244,28.545,28.5871,181374
2017-01-18,28.545,28.5871,28.0811,28.5028,252336
2017-01-19,28.5028,28.5871,28.292,28.5871,213697
2017-01-20,28.6293,29.0088,28.5871,28.9244,320658
2017-01-23,28.9666,29.4304,28.4185,28.7558,502230
2017-01-24,28.9666,29.1774,28.7979,28.9244,330661
2017-01-25,29.1774,29.1774,28.7136,28.7979,303353
2017-01-26,28.8823,29.1774,28.7979,28.8823,338642
2017-01-27,28.8823,28.9244,28.5871,28.6714,300161
2017-01-30,29.2196,29.2196,28.4886,28.7979,391827
2017-01-31,28.6714,28.7769,28.4606,28.4606,452846
2017-02-01,28.2498,28.545,27.5752,27.8282,886201
2017-02-02,27.9125,28.1655,27.6806,27.8703,437613
2017-02-03,27.9125,28.0811,27.7017,27.7438,238526
2017-02-06,27.5752,27.786,27.4909,27.533,246273
2017-02-07,27.6595,27.7438,27.28,27.4065,280607
2017-02-08,26.1838,26.753,25.973,26.1838,12420478
2017-02-09,26.1416,26.3524,26.0994,26.1416,2684698
2017-02-10,26.2681,26.5632,26.1416,26.4368,3132216
2017-02-13,26.4789,26.5632,26.2259,26.4368,1420057
2017-02-14,26.5211,26.5632,26.3103,26.4789,1196073
2017-02-15,26.3946,26.6054,26.2681,26.5632,951209
2017-02-16,26.4368,26.5211,26.2259,26.3524,691164
2017-02-17,26.3524,26.4157,26.1416,26.3103,1660304
2017-02-21,26.3524,26.3524,25.6778,26.0151,1199854
2017-02-22,25.973,26.4789,25.8465,26.4368,1540500
2017-02-23,26.3524,26.5211,26.1838,26.4368,1276803
2017-02-24,26.2259,26.5211,26.0994,26.4789,1136458
2017-02-27,26.3524,26.5632,26.1627,26.5211,1773132
2017-02-28,26.2681,26.5632,26.0994,26.4368,3963483
