date,open,high,low,close,volume
2017-11-02,19.1,21.04,19.1,20.88,14271574
2017-11-03,21.14,21.2,20.0,20.32,1077599
2017-11-06,20.34,20.68,20.06,20.4,1081822
2017-11-07,20.45,20.51,20.26,20.26,332375
2017-11-08,20.35,20.69,20.12,20.3,2711329
2017-11-09,20.48,20.97,20.3,20.39,344149
2017-11-10,20.46,20.8,19.98,20.68,390995
2017-11-13,20.71,20.77,20.28,20.41,377093
2017-11-14,20.31,20.5,20.18,20.33,493116
2017-11-15,20.32,20.73,20.15,20.5,293748
2017-11-16,20.56,21.0,20.56,20.74,421529
2017-11-17,20.7,20.82,20.47,20.8,439702
2017-11-20,20.8,21.1,20.761,20.97,594694
2017-11-21,21.14,21.99,21.05,21.5,778633
2017-11-22,21.51,21.95,21.33,21.78,540546
2017-11-24,21.8,22.08,21.7,22.01,106983
2017-11-27,22.12,22.45,21.02,21.43,741026
2017-11-28,21.63,21.75,21.39,21.65,423997
2017-11-29,21.83,21.96,21.18,21.44,511956
2017-11-30,21.54,21.85,21.31,21.64,488683
2017-12-01,21.61,22.41,21.4,22.03,1379538
2017-12-04,23.22,23.22,22.23,22.5,1012923
2017-12-05,22.42,22.88,22.33,22.53,482432
2017-12-06,22.67,23.17,22.67,23.03,433053
2017-12-07,23.1,23.1,22.55,22.75,529534
2017-12-08,22.75,23.84,22.74,23.19,583957
2017-12-11,23.02,23.6,23.0,23.5,494159
2017-12-12,23.5,23.669,23.04,23.61,272916
2017-12-13,23.56,23.9,23.02,23.28,452819
2017-12-14,23.32,23.53,23.22,23.32,526631
2017-12-15,23.365,23.58,23.05,23.42,4606970
2017-12-18,23.96,24.52,23.4,23.86,605287
2017-12-19,23.36,23.79,22.78,22.99,453873
2017-12-20,23.4,23.61,22.99,23.12,479964
2017-12-21,23.18,23.53,22.97,23.28,325206
2017-12-22,23.41,23.54,23.02,23.15,233708
2017-12-26,23.15,23.45,23.13,23.15,68394
2017-12-27,23.14,23.25,23.09,23.21,84433
2017-12-28,23.23,23.81,23.13,23.71,133773
2017-12-29,23.7,24.0,23.63,23.71,153671
2018-01-02,23.86,24.37,23.565,23.82,350625
2018-01-03,23.77,24.05,23.44,23.77,426421
2018-01-04,23.91,24.12,23.66,23.73,233350
2018-01-05,23.86,24.29,23.44,24.05,230025
2018-01-08,24.0,24.85,23.8,24.78,319448
2018-01-09,24.75,24.79,24.215,24.5,318324
2018-01-10,24.55,24.7999,24.43,24.67,274380
2018-01-11,24.61,24.66,24.3,24.51,198358
2018-01-12,24.59,24.72,24.29,24.6,192936
2018-01-16,24.62,24.74,24.21,24.23,429242
2018-01-17,24.36,24.6243,23.9296,24.22,357867
2018-01-18,24.26,24.62,24.125,24.34,546152
2018-01-19,24.28,24.85,24.28,24.82,171856
2018-01-22,24.81,24.855,24.45,24.78,148921
2018-01-23,24.69,24.78,24.3,24.57,428514
2018-01-24,24.62,25.039,24.47,24.5,204083
2018-01-25,24.53,24.84,24.29,24.65,247452
2018-01-26,24.72,24.72,24.15,24.25,368642
2018-01-29,24.32,24.32,23.9,24.03,337775
2018-01-30,23.88,23.895,22.91,22.93,437623
2018-01-31,23.0,23.22,22.74,22.86,384832
2018-02-01,22.78,23.0,22.47,22.56,456976
2018-02-02,22.4,22.58,22.11,22.21,293783
2018-02-05,22.12,22.8499,21.56,21.61,453386
2018-02-06,21.57,21.735,21.0,21.43,765348
2018-02-07,21.45,21.92,21.16,21.36,481085
2018-02-08,21.42,21.56,20.73,20.74,238238
2018-02-09,20.81,21.0,20.4001,20.82,178362
2018-02-12,20.84,21.12,20.55,20.98,249958
2018-02-13,20.94,21.18,20.61,20.97,281875
2018-02-14,20.85,21.6,20.71,21.44,331926
2018-02-15,21.58,22.73,21.48,22.37,396933
2018-02-16,22.3,23.02,22.3,22.74,190266
2018-02-20,22.7,22.84,22.0,22.2,229635
2018-02-21,22.22,22.85,22.06,22.08,169510
2018-02-22,22.06,22.37,21.93,22.13,191322
2018-02-23,22.28,22.73,22.19,22.63,194913
2018-02-26,22.65,23.13,22.29,22.74,252434
2018-02-27,22.66,23.01,22.53,22.96,204106
2018-02-28,23.03,23.15,22.55,22.9,181607
2018-03-01,22.83,23.35,22.8,23.04,326900
2018-03-02,22.81,23.36,22.65,23.23,278752
2018-03-05,23.12,23.62,23.07,23.52,276632
2018-03-06,23.59,24.01,23.44,23.9,237456
2018-03-07,23.71,23.92,23.65,23.82,243876
2018-03-08,23.92,24.29,23.57,23.8,246969
2018-03-09,23.98,24.53,23.86,24.45,185156
2018-03-12,24.6,25.36,24.59,25.19,439109
2018-03-13,24.01,24.39,22.9,23.4,1143599
2018-03-14,23.24,23.58,22.48,22.81,1449546
2018-03-15,22.12,22.43,21.5,21.79,11287035
2018-03-16,21.9,22.12,21.71,22.0,2027563
2018-03-19,21.88,23.13,21.85,22.76,4257208
2018-03-20,22.75,23.16,22.69,22.86,1192188
2018-03-21,22.79,23.18,22.73,22.81,793644
2018-03-22,22.66,22.7,21.95,21.99,826843
2018-03-23,22.0,22.0722,21.27,21.3,1894181
2018-03-26,21.56,21.69,21.06,21.38,785397
2018-03-27,21.5,21.73,21.23,21.33,606659
2018-03-28,21.37,21.56,20.93,21.05,561251
2018-03-29,21.14,21.59,20.88,21.29,599712
2018-04-02,21.21,21.55,20.64,20.88,489086
2018-04-03,21.05,21.29,20.73,21.12,631939
2018-04-04,20.92,21.93,20.9,21.8,594647
2018-04-05,21.87,22.505,21.71,22.23,418358
2018-04-06,22.15,22.21,21.44,21.59,250424
2018-04-09,21.68,21.68,21.04,21.27,257599
2018-04-10,21.59,21.615,21.11,21.11,342265
2018-04-11,21.05,21.79,21.05,21.68,337012
2018-04-12,21.86,22.21,21.64,21.97,338862
2018-04-13,22.15,22.26,21.73,21.78,120413
2018-04-16,22.03,22.27,21.7901,22.24,279253
2018-04-17,22.46,22.565,22.22,22.36,286588
2018-04-18,22.61,22.84,22.39,22.75,323975
2018-04-19,22.59,22.91,22.37,22.41,472486
2018-04-20,22.45,22.89,22.26,22.48,1092863
2018-04-23,22.53,22.53,22.0,22.24,200203
2018-04-24,22.43,22.43,21.37,21.56,390352
2018-04-25,21.54,21.695,21.14,21.23,362238
2018-04-26,21.37,21.38,20.57,20.79,489978
2018-04-27,20.86,20.86,20.24,20.44,540136
2018-04-30,20.54,21.02,20.28,20.43,419306
2018-05-01,20.4,20.4,19.9401,20.15,489739
2018-05-02,20.0,20.18,19.6713,19.78,825992
2018-05-03,19.74,19.925,19.25,19.81,694889
2018-05-04,19.73,20.36,19.68,20.15,608942
2018-05-07,20.1,20.44,19.88,20.21,443773
2018-05-08,20.14,20.14,18.05,18.51,2376057
2018-05-09,18.94,19.93,18.9,19.5,1198851
2018-05-10,19.54,20.03,19.23,19.51,439310
2018-05-11,19.51,19.73,19.13,19.37,679122
2018-05-14,19.46,19.63,19.31,19.57,583131
2018-05-15,19.52,19.67,19.16,19.28,662693
