date,open,high,low,close,volume
2017-01-03,1.56,1.6897,1.42,1.68,2106673
2017-01-04,1.69,1.75,1.61,1.69,1886030
2017-01-05,1.69,1.69,1.58,1.6,663501
2017-01-06,1.6,1.96,1.59,1.96,4057195
2017-01-09,2.0,2.09,1.8,1.89,2988913
2017-01-10,1.9,2.09,1.79,2.02,2788639
2017-01-11,2.08,2.38,2.06,2.23,4776625
2017-01-12,2.23,2.2379,2.07,2.17,2304174
2017-01-13,2.27,2.27,2.02,2.06,1599712
2017-01-17,2.06,2.06,1.88,1.95,1362556
2017-01-18,1.98,1.98,1.9,1.96,546144
2017-01-19,1.98,1.98,1.83,1.84,765057
2017-01-20,1.83,1.9,1.8,1.82,583893
2017-01-23,1.81,1.85,1.7,1.73,864858
2017-01-24,1.73,1.75,1.7,1.75,555607
2017-01-25,1.75,1.8401,1.74,1.83,680763
2017-01-26,1.82,1.85,1.76,1.76,538704
2017-01-27,1.8,1.8,1.71,1.78,497544
2017-01-30,1.78,1.7999,1.7,1.75,449051
2017-01-31,1.77,1.965,1.7,1.94,1089832
2017-02-01,1.96,2.08,1.71,1.74,1984883
2017-02-02,1.75,1.83,1.75,1.82,668403
2017-02-03,1.84,1.93,1.7701,1.9,836970
2017-02-06,1.94,1.97,1.83,1.88,578672
2017-02-07,1.93,2.15,1.8,1.96,2314376
2017-02-08,1.99,2.12,1.9124,2.02,1375026
2017-02-09,2.02,2.1,2.01,2.05,740613
2017-02-10,2.1,2.1,1.94,1.97,645756
2017-02-13,2.0,2.01,1.92,1.93,535928
2017-02-14,1.94,2.03,1.9,2.01,687575
2017-02-15,1.99,2.14,1.96,2.12,1703522
2017-02-16,2.15,2.23,2.07,2.19,2110499
2017-02-17,2.22,2.22,2.11,2.17,904595
2017-02-21,2.2,2.21,2.12,2.15,569155
2017-02-22,2.16,2.18,2.08,2.14,841135
2017-02-23,2.14,2.1562,2.09,2.12,470289
2017-02-24,2.11,2.16,2.08,2.15,423754
2017-02-27,2.16,2.45,2.15,2.36,2695478
2017-02-28,2.4,2.4,2.25,2.26,956140
2017-03-01,2.28,2.34,2.22,2.33,726482
2017-03-02,2.37,2.42,2.24,2.25,857957
2017-03-03,2.25,2.3,2.2,2.22,391782
2017-03-06,2.2,2.25,2.14,2.18,430856
2017-03-07,2.16,2.18,2.08,2.1,585938
2017-03-08,2.09,2.21,2.07,2.13,674937
2017-03-09,2.15,2.18,2.1,2.12,409165
2017-03-10,2.16,2.2,2.07,2.12,550923
2017-03-13,2.15,2.15,2.08,2.12,268417
2017-03-14,2.12,2.14,2.04,2.08,544919
2017-03-15,2.13,2.145,2.03,2.14,415472
2017-03-16,2.14,2.1858,2.04,2.08,537404
2017-03-17,2.05,2.1,2.03,2.05,887580
2017-03-20,2.04,2.08,1.97,1.97,681019
2017-03-21,1.97,1.993,1.82,1.83,865425
2017-03-22,1.84,1.86,1.75,1.8,735085
2017-03-23,1.83,1.88,1.78,1.85,352889
2017-03-24,1.87,1.93,1.83,1.87,264294
2017-03-27,1.85,1.925,1.83,1.89,294653
2017-03-28,1.9,1.91,1.8,1.82,429983
2017-03-29,1.81,1.94,1.8,1.93,453784
2017-03-30,1.94,1.949,1.86,1.88,432759
2017-03-31,1.87,1.9,1.85,1.85,293997
2017-04-03,1.86,1.93,1.81,1.82,507079
2017-04-04,1.8,1.83,1.665,1.7,965933
2017-04-05,1.7,1.8,1.62,1.66,1041293
2017-04-06,1.67,1.71,1.6101,1.69,582449
2017-04-07,1.69,1.7,1.65,1.66,648197
2017-04-10,1.67,1.67,1.62,1.62,541507
2017-04-11,1.62,1.6812,1.62,1.66,268863
2017-04-12,1.68,1.685,1.64,1.65,558326
2017-04-13,1.66,1.68,1.57,1.58,808942
2017-04-17,1.58,1.64,1.56,1.57,1291577
2017-04-18,1.56,1.58,1.44,1.51,969242
2017-04-19,1.51,1.59,1.5016,1.51,527806
2017-04-20,1.53,1.61,1.5,1.51,899752
2017-04-21,1.51,1.55,1.47,1.52,448771
2017-04-24,1.55,1.56,1.465,1.48,663853
2017-04-25,1.49,1.53,1.48,1.52,462918
2017-04-26,1.52,1.65,1.52,1.53,1787617
2017-04-27,1.55,1.57,1.5,1.56,928958
2017-04-28,1.57,1.59,1.5,1.55,641047
2017-05-01,1.54,1.61,1.52,1.58,458795
2017-05-02,1.6,1.6,1.525,1.56,384154
2017-05-03,1.55,1.59,1.54,1.56,362225
2017-05-04,1.65,2.04,1.6,1.77,5463233
2017-05-05,1.79,1.79,1.7,1.75,739670
2017-05-08,1.74,1.75,1.65,1.66,479241
2017-05-09,1.65,1.7,1.56,1.69,744484
2017-05-10,1.7,1.72,1.63,1.7,533627
2017-05-11,1.71,1.82,1.61,1.77,741044
2017-05-12,1.76,1.7618,1.67,1.7,499162
2017-05-15,1.72,1.77,1.7,1.74,641699
2017-05-16,1.73,1.78,1.7,1.74,455336
2017-05-17,1.71,1.74,1.63,1.66,796780
2017-05-18,1.66,1.6865,1.61,1.63,700403
2017-05-19,1.62,1.67,1.61,1.64,539157
2017-05-22,1.64,1.666,1.59,1.64,435243
2017-05-23,1.65,1.66,1.63,1.64,378017
2017-05-24,1.65,1.65,1.58,1.6,493234
2017-05-25,1.6,1.65,1.54,1.57,350039
2017-05-26,1.55,1.5762,1.515,1.54,433921
2017-05-30,1.55,1.55,1.5,1.5,401670
2017-05-31,1.51,1.52,1.42,1.44,1055189
