date,open,high,low,close,volume
2017-01-03,14.45,15.1,14.2,15.075,166125
2017-01-04,15.05,16.25,15.05,15.75,245303
2017-01-05,15.8,16.7,15.675,16.3,220088
2017-01-06,16.4,17.8,16.4,16.8,253333
2017-01-09,17.15,17.15,16.0,16.4,199601
2017-01-10,16.55,16.8,16.2,16.6,167200
2017-01-11,16.65,16.65,15.2,15.3,226203
2017-01-12,15.1,15.55,14.7,15.1,150593
2017-01-13,15.15,15.85,14.65,14.8,216150
2017-01-17,14.55,14.75,13.925,14.0,210862
2017-01-18,14.15,14.8,14.1,14.7,182292
2017-01-19,14.7,14.85,14.1,14.1,110590
2017-01-20,14.15,14.3,13.8,13.9,140790
2017-01-23,13.85,14.0,13.1,13.55,274686
2017-01-24,13.6,13.9,13.4,13.75,239458
2017-01-25,14.0,14.1075,13.7688,14.05,207638
2017-01-26,14.05,14.2,13.55,13.6,165397
2017-01-27,13.7,13.85,13.15,13.45,127366
2017-01-30,13.4,13.4,12.55,12.65,174751
2017-01-31,12.65,13.7,12.45,13.45,365041
2017-02-01,13.55,13.95,13.1,13.75,187205
2017-02-02,13.7,13.75,13.2,13.55,212421
2017-02-03,13.65,14.275,13.35,14.2,261587
2017-02-06,14.15,15.3,14.05,15.05,375702
2017-02-07,15.15,15.55,14.7,15.05,196413
2017-02-08,14.85,16.1,14.75,16.0,282869
2017-02-09,15.95,16.2,15.1,16.1,221931
2017-02-10,16.1,16.25,15.0,15.05,149821
2017-02-13,15.2,15.55,14.9,15.15,79836
2017-02-14,15.05,15.81,14.9,15.75,132704
2017-02-15,15.65,16.1,15.3,16.1,131949
2017-02-16,16.1,16.4,15.35,15.6,144089
2017-02-17,15.5,15.775,15.2,15.6,119348
2017-02-21,15.65,15.85,14.9,15.55,168061
2017-02-22,15.5,15.7,14.9,14.9,106253
2017-02-23,15.0,15.15,14.3215,14.8,197281
2017-02-24,14.6,14.9,13.6,13.8,256934
2017-02-27,13.7,16.2,13.65,16.2,233011
2017-02-28,15.95,16.425,15.3,15.45,343273
2017-03-01,15.8,16.8,15.5,16.5,317054
2017-03-02,16.4,17.35,16.25,16.9,294468
2017-03-03,16.95,17.4,16.85,17.15,150230
2017-03-06,17.1,17.55,16.6,17.4,170231
2017-03-07,17.0,17.3,16.5,16.85,209879
2017-03-08,16.95,17.8,16.7,17.3,163891
2017-03-09,17.4,19.6801,17.4,18.75,488411
2017-03-10,19.15,21.25,18.75,21.0,635577
2017-03-13,21.0,23.0,20.55,22.7,598800
2017-03-14,22.3,22.345,19.75,20.2,311663
2017-03-15,19.6,19.9,18.8,18.85,387164
2017-03-16,18.7,19.1119,18.25,18.65,333004
2017-03-17,18.3,20.2,18.1,20.05,628872
2017-03-20,19.85,21.4,19.75,21.25,376992
2017-03-21,21.4,22.05,20.2,20.2,418009
2017-03-22,20.2,21.55,20.0045,21.5,329793
2017-03-23,21.45,21.45,20.6932,21.0,194864
2017-03-24,21.2,21.35,20.7,20.75,220626
2017-03-27,20.5,20.8,20.0,20.4,196654
2017-03-28,20.4,20.725,18.45,18.55,292420
2017-03-29,18.6,19.85,18.6,19.05,403478
2017-03-30,19.0,20.35,18.95,20.15,258779
2017-03-31,20.1,20.6,19.6,20.55,165015
2017-04-03,20.5,21.2,20.3,20.4,331286
2017-04-04,20.45,20.75,19.75,19.85,200863
2017-04-05,19.95,20.9,19.65,20.05,438227
2017-04-06,20.15,20.25,18.05,18.5,392525
2017-04-07,18.3,18.3,17.0,17.1,380176
2017-04-10,17.2,17.65,16.675,16.9,236614
2017-04-11,16.9,17.35,16.5,17.0,250244
2017-04-12,16.95,17.5687,16.85,17.5,199689
2017-04-13,17.45,17.625,17.05,17.3,155885
2017-04-17,17.25,18.0,17.0,17.7,151030
