date,open,high,low,close,volume
2017-01-03,38.9059,38.9504,38.3279,38.4613,633928
2017-01-04,38.6391,39.3061,38.4168,39.0393,572535
2017-01-05,39.0393,39.3505,38.9948,39.1282,408093
2017-01-06,39.1727,39.2616,38.5502,38.6836,446486
2017-01-09,38.6391,38.6836,38.0611,38.5057,540246
2017-01-10,38.3723,38.7281,37.9277,38.4613,746050
2017-01-11,38.5057,38.8614,38.3278,38.6836,460060
2017-01-12,38.5947,39.2616,38.3279,39.2172,451279
2017-01-13,39.3505,39.9286,39.3505,39.5284,372627
2017-01-17,39.5729,40.3732,39.4839,40.3288,663255
2017-01-18,40.4177,41.218,40.1954,40.5511,666952
2017-01-19,40.5066,41.1291,39.2616,39.8841,787552
2017-01-20,39.8841,40.1954,38.5502,38.6836,777805
2017-01-23,38.6836,39.2839,38.5502,39.1282,365849
2017-01-24,39.0838,39.973,38.9059,39.9286,353009
2017-01-25,40.1064,40.6845,39.7063,40.1064,342061
2017-01-26,40.1954,40.3732,39.5951,39.7507,352892
2017-01-27,39.8841,39.8841,39.0838,39.3505,349789
2017-01-30,39.2616,39.5284,38.9059,38.9948,451178
2017-01-31,39.0838,39.5284,38.9948,39.4395,340548
2017-02-01,39.4839,39.6618,39.0838,39.395,337402
2017-02-02,39.4839,39.8841,39.395,39.4839,336337
2017-02-03,39.7952,39.8174,39.1727,39.7507,326172
2017-02-06,39.7952,39.7952,38.9059,39.2172,349090
2017-02-07,39.2172,39.4628,39.0838,39.4395,336153
2017-02-08,39.4839,39.7507,39.2172,39.5284,303167
2017-02-09,39.5284,40.5066,39.5284,40.4177,335547
2017-02-10,40.5066,41.1291,40.3288,41.0402,397608
2017-02-13,41.0846,41.3514,40.7734,41.307,416289
2017-02-14,41.307,41.3737,40.7734,41.2625,488139
2017-02-15,41.1736,41.8405,40.9068,41.6627,356067
2017-02-16,41.6182,42.0184,41.307,41.7516,399518
2017-02-17,41.7516,41.7516,41.0402,41.6182,525915
2017-02-21,41.5293,42.2407,41.3514,42.1962,643035
2017-02-22,42.1962,42.3074,41.5293,42.2852,457446
2017-02-23,42.463,42.463,41.5293,41.7071,520825
2017-02-24,39.1282,40.0175,38.15,38.817,2046809
2017-02-27,38.7281,38.9504,38.0611,38.239,1249927
2017-02-28,38.239,38.4613,37.6165,37.7943,1235116
2017-03-01,38.0166,38.239,37.8388,37.8832,862195
2017-03-02,37.8832,38.0166,37.4831,37.7498,596339
2017-03-03,37.7943,37.8603,37.4386,37.5275,567207
2017-03-06,37.4386,37.7498,36.7049,37.5275,872513
2017-03-07,37.3052,37.572,36.9495,37.2607,533163
2017-03-08,37.2163,37.4342,36.4159,36.5049,657592
2017-03-09,36.4604,37.1718,36.4604,37.0384,518073
2017-03-10,37.2607,37.4831,37.1718,37.3941,427817
2017-03-13,37.3941,37.572,36.8606,37.1718,417789
2017-03-14,37.1274,37.2385,36.905,36.994,268338
2017-03-15,37.0829,37.5275,36.7716,37.3941,571318
2017-03-16,36.8161,36.8161,34.5484,35.0376,3110248
2017-03-17,35.5711,36.6382,35.5711,36.4604,2004944
2017-03-20,36.5938,36.994,36.3715,36.4159,540651
2017-03-21,36.4604,36.548,35.9268,36.1047,514691
2017-03-22,36.2381,36.327,35.66,35.749,667636
2017-03-23,35.7934,36.1936,35.6156,35.8824,554277
2017-03-24,36.0158,36.2825,35.7045,36.1491,826958
2017-03-27,36.1491,36.327,35.8584,36.1491,581465
2017-03-28,36.1936,36.994,36.0158,36.7716,846683
2017-03-29,36.6502,37.5046,36.6502,37.5046,638106
2017-03-30,37.5046,37.5496,36.5153,36.5603,638462
