date,open,high,low,close,volume
2017-01-03,17.577,17.7412,17.4417,17.49,902971
2017-01-04,17.5093,17.9393,17.5093,17.6736,1444869
2017-01-05,17.577,17.577,16.9972,16.9972,1530315
2017-01-06,16.9972,17.2388,16.8039,16.8233,1942509
2017-01-09,16.7653,17.205,16.7653,17.0745,1386694
2017-01-10,17.0745,17.5383,17.0745,17.49,1751648
2017-01-11,17.4707,17.4707,17.0842,17.3741,1096821
2017-01-12,17.3837,17.403,17.0165,17.1905,1204306
2017-01-13,17.2291,17.3837,16.7025,16.7653,1450122
2017-01-17,16.3594,16.6879,16.2338,16.3304,1293337
2017-01-18,16.3691,16.4174,16.1758,16.4078,1087898
2017-01-19,16.0212,16.4947,16.0212,16.2725,1445173
2017-01-20,16.5044,16.63,16.2435,16.5527,2123709
2017-01-23,16.572,17.3354,16.4029,16.4174,1038698
2017-01-24,16.4367,16.5527,16.2242,16.4754,1472733
2017-01-25,16.4851,16.688,16.3691,16.4271,1230628
2017-01-26,16.4078,16.6397,16.3015,16.4851,1373327
2017-01-27,16.514,16.5237,16.2242,16.4174,1846406
2017-01-30,16.3498,16.5237,16.2338,16.4657,1145757
2017-01-31,16.3981,16.572,16.3015,16.5334,1267979
2017-02-01,16.5624,16.7073,16.3884,16.4174,1059274
2017-02-02,16.4754,16.63,16.3401,16.4754,695882
2017-02-03,16.3111,16.688,16.2821,16.601,963625
2017-02-06,16.6493,16.9006,16.63,16.6687,718117
2017-02-07,16.6493,16.7846,16.5236,16.5914,811210
2017-02-08,16.5624,17.0648,16.4657,16.9875,1124351
2017-02-09,17.5238,17.7992,17.0165,17.3451,1521638
2017-02-10,17.3451,17.7026,17.3064,17.6446,807087
2017-02-13,17.6446,17.7896,17.3644,17.3934,1427739
2017-02-14,17.4707,17.6833,17.3644,17.4417,1733957
2017-02-15,17.3837,17.5866,17.3451,17.5673,1282335
2017-02-16,17.5673,17.7896,17.1808,17.3064,1599010
2017-02-17,17.7026,18.3065,17.1711,18.2244,4059564
2017-02-21,17.8765,18.35,17.7509,18.1857,2379777
2017-02-22,18.0311,18.2389,17.2388,17.2774,2429546
2017-02-23,16.9862,17.0056,16.4524,16.5883,3541354
2017-02-24,16.4815,16.8018,16.4427,16.763,1601282
2017-02-27,16.7727,16.9765,16.7193,16.8115,1179966
2017-02-28,16.8115,16.8697,16.5689,16.5883,1740656
2017-03-01,16.7533,16.8795,16.5883,16.6562,1479989
2017-03-02,16.598,16.7872,16.5931,16.7339,636130
2017-03-03,16.6659,16.8795,16.5446,16.6368,743927
2017-03-06,16.598,16.8697,16.4233,16.8115,1420893
2017-03-07,16.8115,16.8697,16.5494,16.7242,2121931
2017-03-08,16.7144,16.8309,16.5397,16.6853,2218855
2017-03-09,16.763,17.3357,16.695,17.2483,1966179
2017-03-10,17.258,17.5201,17.1998,17.4715,1318105
2017-03-13,17.4715,17.656,17.1221,17.1415,1241313
2017-03-14,17.1318,17.2677,16.9571,17.1706,1222827
2017-03-15,17.3065,17.7433,17.2007,17.6074,1533287
2017-03-16,17.7433,18.0151,17.622,17.7724,1242213
2017-03-17,17.8113,18.2286,17.8113,18.0539,2504365
2017-03-20,18.0345,18.2869,18.0345,18.0539,1566885
2017-03-21,18.1219,18.5975,18.0345,18.0345,2566434
2017-03-22,18.0054,18.515,17.9666,18.4907,1393843
2017-03-23,18.549,18.976,18.4228,18.5975,1823601
2017-03-24,18.6169,19.0634,18.6169,18.7431,1834124
2017-03-27,18.5781,18.646,18.0539,18.2384,1297818
2017-03-28,18.2384,18.7237,18.151,18.646,1115489
2017-03-29,18.6169,18.9566,18.5665,18.6363,954427
2017-03-30,18.7043,19.0537,18.481,19.0537,1033974
2017-03-31,19.0731,19.2818,18.9857,19.1508,938706
2017-04-03,18.7916,19.4517,18.4519,19.1702,1134733
2017-04-04,19.1799,19.2187,18.8887,18.976,981318
2017-04-05,19.1216,19.2769,18.8693,18.9081,1155776
2017-04-06,18.9178,19.1992,18.7868,19.141,1094559
2017-04-07,19.0537,19.1702,18.9566,18.9955,615886
2017-04-10,19.0731,19.2187,18.8887,19.0925,1137554
2017-04-11,19.1508,19.3594,18.9081,19.1702,645205
2017-04-12,19.1313,19.1508,18.879,19.0731,515108
2017-04-13,19.1313,19.3643,18.879,18.976,1071791
2017-04-17,19.0246,19.1313,18.2869,18.4228,2483234
2017-04-18,18.3063,18.7819,18.3063,18.646,1314000
2017-04-19,18.7431,18.8353,18.5878,18.6557,1220911
2017-04-20,18.8304,19.1799,18.7625,19.1119,1853885
2017-04-21,19.1216,19.3352,18.9857,19.1993,1554620
2017-04-24,19.4517,19.6603,19.0925,19.5002,2191674
2017-04-25,19.6458,19.7817,19.2284,19.2478,2136368
2017-04-26,19.7234,20.6747,19.7234,20.3835,4401554
2017-04-27,20.6747,20.6941,20.3544,20.4514,1704441
2017-04-28,20.0437,21.0532,20.0437,21.0532,2431518
2017-05-01,21.1212,21.5093,20.9659,21.2959,2363339
2017-05-02,21.1017,21.4318,20.9173,21.1212,1379008
2017-05-03,21.0435,21.3056,20.9174,21.1697,1196945
2017-05-04,21.1989,21.1989,20.8579,21.0333,1141236
2017-05-05,21.0918,21.1794,20.4975,20.6631,1885791
2017-05-08,20.5949,20.8482,20.5949,20.7021,1409980
2017-05-09,20.6534,21.1794,20.6534,20.9554,1431874
2017-05-10,20.8774,21.5594,20.8774,21.4522,2023896
2017-05-11,21.3256,21.4912,21.043,21.3938,1327877
2017-05-12,21.3256,21.4132,21.1307,21.1599,1041588
2017-05-15,21.0041,21.3061,20.7508,20.8774,1800104
2017-05-16,20.9456,20.9456,20.5998,20.6728,1038256
2017-05-17,20.6046,20.9164,20.3221,20.3514,1186379
2017-05-18,20.3708,20.3708,19.9665,20.0591,1335122
2017-05-19,19.494,19.8935,19.2681,19.6012,1809280
2017-05-22,19.6207,19.7766,19.494,19.7279,1106004
2017-05-23,19.7181,19.723,19.4258,19.4551,1012225
2017-05-24,19.4843,19.8253,19.3284,19.7766,1007089
2017-05-25,19.835,19.9909,19.6791,19.7376,1428806
2017-05-26,19.6986,20.3416,19.6304,19.913,981954
2017-05-30,19.9227,20.0299,19.3089,19.4648,1504116
2017-05-31,19.5525,19.5915,19.3479,19.5135,1778598
2017-06-01,19.6109,19.8642,19.4356,19.8545,1455258
2017-06-02,19.8935,20.1857,19.8837,19.9519,1057952
2017-06-05,19.835,20.0932,19.8058,19.9811,1231194
2017-06-06,19.874,20.137,19.7279,20.0201,1264893
