date,open,high,low,close,volume
2017-06-01,25.34,27.6,25.1,27.28,22657469
2017-06-02,26.81,27.865,26.69,27.05,5202984
2017-06-05,27.0,27.99,26.84,27.89,2241586
2017-06-06,27.89,29.47,27.52,29.14,3271407
2017-06-07,29.14,29.325,27.08,27.15,4820315
2017-06-08,26.87,27.2,25.35,25.81,6762409
2017-06-09,25.74,26.2,25.37,25.81,3119084
2017-06-12,25.58,26.45,25.44,25.94,2198644
2017-06-13,25.75,26.22,25.53,25.87,1954455
2017-06-14,25.8,26.02,25.51,25.59,1361251
2017-06-15,25.44,25.61,25.18,25.34,1328350
2017-06-16,25.34,26.2,25.29,26.16,2498267
2017-06-19,26.37,27.29,26.33,27.0,2568020
2017-06-20,26.75,27.24,26.74,26.9,1221351
2017-06-21,26.84,27.19,26.79,27.05,1481013
2017-06-22,27.2,27.7,27.12,27.58,1386735
2017-06-23,27.68,28.31,27.68,28.2,8111121
2017-06-26,28.22,28.35,27.955,28.21,1228563
2017-06-27,28.2,28.24,27.27,27.55,1843951
2017-06-28,27.64,27.85,27.47,27.56,1445507
2017-06-29,27.6,27.6,26.71,26.87,958840
2017-06-30,26.86,26.925,26.45,26.63,1143196
2017-07-03,26.63,27.17,26.55,27.08,336938
2017-07-05,26.96,27.21,26.86,27.04,1046882
2017-07-06,26.82,26.82,26.28,26.38,699474
2017-07-07,26.5,26.5,25.78,25.83,1514476
2017-07-10,25.62,26.12,25.505,25.95,1081706
2017-07-11,26.01,26.03,25.165,25.25,1172256
2017-07-12,25.44,25.88,24.845,25.41,1671400
2017-07-13,25.32,25.38,24.98,25.05,2320315
2017-07-14,25.1,25.35,24.01,24.13,2079331
2017-07-17,24.16,24.77,24.0,24.33,1124342
2017-07-18,24.29,24.58,23.935,23.96,1116142
2017-07-19,24.06,24.06,23.21,23.25,1882671
2017-07-20,23.43,23.51,23.1,23.12,3528255
2017-07-21,23.25,24.15,22.95,24.02,2545279
2017-07-24,24.17,24.17,23.42,23.76,1252558
2017-07-25,23.78,24.315,23.57,24.14,2062441
2017-07-26,24.22,24.94,24.03,24.76,1090648
2017-07-27,24.79,24.84,23.8,24.13,1200758
2017-07-28,23.98,24.49,23.98,24.29,720705
2017-07-31,24.32,24.585,24.08,24.3,1070980
2017-08-01,24.42,24.7,24.03,24.56,1126115
2017-08-02,24.43,24.64,24.14,24.22,3248796
2017-08-03,24.2,24.8,24.09,24.71,1606222
2017-08-04,24.66,24.66,23.92,24.63,867631
2017-08-07,24.67,24.7,24.41,24.6,1803544
2017-08-08,24.45,24.68,24.1,24.2,2449746
2017-08-09,24.1,25.22,24.08,24.65,2135531
2017-08-10,24.7,24.84,24.34,24.69,1813245
2017-08-11,24.69,24.85,24.43,24.72,2035980
2017-08-14,24.92,24.96,24.53,24.74,1862842
2017-08-15,25.15,25.4,24.65,25.24,2406372
2017-08-16,25.36,25.59,25.24,25.25,1382509
2017-08-17,25.11,25.46,24.73,24.77,1193363
2017-08-18,24.63,24.68,24.3,24.46,1024818
2017-08-21,24.48,24.48,24.07,24.17,759475
2017-08-22,24.23,24.4,24.12,24.19,904805
2017-08-23,24.19,24.29,24.1,24.19,997475
2017-08-24,24.31,24.315,24.09,24.2,1776892
2017-08-25,24.35,25.36,24.25,25.34,1158762
2017-08-28,25.28,26.3,25.28,26.19,1895873
2017-08-29,26.05,26.51,25.69,26.27,1554525
2017-08-30,26.2,26.26,25.44,25.92,1424421
2017-08-31,25.91,26.17,25.68,25.86,907268
2017-09-01,25.9,26.72,25.86,26.31,646469
2017-09-05,26.31,26.65,26.31,26.59,1067344
2017-09-06,26.59,27.4,26.59,27.2,1522830
2017-09-07,27.13,27.63,26.92,27.42,790674
2017-09-08,27.38,27.4,26.77,26.85,927588
2017-09-11,27.01,27.24,26.82,27.0,572381
2017-09-12,27.08,27.18,26.75,26.8,825511
2017-09-13,26.8,27.1799,26.77,27.02,888855
2017-09-14,26.91,27.07,26.57,26.7,656259
2017-09-15,26.55,26.73,26.11,26.13,1154519
2017-09-18,26.18,26.39,25.92,25.98,634951
2017-09-19,25.98,26.46,25.79,26.19,565879
2017-09-20,26.14,26.25,25.6768,25.87,1053012
2017-09-21,25.77,25.81,25.29,25.55,1719907
2017-09-22,25.86,27.43,25.78,26.44,2532342
2017-09-25,26.36,26.51,25.81,25.99,690226
2017-09-26,26.0,26.79,25.88,26.66,1695488
2017-09-27,26.71,26.8,25.99,26.75,1153597
2017-09-28,26.68,26.72,26.33,26.6,997426
2017-09-29,26.67,27.3,26.49,26.61,1353616
2017-10-02,26.63,26.92,26.58,26.79,1315844
2017-10-03,26.7,27.59,26.66,27.44,1892228
2017-10-04,27.42,28.245,27.4,28.04,1545509
2017-10-05,28.17,28.74,28.008,28.65,1364149
2017-10-06,28.53,28.88,28.16,28.71,1534823
2017-10-09,28.68,28.76,27.77,27.83,959176
2017-10-10,27.93,28.48,27.45,27.52,968810
2017-10-11,27.51,27.86,27.43,27.74,480990
2017-10-12,27.88,28.22,27.35,27.42,787342
2017-10-13,27.55,27.78,27.23,27.23,841393
2017-10-16,27.24,27.515,26.84,27.09,689371
2017-10-17,26.84,26.98,26.11,26.59,1155496
2017-10-18,26.68,27.04,26.11,26.2,1190758
2017-10-19,26.07,26.3,25.69,25.71,1072132
2017-10-20,26.67,26.8,25.75,25.83,767196
2017-10-23,25.78,25.835,24.97,25.03,1125961
2017-10-24,25.02,25.15,24.57,24.6,1128530
2017-10-25,24.56,25.13,24.24,24.51,2316781
2017-10-26,24.3,25.05,24.3,24.55,848529
2017-10-27,24.48,24.655,24.03,24.05,880811
2017-10-30,24.0,24.19,23.85,23.92,866340
2017-10-31,23.85,24.065,23.47,23.82,1644969
2017-11-01,23.92,24.27,23.72,23.79,907951
2017-11-02,23.77,24.54,23.61,24.37,1252686
2017-11-03,24.49,24.56,23.96,24.22,797084
2017-11-06,24.26,24.71,24.1801,24.7,628181
2017-11-07,24.45,24.495,22.98,22.99,4814190
2017-11-08,21.0,22.82,20.94,22.0,6649308
2017-11-09,21.95,23.53,21.86,22.47,2398102
2017-11-10,22.39,22.85,22.251,22.8,490939
2017-11-13,22.66,22.94,22.17,22.74,914263
2017-11-14,22.69,23.22,22.56,23.2,1982834
2017-11-15,23.24,23.69,22.82,23.29,1408755
2017-11-16,23.29,24.14,23.23,23.85,1331239
2017-11-17,23.75,24.18,23.68,24.0,778151
2017-11-20,23.94,24.33,23.71,24.3,854606
2017-11-21,24.33,24.33,23.96,24.07,1633399
2017-11-22,24.08,24.52,23.92,24.35,954838
2017-11-24,24.35,24.35,23.83,24.11,468069
2017-11-27,24.15,24.83,23.95,24.34,1090933
2017-11-28,24.3,24.32,23.725,24.07,2179127
2017-11-29,24.07,24.97,23.85,24.86,2858121
2017-11-30,24.89,24.89,23.84,24.24,1353865
2017-12-01,24.11,24.1369,23.44,23.81,1279817
2017-12-04,23.92,24.8,23.8,24.56,2512612
2017-12-05,24.55,25.62,24.44,24.98,2231433
2017-12-06,24.9,26.23,24.9,26.16,2542204
2017-12-07,26.13,27.26,25.71,26.76,4271538
2017-12-08,26.77,27.0,26.16,26.76,1247061
2017-12-11,26.79,26.99,26.49,26.82,2089914
2017-12-12,26.74,27.19,26.58,27.06,2939334
2017-12-13,26.98,27.41,26.96,27.31,1911193
2017-12-14,27.25,27.56,27.12,27.41,1239550
2017-12-15,27.49,27.64,27.2,27.26,2748875
2017-12-18,27.91,28.23,27.3,27.89,2078964
2017-12-19,30.0,30.3,28.67,29.23,5115228
2017-12-20,29.37,30.03,29.28,29.75,1767969
2017-12-21,29.775,30.12,29.62,29.98,1621145
2017-12-22,29.755,30.02,29.5,29.56,1004229
2017-12-26,29.5,30.11,29.37,29.54,1270816
2017-12-27,29.52,29.52,28.88,29.15,1045846
2017-12-28,29.16,29.19,28.73,28.82,576404
2017-12-29,28.85,29.05,28.7,28.84,685655
2018-01-02,28.97,29.12,28.7,28.99,927006
2018-01-03,29.22,29.43,29.08,29.2,1014439
2018-01-04,29.26,30.05,29.2,29.98,850945
2018-01-05,30.25,31.2,30.12,31.18,1188827
2018-01-08,31.15,32.02,30.74,31.97,2071419
2018-01-09,31.96,32.28,31.23,31.24,3381596
2018-01-10,31.03,31.58,30.65,31.19,1013754
2018-01-11,31.22,31.51,30.94,31.24,1386193
2018-01-12,31.08,31.08,28.88,30.57,3325257
2018-01-16,30.59,31.03,30.45,30.96,1102833
2018-01-17,31.02,31.47,30.47,30.78,618308
2018-01-18,30.86,30.92,30.6,30.68,503406
2018-01-19,30.64,30.98,30.3,30.46,849064
2018-01-22,30.38,30.525,30.16,30.16,1821340
2018-01-23,30.18,30.925,30.18,30.38,2461888
2018-01-24,30.42,30.42,29.19,29.64,3287404
2018-01-25,29.9,30.0,29.301,29.74,1411350
2018-01-26,29.73,29.9,29.35,29.73,722858
2018-01-29,29.7,30.03,29.6,29.66,544116
2018-01-30,29.47,30.0,29.47,29.68,2334647
2018-01-31,29.69,29.86,29.62,29.69,1294443
2018-02-01,29.65,29.77,29.18,29.23,1321447
2018-02-02,29.04,29.06,27.99,28.06,1277283
2018-02-05,27.88,28.21,26.9,26.9,912487
2018-02-06,26.33,28.03,26.24,27.84,1704790
2018-02-07,27.69,28.02,27.57,27.62,665757
2018-02-08,27.73,27.9,27.43,27.46,1435310
2018-02-09,27.62,27.73,26.33,27.22,949737
2018-02-12,27.21,28.34,27.06,28.2,1115749
2018-02-13,28.18,28.57,27.85,28.48,761674
2018-02-14,28.41,28.8814,27.77,28.5,2782522
2018-02-15,28.79,29.09,28.03,28.94,1491903
2018-02-16,28.75,29.47,28.08,29.27,2442182
2018-02-20,29.16,30.02,29.0,29.39,1131677
2018-02-21,29.42,29.92,29.32,29.41,635210
2018-02-22,29.45,29.68,28.96,29.19,2781854
2018-02-23,29.39,29.5,29.055,29.27,706223
2018-02-26,29.32,29.4003,28.65,29.07,1031704
2018-02-27,29.08,29.08,27.74,27.81,869438
2018-02-28,27.89,28.13,27.37,27.39,809630
2018-03-01,27.32,27.6,26.58,26.89,1231004
2018-03-02,26.63,28.15,26.46,27.98,1303013
2018-03-05,27.87,28.5,27.5,28.29,885653
2018-03-06,29.7,30.32,28.66,29.45,1727964
2018-03-07,29.05,29.21,27.85,28.95,1052037
2018-03-08,29.11,29.49,28.94,29.49,849228
2018-03-09,29.66,30.03,29.37,29.78,2657465
2018-03-12,29.91,30.0,29.68,29.8,1386444
2018-03-13,29.94,30.18,29.72,29.96,1118923
2018-03-14,30.15,30.15,29.62,29.72,971006
2018-03-15,29.82,29.83,29.51,29.72,495286
2018-03-16,29.67,30.16,29.67,29.75,2456029
2018-03-19,29.71,29.94,29.45,29.78,858842
2018-03-20,29.74,29.895,29.41,29.72,651808
2018-03-21,29.76,29.92,29.49,29.73,321659
2018-03-22,30.05,30.05,29.63,29.82,2925189
2018-03-23,29.78,29.89,27.5,28.03,2920819
2018-03-26,28.31,28.6,27.78,28.38,2041891
2018-03-27,28.39,28.47,27.87,28.0,1438569
2018-03-28,27.92,28.21,27.5001,27.72,730144
2018-03-29,27.87,28.44,27.765,28.33,718991
2018-04-02,28.29,28.38,27.43,27.52,464259
2018-04-03,27.76,28.05,27.5,27.95,547826
2018-04-04,27.93,28.23,27.72,28.19,934954
2018-04-05,28.47,28.57,28.03,28.54,510654
2018-04-06,28.31,28.77,28.31,28.63,707326
2018-04-09,28.84,29.195,28.53,28.75,1131213
2018-04-10,29.15,29.36,28.8075,29.18,526214
2018-04-11,29.05,29.34,28.81,28.84,704553
2018-04-12,28.9,29.06,28.62,28.65,712506
2018-04-13,28.71,28.76,27.95,27.97,801459
2018-04-16,28.11,28.87,28.11,28.31,1031813
2018-04-17,28.5,28.94,28.46,28.82,923170
2018-04-18,28.82,29.32,28.52,28.93,714556
2018-04-19,28.94,29.0,28.09,28.16,749763
2018-04-20,28.09,28.235,27.44,27.5,1072130
2018-04-23,27.57,28.1,27.57,28.01,486602
2018-04-24,28.06,28.18,27.72,28.05,498562
2018-04-25,27.99,28.205,27.92,28.03,358673
2018-04-26,28.03,28.58,27.98,28.24,415805
2018-04-27,28.27,28.61,28.24,28.55,319252
2018-04-30,28.53,28.91,28.32,28.48,599968
