date,open,high,low,close,volume
2017-01-03,37.32,37.93,36.47,37.47,1089579
2017-01-04,37.55,37.93,36.74,37.38,1478507
2017-01-05,37.02,37.42,35.73,35.95,1506809
2017-01-06,36.01,36.56,35.61,36.39,909195
2017-01-09,36.36,36.37,34.911,35.21,1193028
2017-01-10,35.21,35.93,35.04,35.88,1063535
2017-01-11,35.99,37.1,35.5145,37.02,1452409
2017-01-12,36.78,37.0719,35.02,36.13,1607572
2017-01-13,36.22,37.01,36.21,36.48,658858
2017-01-17,36.4,36.89,36.05,36.3,1192663
2017-01-18,36.39,37.45,36.01,37.41,1063764
2017-01-19,37.53,37.53,36.08,36.08,1198852
2017-01-20,36.05,36.44,35.49,36.09,1863658
2017-01-23,36.0,36.83,35.55,36.67,1267601
2017-01-24,36.95,37.89,36.88,37.53,1453726
2017-01-25,37.94,39.45,37.78,39.01,2051226
2017-01-26,39.07,39.3199,38.29,38.61,1016539
2017-01-27,38.72,39.29,38.45,39.25,945636
2017-01-30,38.78,39.16,37.25,38.28,1929171
2017-01-31,37.82,38.29,36.97,37.22,2011173
2017-02-01,37.74,38.44,37.4,37.8,1601854
2017-02-02,37.78,37.9214,37.28,37.3,1271497
2017-02-03,37.69,37.85,37.37,37.7,1729676
2017-02-06,37.5,37.96,36.705,36.84,1381045
2017-02-07,36.98,37.33,36.54,37.03,1126687
2017-02-08,36.88,37.55,36.55,36.73,1382347
2017-02-09,36.89,37.47,36.39,37.41,1815390
2017-02-10,37.55,38.17,37.4,37.63,1453815
2017-02-13,37.79,38.07,37.22,37.56,1812763
2017-02-14,37.36,38.44,37.165,38.42,1392034
2017-02-15,38.35,41.0,38.35,40.66,4557119
2017-02-16,36.5,36.74,34.9,35.76,10644137
2017-02-17,35.07,35.33,33.51,33.76,6249737
2017-02-21,33.7,34.6,33.51,34.52,2852719
2017-02-22,34.43,34.69,34.02,34.33,1496496
2017-02-23,34.35,34.42,33.33,33.4,1630903
2017-02-24,33.03,33.33,32.33,32.46,1974029
2017-02-27,32.46,33.26,32.0,33.23,1645912
2017-02-28,33.1,34.87,32.65,34.58,2902453
2017-03-01,35.04,35.7625,34.33,34.41,1905845
2017-03-02,34.33,34.74,33.9799,34.18,1072668
2017-03-03,34.26,34.61,33.59,34.47,1355665
2017-03-06,34.05,34.2,32.11,32.41,2812156
2017-03-07,32.57,32.71,32.09,32.09,1887593
2017-03-08,32.2,32.66,32.09,32.3,2180267
2017-03-09,32.5,32.72,32.15,32.36,2390483
2017-03-10,32.38,33.215,32.34,33.04,2012744
2017-03-13,33.07,33.37,32.8,32.83,917060
2017-03-14,32.74,32.75,32.0626,32.5,1263164
2017-03-15,32.82,34.205,32.82,33.96,1563128
2017-03-16,34.08,34.61,33.951,34.26,1312866
2017-03-17,34.02,34.28,32.68,32.7,2588029
2017-03-20,32.72,32.75,31.77,32.03,1807031
2017-03-21,32.28,32.28,28.99,29.55,5569331
2017-03-22,29.5,29.93,29.12,29.32,2986613
2017-03-23,29.26,29.5,28.44,28.56,1891223
2017-03-24,28.56,28.9,28.1,28.47,2458425
2017-03-27,27.71,28.44,27.36,28.23,3343473
2017-03-28,28.16,28.94,28.03,28.59,2720788
2017-03-29,28.27,29.2,28.2433,29.11,2021106
2017-03-30,29.07,29.72,29.07,29.42,1547934
2017-03-31,29.38,29.885,29.3,29.58,1909079
2017-04-03,29.53,29.76,27.87,27.96,3079554
2017-04-04,28.0,28.09,27.38,27.92,1924433
2017-04-05,27.91,28.37,27.03,27.1,2645295
2017-04-06,27.13,27.71,26.51,27.66,2811921
2017-04-07,27.64,28.43,27.36,27.49,3877322
2017-04-10,27.6,29.06,27.31,28.44,2543309
2017-04-11,28.38,28.769,28.07,28.55,2514364
2017-04-12,28.43,28.5499,27.75,27.88,1437290
2017-04-13,27.83,28.27,27.64,27.76,1267940
2017-04-17,27.75,28.76,27.63,28.57,2296814
2017-04-18,28.44,28.785,27.92,28.69,1939287
2017-04-19,28.72,29.645,28.65,29.33,3121718
2017-04-20,29.46,29.955,28.93,29.51,3250724
2017-04-21,29.58,29.76,29.24,29.38,1771393
2017-04-24,29.94,30.9,29.91,30.52,2473096
2017-04-25,30.43,31.23,30.43,30.84,1703388
2017-04-26,30.68,31.8,30.53,31.7,2237670
2017-04-27,31.85,32.46,31.79,32.29,2513127
2017-04-28,32.29,32.52,30.25,30.5,3947542
2017-05-01,30.53,31.15,30.36,30.95,1620985
2017-05-02,31.08,31.54,29.92,31.49,2374207
2017-05-03,31.31,31.66,30.55,30.84,2903534
2017-05-04,30.01,31.23,28.47,29.77,5720805
2017-05-05,29.82,29.99,29.38,29.62,1851010
2017-05-08,29.06,29.47,26.93,27.4,4692576
2017-05-09,26.59,27.57,25.44,27.37,3916521
2017-05-10,27.25,27.84,26.37,26.42,2721270
2017-05-11,26.15,26.22,24.75,25.45,6771408
2017-05-12,25.42,25.52,24.96,25.03,2916367
2017-05-15,24.36,24.89,23.55,23.74,4856692
2017-05-16,23.86,24.11,22.94,23.77,4240701
2017-05-17,23.33,23.43,21.71,22.11,5825578
2017-05-18,22.11,22.28,21.5,21.54,4071457
2017-05-19,21.69,22.77,21.37,22.38,3324879
2017-05-22,22.53,24.22,22.48,23.65,4549939
2017-05-23,23.75,23.84,22.16,22.38,3917264
2017-05-24,22.42,22.51,21.94,22.33,2092970
2017-05-25,22.5,22.62,21.78,22.38,1887310
2017-05-26,22.32,22.32,21.42,22.05,3215444
2017-05-30,21.97,22.71,21.81,22.36,1923044
2017-05-31,22.66,23.25,22.28,22.89,2566450
2017-06-01,23.0,23.47,22.36,23.0,2869102
2017-06-02,23.11,23.2259,22.03,22.9,2712173
2017-06-05,22.9,23.0303,21.42,21.44,2773714
2017-06-06,21.31,21.7,20.71,21.63,2970066
2017-06-07,21.73,22.33,21.38,21.78,2743287
2017-06-08,21.76,22.16,21.5101,21.71,1807990
2017-06-09,21.78,21.97,20.71,21.6,3142756
2017-06-12,21.63,23.56,21.63,22.31,4070668
2017-06-13,22.47,24.76,21.4868,23.06,6684500
2017-06-14,23.4,24.485,23.01,24.4,4057670
2017-06-15,24.08,24.777,23.05,23.19,2413030
2017-06-16,23.17,23.5799,21.58,21.86,3634180
2017-06-19,22.01,22.81,21.71,22.56,1981712
2017-06-20,22.55,22.59,21.4,21.62,2019106
2017-06-21,21.98,22.0301,21.38,21.9,4241866
2017-06-22,21.88,23.23,21.8,23.01,3447596
2017-06-23,22.97,24.29,22.72,24.24,10320027
2017-06-26,24.37,29.32,24.34,27.67,18635023
2017-06-27,27.59,27.99,25.13,25.46,9433611
2017-06-28,25.67,26.24,25.65,25.99,3090313
2017-06-29,26.21,27.09,25.99,26.45,3093565
2017-06-30,26.62,27.57,26.4947,27.27,3922690
2017-07-03,27.5,28.15,27.21,27.72,2472629
2017-07-05,27.9,28.25,27.3,27.84,2691076
2017-07-06,27.73,27.82,27.1,27.19,2147894
2017-07-07,27.32,28.68,27.15,28.61,4409901
2017-07-10,28.68,29.0,27.75,28.61,4414838
2017-07-11,28.73,29.1,27.82,28.2,3907038
2017-07-12,28.45,29.625,28.26,29.58,3887794
2017-07-13,29.56,31.85,29.48,31.55,6917874
2017-07-14,31.46,32.14,30.69,31.89,3866183
2017-07-17,31.89,32.3,31.19,31.46,2844071
2017-07-18,31.38,31.925,31.03,31.4,2087811
2017-07-19,31.41,32.86,31.39,32.63,3355765
2017-07-20,32.7,32.89,31.62,32.6,2354922
2017-07-21,32.59,32.6,31.39,32.36,2355832
2017-07-24,32.24,32.8,31.75,32.43,2334998
2017-07-25,32.53,34.025,32.53,32.95,2942092
2017-07-26,33.0,33.285,32.3,32.7,1657259
2017-07-27,32.94,33.59,32.71,32.91,2105681
2017-07-28,32.82,33.24,32.31,32.6,1679180
2017-07-31,32.0,32.45,30.6,30.78,4424658
