date,open,high,low,close,volume
2017-01-03,9.21,9.76,9.12,9.74,4599970
2017-01-04,9.82,9.93,9.645,9.92,4186819
2017-01-05,10.14,11.29,10.12,11.24,7245411
2017-01-06,11.14,11.35,10.44,10.53,4990860
2017-01-09,10.84,10.95,10.51,10.58,4730679
2017-01-10,10.69,11.17,10.67,10.97,3941915
2017-01-11,10.91,11.22,10.56,10.96,4209482
2017-01-12,11.34,11.35,10.73,10.89,3772881
2017-01-13,10.8,11.45,10.68,11.39,3668590
2017-01-17,11.87,11.93,11.535,11.6,3897640
2017-01-18,11.63,11.81,11.31,11.47,3464978
2017-01-19,11.31,11.43,11.01,11.19,2896299
2017-01-20,11.18,11.55,11.125,11.41,2868075
2017-01-23,11.59,12.05,11.5,11.9,3788580
2017-01-24,11.94,12.3,11.67,11.84,3830073
2017-01-25,11.6,11.61,11.15,11.43,4402439
2017-01-26,11.05,11.23,10.97,11.05,2673834
2017-01-27,11.0,11.3,10.97,11.26,2234116
2017-01-30,11.3,11.44,11.135,11.39,3871623
2017-01-31,11.69,11.76,11.5,11.65,3403773
2017-02-01,11.49,11.645,11.26,11.54,2935683
2017-02-02,11.86,11.935,11.4318,11.52,3688424
2017-02-03,11.51,11.82,11.43,11.69,2883761
2017-02-06,11.91,11.95,11.562,11.92,3454511
2017-02-07,11.86,11.96,11.57,11.68,2962437
2017-02-08,11.85,12.09,11.72,12.02,3578102
2017-02-09,11.51,11.57,9.37,9.39,15656656
2017-02-10,9.31,9.68,9.2,9.44,6580664
2017-02-13,9.41,9.75,9.34,9.38,5567378
2017-02-14,9.5,9.79,9.205,9.32,5616451
2017-02-15,9.24,9.275,9.04,9.15,4936224
2017-02-16,9.22,9.34,9.075,9.13,4872503
2017-02-17,9.11,9.185,8.85,8.88,4648067
2017-02-21,8.72,9.3,8.67,9.16,5132821
2017-02-22,8.89,9.0516,8.71,8.82,4398330
2017-02-23,9.03,9.16,8.77,8.87,4244819
2017-02-24,9.05,9.136,8.73,8.75,3656353
2017-02-27,8.72,9.23,8.42,8.49,8002176
2017-02-28,8.58,8.725,8.35,8.59,4620496
