date,open,high,low,close,volume
2017-01-03,6.0275,6.1287,5.9815,6.1287,390603
2017-01-04,6.1287,6.2484,6.0827,6.2116,355420
2017-01-05,6.1839,6.1839,6.0735,6.1655,346779
2017-01-06,6.1471,6.1471,6.0091,6.0827,272625
2017-01-09,6.0183,6.0183,5.6502,5.8803,578239
2017-01-10,5.8711,5.8803,5.7882,5.8251,352005
2017-01-11,5.8435,5.8803,5.7698,5.779,266679
2017-01-12,5.7974,5.8251,5.7606,5.8067,346489
2017-01-13,5.7974,5.8251,5.7146,5.7606,1463633
2017-01-17,5.7974,5.8343,5.733,5.8067,284784
2017-01-18,5.7974,5.8527,5.7514,5.7974,697520
2017-01-19,5.7882,5.802,5.687,5.7054,597265
2017-01-20,5.6778,5.7514,5.6134,5.7146,274447
2017-01-23,5.7238,5.779,5.6778,5.7422,184545
2017-01-24,5.733,5.7422,5.6502,5.6962,367477
2017-01-25,5.7238,5.733,5.6502,5.7054,306961
2017-01-26,5.687,5.7698,5.6134,5.6226,247410
2017-01-27,5.6594,5.6594,5.503,5.5306,232401
2017-01-30,5.503,5.5122,5.4202,5.4754,424163
2017-01-31,5.4846,5.5766,5.4846,5.5306,380589
2017-02-01,5.5306,5.5858,5.4386,5.503,560179
2017-02-02,5.5122,5.6594,5.5122,5.6594,779657
2017-02-03,5.7146,5.733,5.6318,5.7146,204374
2017-02-06,5.733,5.733,5.6134,5.6226,152719
2017-02-07,5.6502,5.6778,5.4754,5.5306,480085
2017-02-08,5.5491,5.6791,5.4935,5.6791,374235
2017-02-09,5.6605,5.7718,5.6419,5.7626,300540
2017-02-10,5.7718,5.8878,5.7626,5.8461,406342
2017-02-13,5.8832,5.8832,5.7904,5.8368,318352
2017-02-14,5.8368,5.8368,5.7162,5.7718,255357
2017-02-15,5.6976,5.6976,5.5445,5.6048,358175
2017-02-16,5.6048,5.6605,5.5677,5.6048,184255
2017-02-17,5.6141,5.6512,5.5306,5.6234,947762
2017-02-21,5.6234,5.6976,5.577,5.6419,256204
2017-02-22,5.6512,5.6976,5.5584,5.577,283688
2017-02-23,5.577,5.6419,5.4935,5.5491,231059
2017-02-24,5.4842,5.4842,5.1594,5.345,878974
2017-02-27,5.345,5.4378,5.345,5.4192,836505
2017-02-28,5.4749,5.5584,5.4099,5.4471,1376325
2017-03-01,5.4471,5.512,5.3914,5.4378,569818
2017-03-02,5.4007,5.4007,5.0852,5.1408,552395
2017-03-03,5.1687,5.1956,4.9831,5.0759,591070
2017-03-06,5.0573,5.0666,4.946,4.9738,560552
2017-03-07,5.0109,5.0109,4.881,4.8903,630422
2017-03-08,4.881,4.9274,4.7882,4.8068,513439
2017-03-09,4.7789,4.8253,4.7047,4.714,444257
2017-03-10,4.7418,4.7697,4.5841,4.649,858292
2017-03-13,4.7789,4.7882,4.6212,4.6769,1562189
2017-03-14,4.6583,4.6954,4.6026,4.6861,899799
2017-03-15,4.7233,4.881,4.7047,4.8253,1206026
2017-03-16,4.8439,4.946,4.8068,4.8903,1007345
2017-03-17,4.8903,4.946,4.8625,4.8996,1514157
2017-03-20,4.8903,4.8903,4.7279,4.8625,653838
2017-03-21,4.8717,4.9181,4.7325,4.7511,634326
2017-03-22,4.7511,4.7557,4.5562,4.6397,600624
2017-03-23,4.6397,4.7789,4.6305,4.6676,499358
2017-03-24,4.6583,4.7604,4.649,4.6676,284459
2017-03-27,4.6305,4.714,4.5098,4.5377,405756
2017-03-28,4.5655,4.6954,4.5191,4.6861,766603
2017-03-29,4.6676,4.7604,4.6119,4.7047,964022
2017-03-30,4.714,4.7186,4.6119,4.6769,482664
2017-03-31,4.6583,4.7233,4.6305,4.6583,968452
2017-04-03,4.649,4.6954,4.5813,4.6212,572443
2017-04-04,4.6212,4.7279,4.6119,4.714,458250
2017-04-05,4.7233,4.7697,4.6305,4.6769,535697
2017-04-06,4.6676,4.8068,4.5934,4.7789,444398
2017-04-07,4.7697,4.8161,4.7418,4.7789,308073
2017-04-10,4.7789,4.8393,4.7418,4.8161,492076
2017-04-11,4.8346,4.9738,4.7975,4.9274,1307962
2017-04-12,4.9089,4.946,4.8439,4.9274,370948
2017-04-13,4.9274,4.9738,4.8995,4.9274,466987
2017-04-17,4.9553,4.9738,4.9089,4.9645,211964
2017-04-18,4.9553,5.048,4.881,4.946,486661
2017-04-19,4.946,4.9553,4.8717,4.8717,898020
2017-04-20,4.8717,4.9553,4.8625,4.881,447783
2017-04-21,4.881,4.9738,4.8717,4.9553,918817
2017-04-24,5.0016,5.0295,4.8717,4.8903,994116
2017-04-25,4.8903,5.0063,4.8161,4.946,946746
2017-04-26,4.946,4.9738,4.8996,4.9738,1803672
2017-04-27,4.9738,5.0202,4.946,5.0016,457254
2017-04-28,4.9831,5.0016,4.9367,4.9924,962034
2017-05-01,4.9831,5.0388,4.9367,5.0295,484237
2017-05-02,5.048,5.048,4.9738,5.0202,476391
2017-05-03,5.0202,5.0202,4.8903,4.9181,792421
2017-05-04,4.9181,4.9367,4.7325,4.7975,662217
2017-05-05,4.9274,5.0109,4.7697,4.9181,891054
2017-05-08,4.8903,4.9367,4.7789,4.8161,490348
2017-05-09,4.8532,4.8625,4.7882,4.8625,699603
2017-05-10,4.8718,4.9749,4.8625,4.9655,469818
2017-05-11,4.9655,5.0311,4.9093,5.0217,410567
2017-05-12,5.0217,5.0217,4.825,4.8531,589981
2017-05-15,4.8718,4.8812,4.7032,4.7126,522589
2017-05-16,4.7313,4.7828,4.6189,4.7688,961017
2017-05-17,4.7126,4.7781,4.5345,4.6095,1100111
2017-05-18,4.5908,4.6142,4.5018,4.6001,775660
2017-05-19,4.5814,4.7219,4.5533,4.6844,2225894
2017-05-22,4.6844,4.7453,4.6282,4.7032,518638
2017-05-23,4.7313,4.7594,4.647,4.7407,390101
2017-05-24,4.7313,4.7969,4.6938,4.7781,557286
2017-05-25,4.7969,4.8531,4.6938,4.7781,199843
2017-05-26,4.7594,4.7969,4.6751,4.6938,223750
2017-05-30,4.6844,4.7313,4.6189,4.6376,386155
2017-05-31,4.6376,4.6798,4.572,4.6751,436388
2017-06-01,4.6563,4.825,4.6282,4.7969,292698
2017-06-02,4.8531,4.9843,4.8062,4.9374,525387
2017-06-05,4.928,4.928,4.7969,4.7969,289817
2017-06-06,4.7969,4.8625,4.7126,4.825,295637
2017-06-07,4.8437,4.9983,4.825,4.9374,511812
2017-06-08,4.9374,4.9374,4.825,4.8437,311073
2017-06-09,4.8531,5.0124,4.7969,4.928,684976
2017-06-12,4.928,5.1435,4.928,5.0405,806371
2017-06-13,5.0405,5.0405,4.9187,4.9561,661016
2017-06-14,4.9936,4.9936,4.8437,4.9187,541516
2017-06-15,4.8812,4.9655,4.8718,4.9187,323864
2017-06-16,4.8625,4.8999,4.7735,4.825,754509
2017-06-19,4.8343,4.8437,4.6282,4.6376,541644
2017-06-20,4.6282,4.6657,4.5345,4.5814,277949
2017-06-21,4.5908,4.6095,4.4502,4.4502,287580
2017-06-22,4.4502,4.4971,4.4034,4.4315,503209
2017-06-23,4.4315,4.6001,4.4315,4.4971,859608
2017-06-26,4.4971,4.6563,4.4877,4.572,688797
2017-06-27,4.5626,4.6095,4.5181,4.5439,329601
2017-06-28,4.5626,4.6844,4.5158,4.5908,704232
2017-06-29,4.5533,4.7594,4.5533,4.7032,606297
2017-06-30,4.7126,4.7126,4.4783,4.5439,538337
2017-07-03,4.5626,4.7875,4.5158,4.7688,483348
2017-07-05,4.75,4.7688,4.5533,4.6001,428212
2017-07-06,4.5533,4.647,4.5064,4.6001,727468
2017-07-07,4.5908,4.647,4.5439,4.6376,350323
2017-07-10,4.6282,4.7032,4.572,4.6563,734028
2017-07-11,4.6282,4.6563,4.5626,4.647,557237
2017-07-12,4.7032,4.7688,4.6938,4.7313,430253
2017-07-13,4.7594,4.825,4.7313,4.8156,471723
2017-07-14,4.8437,4.8999,4.7781,4.8718,516128
2017-07-17,4.8718,4.9234,4.7781,4.8062,605199
2017-07-18,4.8343,4.8343,4.7781,4.8156,384781
2017-07-19,4.8062,4.8437,4.7688,4.8156,223027
2017-07-20,4.8062,4.839,4.7781,4.7781,296518
2017-07-21,4.8437,4.8437,4.7688,4.8156,542969
2017-07-24,4.8062,4.8343,4.7688,4.7781,404798
2017-07-25,4.7781,4.8906,4.7594,4.8718,370838
2017-07-26,4.8625,4.9468,4.8437,4.9374,317707
2017-07-27,4.9093,5.0358,4.8718,5.003,630349
2017-07-28,4.9843,5.0124,4.8812,4.9561,3267961
2017-07-31,4.9561,4.9561,4.8062,4.8531,3297096
2017-08-01,4.8718,4.8906,4.7969,4.8531,456227
2017-08-02,4.8437,4.8437,4.7688,4.7969,445828
2017-08-03,4.8062,4.839,4.75,4.7781,288344
2017-08-04,4.6751,4.9702,4.6373,4.9468,499217
2017-08-07,4.9093,4.9749,4.8718,4.9749,409594
2017-08-08,4.9374,5.0686,4.9374,4.9843,555764
2017-08-09,4.9748,5.0646,4.937,5.0126,536351
2017-08-10,5.0032,5.0221,4.9275,4.9275,316861
2017-08-11,4.8613,4.8708,4.7383,4.7762,777426
2017-08-14,4.8329,4.8991,4.7667,4.8802,453442
2017-08-15,4.8708,4.8897,4.8046,4.8518,355437
2017-08-16,4.8235,4.8802,4.7573,4.7856,315015
2017-08-17,4.7289,4.8046,4.6532,4.6627,531896
2017-08-18,4.5965,4.6438,4.5776,4.6154,609321
2017-08-21,4.6059,4.6958,4.5681,4.6911,421279
2017-08-22,4.7194,4.7289,4.6343,4.6343,279316
2017-08-23,4.6059,4.6438,4.5965,4.6343,409637
2017-08-24,4.6627,4.8046,4.6532,4.8046,680539
2017-08-25,4.8046,4.9275,4.7856,4.8991,442115
2017-08-28,4.8897,4.9275,4.7573,4.7856,427422
2017-08-29,4.7478,4.7856,4.6816,4.7478,468314
2017-08-30,4.7383,4.7478,4.7005,4.7478,548452
2017-08-31,4.7383,4.7856,4.7194,4.7667,273963
2017-09-01,4.7762,4.8046,4.7289,4.7856,303795
2017-09-05,4.7951,4.8566,4.7242,4.7573,582894
2017-09-06,4.7951,4.8897,4.7573,4.7856,400941
2017-09-07,4.814,4.8518,4.7856,4.814,302666
2017-09-08,4.7951,4.8897,4.7951,4.8424,241701
2017-09-11,4.8708,4.9559,4.866,4.937,219498
2017-09-12,4.918,4.9937,4.9086,4.918,232044
2017-09-13,4.8991,4.9748,4.8897,4.9653,339406
2017-09-14,4.9464,5.067,4.937,5.0599,255934
2017-09-15,5.0883,5.1167,4.8613,4.9275,1319324
2017-09-18,4.918,4.9653,4.8991,4.9275,262394
2017-09-19,4.918,4.918,4.8424,4.8518,324921
2017-09-20,4.8802,4.8991,4.8424,4.8708,292485
2017-09-21,4.8518,4.918,4.8518,4.8897,543527
2017-09-22,4.8802,4.9417,4.8802,4.918,505740
2017-09-25,4.918,5.0599,4.8708,5.0505,859441
2017-09-26,5.041,5.1923,5.041,5.1829,359714
2017-09-27,5.1734,5.2302,5.0694,5.1923,891358
2017-09-28,5.2018,5.2018,5.1072,5.1545,479898
2017-09-29,5.1639,5.4855,5.0883,5.3153,1350199
2017-10-02,5.3153,5.3909,5.2585,5.372,830688
2017-10-03,5.3626,5.4193,5.3247,5.3909,908970
2017-10-04,5.3815,5.4098,5.3342,5.3815,854207
2017-10-05,5.3909,5.4855,5.3815,5.4382,653792
2017-10-06,5.4098,5.4477,5.3436,5.3815,366868
2017-10-09,5.3909,5.4098,5.268,5.2964,517625
2017-10-10,5.3436,5.4193,5.3058,5.3909,731345
2017-10-11,5.4193,5.4761,5.4004,5.4382,238937
2017-10-12,5.4193,5.4477,5.372,5.4382,233860
2017-10-13,5.4855,5.5233,5.4098,5.4761,318502
2017-10-16,5.4666,5.495,5.3909,5.4288,278488
2017-10-17,5.4098,5.4382,5.3247,5.3531,535838
2017-10-18,5.3531,5.4004,5.3342,5.372,318738
2017-10-19,5.3626,5.4098,5.3058,5.3247,517284
2017-10-20,5.3247,5.3247,5.1829,5.2018,330988
2017-10-23,5.2112,5.2964,5.1923,5.2869,495235
2017-10-24,5.2964,5.3247,5.2207,5.2585,932470
2017-10-25,5.5233,5.5233,5.2396,5.2491,772872
2017-10-26,5.3058,5.3058,5.1734,5.2774,430609
2017-10-27,5.2869,5.3153,5.1734,5.1829,421754
2017-10-30,5.2018,5.2018,5.1261,5.1545,325805
2017-10-31,5.1545,5.1829,5.1119,5.145,394212
2017-11-01,5.1639,5.3247,5.145,5.3153,718060
2017-11-02,5.3058,5.4902,5.2491,5.4666,1122436
2017-11-03,5.3909,5.6179,5.3247,5.4382,823837
2017-11-06,5.4855,5.5612,5.4666,5.5423,446612
2017-11-07,5.5423,5.6558,5.5139,5.5517,533987
2017-11-08,5.5423,5.8165,5.4713,5.5139,1620379
2017-11-09,5.4853,5.7142,5.4688,5.5807,825277
2017-11-10,5.5711,5.7047,5.5711,5.657,323295
2017-11-13,5.657,5.6856,5.5854,5.6665,545184
2017-11-14,5.6379,5.7142,5.5345,5.6379,320041
2017-11-15,5.6093,5.7238,5.5711,5.657,342809
2017-11-16,5.657,5.7905,5.6189,5.7428,359934
2017-11-17,5.7047,5.7524,5.6761,5.7238,612347
2017-11-20,5.6665,5.7428,5.6665,5.7238,586720
2017-11-21,5.7619,5.781,5.6856,5.6951,557474
2017-11-22,5.7142,5.7238,5.6665,5.6951,429195
2017-11-24,5.6951,5.8287,5.6665,5.781,330214
2017-11-27,5.9145,5.9622,5.7142,5.7238,666258
2017-11-28,5.7333,5.7524,5.6951,5.7238,601929
2017-11-29,5.7333,5.8573,5.7333,5.781,560324
2017-11-30,5.8096,5.8287,5.6474,5.6951,999129
2017-12-01,5.7238,5.8478,5.6379,5.781,3298883
2017-12-04,5.8287,5.9336,5.8191,5.8573,736841
2017-12-05,5.8382,6.0004,5.8382,5.8668,1800184
2017-12-06,5.8478,5.9145,5.8191,5.8382,730529
2017-12-07,5.8191,5.8287,5.7238,5.7715,500367
2017-12-08,5.781,5.8478,5.7333,5.8001,424634
2017-12-11,5.8287,5.905,5.7905,5.8382,442998
2017-12-12,5.8287,5.8573,5.8001,5.8287,560849
2017-12-13,5.8382,5.905,5.7905,5.8001,703027
2017-12-14,5.8191,5.8478,5.7619,5.7715,573661
2017-12-15,5.7524,5.8382,5.7142,5.7619,4356844
2017-12-18,5.8478,5.8955,5.7524,5.8573,2543254
2017-12-19,5.8859,5.905,5.781,5.8191,647382
2017-12-20,5.8382,5.8478,5.7715,5.7905,494403
2017-12-21,5.8001,5.8287,5.7715,5.7905,285081
2017-12-22,5.8048,5.8191,5.7619,5.7715,517913
2017-12-26,5.7428,5.8382,5.7428,5.781,450386
2017-12-27,5.7905,5.8382,5.7905,5.8001,291847
2017-12-28,5.8191,5.8478,5.8001,5.8287,657401
2017-12-29,5.8382,5.8478,5.8001,5.8001,893294
2018-01-02,5.8001,5.9098,5.7905,5.8764,640383
2018-01-03,5.8955,5.8955,5.781,5.781,249248
2018-01-04,5.7715,5.8096,5.5759,5.657,786664
2018-01-05,5.6474,5.7238,5.6284,5.6856,306112
2018-01-08,5.7047,5.7142,5.6522,5.6951,300688
2018-01-09,5.7142,5.7285,5.4566,5.4566,419717
2018-01-10,5.428,5.428,5.2468,5.2468,1060598
2018-01-11,5.2659,5.3136,5.1228,5.1323,776787
2018-01-12,5.1418,5.1895,5.0751,5.0751,263079
