date,open,high,low,close,volume
2017-01-03,5.68,5.78,5.19,5.38,2250481
2017-01-04,5.39,5.62,5.38,5.62,1269940
2017-01-05,5.62,5.66,5.39,5.48,1076402
2017-01-06,5.5,5.5634,5.3,5.3,917512
2017-01-09,5.3,5.3,5.01,5.02,1070860
2017-01-10,5.14,5.37,5.12,5.35,1480757
2017-01-11,5.41,5.65,5.31,5.63,1572476
2017-01-12,5.7,5.7333,5.46,5.63,895098
2017-01-13,5.57,5.71,5.49,5.57,825894
2017-01-17,5.68,5.68,5.23,5.23,1064399
2017-01-18,5.18,5.24,5.02,5.22,1197633
2017-01-19,5.23,5.35,5.11,5.18,872841
2017-01-20,5.24,5.41,5.16,5.33,767770
2017-01-23,5.32,5.35,5.065,5.2,1152032
2017-01-24,5.26,5.66,5.23,5.57,1467462
2017-01-25,5.57,5.67,5.43,5.53,1383114
2017-01-26,5.5,5.83,5.41,5.81,1882900
2017-01-27,5.72,5.8799,5.68,5.84,1142214
2017-01-30,5.98,6.08,5.65,5.91,2468064
2017-01-31,5.95,5.95,5.53,5.69,2127624
2017-02-01,5.69,5.85,5.37,5.46,1726451
2017-02-02,5.45,5.49,5.22,5.31,1558112
2017-02-03,5.37,5.56,5.3325,5.41,1612430
2017-02-06,5.39,5.47,5.25,5.38,1066733
2017-02-07,5.35,5.82,5.32,5.68,1668159
2017-02-08,5.64,5.71,5.47,5.67,1362258
2017-02-09,5.7,5.771,5.54,5.59,1110911
2017-02-10,5.6,5.78,5.57,5.6,833270
2017-02-13,5.6,5.8701,5.6,5.72,975888
2017-02-14,5.72,5.9,5.67,5.9,1082853
2017-02-15,5.89,5.91,5.65,5.66,1693542
2017-02-16,5.45,6.3,5.35,6.25,4047390
2017-02-17,6.24,6.24,5.8,5.82,2428366
2017-02-21,5.92,5.981,5.77,5.87,1731131
2017-02-22,5.82,5.82,5.58,5.68,1454335
2017-02-23,5.3,5.4,5.04,5.13,22986661
2017-02-24,5.11,5.2,5.04,5.11,3152778
2017-02-27,5.19,5.19,5.03,5.08,3489638
2017-02-28,5.08,5.13,4.865,4.99,1792947
2017-03-01,5.06,5.19,4.98,5.02,1525962
2017-03-02,5.04,5.09,4.78,4.81,1554257
2017-03-03,4.83,4.83,4.57,4.57,2186694
2017-03-06,4.53,4.56,4.4189,4.45,1710602
2017-03-07,4.43,4.49,4.25,4.41,2244643
2017-03-08,4.39,4.39,3.96,4.01,3159100
2017-03-09,4.02,4.17,3.87,3.9,2552680
2017-03-10,3.92,3.99,3.84,3.9,1070974
2017-03-13,3.89,4.02,3.89,3.92,905310
2017-03-14,3.9,3.9,3.68,3.8,1495270
2017-03-15,3.85,4.06,3.79,4.03,1340513
2017-03-16,4.07,4.15,3.92,3.95,1561321
2017-03-17,3.99,4.05,3.88,3.94,2388898
2017-03-20,3.9,4.21,3.83,4.2,1507520
2017-03-21,4.21,4.2192,3.97,3.98,1370800
2017-03-22,3.99,4.09,3.94,4.07,1145981
2017-03-23,4.17,4.29,4.08,4.22,2150939
2017-03-24,4.24,4.29,4.18,4.21,1435468
2017-03-27,4.14,4.34,4.08,4.3,1145082
2017-03-28,4.38,4.57,4.345,4.51,2021226
2017-03-29,4.67,4.68,4.48,4.62,1429907
2017-03-30,4.69,4.76,4.57,4.57,1372368
2017-03-31,4.55,4.62,4.44,4.58,1326247
2017-04-03,4.57,4.62,4.4,4.52,1070377
2017-04-04,4.52,4.7,4.51,4.62,1143173
2017-04-05,4.69,4.78,4.55,4.68,1056545
2017-04-06,4.73,4.83,4.67,4.78,963843
2017-04-07,4.78,4.82,4.71,4.77,798351
2017-04-10,4.81,4.9,4.7814,4.86,833120
2017-04-11,4.89,4.94,4.78,4.79,936450
2017-04-12,4.74,4.81,4.47,4.48,968092
2017-04-13,4.5,4.58,4.31,4.34,930041
2017-04-17,4.36,4.48,4.17,4.2,1359306
2017-04-18,4.15,4.19,4.07,4.07,859329
2017-04-19,4.11,4.14,3.94,3.96,1000593
2017-04-20,3.98,4.08,3.97,4.05,993088
2017-04-21,4.03,4.07,3.86,3.89,1304147
2017-04-24,3.94,4.02,3.91,3.93,1588173
2017-04-25,3.94,3.99,3.88,3.92,1234692
2017-04-26,3.88,4.06,3.64,3.66,2446396
2017-04-27,3.57,3.66,3.37,3.53,3877833
2017-04-28,3.1,3.5,3.1,3.37,3000685
2017-05-01,3.43,3.68,3.325,3.52,1959336
2017-05-02,3.51,3.65,3.44,3.61,1721440
2017-05-03,3.59,3.6,3.42,3.55,1441902
2017-05-04,3.49,3.53,3.41,3.43,1396742
2017-05-05,3.43,3.62,3.4,3.55,1498964
2017-05-08,3.54,3.65,3.4,3.43,1578357
2017-05-09,3.44,3.445,3.33,3.39,1371754
2017-05-10,3.4,3.6,3.4,3.56,682425
2017-05-11,3.61,3.6199,3.43,3.55,758891
2017-05-12,3.52,3.57,3.44,3.44,803070
2017-05-15,3.54,3.595,3.44,3.45,913704
2017-05-16,3.45,3.51,3.42,3.45,521819
2017-05-17,3.42,3.48,3.37,3.45,618666
2017-05-18,3.38,3.44,3.31,3.38,1221554
2017-05-19,3.43,3.52,3.43,3.49,622911
2017-05-22,3.45,3.6,3.45,3.53,671759
2017-05-23,3.54,3.58,3.46,3.53,894488
2017-05-24,3.51,3.65,3.5,3.58,728733
2017-05-25,3.57,3.645,3.47,3.5,995656
2017-05-26,3.51,3.54,3.46,3.47,1081214
2017-05-30,3.43,3.4558,3.37,3.41,955822
2017-05-31,3.36,3.39,3.22,3.39,1011585
2017-06-01,3.4,3.4,3.235,3.35,1846527
2017-06-02,3.36,3.41,3.17,3.19,1144017
2017-06-05,3.2,3.29,3.14,3.22,764298
2017-06-06,3.23,3.29,3.12,3.25,701722
2017-06-07,3.22,3.27,3.07,3.27,1233794
2017-06-08,3.2,3.54,3.2,3.53,1057036
2017-06-09,3.6,3.6,3.33,3.4,1021830
2017-06-12,3.44,3.54,3.36,3.37,663284
2017-06-13,3.37,3.55,3.37,3.48,584619
2017-06-14,3.46,3.5,3.24,3.3,849793
2017-06-15,3.26,3.32,3.09,3.14,787582
2017-06-16,3.16,3.21,3.02,3.13,778970
2017-06-19,3.14,3.19,3.065,3.17,877141
2017-06-20,3.09,3.13,2.905,3.01,1130544
2017-06-21,3.0,3.22,2.96,3.17,1360989
2017-06-22,3.19,3.245,3.01,3.01,895211
2017-06-23,3.03,3.3,3.0,3.28,8092994
2017-06-26,3.27,3.6,3.17,3.53,1752988
2017-06-27,3.57,3.75,3.49,3.52,1248118
2017-06-28,3.56,3.71,3.55,3.64,1463069
2017-06-29,3.66,3.78,3.575,3.63,1157099
2017-06-30,3.66,3.66,3.5,3.53,929278
2017-07-03,3.54,3.65,3.54,3.59,356209
2017-07-05,3.58,3.74,3.44,3.71,1181678
2017-07-06,3.68,3.72,3.43,3.54,1133994
2017-07-07,3.51,3.54,3.41,3.53,738829
2017-07-10,3.54,3.89,3.52,3.86,1516077
2017-07-11,3.83,3.91,3.64,3.85,1364155
2017-07-12,3.88,3.95,3.72,3.77,1067387
2017-07-13,3.76,3.79,3.65,3.7,1069882
2017-07-14,3.7,3.83,3.66,3.72,641562
2017-07-17,3.73,3.83,3.69,3.7,418887
2017-07-18,3.69,3.71,3.555,3.59,736624
2017-07-19,3.65,3.65,3.505,3.54,931675
2017-07-20,3.55,3.64,3.5,3.64,813472
2017-07-21,3.65,3.65,3.5,3.52,683982
2017-07-24,3.53,3.56,3.51,3.51,717253
2017-07-25,3.54,3.64,3.54,3.6,1110538
2017-07-26,3.62,3.65,3.53,3.62,916238
2017-07-27,3.62,3.64,3.41,3.46,1546825
2017-07-28,3.5,3.52,3.05,3.35,1517798
2017-07-31,3.3,3.56,3.25,3.46,1108194
2017-08-01,3.45,3.5,3.36,3.36,811129
2017-08-02,3.34,3.43,3.29,3.38,791353
2017-08-03,3.38,3.39,3.15,3.16,818398
