date,open,high,low,close,volume
2017-01-03,21.0141,21.3077,20.6826,21.0046,1281710
2017-01-04,21.0614,21.6723,21.0046,21.6296,1101224
2017-01-05,21.6202,22.0274,21.5065,21.7243,1352781
2017-01-06,21.6296,21.98,21.2319,21.4024,2786349
2017-01-09,20.5027,20.9194,19.6788,19.7072,5583047
2017-01-10,19.7451,20.247,19.3189,20.1618,4944204
2017-01-11,19.4799,20.176,19.4799,19.8209,2536724
2017-01-12,19.5637,19.7256,19.0779,19.3256,1978420
2017-01-13,19.3256,19.5923,19.2446,19.4113,1636485
2017-01-17,19.4589,19.5684,18.9636,19.1255,2114416
2017-01-18,19.1827,20.0685,19.0589,19.878,2706766
2017-01-19,19.5542,19.7066,18.9541,19.0779,1788564
2017-01-20,19.1827,19.4399,19.1255,19.2779,2565646
2017-01-23,19.8399,19.8399,19.1017,19.2113,1618934
2017-01-24,19.7161,19.8066,19.2398,19.6494,2428816
2017-01-25,19.6208,20.3542,19.4303,20.3447,3982254
2017-01-26,20.2685,20.6781,20.1304,20.3447,2719858
2017-01-27,20.3923,20.4781,19.9732,20.1447,1534278
2017-01-30,19.9161,19.9161,19.216,19.697,1498037
2017-01-31,19.7066,20.0018,19.1065,19.4589,1743202
2017-02-01,19.5827,19.9256,19.0779,19.3541,1558444
2017-02-02,19.4399,19.8399,19.3256,19.8304,3098938
2017-02-03,19.8494,20.1733,19.5351,20.1542,2891901
2017-02-06,20.0399,20.259,20.0304,20.2495,2481013
2017-02-07,20.3161,20.4495,19.8447,20.0018,2351287
2017-02-08,19.9161,20.0209,19.7161,19.9923,2018995
2017-02-09,20.0685,21.3353,20.0685,21.2495,3326373
2017-02-10,21.4686,21.5734,21.0305,21.0591,2268053
2017-02-13,21.4305,21.8306,21.2353,21.2972,2306650
2017-02-14,21.1924,21.1924,20.7733,21.1448,1561610
2017-02-15,21.1067,22.1163,21.0876,22.0401,4377959
2017-02-16,22.021,22.1734,21.6972,21.9353,2008078
2017-02-17,21.621,21.8877,21.3543,21.5448,1436327
2017-02-21,21.602,21.7448,21.521,21.5924,984448
2017-02-22,21.2781,21.3162,20.8019,20.8781,3650639
2017-02-23,21.0305,21.0686,19.478,19.5827,4737012
2017-02-24,19.1827,19.6304,19.1065,19.4684,1752763
2017-02-27,19.4589,20.4781,19.4313,20.1828,2744623
2017-02-28,20.1828,20.4495,19.8494,20.1256,2116049
2017-03-01,20.7352,21.2543,20.6304,20.64,3400243
2017-03-02,20.2495,20.3161,19.116,19.1636,3053498
2017-03-03,19.2875,19.3922,18.9636,19.1351,2677330
2017-03-06,18.8398,19.097,18.6779,19.0398,1586075
2017-03-07,18.9541,19.1351,18.1921,18.2683,2069425
2017-03-08,18.2969,18.3826,17.9445,17.9921,2519130
2017-03-09,17.9064,18.0921,17.4492,17.5159,2057521
2017-03-10,17.7159,17.8778,17.3921,17.7064,1775212
2017-03-13,17.9731,18.1874,17.773,18.1255,2397831
2017-03-14,17.9064,18.135,17.7159,18.0016,1469803
2017-03-15,18.2493,18.7255,18.0493,18.6303,1701684
2017-03-16,18.9732,19.1065,18.5064,18.535,1559617
2017-03-17,18.6779,18.8255,18.1159,18.154,4246533
2017-03-20,18.154,18.154,17.8348,17.8969,2515711
2017-03-21,17.9826,18.0016,17.2016,17.2873,3837933
2017-03-22,17.2873,17.5921,17.2016,17.4302,4658963
2017-03-23,18.7922,19.4399,17.954,18.0016,5474996
2017-03-24,17.8302,18.0016,17.1682,17.2397,3115513
2017-03-27,16.8587,17.0777,16.5777,17.0396,2852733
2017-03-28,17.4492,18.1159,17.373,18.0397,4280726
