date,open,high,low,close,volume
2017-01-03,15.75,16.0,15.5,15.82,4245821
2017-01-04,15.88,16.12,15.57,16.07,4034775
2017-01-05,16.08,16.32,15.905,16.05,3774104
2017-01-06,16.09,16.275,15.82,15.97,3016979
2017-01-09,15.85,15.85,15.38,15.42,4508067
2017-01-10,15.43,15.505,15.14,15.26,3999787
2017-01-11,15.34,15.54,14.94,15.47,3920597
2017-01-12,15.7,15.78,15.26,15.5,2856715
2017-01-13,15.43,15.5,15.12,15.21,4020714
2017-01-17,15.54,15.67,15.23,15.33,3768028
2017-01-18,15.16,15.41,14.99,15.17,2685058
2017-01-19,15.15,15.32,14.95,15.14,3037282
2017-01-20,15.36,15.4486,15.08,15.18,3242545
2017-01-23,15.05,15.16,14.95,15.03,3190891
2017-01-24,15.09,15.37,15.02,15.05,3876069
2017-01-25,15.05,15.44,15.03,15.23,4208654
2017-01-26,15.25,15.64,15.2,15.61,5461718
2017-01-27,15.51,15.81,15.44,15.62,4475083
2017-01-30,15.55,15.56,14.93,15.24,6663683
2017-01-31,15.32,15.395,15.0509,15.28,9075441
2017-02-01,15.46,15.54,14.86,14.99,4093062
2017-02-02,15.05,15.1,14.6,14.78,4211310
2017-02-03,14.86,14.87,14.61,14.81,5745554
2017-02-06,14.96,14.97,14.23,14.32,4845205
2017-02-07,14.16,14.255,13.7,13.91,5962765
2017-02-08,13.72,14.02,13.33,13.74,6403576
2017-02-09,13.92,14.2,13.85,14.08,5573157
2017-02-10,14.34,14.4378,14.165,14.22,3528617
2017-02-13,14.1,14.69,14.02,14.67,6169182
2017-02-14,14.72,14.92,14.44,14.85,4786667
2017-02-15,14.73,15.02,14.68,14.92,4480030
2017-02-16,14.92,14.92,14.42,14.5,4835864
2017-02-17,14.41,14.6,14.06,14.28,4516670
2017-02-21,14.5,14.64,14.37,14.4,3684420
2017-02-22,14.2,14.33,13.81,13.83,3569533
2017-02-23,14.12,14.14,13.55,13.74,3624373
2017-02-24,13.56,13.72,13.17,13.25,5195768
2017-02-27,13.29,13.51,13.18,13.36,5983279
2017-02-28,12.56,12.98,11.94,12.62,12559693
2017-03-01,12.81,13.31,12.63,13.31,7841569
2017-03-02,13.13,13.2,12.56,12.57,4587607
2017-03-03,12.6,12.695,12.34,12.36,2490241
2017-03-06,12.32,12.42,12.18,12.4,4533556
2017-03-07,12.4,12.525,12.16,12.17,4192136
2017-03-08,12.05,12.21,11.355,11.44,7763535
2017-03-09,11.5,11.54,11.05,11.44,7459469
2017-03-10,11.58,11.61,11.28,11.53,5004076
2017-03-13,11.48,11.8,11.37,11.6,3034884
