date,open,high,low,close,volume
2017-01-03,6.0,6.175,5.9,6.1,2248100
2017-01-04,6.2,6.3,6.15,6.3,727818
2017-01-05,6.3,6.35,6.15,6.3,369525
2017-01-06,6.35,6.375,6.25,6.3,200336
2017-01-09,6.3,6.3,6.15,6.2,359321
2017-01-10,6.3,6.65,6.3,6.65,513928
2017-01-11,6.65,6.7,6.5,6.65,741494
2017-01-12,6.7,6.95,6.6,6.6,751082
2017-01-13,6.65,7.0,6.65,6.85,939540
2017-01-17,6.9,7.1,6.85,7.0,642954
2017-01-18,6.95,7.0,6.85,6.9,413252
2017-01-19,6.85,7.05,6.6,7.0,716224
2017-01-20,6.95,7.1,6.75,7.0,466463
2017-01-23,7.0,7.075,6.85,6.9,468868
2017-01-24,7.05,7.3,6.925,7.3,1046825
2017-01-25,7.3,7.75,7.25,7.7,1322225
2017-01-26,7.7,7.8,7.45,7.65,853624
2017-01-27,7.65,7.8766,7.5,7.75,1299702
2017-01-30,7.7,7.8,7.325,7.55,785049
2017-01-31,7.65,7.65,7.255,7.5,555600
2017-02-01,7.5,7.95,7.5,7.85,742843
2017-02-02,7.9,7.95,7.45,7.5,1376924
2017-02-03,7.55,7.7,7.4,7.5,1009696
2017-02-06,7.5,7.6,7.35,7.4,668128
2017-02-07,7.4,7.55,7.35,7.45,645234
2017-02-08,7.5,7.55,7.35,7.45,769743
2017-02-09,7.5,7.75,7.5,7.55,904303
2017-02-10,7.65,7.8,7.5,7.55,942315
2017-02-13,7.7,8.65,7.55,8.2,3526245
2017-02-14,7.95,8.4,7.65,8.25,2111486
2017-02-15,8.2,8.3098,8.0,8.15,704479
2017-02-16,8.1,8.3,7.9,7.95,630663
2017-02-17,7.9,8.3,7.8,8.2,606657
2017-02-21,8.3,8.75,8.255,8.7,1534339
2017-02-22,8.75,8.85,8.45,8.55,1072185
2017-02-23,8.5,8.75,8.0,8.3,1350463
2017-02-24,8.05,8.2,7.9,8.1,603985
2017-02-27,8.05,8.5,8.05,8.35,1969311
2017-02-28,8.3,8.35,8.1,8.15,692787
2017-03-01,8.3,8.475,8.2,8.3,786621
2017-03-02,8.25,8.4,8.1,8.1,893112
2017-03-03,8.1,8.25,8.05,8.2,1175763
2017-03-06,8.05,8.0903,7.3,7.55,1241514
2017-03-07,7.55,7.7,7.3,7.6,899325
2017-03-08,7.65,7.8,7.3,7.5,921411
2017-03-09,6.55,7.2,6.35,6.85,4171677
2017-03-10,6.85,6.85,5.85,6.15,3116255
2017-03-13,6.1,6.35,5.75,6.3,2994831
2017-03-14,6.15,6.2,5.95,5.95,1369911
2017-03-15,6.05,6.1,5.6,5.95,2851814
2017-03-16,6.0,6.125,5.75,6.05,1358842
2017-03-17,6.0,6.15,6.0,6.1,1933905
2017-03-20,6.1,6.15,5.75,5.8,923040
2017-03-21,5.8,5.85,5.5,5.7,1355325
2017-03-22,5.75,5.775,5.35,5.55,1731980
2017-03-23,5.6,6.725,5.55,6.6,2431845
2017-03-24,6.6,6.75,6.15,6.2,1113568
2017-03-27,6.05,6.65,5.9,6.5,1470723
2017-03-28,6.5,6.9,6.35,6.85,1073983
2017-03-29,6.85,6.95,6.5,6.5,688945
2017-03-30,6.5,6.7,6.4,6.6,555547
2017-03-31,6.55,6.7,6.45,6.5,485435
2017-04-03,6.55,6.65,6.25,6.3,519639
2017-04-04,6.25,6.35,6.0,6.25,765931
2017-04-05,6.35,6.55,5.95,5.95,1098426
2017-04-06,5.95,6.075,5.9,5.95,561699
2017-04-07,5.95,6.05,5.95,6.0,325988
2017-04-10,6.0,6.05,5.8,6.0,926478
2017-04-11,5.95,6.0,5.8,6.0,728129
2017-04-12,5.9,5.9,5.6,5.6,1062838
2017-04-13,5.6,5.8,5.5,5.55,1916939
2017-04-17,5.6,5.65,5.375,5.45,1600397
2017-04-18,5.4,5.55,5.35,5.5,459574
2017-04-19,5.5,5.55,5.35,5.5,768364
2017-04-20,5.55,5.9,5.5,5.7,547059
2017-04-21,5.75,5.775,5.5,5.55,1019980
2017-04-24,5.75,5.8,5.5,5.6,987151
2017-04-25,5.7,6.2,5.65,6.1,1345276
2017-04-26,6.05,6.35,5.95,6.25,1065145
2017-04-27,6.85,7.25,6.175,6.55,2044267
2017-04-28,6.6,7.0,6.55,6.95,1687667
2017-05-01,6.95,7.25,6.8,7.15,2040312
2017-05-02,7.2,7.2,6.95,7.1,1779691
2017-05-03,7.0,7.2,6.8,7.05,1244542
2017-05-04,7.1,7.1,6.7,6.75,1503308
2017-05-05,6.75,6.9,6.45,6.65,845703
2017-05-08,6.6,6.8,6.45,6.55,419511
2017-05-09,6.55,6.75,6.5,6.6,725359
2017-05-10,6.6,6.7,6.45,6.5,618326
2017-05-11,6.55,6.65,6.4,6.4,568618
2017-05-12,6.45,6.5,6.35,6.35,519587
2017-05-15,6.45,6.55,6.4,6.5,655051
2017-05-16,6.55,6.55,6.35,6.45,396626
2017-05-17,6.4,6.4,6.125,6.2,515861
2017-05-18,6.25,6.35,6.05,6.1,566826
2017-05-19,6.1,6.45,6.1,6.3,365743
2017-05-22,6.3,6.75,6.2,6.4,736605
2017-05-23,6.35,6.55,6.35,6.5,383012
2017-05-24,6.5,7.0,6.4,6.6,647129
2017-05-25,6.7,6.85,6.4,6.4,663451
2017-05-26,6.4,6.9,6.3,6.65,627924
2017-05-30,6.6,7.0,6.6,6.85,1112210
2017-05-31,6.8,7.0,6.6,6.75,587045
2017-06-01,6.7,7.0,6.7,6.85,514515
2017-06-02,6.9,7.275,6.75,7.05,1172150
2017-06-05,7.0,7.15,6.95,7.1,477232
2017-06-06,7.05,7.35,6.95,7.05,895067
2017-06-07,7.05,7.15,7.0,7.05,566885
2017-06-08,7.05,7.25,6.9,7.15,836618
2017-06-09,7.2,7.25,7.025,7.15,540006
2017-06-12,7.1,7.4,7.1,7.35,970726
2017-06-13,7.45,7.6,7.25,7.3,888200
2017-06-14,7.35,7.35,6.9154,7.0,393080
2017-06-15,6.9,6.95,6.75,6.8,317832
2017-06-16,6.8,6.9,6.6,6.65,363907
2017-06-19,6.7,6.85,6.6,6.65,365223
2017-06-20,6.65,6.85,6.6,6.65,235233
2017-06-21,6.6,6.9,6.6,6.8,449766
2017-06-22,6.85,6.95,6.7,6.9,410979
2017-06-23,6.9,6.975,6.8,6.85,508639
2017-06-26,6.9,7.0,6.7,6.75,513672
2017-06-27,6.7,7.05,6.7,6.9,410199
2017-06-28,6.9,7.0,6.75,6.85,435366
2017-06-29,6.85,6.975,6.775,6.95,316641
2017-06-30,6.95,7.05,6.6,6.9,1045263
2017-07-03,6.85,6.9,6.7,6.85,448038
2017-07-05,6.8,7.05,6.75,7.0,464589
2017-07-06,7.0,7.1,6.875,6.95,441303
2017-07-07,6.95,7.5,6.7,7.3,1559152
2017-07-10,7.25,7.4,7.15,7.4,1168127
2017-07-11,7.4,7.95,7.3,7.85,4265376
2017-07-12,7.95,8.1,7.65,8.1,1692351
2017-07-13,8.15,8.5,8.05,8.45,2235823
2017-07-14,8.5,8.6,8.25,8.25,1905623
2017-07-17,8.4,8.75,8.1,8.25,1642529
2017-07-18,8.25,8.35,8.0,8.25,870028
2017-07-19,8.2,8.35,8.05,8.1,589317
2017-07-20,8.1,8.15,7.85,8.05,827911
2017-07-21,8.0,8.15,7.875,8.0,634596
2017-07-24,8.05,8.1,7.875,7.95,445981
2017-07-25,8.05,8.25,7.95,8.0,848887
2017-07-26,8.1,8.7,8.05,8.2,2459773
2017-07-27,8.9,8.9,7.9,8.55,3803722
2017-07-28,8.45,8.8,7.9169,8.2,4439808
2017-07-31,8.2,8.9,8.2,8.8,3692070
2017-08-01,8.85,8.95,8.25,8.35,2319751
2017-08-02,8.35,8.6,8.0,8.3,1912201
2017-08-03,8.25,9.2,8.05,8.65,8214892
2017-08-04,8.95,10.275,8.95,10.05,8213493
2017-08-07,10.05,10.2,9.675,10.0,2713629
2017-08-08,10.0,10.95,10.0,10.35,3031710
2017-08-09,10.3,10.45,10.055,10.35,1787540
2017-08-10,10.3,10.35,9.75,9.95,1912821
2017-08-11,9.9,10.075,9.505,9.65,2664006
2017-08-14,9.7,9.95,9.65,9.75,667656
2017-08-15,9.85,10.15,9.75,9.8,1818676
2017-08-16,9.9,10.4,9.9,10.2,843158
2017-08-17,10.2,10.4,10.018,10.15,836704
2017-08-18,10.1,10.35,9.85,10.1,551514
2017-08-21,10.15,10.45,10.05,10.15,538917
2017-08-22,10.15,10.3,10.0,10.15,634326
2017-08-23,10.1,10.525,10.05,10.45,629213
2017-08-24,10.45,10.65,10.25,10.3,996914
2017-08-25,10.4,10.5,10.25,10.3,543777
2017-08-28,10.3,10.4,10.05,10.25,326797
2017-08-29,10.2,10.55,10.1,10.4,524346
2017-08-30,10.4,10.65,10.35,10.45,1219628
2017-08-31,10.55,11.45,10.5,11.3,2085626
2017-09-01,11.45,11.7,11.3,11.55,1355982
2017-09-05,11.5,11.55,10.85,11.15,1107270
2017-09-06,11.2,11.45,11.1,11.45,996261
2017-09-07,11.35,11.4,11.1,11.25,540387
2017-09-08,11.15,11.15,10.65,10.85,812638
2017-09-11,11.0,11.0,10.65,10.75,680367
2017-09-12,10.8,10.875,10.2,10.6,1169440
2017-09-13,10.6,10.6514,10.2,10.3,869033
2017-09-14,10.25,10.35,9.5,9.85,2257980
2017-09-15,9.9,9.95,9.5,9.7,1411105
2017-09-18,9.7,9.845,9.55,9.6,630968
2017-09-19,9.7,10.225,9.6,10.0,1001023
2017-09-20,10.15,10.3,9.95,10.25,1023672
2017-09-21,10.2,10.65,10.1,10.35,1074913
2017-09-22,10.25,10.425,10.15,10.3,290205
2017-09-25,10.3,10.375,10.15,10.3,484566
2017-09-26,10.35,10.4,9.8,9.9,681002
2017-09-27,10.0,10.175,9.8537,10.05,418316
2017-09-28,9.95,10.425,9.9,10.2,675960
2017-09-29,10.3,10.35,10.2,10.25,405776
2017-10-02,10.3,10.475,10.25,10.3,794479
2017-10-03,10.4,10.7,10.3,10.55,824285
2017-10-04,10.6,11.0,10.55,10.9,1114184
2017-10-05,10.9,11.2,10.775,11.15,1323385
2017-10-06,11.1,11.45,10.95,11.35,810262
2017-10-09,11.35,11.35,11.05,11.2,666850
2017-10-10,11.25,11.25,10.5,10.6,1095185
2017-10-11,10.6,10.85,10.275,10.85,653563
2017-10-12,10.9,11.05,10.75,10.95,731259
2017-10-13,11.1,11.35,10.9,11.05,624694
2017-10-16,11.15,11.1605,10.75,11.0,564662
2017-10-17,11.05,11.35,10.975,11.2,545950
2017-10-18,11.15,11.3,10.8,10.9,1102093
2017-10-19,10.85,10.85,10.4,10.75,466481
2017-10-20,10.8,10.9,10.7,10.85,356823
2017-10-23,10.95,10.95,10.6,10.75,387296
2017-10-24,10.85,10.915,10.7,10.75,449863
2017-10-25,10.7,10.7,10.305,10.4,975875
2017-10-26,11.5,12.45,11.3,11.5,4773902
2017-10-27,11.6,12.2,11.25,12.15,2321613
2017-10-30,12.15,12.45,11.95,12.1,1049209
2017-10-31,11.3,11.5825,10.9,11.2,4378598
2017-11-01,11.45,11.75,11.05,11.1,13784742
2017-11-02,11.05,11.6,11.0,11.55,3515613
2017-11-03,11.55,11.6,11.3,11.55,1989360
2017-11-06,11.5,11.65,11.35,11.5,1008538
2017-11-07,11.5,11.6,11.075,11.15,2268151
2017-11-08,11.1,11.15,10.475,10.9,2288767
2017-11-09,10.75,10.75,9.9,10.15,3881536
2017-11-10,10.15,10.35,9.9,10.25,1752806
2017-11-13,10.2,10.35,10.05,10.05,1131717
2017-11-14,9.9,10.15,9.25,9.55,3168696
2017-11-15,9.45,9.55,9.075,9.15,3578034
2017-11-16,9.8,10.0,9.6,9.75,2391260
2017-11-17,9.7,10.15,9.675,10.1,1195954
2017-11-20,10.05,10.15,9.85,9.9,930699
2017-11-21,9.85,10.05,9.8,9.95,915054
2017-11-22,10.0,10.275,10.0,10.2,757661
2017-11-24,10.45,10.45,10.1,10.2,356570
2017-11-27,10.5,10.65,10.15,10.25,1687642
2017-11-28,10.2,10.6,10.15,10.35,1157466
2017-11-29,10.35,10.55,10.2,10.3,1067539
2017-11-30,10.45,10.625,10.3,10.6,931386
2017-12-01,10.6,10.95,10.45,10.65,1530321
2017-12-04,10.7,10.8,10.325,10.5,1140811
2017-12-05,10.4,10.65,10.35,10.45,689994
2017-12-06,10.4,10.5,10.025,10.15,686142
2017-12-07,10.2,10.4,10.1,10.1,491880
2017-12-08,10.2,10.2,9.85,10.0,761771
2017-12-11,10.0,10.25,10.0,10.2,802510
2017-12-12,10.25,10.3,10.05,10.1,735649
2017-12-13,10.0,10.2,9.85,9.95,1894847
2017-12-14,10.025,10.15,9.8,9.8,802714
2017-12-15,9.85,10.1,9.85,9.9,1344461
2017-12-18,10.05,10.1,9.95,9.95,918323
2017-12-19,10.0,10.35,9.9,10.35,2026662
2017-12-20,10.5,11.0,10.3,10.95,2463095
2017-12-21,10.9,10.95,10.45,10.9,1871063
2017-12-22,10.75,11.1,10.7,10.8,847733
2017-12-26,10.8,10.9,10.5,10.9,632999
2017-12-27,10.8,10.995,10.65,10.95,655667
2017-12-28,10.95,11.45,10.95,11.4,672363
2017-12-29,11.3,11.35,11.0,11.15,547271
2018-01-02,11.3,11.6,11.2,11.45,903702
2018-01-03,11.6,11.95,11.35,11.65,896573
2018-01-04,11.7,12.1,11.65,11.95,1177735
2018-01-05,11.9,12.0,11.6,11.8,592323
2018-01-08,11.75,11.95,11.65,11.85,441935
2018-01-09,11.8,11.9,11.5,11.75,641155
2018-01-10,11.85,12.1,11.7,11.75,2426864
2018-01-11,11.9,12.45,11.75,12.4,1344324
2018-01-12,12.35,12.45,12.25,12.35,1164531
2018-01-16,12.35,12.85,12.05,12.15,1816228
2018-01-17,12.1,12.55,12.1,12.45,1357479
2018-01-18,12.55,13.3,12.55,13.25,2865273
2018-01-19,13.15,13.5,12.6,13.05,2098447
2018-01-22,13.0,13.15,12.7,13.0,1314617
2018-01-23,12.8,13.3,12.65,13.05,1760920
2018-01-24,13.25,13.7,12.9,13.35,2820242
2018-01-25,13.3,13.5,12.95,13.15,1896448
2018-01-26,13.25,13.425,12.7,13.05,1310204
2018-01-29,12.9,13.15,12.75,12.9,1000294
2018-01-30,12.75,13.05,12.25,12.75,1156137
2018-01-31,12.85,12.95,12.55,12.85,977061
2018-02-01,12.9,14.1,12.9,13.95,4169111
2018-02-02,13.75,13.895,12.9,13.1,2617117
2018-02-05,12.7,13.3,12.65,12.7,1397076
2018-02-06,12.55,13.2,12.4,12.95,1691086
2018-02-07,12.95,13.5,12.85,12.95,1162056
2018-02-08,13.0,13.15,12.075,12.25,1436308
2018-02-09,12.55,12.6,11.4,12.0,2094463
2018-02-12,12.1,12.55,11.85,12.35,1358332
2018-02-13,12.25,12.45,12.05,12.15,689241
2018-02-14,11.95,12.9,11.9357,12.65,1127748
2018-02-15,12.8,12.85,12.25,12.7,2086313
2018-02-16,12.75,13.1,12.45,12.8,1293940
2018-02-20,12.55,12.9,12.45,12.65,939966
2018-02-21,12.75,12.75,12.1,12.2,2184978
2018-02-22,13.4,13.75,12.45,12.9,3048266
2018-02-23,13.1,13.4,12.975,13.05,2067492
2018-02-26,13.1,13.175,12.4,12.5,2458774
2018-02-27,12.4,12.65,11.95,12.0,2366382
2018-02-28,12.0,12.275,11.6,11.6,2230686
2018-03-01,11.75,12.1,11.575,11.65,1447001
2018-03-02,11.55,12.1,11.35,11.75,1762614
2018-03-05,11.7,12.025,11.6,11.85,1450849
2018-03-06,12.0,12.3,11.9,12.2,680707
2018-03-07,12.0,12.35,11.85,12.15,1026477
2018-03-08,12.1,12.2,11.775,12.1,797888
2018-03-09,12.15,12.3,11.969,12.15,892874
2018-03-12,12.2,12.35,11.75,11.9,924735
2018-03-13,11.9,12.2,11.8,11.85,677305
2018-03-14,12.0,12.0,11.45,11.55,1199015
2018-03-15,11.6,11.65,11.4,11.6,725207
2018-03-16,11.65,11.9,11.55,11.9,884864
2018-03-19,11.8,11.95,11.55,11.8,935730
2018-03-20,11.95,12.15,11.75,11.8,626414
2018-03-21,11.8,12.275,11.799,12.0,523683
2018-03-22,11.9,11.95,11.3,11.4,1755447
2018-03-23,11.45,11.7,10.6,10.65,2004315
2018-03-26,10.9,10.95,10.65,10.85,1112838
2018-03-27,10.95,11.0,10.6,10.65,1052341
2018-03-28,10.6,10.75,10.2,10.3,1262372
2018-03-29,10.35,10.9,10.35,10.85,1228267
2018-04-02,10.75,10.95,10.3,10.45,652748
2018-04-03,10.45,10.8,10.4,10.5,808642
2018-04-04,10.25,10.55,10.0,10.55,1271102
2018-04-05,10.55,11.2,10.55,11.1,905992
2018-04-06,11.0,11.15,10.85,11.05,956883
2018-04-09,11.15,11.35,10.955,11.3,951235
2018-04-10,11.5,11.65,11.375,11.6,1169320
2018-04-11,11.55,11.7,11.45,11.6,804703
2018-04-12,11.75,11.8,11.5,11.75,1034349
2018-04-13,11.9,11.9,11.65,11.8,660095
2018-04-16,11.85,11.95,11.7,11.75,512226
2018-04-17,11.8,11.9,11.55,11.8,606772
2018-04-18,11.9,12.15,11.65,11.7,1514031
2018-04-19,11.85,11.85,11.45,11.55,1042499
2018-04-20,11.45,11.55,11.15,11.2,1412220
2018-04-23,11.15,11.45,10.975,11.1,827797
2018-04-24,11.2,11.3,10.6,10.85,1046563
2018-04-25,10.75,11.2,10.6,11.1,1318083
2018-04-26,11.35,12.2,11.35,11.7,2700330
2018-04-27,12.15,12.3,11.25,11.65,1761690
2018-04-30,11.45,11.75,11.25,11.35,1356729
2018-05-01,11.3,11.3,10.9,11.15,864124
2018-05-02,11.25,11.35,11.1,11.1,654552
2018-05-03,11.05,11.3,10.9,11.15,504275
2018-05-04,11.0,11.4,10.95,11.35,1052444
2018-05-07,11.35,11.7,11.3,11.55,636315
2018-05-08,11.5,11.6,11.25,11.35,951758
2018-05-09,11.45,11.55,11.225,11.35,515654
2018-05-10,11.35,11.85,11.35,11.4,781035
2018-05-11,11.4,11.525,11.35,11.4,474007
2018-05-14,11.45,11.5,11.35,11.35,278829
2018-05-15,11.3,11.95,11.205,11.75,1598420
2018-05-16,11.9,12.2,11.7,12.1,1397804
2018-05-17,12.15,12.4,12.05,12.35,1384448
2018-05-18,12.3,12.475,12.2,12.45,692528
2018-05-21,12.5,12.6,12.325,12.6,591165
2018-05-22,12.6,12.8,12.35,12.35,648739
2018-05-23,12.25,12.5,12.1,12.25,484672
2018-05-24,12.2,12.4,12.0,12.05,363651
2018-05-25,11.95,12.1,11.75,12.1,448529
2018-05-29,11.95,12.1,11.825,11.95,765501
2018-05-30,12.05,12.2,11.95,12.1,651412
2018-05-31,12.1,12.4,11.85,12.15,4779850
2018-06-01,12.15,12.3,11.95,12.15,756313
2018-06-04,12.2,12.395,12.025,12.15,499721
2018-06-05,12.15,12.35,11.975,12.3,807829
2018-06-06,12.4,12.65,12.2,12.6,646691
2018-06-07,12.65,12.65,12.25,12.45,1103037
2018-06-08,12.45,12.55,12.05,12.1,491089
2018-06-11,12.05,12.55,12.0,12.4,630705
2018-06-12,12.4,12.6,12.35,12.55,410053
2018-06-13,12.55,12.55,12.3,12.4,398919
2018-06-14,12.4,12.6,12.15,12.5,719707
2018-06-15,12.5,12.55,12.3,12.4,691236
2018-06-18,12.4,12.55,12.15,12.25,332518
2018-06-19,12.05,12.15,11.725,12.05,544820
2018-06-20,12.05,12.1,11.85,11.9,400605
2018-06-21,11.9,11.95,11.05,11.05,1600788
2018-06-22,11.2,11.6,11.15,11.5,1145637
2018-06-25,11.35,11.4,10.5,10.6,1559093
2018-06-26,10.55,10.75,10.3,10.65,1492740
2018-06-27,10.75,11.0,10.525,10.6,1179940
2018-06-28,10.5,10.5,9.975,10.25,1448643
2018-06-29,10.2,10.6,10.2,10.3,813072
2018-07-02,10.25,10.35,10.1,10.3,1027191
2018-07-03,10.35,10.5,10.15,10.2,511790
2018-07-05,10.2,11.05,10.2,10.9,2342456
2018-07-06,10.85,10.95,10.5,10.85,728280
2018-07-09,10.9,11.4,10.9,11.25,625857
2018-07-10,11.2,11.3,10.9,11.0,553145
2018-07-11,10.9,11.0,10.6,10.6,622114
2018-07-12,10.7,10.85,10.65,10.75,445289
2018-07-13,10.75,11.05,10.75,10.9,635724
