date,open,high,low,close,volume
2017-01-03,10.3,10.6,10.3,10.58,150080
2017-01-04,10.66,11.07,10.66,11.05,150524
2017-01-05,11.06,11.1324,10.65,10.75,93358
2017-01-06,10.72,11.06,10.66,10.8,124104
2017-01-09,10.94,11.01,10.69,10.91,81276
2017-01-10,10.95,11.06,10.8,11.02,79948
2017-01-11,11.02,11.15,10.9001,11.0,190574
2017-01-12,10.95,11.29,10.605,11.22,200215
2017-01-13,11.32,11.63,11.24,11.48,207859
2017-01-17,11.48,11.5,11.13,11.29,282090
2017-01-18,11.36,11.4,11.21,11.33,190235
2017-01-19,11.39,11.39,11.06,11.27,189691
2017-01-20,11.38,11.43,11.09,11.39,213836
2017-01-23,11.42,11.4611,11.14,11.25,99899
2017-01-24,11.27,11.33,11.17,11.3,83215
2017-01-25,11.39,11.4899,11.22,11.28,129233
2017-01-26,11.33,11.3747,11.13,11.27,111912
2017-01-27,11.3,11.33,11.15,11.23,115383
2017-01-30,11.24,11.24,10.828,10.9,149766
2017-01-31,10.87,10.91,10.67,10.78,121497
2017-02-01,10.83,11.25,10.83,11.21,198640
2017-02-02,11.21,11.29,11.15,11.21,105926
2017-02-03,11.25,11.35,11.19,11.23,92288
2017-02-06,11.19,11.3,11.07,11.28,112337
2017-02-07,11.36,11.392,11.0201,11.2,117424
2017-02-08,11.15,11.28,11.0,11.24,95172
2017-02-09,11.24,11.63,11.1782,11.57,284966
2017-02-10,13.44,14.22,13.25,13.93,2178767
2017-02-13,14.15,15.81,14.1,15.74,1266473
2017-02-14,14.6,15.4,13.95,15.28,908925
2017-02-15,15.47,15.5,15.13,15.27,475360
2017-02-16,15.18,15.25,14.69,14.99,294199
2017-02-17,15.0,15.23,14.87,15.1,321759
2017-02-21,15.15,15.2,14.84,14.95,311694
2017-02-22,14.76,14.98,14.62,14.74,301893
2017-02-23,14.68,15.85,14.55,15.46,928233
2017-02-24,15.45,15.657,15.13,15.53,381356
2017-02-27,15.5,16.02,15.225,15.52,371868
2017-02-28,15.58,15.58,14.8,14.93,367027
2017-03-01,15.13,15.5,14.98,15.23,364300
2017-03-02,15.25,15.37,15.1,15.2,187667
2017-03-03,15.2,15.29,15.04,15.14,209980
2017-03-06,14.95,15.14,14.82,15.06,142390
2017-03-07,15.04,15.19,14.91,14.96,179814
2017-03-08,14.98,15.07,14.8,14.86,140103
2017-03-09,14.91,15.05,14.77,14.8,129725
2017-03-10,14.87,15.085,14.39,14.83,250402
