date,open,high,low,close,volume
2017-01-03,8.5513,8.8323,8.21,8.6316,735302
2017-01-04,8.6316,8.9126,8.2381,8.8725,748743
2017-01-05,8.8725,9.1133,8.6316,8.8323,676808
2017-01-06,8.8725,8.9929,8.7119,8.8323,537093
2017-01-09,8.752,8.9527,8.6316,8.752,496682
2017-01-10,8.752,8.9527,8.752,8.8323,422269
2017-01-11,8.8323,9.1133,8.7119,9.1133,662721
2017-01-12,9.1535,9.1936,8.8725,9.033,690970
2017-01-13,8.9527,9.1856,8.8323,8.9527,696292
2017-01-17,8.9126,9.1535,8.903,9.0732,522135
2017-01-18,8.9929,9.1936,8.9527,9.1535,302625
2017-01-19,9.1535,9.1535,8.7922,8.8725,353703
2017-01-20,8.9527,9.029,8.5111,8.6316,588830
2017-01-23,8.7119,8.9086,8.7119,8.7922,387037
2017-01-24,8.8725,9.1535,8.8725,9.1535,411840
2017-01-25,9.1535,9.8761,9.033,9.7958,799465
2017-01-26,9.836,10.0769,9.4345,9.5951,832778
2017-01-27,9.5148,9.6714,9.1575,9.2338,566864
2017-01-30,9.2338,9.2699,8.6717,8.9929,637257
2017-01-31,8.9929,9.1133,8.6316,8.9929,421365
2017-02-01,9.1133,9.1133,8.752,8.8725,257969
2017-02-02,8.9126,9.2739,8.6316,8.9527,354076
2017-02-03,9.033,9.033,8.7922,8.9527,517578
2017-02-06,8.7922,8.9929,8.5914,8.6316,307163
2017-02-07,8.6717,8.76,8.3907,8.5513,360030
2017-02-08,8.471,8.7922,8.2903,8.7119,490244
2017-02-09,8.7119,8.752,8.4308,8.5914,480140
2017-02-10,8.5914,8.6637,8.4308,8.5914,237514
2017-02-13,8.5513,8.5834,8.2702,8.3104,747360
2017-02-14,8.2702,8.6316,8.19,8.5513,736164
2017-02-15,8.471,8.7922,8.471,8.5914,393357
2017-02-16,8.2702,9.1936,8.2702,9.033,892994
2017-02-17,9.3141,9.3141,8.7922,8.7922,264426
2017-02-21,8.7922,9.2338,8.7922,9.1936,383867
2017-02-22,9.1133,9.1535,8.7922,8.7922,313087
2017-02-23,8.9126,9.0732,8.7119,9.033,577475
2017-02-24,9.033,9.033,8.8323,8.8725,189199
2017-02-27,8.8725,8.8909,8.5192,8.7119,302176
2017-02-28,8.6316,9.3141,8.6316,8.8323,1120171
2017-03-01,8.9126,9.0732,8.752,8.752,268685
2017-03-02,8.7119,8.8725,8.5111,8.5111,431571
2017-03-03,8.5111,8.8323,8.3505,8.752,336181
2017-03-06,8.7119,8.9929,8.6356,8.9929,366827
2017-03-07,8.9527,9.0732,8.8725,9.0732,234135
2017-03-08,9.0732,9.2338,8.5111,8.6316,387587
2017-03-09,8.3104,8.7119,8.2702,8.5914,647221
2017-03-10,8.7119,8.7119,8.3104,8.3907,467577
2017-03-13,8.3505,8.6316,8.2702,8.3907,228572
2017-03-14,8.3104,8.3505,8.1498,8.2301,495854
2017-03-15,8.2702,8.3907,8.1498,8.3505,504629
2017-03-16,8.3104,8.471,8.2301,8.3907,244524
2017-03-17,8.3907,8.4308,8.1498,8.2301,302494
2017-03-20,8.19,8.4308,8.1297,8.2301,320991
2017-03-21,8.2301,8.2301,7.5476,7.7483,1037489
2017-03-22,7.7082,7.7483,7.3469,7.5878,791669
2017-03-23,7.5075,7.7931,7.4673,7.5878,302599
2017-03-24,7.6279,7.6279,7.3067,7.3067,191090
2017-03-27,7.2666,7.4673,7.2465,7.3067,239126
2017-03-28,7.387,7.5476,7.2666,7.387,329376
2017-03-29,7.3469,7.8688,7.3469,7.6279,346698
2017-03-30,7.6279,7.66,7.4272,7.5075,145565
