date,open,high,low,close,volume
2017-01-03,5.69,5.81,5.41,5.81,3575436
2017-01-04,5.9,6.3,5.82,6.23,5440936
2017-01-05,6.24,6.355,5.895,6.27,4684803
2017-01-06,6.3,6.33,6.11,6.15,2614866
2017-01-09,6.17,6.44,6.07,6.3,3236553
2017-01-10,6.34,6.43,6.25,6.35,2103273
2017-01-11,6.42,6.83,6.3,6.81,4047856
2017-01-12,6.77,6.83,6.44,6.58,3541474
2017-01-13,6.57,7.12,6.5608,6.93,3560728
2017-01-17,6.95,7.39,6.79,7.11,6865766
2017-01-18,7.15,7.19,6.68,6.82,3140075
2017-01-19,6.83,6.83,6.395,6.44,3258198
2017-01-20,6.46,6.71,6.44,6.57,2394593
2017-01-23,6.51,6.52,6.17,6.43,3929043
2017-01-24,6.44,6.58,6.33,6.51,1331077
2017-01-25,6.61,6.895,6.58,6.75,3005545
2017-01-26,6.75,6.88,6.68,6.72,2583551
2017-01-27,6.72,6.8,6.5,6.58,2177616
2017-01-30,6.53,6.54,6.1938,6.2,4155122
2017-01-31,6.32,6.475,6.23,6.4,2830689
2017-02-01,6.43,6.6,6.32,6.55,3111109
2017-02-02,6.6,6.63,6.43,6.43,1804217
2017-02-03,6.46,6.68,6.46,6.61,3567653
2017-02-06,6.67,6.86,6.505,6.53,2316106
2017-02-07,6.59,6.59,6.16,6.23,3472397
2017-02-08,6.2,6.51,6.09,6.43,2906647
2017-02-09,6.42,6.725,6.4,6.7,2052916
2017-02-10,6.77,6.83,6.54,6.56,2081516
2017-02-13,6.6,6.64,6.39,6.48,2572576
2017-02-14,6.47,6.66,6.42,6.62,2104835
2017-02-15,6.62,7.17,6.61,7.11,4627109
2017-02-16,7.16,7.35,6.91,7.12,4907865
2017-02-17,7.22,7.27,6.785,6.9,3392371
2017-02-21,8.55,9.69,8.5478,9.23,23946906
2017-02-22,9.39,9.72,9.08,9.12,8333118
2017-02-23,9.18,9.335,8.76,8.9,8340802
2017-02-24,8.76,9.36,8.75,9.22,3495891
2017-02-27,9.36,9.73,9.23,9.69,4779780
2017-02-28,9.55,9.76,9.44,9.75,5159880
2017-03-01,9.28,9.72,9.12,9.19,6006694
2017-03-02,9.21,9.39,9.1,9.14,3260560
2017-03-03,9.25,9.79,9.23,9.72,5725463
2017-03-06,9.71,9.88,9.45,9.86,3553652
2017-03-07,9.68,9.83,8.93,8.94,5854068
2017-03-08,9.05,9.47,9.05,9.34,4337066
2017-03-09,9.32,9.67,9.23,9.58,3580498
2017-03-10,9.57,9.69,9.27,9.42,3853048
2017-03-13,9.4,9.58,9.3,9.39,2917355
2017-03-14,9.29,9.375,9.03,9.18,3059254
2017-03-15,9.2,9.59,9.05,9.58,2982265
2017-03-16,9.62,9.73,9.28,9.42,1863796
2017-03-17,9.38,9.4,9.17,9.34,5319385
2017-03-20,9.32,9.32,8.75,8.91,3887494
2017-03-21,8.91,8.97,8.12,8.22,5179243
2017-03-22,8.18,8.41,8.02,8.4,2469542
2017-03-23,8.35,8.79,8.3,8.7,4279697
2017-03-24,8.78,9.65,8.78,9.54,6789796
2017-03-27,9.75,10.11,9.5,9.64,7283687
2017-03-28,9.58,9.58,8.81,9.25,6731463
2017-03-29,9.08,9.15,8.8,8.81,6420785
2017-03-30,8.82,8.96,8.57,8.92,5283139
2017-03-31,8.92,8.95,8.77,8.87,2451915
2017-04-03,8.87,8.9899,8.6,8.67,2540532
2017-04-04,8.57,8.665,8.09,8.64,5175428
2017-04-05,8.64,9.1,8.64,9.01,5031224
2017-04-06,9.04,9.1199,8.81,8.94,2774943
2017-04-07,8.91,8.93,8.74,8.86,1741412
2017-04-10,8.87,9.28,8.808,9.14,2113624
2017-04-11,9.08,9.19,8.97,9.0,1886309
2017-04-12,9.0,9.06,8.725,8.88,1285517
2017-04-13,8.88,9.14,8.78,9.1,1816623
2017-04-17,8.92,8.92,8.3007,8.57,3587859
2017-04-18,8.53,8.55,8.35,8.47,2038125
2017-04-19,8.49,8.81,8.48,8.51,2115590
2017-04-20,8.52,8.57,8.07,8.35,4422325
2017-04-21,8.32,8.4,8.17,8.24,2622255
2017-04-24,8.34,8.52,8.2,8.45,4489948
2017-04-25,8.45,8.64,8.34,8.6,2278529
2017-04-26,8.64,8.94,8.275,8.49,4549020
2017-04-27,8.52,8.615,8.18,8.43,2459166
2017-04-28,8.41,8.63,8.32,8.61,3010350
2017-05-01,8.62,8.85,8.35,8.62,4018557
2017-05-02,9.05,10.51,9.05,10.32,14817024
2017-05-03,10.37,10.45,9.58,9.61,5705397
2017-05-04,9.36,9.78,9.14,9.61,4892302
2017-05-05,9.58,9.84,9.5,9.62,2399476
2017-05-08,9.62,9.7,9.43,9.64,2002153
2017-05-09,9.72,10.0,9.65,9.8,2913535
2017-05-10,9.84,10.34,9.79,10.2,3063262
2017-05-11,10.19,10.44,10.01,10.15,3075027
2017-05-12,10.17,10.23,9.96,10.16,1362600
2017-05-15,10.17,10.21,9.95,10.19,2458473
2017-05-16,10.25,10.25,9.77,9.81,2508345
2017-05-17,9.68,9.94,9.61,9.62,2320324
2017-05-18,9.57,9.655,9.295,9.37,2779568
2017-05-19,9.41,10.05,9.4,9.84,2671142
2017-05-22,9.83,9.96,9.63,9.67,2165067
2017-05-23,9.7,9.76,9.53,9.61,1569987
2017-05-24,9.57,9.63,9.39,9.56,2128388
2017-05-25,9.61,9.7,9.44,9.5,1165378
2017-05-26,9.52,9.53,9.265,9.36,1701539
2017-05-30,9.34,9.48,9.15,9.16,1632893
2017-05-31,9.18,9.21,8.51,8.85,3916553
2017-06-01,8.89,9.24,8.83,9.17,2851515
2017-06-02,9.17,9.31,8.725,8.78,2432609
2017-06-05,8.8,8.8,8.39,8.47,2529461
2017-06-06,8.47,8.65,8.21,8.49,2542942
2017-06-07,8.36,8.6,8.26,8.47,1757462
2017-06-08,8.45,8.71,8.33,8.53,1480348
2017-06-09,8.51,8.84,8.3,8.44,3090722
2017-06-12,8.48,8.85,8.48,8.61,1793343
2017-06-13,8.68,8.88,8.64,8.77,1436901
2017-06-14,8.84,9.2,8.84,9.18,2533088
2017-06-15,9.11,9.2,8.8699,8.91,2278531
2017-06-16,8.9,9.0,8.72,8.98,2536758
2017-06-19,9.04,9.13,8.7664,9.13,1584690
2017-06-20,9.04,9.06,8.8,8.81,1095966
2017-06-21,8.93,9.12,8.75,8.82,1967902
2017-06-22,8.84,9.745,8.82,9.27,6215159
2017-06-23,9.35,9.4173,9.15,9.33,3061796
2017-06-26,9.37,9.63,9.27,9.35,2330522
2017-06-27,9.27,9.87,9.27,9.58,2703754
2017-06-28,9.62,9.91,9.475,9.83,2462168
2017-06-29,9.87,10.18,9.859,10.05,3460399
2017-06-30,10.08,10.158,9.76,9.96,3521832
2017-07-03,9.99,10.09,9.82,9.94,1261227
2017-07-05,9.97,10.0499,9.8,9.88,1876978
2017-07-06,9.84,9.865,9.275,9.32,2316958
2017-07-07,9.34,9.47,9.09,9.44,2263736
2017-07-10,9.41,9.65,9.29,9.59,1882784
2017-07-11,9.59,9.7059,9.37,9.56,1783569
2017-07-12,9.65,9.825,9.54,9.79,1409015
2017-07-13,9.79,9.79,9.21,9.3,3366868
2017-07-14,9.3,9.36,9.19,9.26,1612726
2017-07-17,9.28,9.42,9.2,9.31,1782059
2017-07-18,9.52,9.58,9.2,9.22,2903199
2017-07-19,9.25,9.31,9.02,9.24,2157801
2017-07-20,9.21,9.37,9.15,9.26,3450571
2017-07-21,9.31,9.39,9.14,9.27,2594973
2017-07-24,9.29,9.89,9.22,9.68,3592655
2017-07-25,9.5,9.539,8.63,8.71,6533260
2017-07-26,8.71,8.75,8.4,8.46,3174375
2017-07-27,7.2,7.555,6.98,7.23,10484425
2017-07-28,7.28,7.56,7.22,7.39,6194623
2017-07-31,7.35,7.36,6.99,7.15,5839870
2017-08-01,6.5,6.62,6.455,6.52,3012111
2017-08-02,6.87,6.87,6.36,6.59,5503497
