date,open,high,low,close,volume
2017-01-03,24.805,25.2923,24.7563,25.0487,1349718
2017-01-04,25.0974,25.4873,24.9025,25.4385,1051925
2017-01-05,25.4873,25.5847,25.0,25.3411,1154631
2017-01-06,25.3411,25.536,25.1705,25.2436,858426
2017-01-09,25.1949,25.1949,24.7076,24.9025,777085
2017-01-10,24.9025,25.1461,24.5857,24.7563,741625
2017-01-11,24.6588,25.0,24.5614,24.8538,455614
2017-01-12,24.6588,24.805,24.269,24.5614,752307
2017-01-13,24.6588,25.1949,24.6588,24.9025,567578
2017-01-17,24.9025,25.0487,24.6588,24.805,539538
2017-01-18,24.7563,24.9634,24.4152,24.6588,734951
2017-01-19,24.9512,25.3411,24.269,24.5126,1087155
2017-01-20,24.5126,25.073,24.5126,25.0487,908342
2017-01-23,25.0,25.1949,24.6101,25.1949,544018
2017-01-24,25.2436,26.1208,25.0974,25.9746,717410
2017-01-25,26.0233,26.7543,26.0233,26.7543,1029971
2017-01-26,26.6569,26.7543,26.267,26.5594,844104
2017-01-27,26.4619,26.7543,26.0721,26.4132,510315
2017-01-30,26.3157,26.3157,25.536,26.1208,721712
2017-01-31,26.0233,26.6569,26.0233,26.5107,1006074
2017-02-01,26.5594,26.7543,25.9259,25.9746,776478
2017-02-02,25.9746,26.2183,25.536,25.7309,760766
2017-02-03,25.9746,26.1695,25.6822,25.7797,563944
2017-02-06,25.5847,25.9259,25.5847,25.7797,569555
2017-02-07,25.8771,26.0721,25.5847,26.0233,1412733
2017-02-08,25.7797,26.1695,25.5847,25.9259,1387643
2017-02-09,26.0233,26.8031,26.0233,26.7543,853238
2017-02-10,26.8031,27.2904,26.4132,26.7056,860355
2017-02-13,26.9005,27.1442,26.1208,26.5107,1667908
2017-02-14,26.3157,28.996,26.3157,28.5087,3355642
2017-02-15,28.46,29.8245,28.3138,29.191,3066007
2017-02-16,29.0448,29.2397,28.6549,29.2397,1195624
2017-02-17,29.2397,29.6783,29.0935,29.3372,1357004
2017-02-21,29.2884,29.4834,28.5818,28.9473,1020309
2017-02-22,29.3859,29.3859,28.8011,29.0935,1074212
2017-02-23,29.2402,30.267,29.1424,30.1203,1323427
2017-02-24,29.7292,30.5604,29.6314,30.3648,1684201
2017-02-27,30.3159,30.7071,30.0714,30.3648,1223956
2017-02-28,30.3159,30.4088,29.5336,29.5336,1127647
2017-03-01,29.9736,30.7071,29.6558,30.3159,1687314
2017-03-02,30.1692,30.6826,30.1203,30.3648,1187403
2017-03-03,30.3159,31.1472,30.1203,30.9027,1211932
2017-03-06,30.6582,30.8538,30.1448,30.3159,905097
2017-03-07,29.827,30.3159,29.338,29.7781,756692
2017-03-08,29.827,30.1203,29.4847,29.5825,1020738
2017-03-09,29.5336,29.5336,28.8979,29.338,735031
2017-03-10,29.4847,29.7292,29.0446,29.3869,748637
2017-03-13,29.3869,29.4847,28.1645,28.409,1212783
2017-03-14,28.3112,28.3112,27.8222,28.1645,804676
2017-03-15,28.1645,28.3601,27.9689,28.1156,930631
2017-03-16,28.1645,28.5556,27.8809,28.5068,1008952
2017-03-17,28.6534,28.849,28.4579,28.6534,1597239
2017-03-20,28.6534,28.849,28.409,28.5068,703095
2017-03-21,28.6534,28.849,27.7244,28.2134,984196
2017-03-22,28.2623,28.5068,27.9689,28.409,685722
