date,open,high,low,close,volume
2017-01-03,61.1,61.8,60.55,61.3,377317
2017-01-04,61.5,63.1,61.45,62.75,428255
2017-01-05,62.75,63.05,62.1,62.8,507773
2017-01-06,63.0,63.525,62.3,62.7,330458
2017-01-09,62.8,63.8,61.65,62.95,630201
2017-01-10,63.25,63.6,62.0,62.25,454164
2017-01-11,62.45,63.85,62.25,63.35,318630
2017-01-12,64.0,64.15,62.1,63.85,600670
2017-01-13,63.9,64.35,62.6,62.65,366627
2017-01-17,63.1,63.4,62.575,63.05,292418
2017-01-18,62.65,63.5,62.25,62.45,411304
2017-01-19,62.75,63.125,62.3,62.6,404488
2017-01-20,63.3,63.9,63.0,63.2,383498
2017-01-23,62.5,63.0,60.4,61.15,379745
2017-01-24,61.6,62.75,61.0,62.3,330371
2017-01-25,62.35,63.65,62.35,63.6,313150
2017-01-26,63.85,64.7,63.7,64.25,425965
2017-01-27,63.8,64.4,62.65,63.45,331908
2017-01-30,62.9,62.9,60.75,61.4,300224
2017-01-31,61.5,62.25,60.7,62.2,326756
2017-02-01,62.65,63.25,61.5,62.0,338357
2017-02-02,62.15,62.15,61.05,61.45,235408
2017-02-03,61.85,63.6,61.55,63.0,316349
2017-02-06,63.1,63.35,61.65,62.25,233884
2017-02-07,62.35,62.9499,61.35,62.0,396496
2017-02-08,61.4,61.95,60.0,61.65,228589
2017-02-09,62.1,62.9001,62.0,62.0,384567
2017-02-10,62.8,63.4,62.55,62.65,371992
2017-02-13,62.55,64.0,62.55,63.9,341723
2017-02-14,63.95,66.0,63.7,65.75,394016
2017-02-15,65.45,65.75,64.9,65.55,443418
2017-02-16,65.45,65.85,63.35,63.95,714680
2017-02-17,63.6,64.05,62.9,63.15,354830
2017-02-21,63.9,64.75,63.55,64.4,391207
2017-02-22,63.75,64.05,62.55,62.9,398998
2017-02-23,64.0,64.75,63.5,64.3,430179
2017-02-24,63.75,65.2,63.4,64.95,538968
2017-02-27,65.1,67.95,64.8,67.1,782166
2017-02-28,63.2,63.5,61.05,61.35,1647934
2017-03-01,59.45,61.35,59.25,59.7,955202
2017-03-02,59.05,59.6,58.3,58.5,653289
2017-03-03,58.35,58.75,57.15,57.55,699364
2017-03-06,57.2,57.3355,55.931,56.6,681149
2017-03-07,56.7,56.8,55.425,55.7,612656
2017-03-08,55.45,56.0,54.1,54.25,631701
2017-03-09,53.95,54.225,52.7,54.15,780338
2017-03-10,54.1,54.7,52.75,54.05,519704
2017-03-13,53.95,54.6,53.4,54.2,661943
2017-03-14,53.45,53.55,52.275,53.15,694276
2017-03-15,53.85,54.2,52.35,54.05,732321
2017-03-16,54.2,54.2,53.05,53.5,321819
2017-03-17,53.65,54.0,53.05,53.3,535064
2017-03-20,52.9,53.101,52.0,52.4,693654
2017-03-21,52.65,52.7,51.55,52.25,706023
2017-03-22,51.8,52.3,51.1,51.9,537712
2017-03-23,51.6,52.05,51.0,51.6,458806
2017-03-24,51.75,52.9,51.3,51.55,686430
2017-03-27,51.0,51.65,50.85,51.6,601098
2017-03-28,51.85,53.0,51.3,52.55,443631
2017-03-29,52.4,53.825,52.3,53.65,544943
2017-03-30,54.0,54.65,53.825,53.85,330347
2017-03-31,53.55,54.85,53.55,54.55,456357
2017-04-03,54.75,54.95,53.2,53.4,675311
2017-04-04,53.45,54.15,53.15,54.05,387774
2017-04-05,54.5,55.25,52.9,53.05,642692
2017-04-06,53.55,53.95,53.2,53.7,595787
2017-04-07,53.8,54.05,52.85,53.0,483469
2017-04-10,53.25,54.25,53.05,54.05,313320
2017-04-11,53.9,53.9,53.0,53.8,379007
2017-04-12,53.65,54.7,53.35,54.65,748914
2017-04-13,54.6,54.6,53.15,53.2,553650
2017-04-17,53.2,54.0,52.9,53.9,472453
2017-04-18,53.5,53.75,52.25,53.05,570601
2017-04-19,53.1,53.3,51.8,51.95,524252
2017-04-20,52.3,52.35,51.35,51.9,584378
2017-04-21,51.85,51.85,50.85,51.6,487870
2017-04-24,52.15,52.475,51.825,52.0,506259
2017-04-25,52.6,52.7,52.0,52.55,287809
2017-04-26,52.45,53.75,52.1,52.55,392595
2017-04-27,51.85,53.7,51.6,52.9,983726
2017-04-28,52.75,53.65,51.45,51.55,653072
2017-05-01,51.2,51.2,49.6,49.9,745357
2017-05-02,49.9,50.6,49.7,50.4,636275
2017-05-03,50.35,51.1,50.15,50.75,535049
2017-05-04,50.25,50.35,49.15,50.1,517714
2017-05-05,50.45,52.05,50.2,52.05,526197
2017-05-08,52.15,52.85,51.95,52.25,432009
2017-05-09,52.3,52.3,51.05,51.65,373857
2017-05-10,52.1,52.75,51.7,52.1,452098
