date,open,high,low,close,volume
2017-01-03,16.1642,16.7859,16.1144,16.6118,1059045
2017-01-04,16.8107,17.0097,16.4128,17.0097,1127248
2017-01-05,17.3578,18.0541,17.3081,17.8552,1369280
2017-01-06,17.507,18.0044,16.5621,16.9102,1613205
2017-01-09,17.0097,17.1091,16.4874,16.6615,1032758
2017-01-10,16.9102,17.3081,16.4128,16.761,896610
2017-01-11,16.6118,17.4573,16.0398,17.1589,2007035
2017-01-12,17.6562,17.706,16.2636,16.5621,1752856
2017-01-13,16.3631,17.2086,16.2139,16.9102,932303
2017-01-17,17.5568,17.6562,16.8605,17.1091,1346252
2017-01-18,17.0594,17.3081,16.2885,16.6615,1423781
2017-01-19,16.4128,16.8356,16.2139,16.6118,900114
2017-01-20,16.6615,17.3578,16.5123,17.2086,857664
2017-01-23,17.4573,17.6065,17.1589,17.5568,701186
2017-01-24,17.6065,17.8055,17.2584,17.7557,1155405
2017-01-25,17.4076,17.6562,17.0594,17.4573,888128
2017-01-26,17.1589,17.2584,16.6615,16.7113,1054169
2017-01-27,16.7113,17.1091,16.6118,17.0594,541921
2017-01-30,17.1589,17.3529,16.7859,16.9102,608457
2017-01-31,17.4076,17.6065,17.0594,17.5568,1168347
2017-02-01,17.4573,17.9049,17.1589,17.6065,1134674
2017-02-02,18.0541,18.1536,17.5568,17.9049,813244
2017-02-03,17.8055,18.1536,17.706,17.9049,605408
2017-02-06,18.2033,18.8996,17.8801,18.8499,1004641
2017-02-07,18.7007,19.2478,18.5764,18.7504,977373
2017-02-08,19.0489,19.4467,18.8499,19.1483,1433576
2017-02-09,19.1483,19.3473,18.452,18.5515,773632
2017-02-10,18.2531,18.8996,18.1536,18.8499,1002280
2017-02-13,18.6012,18.7007,18.1785,18.3028,949012
2017-02-14,18.651,18.7007,18.0044,18.5018,833893
2017-02-15,18.1536,18.8002,18.0541,18.3028,935179
2017-02-16,18.3525,19.0489,18.3525,18.8996,715389
2017-02-17,18.8996,18.9991,18.2033,18.2033,794277
2017-02-21,18.0044,18.1785,17.7309,18.0541,684910
