date,open,high,low,close,volume
2017-01-03,9.8351,10.6045,9.8351,10.0718,13408823
2017-01-04,10.1409,10.5059,10.0353,10.3184,7985384
2017-01-05,10.4269,10.9399,10.3314,10.8314,13784312
2017-01-06,10.8708,11.6206,10.8215,11.5219,14405314
2017-01-09,11.3739,11.7192,11.226,11.5416,14114237
2017-01-10,11.7093,11.7093,11.1372,11.2852,14357611
2017-01-11,11.5712,11.8179,11.2506,11.6304,12945166
2017-01-12,11.8179,11.877,11.2654,11.4233,11749961
2017-01-13,11.4134,11.5318,11.0435,11.1273,8935453
2017-01-17,11.443,11.443,11.078,11.1175,9618355
2017-01-18,10.9498,11.1273,10.7722,11.0879,6127650
2017-01-19,11.1273,11.226,10.9152,10.9498,6124917
2017-01-20,11.1471,11.3444,11.0681,11.1668,8139867
2017-01-23,11.009,11.1076,10.7919,10.9991,7098278
2017-01-24,11.1076,11.4726,10.861,11.3444,10023876
2017-01-25,11.4035,11.8031,11.3739,11.6502,10726009
2017-01-26,11.6403,11.8672,11.5219,11.6502,11952403
2017-01-27,11.5614,11.6107,11.1372,11.2161,19788081
2017-01-30,11.0287,11.0977,10.2987,10.3875,17513553
2017-01-31,10.3875,10.7919,10.0422,10.7722,12198350
2017-02-01,10.8511,10.93,10.5157,10.8413,9150790
2017-02-02,10.9202,11.009,10.4664,10.7623,12498205
2017-02-03,10.93,11.3937,10.7821,11.226,8765128
2017-02-06,11.2062,11.2187,10.5059,10.5354,9909250
2017-02-07,10.4763,10.4763,9.8745,9.9337,14720188
2017-02-08,9.7956,10.0915,9.4602,10.0915,21993811
2017-02-09,10.1803,10.4358,9.9929,10.0028,12036493
2017-02-10,10.279,10.7426,10.2691,10.5946,9465461
2017-02-13,10.4861,10.7377,10.4171,10.6538,6995851
2017-02-14,10.7623,11.1076,10.5848,11.0879,10238782
2017-02-15,10.9103,10.9695,10.5749,10.644,7012370
2017-02-16,10.6538,10.7031,10.2543,10.3776,6024386
2017-02-17,10.2888,10.4467,10.131,10.1902,5582996
2017-02-21,10.4664,10.4763,10.2494,10.2691,5824731
2017-02-22,10.1606,10.1803,9.8942,9.9929,7592256
2017-02-23,10.2691,10.5354,10.2296,10.3973,9952454
2017-02-24,10.2888,10.3184,9.9436,10.0324,7215372
2017-02-27,10.0126,10.3924,9.7857,10.1705,10329184
2017-02-28,10.1014,10.1606,9.5194,9.6082,16030857
2017-03-01,9.7068,10.0126,9.5786,9.8844,15474021
2017-03-02,9.598,9.9041,9.519,9.6079,8847844
2017-03-03,9.6079,10.0226,9.5487,9.7856,16763094
2017-03-06,9.7264,9.7363,9.3215,9.5091,8839557
2017-03-07,9.519,9.598,9.1339,9.1537,11729713
2017-03-08,9.0648,9.2919,8.5266,8.6204,17778698
2017-03-09,8.502,8.576,8.1662,8.4625,15823039
2017-03-10,8.5809,8.7192,8.4723,8.6303,12848716
2017-03-13,8.6204,8.8031,8.5513,8.6007,5788836
2017-03-14,8.4328,8.4526,8.0477,8.3736,9100673
2017-03-15,8.5118,8.6797,8.2946,8.6204,12097990
2017-03-16,8.6896,8.6896,8.418,8.4822,7998602
2017-03-17,8.4921,8.5809,8.3637,8.423,10543515
2017-03-20,8.3341,8.4526,8.1267,8.3835,6936306
2017-03-21,8.423,8.502,8.1958,8.3538,8773393
2017-03-22,8.2748,8.4822,8.1563,8.2946,9766996
2017-03-23,8.2255,8.423,8.1465,8.3143,7031976
2017-03-24,8.3242,8.4625,8.1563,8.3143,12953719
2017-03-27,8.1465,8.344,8.1169,8.265,6398162
2017-03-28,8.265,8.6797,8.265,8.5414,8961253
2017-03-29,8.5217,8.7686,8.502,8.6501,7893907
2017-03-30,8.7192,8.9266,8.6402,8.7488,8307728
2017-03-31,8.7093,8.892,8.6155,8.8377,7399838
2017-04-03,8.8871,9.0056,8.7093,8.8278,8711823
2017-04-04,8.8179,8.8969,8.6984,8.8574,7651364
2017-04-05,8.9858,9.3117,8.7488,8.7982,12316129
2017-04-06,8.8476,9.2265,8.7883,9.1932,8793191
2017-04-07,9.203,9.2475,9.0056,9.0549,7041731
2017-04-10,9.1537,9.3808,9.1142,9.2327,4639045
2017-04-11,9.2425,9.2672,9.0006,9.2228,7088337
2017-04-12,9.1438,9.1734,8.5612,8.6106,11611034
2017-04-13,8.5809,8.6402,8.1465,8.2255,10419105
2017-04-17,8.2353,8.3341,8.107,8.186,6426255
2017-04-18,8.0971,8.344,8.0082,8.2156,8581588
2017-04-19,8.2452,8.4822,8.0378,8.0872,9930336
2017-04-20,8.1267,8.3341,8.0675,8.186,7318706
2017-04-21,8.107,8.2946,8.0082,8.2156,8095767
2017-04-24,8.3538,8.4427,8.2008,8.2946,9902832
2017-04-25,8.3242,8.4328,8.2205,8.2452,7262066
2017-04-26,8.2156,8.6402,8.1909,8.3835,8334946
2017-04-27,8.1958,8.2255,7.7021,7.8601,15465948
2017-04-28,8.0082,8.0378,7.7416,7.791,9889732
2017-05-01,7.7614,7.7614,7.4158,7.5145,8877162
2017-05-02,7.5737,7.6132,7.2479,7.2775,9589194
2017-05-03,7.2775,7.4651,7.2281,7.396,8471343
2017-05-04,7.2676,7.2676,6.9517,7.0899,11464423
2017-05-05,7.1294,7.7984,7.0652,7.7614,13620316
2017-05-08,7.7317,7.8502,7.5639,7.7317,9221100
2017-05-09,7.7416,7.791,7.5639,7.7317,8840166
2017-05-10,7.8404,8.0971,7.8404,7.9589,10694805
2017-05-11,8.0675,8.1168,7.8502,7.8601,8727081
2017-05-12,7.8601,7.8897,7.5244,7.554,6790379
2017-05-15,7.8502,7.949,7.5342,7.6725,10274887
2017-05-16,7.7515,7.8107,7.5935,7.6429,10979061
2017-05-17,7.554,7.5639,7.1936,7.3071,9446039
2017-05-18,7.2578,7.4898,7.2183,7.3466,9776250
2017-05-19,7.4454,7.4948,7.3269,7.3763,12799444
2017-05-22,7.5244,7.6429,7.4355,7.5639,9653771
2017-05-23,7.5639,7.6083,7.4256,7.5244,6073645
2017-05-24,7.4948,7.6231,7.3664,7.4158,5159943
2017-05-25,7.3664,7.5046,6.6752,6.7048,14900958
2017-05-26,6.7443,6.7542,6.5962,6.6159,11560432
2017-05-30,6.3098,6.5567,6.0333,6.2802,63948622
2017-05-31,6.2407,6.2407,5.7716,6.1617,32767387
2017-06-01,6.1518,6.4287,6.1024,6.2507,14649776
2017-06-02,6.1815,6.2294,6.0628,6.0727,18555665
2017-06-05,6.043,6.2082,5.9936,6.0826,15525938
2017-06-06,6.0331,6.2111,5.8947,6.1815,14749914
2017-06-07,6.1122,6.1518,5.6276,5.7661,22010658
2017-06-08,5.7364,5.865,5.6771,5.7265,17561396
2017-06-09,5.7364,6.1221,5.5881,5.9144,25866476
2017-06-12,6.0529,6.2606,5.9144,5.9243,21621477
2017-06-13,5.9243,6.1271,5.865,6.0925,17741711
2017-06-14,6.0529,6.0925,5.7067,5.8353,15209580
2017-06-15,5.7463,5.9342,5.5584,5.6078,17279327
2017-06-16,5.6177,5.7562,5.5188,5.6474,18043111
2017-06-19,5.6573,5.7859,5.5386,5.6375,16911931
2017-06-20,5.5089,5.5188,5.2221,5.321,18494177
2017-06-21,5.2617,5.2815,4.8364,5.0144,25991470
2017-06-22,5.0639,5.2023,4.9847,5.0342,23203096
2017-06-23,5.0836,5.3111,4.9946,5.3012,51785264
2017-06-26,5.3111,5.4397,5.1825,5.3408,19500372
2017-06-27,5.41,5.6276,5.2913,5.321,20410184
2017-06-28,5.3012,5.5654,5.3012,5.3111,12889135
2017-06-29,5.3705,5.5287,5.2716,5.3804,17574863
2017-06-30,5.3902,5.4694,5.0639,5.1034,21975615
2017-07-03,5.1628,5.5287,5.1232,5.41,13416528
2017-07-05,5.3705,5.3705,5.1183,5.232,17540889
2017-07-06,5.2419,5.2815,4.965,4.9946,23373460
2017-07-07,4.9551,4.9749,4.6979,4.7177,20903379
2017-07-10,4.6781,4.9946,4.6584,4.9847,15933652
2017-07-11,4.9847,5.1133,4.7573,5.0441,35320921
2017-07-12,5.1628,5.2913,4.8364,4.8562,25380647
2017-07-13,4.8858,5.1628,4.8759,5.1232,22450782
2017-07-14,5.143,5.232,5.0441,5.1232,17222608
2017-07-17,5.1232,5.2617,5.1034,5.1924,12645799
2017-07-18,5.2518,5.2864,5.1232,5.2617,18763727
2017-07-19,5.232,5.7067,5.2221,5.6276,24275407
2017-07-20,5.6771,5.7364,5.2815,5.4001,27109515
2017-07-21,5.3804,5.4397,5.2221,5.3309,20722524
2017-07-24,5.3606,5.3804,5.2221,5.2913,13999880
2017-07-25,5.3902,5.6474,5.3804,5.5287,19952299
2017-07-26,5.5782,5.5979,5.232,5.3309,20935036
2017-07-27,5.3309,5.3408,4.9847,5.232,28240271
2017-07-28,5.2023,5.5139,5.1727,5.2518,15527730
2017-07-31,5.2419,5.3012,5.0639,5.232,16068242
2017-08-01,5.2023,5.2518,5.054,5.1924,15433848
2017-08-02,5.143,5.3507,5.054,5.2419,15934644
2017-08-03,5.2419,5.5732,5.1924,5.4793,27866040
2017-08-04,5.4793,5.5485,5.2617,5.2617,13158952
2017-08-07,4.9056,5.0045,4.7276,4.777,15143531
2017-08-08,4.9056,5.0045,4.7276,4.777,15144031
