date,open,high,low,close,volume
2017-01-03,10.9,11.01,10.56,10.58,2522981
2017-01-04,10.7,10.99,10.68,10.8,1876423
2017-01-05,10.53,10.54,10.075,10.22,3993060
2017-01-06,10.39,10.39,10.03,10.05,2889777
2017-01-09,10.04,10.36,10.04,10.31,3067888
2017-01-10,10.32,10.94,10.29,10.8,2873599
2017-01-11,10.78,10.91,10.59,10.9,1961739
2017-01-12,10.83,10.85,10.645,10.76,1375069
2017-01-13,10.76,10.94,10.71,10.74,910580
2017-01-17,10.73,11.25,10.72,11.0,2027786
2017-01-18,10.95,10.99,10.73,10.97,1159182
2017-01-19,10.94,11.02,10.65,10.69,1438690
2017-01-20,10.7,10.86,10.51,10.65,1046563
2017-01-23,10.64,10.665,10.445,10.52,1538998
2017-01-24,10.59,10.675,10.38,10.63,2513162
2017-01-25,10.77,10.995,10.76,10.89,1435791
2017-01-26,10.9,11.01,10.46,10.51,1320394
2017-01-27,10.46,10.51,10.12,10.14,1408800
2017-01-30,10.09,10.27,9.945,10.15,1830608
2017-01-31,10.05,10.665,9.91,10.63,1635425
2017-02-01,10.64,10.7,10.37,10.46,1877821
2017-02-02,10.46,10.73,10.32,10.52,1602161
2017-02-03,10.53,10.77,10.475,10.58,857401
2017-02-06,10.62,10.76,10.5,10.59,1083231
2017-02-07,10.59,10.62,10.355,10.39,1005943
2017-02-08,10.36,10.77,10.28,10.74,1337670
2017-02-09,10.74,11.22,10.6018,11.1,1415761
2017-02-10,11.2,11.51,11.11,11.45,1440880
2017-02-13,11.51,11.5275,11.12,11.2,961196
2017-02-14,11.19,11.69,11.13,11.64,1389499
2017-02-15,11.57,11.695,11.4,11.53,1056126
2017-02-16,11.51,11.54,11.14,11.17,1069569
2017-02-17,11.15,11.43,11.0,11.38,918711
2017-02-21,11.59,11.6399,11.375,11.57,749745
2017-02-22,11.61,11.68,11.29,11.4,918397
2017-02-23,11.26,11.32,10.78,10.81,1987186
2017-02-24,10.8,11.26,10.63,10.98,1718493
2017-02-27,11.03,11.48,11.01,11.41,1915134
2017-02-28,11.3,11.38,10.96,11.24,1593916
2017-03-01,11.4,11.5,10.43,10.83,2349887
2017-03-02,10.91,11.34,10.89,11.19,2259269
