date,open,high,low,close,volume
2017-01-03,7.9703,8.3947,7.9608,8.3004,56546
2017-01-04,8.3193,8.5645,8.008,8.1966,127224
2017-01-05,8.1684,8.3004,7.8477,8.0363,153505
2017-01-06,8.0929,8.4608,8.0929,8.1589,142389
2017-01-09,8.1778,8.3947,8.0835,8.2344,109470
2017-01-10,8.2061,8.3759,8.1118,8.1589,23209
2017-01-11,7.9891,8.291,7.8477,7.8854,75528
2017-01-12,7.9231,8.008,7.7911,7.9231,86360
2017-01-13,7.8948,8.2061,7.8665,7.942,99985
2017-01-17,7.942,8.4513,7.9042,8.2438,91513
2017-01-18,8.2438,8.3476,8.0174,8.2815,68643
2017-01-19,8.3476,8.5268,8.3004,8.4419,110434
2017-01-20,8.3853,8.5645,8.1872,8.2061,85278
2017-01-23,8.1118,8.1306,7.8382,7.876,85529
2017-01-24,7.9231,7.9325,7.8099,7.8099,177488
2017-01-25,7.8477,8.0929,7.7911,7.8665,157824
2017-01-26,8.2051,8.2051,7.8571,7.9986,21315
2017-01-27,7.9325,8.0646,7.9325,7.9891,5304
2017-01-30,7.9514,8.0269,7.8288,7.8477,18629
2017-01-31,7.876,8.1872,7.8194,8.0457,42150
2017-02-01,8.008,8.3476,7.9797,8.1495,55984
2017-02-02,8.1872,8.3004,7.9797,8.1212,85215
2017-02-03,8.2249,8.4702,8.0835,8.1118,100589
2017-02-06,8.0457,8.0929,7.942,7.9891,16334
2017-02-07,7.9231,8.3004,7.8382,8.0552,80789
2017-02-08,8.074,8.423,7.9608,8.1872,192155
2017-02-09,8.2532,8.4702,8.1684,8.1966,102207
2017-02-10,8.2627,8.489,8.1589,8.423,46355
2017-02-13,8.489,8.6918,8.2532,8.6117,128079
2017-02-14,8.5362,8.6777,8.2155,8.4702,28503
2017-02-15,8.4608,8.5834,8.3759,8.4796,66507
2017-02-16,8.4136,8.5645,8.3994,8.489,39508
2017-02-17,8.3759,8.7484,8.3759,8.7154,26011
2017-02-21,8.5645,8.6737,8.5645,8.6588,13325
2017-02-22,8.5362,8.8852,8.5362,8.8852,45240
2017-02-23,8.8192,9.0267,8.772,8.989,57330
2017-02-24,8.8569,9.0644,8.7814,9.0644,66833
2017-02-27,9.0078,9.0078,8.6211,8.772,36466
2017-02-28,8.706,8.7814,8.5268,8.6211,26991
2017-03-01,8.64,9.0267,8.357,8.4419,51581
2017-03-02,8.0457,8.0457,7.3383,7.4326,356109
