date,open,high,low,close,volume
2017-01-03,14.58,14.7,14.18,14.44,310161
2017-01-04,14.54,14.95,14.5,14.91,290109
2017-01-05,14.86,14.98,14.6,14.61,203794
2017-01-06,14.7,14.95,14.47,14.74,284968
2017-01-09,14.57,14.8,14.49,14.51,216793
2017-01-10,14.61,14.76,14.46,14.68,255759
2017-01-11,14.73,14.87,14.57,14.69,242357
2017-01-12,14.72,14.72,14.32,14.49,176123
2017-01-13,14.54,14.73,14.3188,14.65,140821
2017-01-17,14.59,14.65,14.34,14.4,165479
2017-01-18,14.44,14.5,14.35,14.49,197787
2017-01-19,14.53,14.53,13.95,14.07,366191
2017-01-20,14.12,14.25,14.0355,14.17,215579
2017-01-23,14.09,14.22,14.02,14.1,175019
2017-01-24,14.24,14.67,14.24,14.53,320608
2017-01-25,14.69,14.85,14.64,14.7,355206
2017-01-26,14.75,14.82,14.64,14.69,217821
2017-01-27,14.71,14.73,14.57,14.67,235911
2017-01-30,14.5,14.5,14.0,14.1,376847
2017-01-31,14.1,14.205,13.92,14.14,236293
2017-02-01,14.32,14.4,14.1,14.35,327660
2017-02-02,14.29,14.38,14.0399,14.18,291618
2017-02-03,14.31,14.44,14.172,14.31,189466
2017-02-06,14.2,14.25,13.94,13.95,157207
2017-02-07,13.91,14.05,13.55,13.88,399731
2017-02-08,13.85,14.03,13.58,13.99,459632
2017-02-09,13.99,14.15,13.96,13.97,169034
2017-02-10,14.06,14.15,13.87,14.11,194069
2017-02-13,14.28,14.41,14.2,14.31,166418
2017-02-14,14.21,14.29,14.01,14.19,379536
2017-02-15,14.15,14.285,14.07,14.27,266907
2017-02-16,14.27,14.42,14.06,14.17,201290
2017-02-17,14.2,14.21,14.02,14.18,229553
2017-02-21,14.25,14.45,14.15,14.29,233555
2017-02-22,14.17,14.35,14.019,14.25,236238
2017-02-23,14.29,14.42,14.02,14.08,350131
2017-02-24,13.87,14.03,13.8,13.96,269379
2017-02-27,13.96,14.2,13.93,14.07,358016
2017-02-28,14.02,14.14,13.94,14.0,239968
2017-03-01,14.25,14.47,14.2,14.29,556430
2017-03-02,14.31,15.06,14.01,14.77,1367822
2017-03-03,14.74,15.0,14.6,14.64,583935
2017-03-06,14.51,14.51,14.0,14.07,670085
2017-03-07,14.01,14.12,13.79,14.03,589139
2017-03-08,14.12,14.25,13.84,13.89,376665
2017-03-09,13.85,13.97,13.57,13.61,590871
2017-03-10,13.73,13.85,13.59,13.71,307344
2017-03-13,13.73,13.98,13.73,13.93,302082
2017-03-14,13.78,13.7999,13.56,13.71,222078
2017-03-15,13.84,14.0,13.67,13.95,312710
2017-03-16,14.0,14.6,14.0,14.21,505702
2017-03-17,14.3,14.48,14.28,14.37,678435
2017-03-20,14.32,14.43,14.15,14.26,177931
2017-03-21,14.31,14.58,14.24,14.36,1230033
2017-03-22,14.29,14.62,14.29,14.53,560386
2017-03-23,14.55,15.13,14.5,14.91,672044
2017-03-24,14.85,15.13,14.67,14.7,310220
2017-03-27,14.4,14.87,14.27,14.82,376809
2017-03-28,14.76,15.04,14.68,14.98,223720
2017-03-29,14.66,15.0,14.66,14.8,330026
2017-03-30,14.71,15.02,14.63,14.91,510023
2017-03-31,14.8,15.28,14.8,15.19,766148
2017-04-03,15.26,15.29,14.79,15.0,483601
2017-04-04,15.0,15.27,14.96,15.21,445681
2017-04-05,15.36,15.52,15.0701,15.11,698406
2017-04-06,15.1,15.33,15.02,15.33,334004
2017-04-07,15.22,15.52,15.08,15.43,568570
2017-04-10,15.48,15.53,15.34,15.43,703666
2017-04-11,15.41,15.51,15.25,15.45,659602
2017-04-12,15.35,15.36,15.04,15.18,527018
2017-04-13,15.17,15.21,14.96,15.05,690916
2017-04-17,15.08,15.25,14.92,15.22,593520
2017-04-18,15.08,15.28,14.85,15.25,220121
2017-04-19,15.2,15.5,15.11,15.34,476276
2017-04-20,15.5,15.64,15.4,15.5,723771
2017-04-21,15.47,15.565,15.34,15.41,486825
2017-04-24,15.72,15.97,15.49,15.8,604055
2017-04-25,15.99,16.15,15.88,15.9,982247
2017-04-26,16.88,17.75,16.36,17.43,2140743
2017-04-27,17.55,17.98,17.26,17.71,1426698
2017-04-28,17.75,18.17,17.675,17.92,1435898
2017-05-01,18.04,18.24,17.8,18.18,679748
2017-05-02,18.15,18.3,18.03,18.13,522574
2017-05-03,18.02,18.05,17.71,17.92,550326
2017-05-04,17.91,17.94,17.5,17.64,596293
2017-05-05,17.68,17.93,17.63,17.93,628012
2017-05-08,17.86,17.86,17.53,17.62,338822
2017-05-09,17.69,17.95,17.515,17.69,613496
2017-05-10,17.75,17.93,17.64,17.92,308293
2017-05-11,17.88,17.9069,17.64,17.73,223965
2017-05-12,17.54,17.86,17.54,17.59,296268
2017-05-15,17.8,17.8,17.57,17.64,609746
2017-05-16,17.65,17.7,17.52,17.63,507223
2017-05-17,17.33,17.38,17.08,17.11,333205
2017-05-18,16.95,17.09,16.791,16.89,878813
2017-05-19,16.96,17.33,16.96,17.08,846847
2017-05-22,17.22,17.56,17.02,17.55,514724
2017-05-23,17.56,17.65,17.33,17.44,376228
2017-05-24,17.4,17.51,17.165,17.32,263511
2017-05-25,17.34,17.4,17.03,17.06,276282
2017-05-26,17.02,17.13,16.825,17.07,430578
2017-05-30,17.09,17.09,16.7,16.84,477352
2017-05-31,16.83,16.83,16.482,16.76,456370
2017-06-01,16.87,17.345,16.755,17.29,550919
2017-06-02,17.3,17.5,17.13,17.37,521360
2017-06-05,18.3,18.31,17.5,17.56,908275
2017-06-06,17.44,17.64,17.1501,17.55,480894
2017-06-07,17.53,17.66,17.46,17.53,374177
2017-06-08,17.5,18.02,17.45,17.94,738940
2017-06-09,18.03,18.39,18.03,18.26,1036268
2017-06-12,18.35,19.3099,18.34,19.14,2131990
2017-06-13,19.24,19.37,18.83,18.94,1268771
2017-06-14,18.93,18.99,18.35,18.41,628276
2017-06-15,18.2,18.34,17.92,17.98,534196
2017-06-16,17.74,18.17,17.6,18.15,749122
