date,open,high,low,close,volume
2017-01-03,5.73,6.13,5.66,6.12,1445760
2017-01-04,6.28,6.28,6.03,6.15,1701226
2017-01-05,6.33,6.78,6.31,6.71,2350235
2017-01-06,6.53,6.74,6.11,6.3,1978514
2017-01-09,6.45,6.685,6.32,6.44,2520549
2017-01-10,6.55,6.695,6.39,6.54,1500685
2017-01-11,6.42,6.5637,6.19,6.45,1388750
2017-01-12,6.65,6.73,6.23,6.35,1365929
2017-01-13,6.28,6.53,6.16,6.47,819094
2017-01-17,6.7,6.92,6.7,6.82,1940483
2017-01-18,6.78,6.86,6.39,6.5,1464396
2017-01-19,6.36,6.585,6.24,6.47,1086771
2017-01-20,6.51,6.85,6.39,6.67,1367453
2017-01-23,6.79,6.91,6.66,6.85,1029212
2017-01-24,6.3,6.4,6.01,6.15,6906981
2017-01-25,6.1,6.27,6.06,6.21,1421222
2017-01-26,6.04,6.13,5.96,6.01,1711471
2017-01-27,6.03,6.23,6.0,6.16,1148498
2017-01-30,6.21,6.25,6.055,6.08,1568261
2017-01-31,6.28,6.29,6.11,6.24,2272978
2017-02-01,6.17,6.2969,6.13,6.26,1519135
2017-02-02,6.37,6.4501,6.2444,6.28,2223692
2017-02-03,6.27,6.36,6.2104,6.3,1163839
2017-02-06,6.37,6.69,6.265,6.68,3655983
2017-02-07,6.66,6.87,6.51,6.65,2346123
2017-02-08,6.75,6.86,6.47,6.58,2012038
2017-02-09,6.58,6.6,6.28,6.36,1962883
2017-02-10,6.26,6.7,6.23,6.66,1872240
2017-02-13,6.58,6.66,6.44,6.48,1235144
2017-02-14,6.63,6.64,6.3136,6.45,1486077
2017-02-15,6.34,6.495,6.31,6.38,1328914
2017-02-16,6.45,6.5,6.36,6.44,1724706
2017-02-17,6.41,6.45,6.33,6.35,2105592
2017-02-21,6.3,6.51,6.18,6.39,1348955
2017-02-22,6.36,6.37,6.085,6.28,1928989
2017-02-23,6.42,6.55,6.38,6.45,1898537
2017-02-24,6.53,6.5524,6.09,6.12,1837525
2017-02-27,6.08,6.14,5.34,5.4,3518038
2017-02-28,5.53,5.78,5.4871,5.64,1643240
2017-03-01,5.48,5.85,5.4475,5.77,1930020
2017-03-02,5.53,5.68,5.11,5.15,2107871
2017-03-03,5.14,5.32,5.0,5.3,1745512
2017-03-06,5.25,5.28,4.9089,4.99,2592185
2017-03-07,4.89,5.0848,4.84,5.02,1465734
2017-03-08,4.92,5.02,4.85,4.87,1161006
2017-03-09,4.87,4.97,4.84,4.89,1008993
2017-03-10,4.98,5.25,4.97,5.19,1627629
2017-03-13,5.26,5.45,5.21,5.35,2179667
2017-03-14,5.33,5.42,5.03,5.08,1816473
2017-03-15,5.18,5.6,4.99,5.54,3622291
2017-03-16,5.76,5.77,5.41,5.45,1400944
2017-03-17,5.48,5.51,5.1,5.14,4391369
2017-03-20,5.16,5.24,5.09,5.18,1798421
2017-03-21,5.2,5.39,5.115,5.23,1963268
2017-03-22,5.25,5.2547,5.05,5.08,1220304
2017-03-23,5.08,5.17,4.91,5.05,2209021
2017-03-24,5.03,5.095,4.96,5.02,1025751
2017-03-27,5.13,5.14,5.005,5.11,1172104
2017-03-28,5.09,5.14,4.8,4.93,2188420
2017-03-29,4.89,5.03,4.87,4.96,1008012
2017-03-30,4.92,4.97,4.85,4.9,648792
