date,open,high,low,close,volume
2017-01-03,9.72,10.0,9.48,9.56,959360
2017-01-04,9.61,9.83,9.52,9.73,739126
2017-01-05,9.78,9.96,9.57,9.73,533497
2017-01-06,9.76,9.765,9.49,9.5,547826
2017-01-09,9.34,9.61,9.3,9.5,731103
2017-01-10,9.56,9.625,9.445,9.55,573121
2017-01-11,9.61,9.93,9.5,9.72,790288
2017-01-12,9.86,9.88,9.49,9.61,781546
2017-01-13,9.57,10.33,9.55,10.31,1165161
2017-01-17,10.5,10.53,10.165,10.25,872912
2017-01-18,10.18,10.28,9.94,10.13,1126281
2017-01-19,10.16,10.27,9.5,9.59,1040149
2017-01-20,9.68,9.83,9.5,9.6,1254637
2017-01-23,9.5,9.74,9.46,9.67,601413
2017-01-24,9.71,10.08,9.6,10.04,756105
2017-01-25,10.03,10.6,9.811,10.42,773014
2017-01-26,10.5,10.8,10.22,10.34,677304
2017-01-27,10.23,10.6,10.19,10.47,484459
2017-01-30,10.32,10.365,9.93,10.23,797379
2017-01-31,10.27,10.59,10.0,10.57,987031
2017-02-01,10.62,10.75,10.53,10.73,831994
2017-02-02,10.8,10.8,10.2,10.27,873760
2017-02-03,10.25,10.71,10.25,10.61,613458
2017-02-06,10.64,10.75,10.37,10.57,887874
2017-02-07,10.37,10.63,10.3,10.5,650103
2017-02-08,10.47,10.59,10.18,10.55,1059877
2017-02-09,11.38,12.41,11.16,12.22,3680985
2017-02-10,12.41,12.89,12.27,12.34,1610890
2017-02-13,12.34,12.78,12.27,12.5,1184238
2017-02-14,12.62,12.85,12.28,12.79,714880
2017-02-15,12.66,12.7,12.29,12.5,911548
2017-02-16,12.48,12.49,12.1,12.35,503298
2017-02-17,12.28,12.73,11.953,12.46,966000
2017-02-21,12.57,12.78,12.51,12.75,681251
2017-02-22,12.8,13.2,12.66,13.03,1427917
2017-02-23,13.22,13.39,12.89,13.0,1209115
2017-02-24,12.8,13.02,12.62,12.98,643564
2017-02-27,13.05,13.615,12.97,13.6,925968
2017-02-28,13.38,13.75,13.35,13.52,1126049
2017-03-01,13.73,14.16,13.505,14.12,1173827
2017-03-02,14.05,14.51,13.7492,13.77,1509963
2017-03-03,13.79,13.9232,13.51,13.62,625279
2017-03-06,13.58,13.66,13.35,13.63,442806
2017-03-07,13.68,13.72,13.14,13.24,757327
2017-03-08,13.15,13.32,12.59,12.59,887952
2017-03-09,12.49,12.61,11.74,11.97,1214587
2017-03-10,12.14,12.211,11.76,11.99,758691
2017-03-13,12.0,12.13,11.77,11.95,472532
2017-03-14,11.81,11.82,11.2201,11.49,825166
2017-03-15,11.79,11.89,11.48,11.74,2266189
2017-03-16,11.86,12.09,11.26,11.54,915130
2017-03-17,11.64,11.73,11.39,11.63,1038163
2017-03-20,11.54,11.64,11.38,11.53,332406
2017-03-21,11.59,11.62,11.16,11.26,396948
2017-03-22,11.16,11.34,11.0,11.16,709335
2017-03-23,11.12,11.28,11.05,11.22,364291
2017-03-24,11.28,11.7,11.26,11.5,837775
2017-03-27,11.27,11.42,11.1,11.4,459298
2017-03-28,11.47,11.75,11.28,11.64,530647
2017-03-29,11.62,12.28,11.59,12.21,741410
2017-03-30,12.25,12.48,12.2,12.43,576540
2017-03-31,12.35,12.86,12.35,12.79,1085557
2017-04-03,12.78,12.99,12.13,12.37,1114297
2017-04-04,12.39,12.8,12.37,12.49,638993
2017-04-05,12.63,12.91,12.15,12.24,994542
2017-04-06,12.33,12.75,12.33,12.59,582738
2017-04-07,12.59,12.6,12.28,12.45,538631
2017-04-10,12.54,12.86,12.44,12.83,360331
2017-04-11,12.77,13.06,12.69,12.85,417817
2017-04-12,12.79,12.8799,12.5075,12.61,392150
2017-04-13,12.6,12.77,12.035,12.09,805511
2017-04-17,12.13,12.29,11.99,12.14,450969
2017-04-18,12.05,12.17,11.91,11.96,553602
2017-04-19,12.02,12.06,11.52,11.6,808287
2017-04-20,11.65,11.76,11.53,11.65,499017
2017-04-21,11.65,11.81,11.47,11.75,991333
2017-04-24,11.85,12.09,11.6525,11.79,722619
2017-04-25,11.89,12.19,11.85,12.02,737022
2017-04-26,11.94,12.4,11.86,12.28,813602
2017-04-27,12.16,12.1624,11.57,11.96,1054419
2017-04-28,12.05,12.1,11.8128,12.01,502348
2017-05-01,12.05,12.24,11.62,12.17,1071845
2017-05-02,12.17,12.3101,12.07,12.25,891863
2017-05-03,12.2,12.52,12.19,12.36,1150246
2017-05-04,12.0,12.5,10.46,10.47,2545308
2017-05-05,10.45,10.95,10.23,10.48,1597223
2017-05-08,10.45,10.71,10.3,10.58,1392380
2017-05-09,10.59,10.59,9.99,10.27,1143825
2017-05-10,10.37,10.75,10.37,10.59,816936
2017-05-11,10.64,10.64,10.16,10.18,617706
2017-05-12,10.17,10.24,10.05,10.18,602958
2017-05-15,10.41,10.47,10.17,10.19,793350
2017-05-16,10.2,10.25,10.1,10.2,978519
2017-05-17,10.04,10.11,9.7839,9.85,782538
2017-05-18,9.71,9.87,9.51,9.72,889012
2017-05-19,9.8,10.445,9.75,10.36,726830
2017-05-22,10.47,10.6,10.21,10.32,407243
2017-05-23,10.36,10.52,10.29,10.5,463011
2017-05-24,10.49,10.63,10.35,10.42,603324
2017-05-25,10.43,10.7,10.15,10.24,848091
2017-05-26,10.23,10.33,10.07,10.24,239703
2017-05-30,10.24,10.24,9.91,10.09,305726
2017-05-31,10.02,10.025,9.765,9.88,682207
2017-06-01,9.79,10.0,9.71,9.95,682008
2017-06-02,9.72,9.95,9.45,9.53,2138893
2017-06-05,9.49,9.79,9.4805,9.68,674731
2017-06-06,9.66,10.14,9.495,10.07,511308
2017-06-07,9.96,10.19,9.13,9.13,922661
2017-06-08,9.0,9.2,8.54,8.67,1692201
2017-06-09,8.7,9.545,8.7,9.46,863247
2017-06-12,9.6,9.75,9.42,9.44,638630
2017-06-13,9.51,9.975,9.46,9.83,502875
2017-06-14,9.73,9.75,9.19,9.28,482069
2017-06-15,9.25,9.33,8.74,8.82,716654
2017-06-16,8.8,9.0,8.68,8.97,653134
2017-06-19,9.02,9.085,8.72,8.78,472638
2017-06-20,8.62,8.74,8.26,8.55,685238
2017-06-21,8.39,8.46,7.68,7.95,1225815
2017-06-22,8.01,8.22,7.96,8.03,962767
2017-06-23,8.08,8.33,8.0,8.3,1453160
2017-06-26,8.34,8.45,8.19,8.38,550563
2017-06-27,8.43,8.61,8.26,8.27,593600
2017-06-28,8.34,8.73,8.2716,8.58,793152
2017-06-29,8.7,8.98,8.5896,8.79,818332
2017-06-30,8.89,9.05,8.77,8.94,1102831
2017-07-03,9.04,9.2,8.94,9.08,436072
2017-07-05,9.0,9.06,8.68,8.74,547189
2017-07-06,8.77,8.95,8.67,8.69,598691
2017-07-07,8.66,8.72,8.455,8.69,456373
2017-07-10,8.61,9.08,8.6,8.99,455656
2017-07-11,9.01,9.34,8.89,9.17,789028
2017-07-12,9.31,9.34,9.09,9.16,651976
2017-07-13,9.17,9.48,9.17,9.31,678552
2017-07-14,9.32,9.53,9.32,9.34,455928
2017-07-17,9.32,9.46,9.24,9.29,313646
2017-07-18,9.38,9.39,9.15,9.19,302144
2017-07-19,9.19,9.39,9.12,9.3,707863
2017-07-20,9.19,9.31,8.77,8.87,577190
2017-07-21,8.91,8.9435,8.5,8.55,746967
2017-07-24,8.59,8.6,8.32,8.38,406877
2017-07-25,8.58,8.61,8.31,8.32,595403
2017-07-26,8.45,8.64,8.15,8.47,675017
2017-07-27,8.51,8.54,8.37,8.47,310313
2017-07-28,8.45,8.59,8.35,8.4,398047
2017-07-31,8.35,8.49,8.05,8.42,748121
2017-08-01,8.42,8.42,8.09,8.27,588825
2017-08-02,7.51,7.51,4.91,5.46,10879934
2017-08-03,5.48,6.16,5.44,5.91,4006315
2017-08-04,5.96,6.51,5.93,6.35,2320329
2017-08-07,6.29,6.43,6.2,6.38,991569
2017-08-08,6.29,6.54,6.2,6.37,1333178
2017-08-09,6.37,6.51,6.08,6.11,1424275
2017-08-10,6.16,6.19,5.9,5.96,1029076
2017-08-11,5.79,6.09,5.69,5.95,932040
2017-08-14,5.96,6.19,5.795,5.97,1304333
2017-08-15,5.93,5.95,5.733,5.9,1363020
2017-08-16,5.92,5.97,5.85,5.86,813360
2017-08-17,5.81,5.92,5.54,5.58,1194090
2017-08-18,5.56,5.65,5.49,5.63,1046026
2017-08-21,5.61,5.68,5.49,5.6,587156
2017-08-22,5.66,5.75,5.47,5.5,724342
2017-08-23,5.62,5.92,5.46,5.49,1208366
2017-08-24,5.48,5.56,5.36,5.44,965773
2017-08-25,5.47,5.61,5.44,5.47,677467
2017-08-28,5.47,5.52,5.23,5.29,674883
2017-08-29,5.21,5.27,5.12,5.18,819921
2017-08-30,5.16,5.19,5.04,5.1,868974
2017-08-31,5.12,5.215,5.12,5.18,694726
2017-09-01,5.2,5.24,5.15,5.21,460254
2017-09-05,5.25,5.38,5.11,5.12,925394
