date,open,high,low,close,volume
2017-01-03,10.989,11.0966,10.8724,11.0339,1000076
2017-01-04,11.1864,11.4734,11.1505,11.294,1109009
2017-01-05,11.0697,11.1236,10.7827,10.9172,1122857
2017-01-06,11.1146,11.1469,10.7109,10.7558,991455
2017-01-09,10.7558,10.8634,10.6571,10.7199,1232262
2017-01-10,10.693,11.0428,10.693,10.9352,992539
2017-01-11,10.9441,11.0025,10.7882,10.9172,855426
2017-01-12,10.8634,11.0339,10.7289,11.0249,1411351
2017-01-13,11.0339,11.2133,11.0304,11.1415,813580
2017-01-17,11.2761,11.8152,11.2043,11.5183,1359129
2017-01-18,11.5003,11.5183,11.1684,11.3658,1287148
2017-01-19,11.3299,11.3478,10.9531,11.0787,1018460
2017-01-20,11.1056,11.2402,11.0249,11.2222,945263
2017-01-23,11.1864,11.3299,11.0518,11.2671,1065105
2017-01-24,11.3299,11.4644,11.1953,11.4106,871618
2017-01-25,11.5272,11.8592,11.519,11.7605,1208941
2017-01-26,11.7694,11.8502,11.294,11.3119,1429519
2017-01-27,11.3747,11.3837,10.8634,11.0339,1785885
2017-01-30,10.9531,11.137,10.8096,11.0518,1059898
2017-01-31,10.9441,11.5183,10.8544,11.4555,1924871
2017-02-01,11.4555,11.5272,11.1415,11.1864,1153100
2017-02-02,11.2312,11.8098,11.1505,11.4914,1540724
2017-02-03,11.5452,11.9219,11.4779,11.5183,1130374
2017-02-06,11.599,11.6528,11.3837,11.4734,1101362
2017-02-07,11.5272,11.5631,11.2312,11.2581,900211
2017-02-08,11.3209,11.7336,11.1774,11.7336,1117085
2017-02-09,11.6977,12.0422,11.6169,11.9489,1051433
2017-02-10,12.0655,12.2,11.913,12.1193,851592
2017-02-13,12.2449,12.2449,11.9489,12.0386,769274
2017-02-14,11.9578,12.3884,11.8053,12.2539,838399
2017-02-15,12.1462,12.218,11.9623,12.1462,876574
2017-02-16,12.0924,12.1821,11.4914,11.5541,1591799
2017-02-17,11.5811,11.6887,11.5093,11.6797,1131731
2017-02-21,11.8861,11.9103,11.599,11.6887,1245480
2017-02-22,11.7246,11.7612,11.4914,11.6797,1297409
2017-02-23,11.6169,11.7336,11.1864,11.2043,1158417
2017-02-24,11.2402,11.5003,10.9441,11.3747,1421401
2017-02-27,11.3747,11.5811,11.3119,11.5541,1283960
2017-02-28,11.5003,11.5183,11.2133,11.3927,1675853
2017-03-01,11.59,11.6169,10.8455,11.1236,1788337
2017-03-02,11.2043,11.7425,11.2043,11.599,1713304
2017-03-03,11.6708,11.7066,11.0697,11.2312,1324762
2017-03-06,11.2133,11.2581,11.0159,11.2133,1297550
2017-03-07,11.1505,11.2133,11.0473,11.1056,1054099
2017-03-08,11.0518,11.2402,11.0069,11.2043,1078467
2017-03-09,10.8814,10.8993,10.3611,10.6661,2714109
2017-03-10,10.4597,10.9083,10.379,10.8275,2095354
2017-03-13,10.7199,10.7916,10.545,10.693,2319721
2017-03-14,10.6391,10.9172,10.6033,10.8544,2154049
2017-03-15,10.8993,11.0069,10.7109,10.9711,3396866
2017-03-16,9.5896,10.1368,9.2308,9.7331,11179749
2017-03-17,9.7959,10.1816,9.7062,10.1368,8264146
2017-03-20,10.1278,10.2175,9.9215,9.9843,2968803
2017-03-21,10.0291,10.074,9.5627,9.76,2252049
2017-03-22,9.7421,9.7421,9.4281,9.5627,2270642
2017-03-23,9.6165,9.9843,9.6165,9.8049,1675705
2017-03-24,9.8228,9.8497,9.6479,9.7869,1820567
2017-03-27,9.7091,10.048,9.7091,9.9106,1683632
2017-03-28,9.9198,10.0205,9.8007,9.9381,1555770
2017-03-29,9.9839,10.3777,9.8835,10.277,1691261
2017-03-30,10.2403,10.3044,10.0938,10.1945,994855
2017-03-31,10.2037,10.3044,10.1671,10.2129,1336089
2017-04-03,10.1671,10.2129,9.9289,10.0846,1731956
2017-04-04,9.9655,10.0388,9.7182,9.8007,1619963
2017-04-05,9.819,9.8868,9.5992,9.6175,1279286
2017-04-06,9.7274,9.9563,9.7091,9.764,1489342
2017-04-07,9.7549,9.874,9.7182,9.8282,1201513
2017-04-10,9.8556,10.0755,9.7915,9.9198,1233862
2017-04-11,9.9198,10.2495,9.8511,10.2129,1765244
2017-04-12,10.2678,10.2999,10.1442,10.1671,1107540
2017-04-13,10.1945,10.222,9.9106,9.9655,1031332
2017-04-17,10.0022,10.0938,9.9472,10.048,946488
2017-04-18,10.0022,10.0755,9.9106,9.9655,577248
2017-04-19,10.0113,10.222,9.9747,10.0755,909672
2017-04-20,10.4876,10.6342,10.3044,10.5609,1497318
2017-04-21,10.5426,10.6159,10.2403,10.3502,1120936
2017-04-24,10.4602,10.5884,10.3136,10.4327,1047980
2017-04-25,10.4693,10.5426,10.3411,10.4144,720588
2017-04-26,10.4418,10.68,10.4235,10.5609,882441
2017-04-27,10.5609,10.5792,10.3869,10.4693,668881
2017-04-28,10.4418,10.4418,10.1579,10.222,751324
2017-05-01,10.2129,10.277,10.0938,10.1396,653581
2017-05-02,10.1396,10.396,10.135,10.3777,714951
2017-05-03,10.3686,10.4418,10.2037,10.3594,687059
2017-05-04,10.3594,10.4418,10.1442,10.1671,606795
2017-05-05,10.2037,10.4052,10.1579,10.3686,706201
2017-05-08,10.3869,10.5701,10.3594,10.3777,688046
2017-05-09,10.3777,10.5838,10.3594,10.451,907978
2017-05-10,10.4785,10.7624,10.4785,10.6891,877760
2017-05-11,10.5426,10.5792,10.0022,10.0113,1149355
2017-05-12,9.9472,9.9747,9.4801,9.5992,1937690
2017-05-15,9.6175,9.7146,9.4068,9.416,964690
2017-05-16,9.3519,9.3519,9.1595,9.1778,1826606
2017-05-17,9.1595,9.2236,8.8847,8.9855,2025220
2017-05-18,8.9946,9.1412,8.8114,8.8847,1379952
2017-05-19,8.8847,9.0679,8.7565,9.013,1308724
2017-05-22,8.9763,9.2969,8.9397,9.2786,1587533
2017-05-23,9.2969,9.3885,9.1687,9.2145,1770016
2017-05-24,9.0679,9.2786,8.958,9.1412,3399333
2017-05-25,10.6983,10.8082,10.2037,10.451,5517921
