date,open,high,low,close,volume
2017-01-03,30.0,31.0099,29.6087,29.93,649204
2017-01-04,30.06,30.53,29.8,29.99,642562
2017-01-05,28.64,29.16,27.32,28.65,2100956
2017-01-06,26.44,28.52,26.26,27.8,3658585
2017-01-09,27.83,27.85,27.42,27.56,651883
2017-01-10,27.8,29.57,27.66,29.38,1038985
2017-01-11,29.57,29.58,27.58,27.74,719765
2017-01-12,27.47,27.74,26.99,27.02,729596
2017-01-13,27.19,27.5,26.74,27.09,471062
2017-01-17,27.31,28.94,27.2,27.75,635025
2017-01-18,28.04,28.32,26.65,27.16,555907
2017-01-19,27.25,27.42,26.68,26.75,458474
2017-01-20,27.14,27.19,26.61,26.98,403985
2017-01-23,27.23,27.48,26.41,26.56,464869
2017-01-24,26.62,27.14,26.46,27.01,687383
2017-01-25,27.2,27.83,27.2,27.35,383811
2017-01-26,27.35,27.42,26.62,26.66,664586
2017-01-27,26.6,26.96,25.1,25.25,775462
2017-01-30,25.36,25.75,24.78,25.58,633824
2017-01-31,25.12,26.26,24.62,26.26,868772
2017-02-01,26.3,26.74,25.69,25.86,814927
2017-02-02,25.7,25.9,25.06,25.38,463858
2017-02-03,24.93,25.24,24.38,24.89,638572
2017-02-06,24.93,25.23,24.7,25.1,560271
2017-02-07,25.23,25.575,24.42,24.51,1174891
2017-02-08,24.49,25.37,24.28,25.07,505285
2017-02-09,25.91,26.15,25.11,25.71,415265
2017-02-10,25.97,26.86,25.9135,26.59,562767
2017-02-13,26.79,26.79,25.6,25.67,424692
2017-02-14,25.49,26.47,25.46,25.95,474845
2017-02-15,25.95,26.23,25.73,26.1,373735
2017-02-16,26.17,26.38,25.65,25.95,599825
2017-02-17,25.96,26.7,25.86,26.48,362442
2017-02-21,26.7,26.95,26.35,26.64,289547
2017-02-22,26.75,26.99,26.6,26.84,309398
2017-02-23,26.81,27.48,26.28,26.51,390338
2017-02-24,26.5,27.19,25.9,26.92,385314
2017-02-27,26.92,27.335,26.75,26.9,454232
2017-02-28,26.83,26.83,25.52,25.73,567624
2017-03-01,26.22,26.35,25.325,25.68,536799
2017-03-02,25.75,26.55,25.57,25.75,733973
2017-03-03,25.75,26.09,24.75,24.93,524200
2017-03-06,24.9,25.79,24.3,24.61,710307
2017-03-07,24.54,24.86,24.05,24.11,341452
2017-03-08,24.16,24.88,24.07,24.77,336323
2017-03-09,24.79,24.91,23.9505,24.07,361386
2017-03-10,24.27,24.71,24.18,24.43,367988
2017-03-13,24.42,24.78,23.74,23.95,317302
2017-03-14,23.86,24.58,23.75,24.48,415799
2017-03-15,24.6,25.18,24.36,24.92,782719
2017-03-16,24.95,25.44,24.6269,24.91,491128
2017-03-17,24.98,24.98,23.75,24.26,1170553
2017-03-20,24.06,24.13,23.49,23.61,658249
2017-03-21,23.77,24.16,22.14,22.68,1046046
2017-03-22,22.54,22.54,21.3,22.02,1070890
2017-03-23,22.17,23.46,22.17,22.96,884464
2017-03-24,22.9,23.28,22.41,22.92,1780711
2017-03-27,20.25,20.75,19.105,19.69,8497338
2017-03-28,19.51,20.54,19.43,20.17,3537067
2017-03-29,20.11,21.615,20.11,21.49,1534363
2017-03-30,21.3,21.87,21.06,21.69,1249468
2017-03-31,21.72,22.18,21.51,21.89,1079005
2017-04-03,22.01,22.26,21.58,22.02,913367
2017-04-04,22.15,22.6,22.01,22.58,1709251
2017-04-05,22.84,24.01,22.8,23.45,1888389
2017-04-06,23.5,24.63,23.5,24.05,1683942
2017-04-07,24.0,24.625,23.91,24.43,1224133
2017-04-10,24.47,24.93,24.09,24.41,810667
2017-04-11,24.35,24.54,23.97,24.38,1148011
2017-04-12,24.36,24.665,24.07,24.22,837355
2017-04-13,24.15,24.57,23.71,24.33,723629
2017-04-17,24.4,24.525,23.91,24.07,1021990
2017-04-18,23.93,23.945,23.0,23.21,1180565
2017-04-19,23.43,23.72,22.86,23.49,840721
2017-04-20,23.61,24.19,23.35,23.98,755355
2017-04-21,23.96,23.96,23.0601,23.59,913039
2017-04-24,23.99,24.505,23.72,24.35,554998
2017-04-25,24.47,24.84,24.03,24.23,558558
2017-04-26,24.38,25.0,24.28,24.68,574521
2017-04-27,24.84,24.99,24.2288,24.58,518832
2017-04-28,24.47,24.95,23.54,23.7,524667
2017-05-01,23.78,23.78,23.15,23.22,595164
2017-05-02,23.39,23.88,23.12,23.87,696250
2017-05-03,24.0,24.13,23.32,23.62,601219
2017-05-04,23.63,24.06,23.38,23.64,638189
2017-05-05,23.75,24.09,23.53,24.06,563271
2017-05-08,24.1,24.45,23.88,23.91,492018
2017-05-09,24.0,24.97,23.98,24.69,465283
2017-05-10,24.51,25.09,24.45,24.89,523942
2017-05-11,24.5,24.79,22.61,23.34,847518
2017-05-12,23.27,23.27,21.19,21.47,976042
2017-05-15,21.4,21.505,20.91,20.95,621838
2017-05-16,20.89,21.0,20.05,20.82,891486
2017-05-17,20.69,20.78,19.69,19.8,694008
2017-05-18,19.9,20.11,18.86,18.93,1447799
2017-05-19,19.03,19.53,18.0,19.13,1153053
2017-05-22,19.33,20.34,19.23,19.97,707826
2017-05-23,20.0,20.15,19.75,19.83,627326
2017-05-24,19.76,19.89,19.01,19.6,442436
2017-05-25,19.89,20.495,19.81,20.155,685517
2017-05-26,20.24,20.8,20.1,20.37,792647
2017-05-30,20.34,20.51,19.74,19.77,384267
2017-05-31,19.8,19.8,19.02,19.57,554330
2017-06-01,19.64,19.96,19.26,19.81,860647
2017-06-02,20.01,20.225,19.49,20.05,444762
2017-06-05,19.96,20.24,19.26,19.89,842477
2017-06-06,25.6,25.79,22.19,22.92,11621466
2017-06-07,23.31,24.8,22.85,24.5,2627494
2017-06-08,24.49,25.23,24.2099,24.22,1284757
2017-06-09,24.41,26.32,24.4,25.84,1373173
2017-06-12,25.61,26.66,25.53,25.63,1451175
2017-06-13,25.55,26.06,24.65,25.81,1101263
2017-06-14,25.76,26.23,24.84,26.16,922301
2017-06-15,25.58,25.92,24.91,25.78,653363
2017-06-16,25.47,25.65,24.895,25.3,961177
2017-06-19,25.46,25.7,24.9472,25.53,529313
2017-06-20,25.51,25.68,24.48,24.72,472425
2017-06-21,24.61,24.97,23.93,24.18,448686
2017-06-22,24.2,24.72,23.95,24.43,590331
2017-06-23,24.32,24.61,23.93,24.46,1943717
2017-06-26,24.54,25.24,24.44,24.89,1113388
2017-06-27,24.81,25.5,24.81,25.29,781745
2017-06-28,25.3,26.01,25.2,25.32,638209
2017-06-29,25.39,26.23,25.15,25.19,669805
2017-06-30,25.64,25.64,24.715,24.95,1405162
2017-07-03,25.09,25.99,25.09,25.55,295826
2017-07-05,25.42,26.1844,24.72,24.78,423532
2017-07-06,24.53,24.74,23.04,23.21,1076022
2017-07-07,23.14,23.67,22.66,22.77,795268
2017-07-10,22.64,22.77,22.04,22.36,741968
2017-07-11,22.27,22.58,21.651,22.44,922161
2017-07-12,22.68,23.15,22.03,22.32,703175
2017-07-13,22.33,23.19,21.85,22.97,1017799
2017-07-14,23.06,23.5,23.04,23.21,730145
2017-07-17,23.4,24.19,23.14,23.74,740449
2017-07-18,23.72,23.97,23.28,23.54,711479
2017-07-19,23.5,24.32,23.48,23.96,472598
2017-07-20,24.01,24.83,23.4813,24.56,593789
2017-07-21,24.73,24.9,24.325,24.89,830739
2017-07-24,24.83,24.855,24.31,24.48,686491
2017-07-25,24.53,25.53,24.31,25.17,723276
2017-07-26,25.21,25.65,25.06,25.21,606402
2017-07-27,25.29,26.0699,25.0,25.88,831645
2017-07-28,25.73,26.12,25.46,25.97,438671
2017-07-31,26.1,26.28,25.64,26.03,325880
2017-08-01,26.01,26.502,25.78,26.42,281560
