date,open,high,low,close,volume
2017-01-03,21.69,21.89,20.24,21.18,7218478
2017-01-04,21.19,21.47,21.02,21.32,4032053
2017-01-05,21.28,21.6,21.05,21.45,4195668
2017-01-06,21.63,21.77,21.23,21.61,2563026
2017-01-09,21.43,21.43,20.59,20.6,2373735
2017-01-10,20.81,21.09,20.51,20.81,2834051
2017-01-11,20.9,21.12,20.67,21.02,2472510
2017-01-12,21.31,21.37,20.85,20.93,2845095
2017-01-13,20.93,21.16,20.72,20.79,2247390
2017-01-17,20.98,20.98,20.44,20.67,2579519
2017-01-18,20.59,21.385,20.59,21.14,3304330
2017-01-19,21.24,21.77,21.24,21.57,2908515
2017-01-20,21.8,22.06,21.47,21.7,2995840
2017-01-23,21.52,21.67,21.17,21.32,2459950
2017-01-24,21.4,21.89,21.32,21.57,2729066
2017-01-25,21.57,22.05,21.5,21.89,2556017
2017-01-26,22.1,22.27,21.9,22.18,3626307
2017-01-27,21.98,22.35,21.915,22.1,3578863
2017-01-30,21.93,21.93,21.02,21.05,3425654
2017-01-31,21.13,21.255,20.73,20.9,5849581
2017-02-01,21.18,21.3,20.5,20.88,2933562
2017-02-02,20.81,21.34,20.505,21.21,2765536
2017-02-03,21.17,21.35,21.02,21.19,1870385
2017-02-06,21.17,21.5,20.405,20.49,3764319
2017-02-07,20.5,20.78,19.76,20.04,3465960
2017-02-08,19.91,20.0247,19.54,19.87,2335361
2017-02-09,20.04,20.585,20.0,20.47,2587503
2017-02-10,20.55,20.91,20.37,20.71,3107205
2017-02-13,20.76,20.77,20.41,20.68,2827556
2017-02-14,20.68,20.85,19.56,20.77,8543008
2017-02-15,20.83,21.36,20.4,20.44,3694686
2017-02-16,20.2,20.48,19.63,19.71,4396832
2017-02-17,19.6,19.845,19.44,19.48,2848241
2017-02-21,19.41,19.445,19.12,19.28,3431880
2017-02-22,19.11,19.13,18.61,18.66,4012435
2017-02-23,18.9,19.06,18.2401,18.64,4376701
2017-02-24,18.53,18.59,18.04,18.12,3869493
2017-02-27,18.09,18.1,17.65,17.76,6257685
2017-02-28,17.61,17.76,17.23,17.34,5447604
2017-03-01,17.47,17.83,17.29,17.7,2836588
2017-03-02,17.58,17.68,17.4,17.42,2104243
2017-03-03,17.45,17.665,17.09,17.19,2406887
2017-03-06,17.39,17.59,17.26,17.45,3570471
2017-03-07,17.51,17.52,16.985,17.11,3371891
2017-03-08,17.14,17.5,16.79,16.865,2803000
2017-03-09,16.85,17.26,16.57,17.07,5635147
2017-03-10,17.19,17.335,16.67,16.83,4823604
2017-03-13,16.83,17.07,16.42,16.55,5969333
2017-03-14,16.34,16.675,16.05,16.62,4503150
2017-03-15,16.76,17.16,16.58,17.05,3855024
2017-03-16,17.05,17.16,16.8,16.81,2981673
2017-03-17,16.81,16.87,16.5,16.59,4832095
2017-03-20,16.41,16.55,16.19,16.51,1902679
2017-03-21,16.57,16.79,16.25,16.43,3174840
2017-03-22,16.27,16.57,15.95,16.1,2504191
2017-03-23,15.93,16.19,15.66,15.89,4928663
2017-03-24,16.01,16.375,15.94,16.23,2706760
2017-03-27,16.04,16.58,15.97,16.55,3558698
2017-03-28,16.37,16.835,16.051,16.5,4666238
2017-03-29,16.58,17.325,16.55,17.17,4875485
2017-03-30,17.28,17.38,16.84,16.89,3702950
2017-03-31,16.83,17.27,16.82,17.19,3538761
2017-04-03,17.15,17.37,16.79,17.24,4603234
2017-04-04,17.37,17.62,17.02,17.52,6257020
2017-04-05,17.76,17.82,16.96,16.99,3431791
2017-04-06,17.12,17.49,17.01,17.39,2063171
2017-04-07,17.39,17.5,17.12,17.26,2324430
2017-04-10,17.31,17.549,17.24,17.43,1606762
2017-04-11,17.42,17.42,17.065,17.23,1979891
2017-04-12,17.16,17.18,16.54,16.64,4073796
2017-04-13,16.64,16.7,15.78,15.85,7053685
2017-04-17,15.86,15.91,15.555,15.7,2775460
2017-04-18,15.56,15.73,15.31,15.44,3872329
2017-04-19,15.68,16.19,15.4,15.66,8772542
2017-04-20,15.7,16.46,15.56,16.22,4127091
2017-04-21,16.2,16.67,16.115,16.59,4583735
2017-04-24,16.74,16.99,16.52,16.75,4345507
2017-04-25,16.78,16.805,16.44,16.71,3232760
2017-04-26,16.64,17.32,16.545,16.6,3728695
2017-04-27,16.49,16.59,15.95,16.16,3915790
2017-04-28,16.4,16.445,15.83,15.88,3546744
2017-05-01,15.86,15.92,15.55,15.63,2688725
2017-05-02,15.64,15.98,15.49,15.62,2346824
2017-05-03,15.58,15.75,15.38,15.54,2814242
2017-05-04,15.42,15.43,14.77,15.04,4151323
2017-05-05,15.14,15.73,15.05,15.69,4579738
2017-05-08,15.65,15.95,15.49,15.79,3019607
2017-05-09,16.94,16.94,15.81,16.12,5335480
2017-05-10,16.24,16.695,16.11,16.46,5762722
