date,open,high,low,close,volume
2017-01-03,29.0,29.125,27.55,27.75,196492
2017-01-04,27.95,28.5,27.9,28.1,156650
2017-01-05,27.95,28.65,27.95,28.25,91931
2017-01-06,28.2,28.2,27.6,27.8,101349
2017-01-09,27.9,28.05,27.3,27.6,202252
2017-01-10,27.8,29.45,27.8,29.15,521754
2017-01-11,29.2,29.7,28.85,29.6,321367
2017-01-12,29.5,29.5,28.0,28.45,123816
2017-01-13,28.55,29.1,28.45,28.55,123520
2017-01-17,28.5,28.5,27.9,28.05,100371
2017-01-18,28.05,28.8,27.9,28.75,146292
2017-01-19,28.75,28.85,28.175,28.4,120363
2017-01-20,28.45,29.2,28.45,28.85,242734
2017-01-23,28.8,29.05,28.7,28.8,135258
2017-01-24,28.9,29.25,28.5,28.95,219604
2017-01-25,29.15,29.4,28.95,29.25,83723
2017-01-26,29.25,29.45,28.95,29.3,83799
2017-01-27,29.3,29.4,28.75,29.35,71731
2017-01-30,29.15,29.15,28.35,28.5,86062
2017-01-31,28.45,28.5,28.2,28.25,94905
2017-02-01,28.35,28.35,27.2,27.9,233241
2017-02-02,27.75,27.945,27.25,27.4,72741
2017-02-03,27.55,28.2,27.55,28.15,107063
2017-02-06,28.2,28.2,27.375,27.5,65690
2017-02-07,27.5,27.75,27.25,27.65,77746
2017-02-08,27.75,27.95,27.25,27.65,136136
2017-02-09,27.95,28.5,27.85,28.35,81894
2017-02-10,28.35,28.4,27.9,28.15,94914
2017-02-13,28.35,28.8,28.05,28.6,160017
2017-02-14,28.5,28.75,28.25,28.75,100741
2017-02-15,28.6,29.15,28.45,28.8,145867
2017-02-16,28.85,29.55,28.85,29.05,116640
2017-02-17,29.1,29.25,28.7,29.0,108541
2017-02-21,29.05,29.126,28.15,28.5,110795
2017-02-22,28.45,28.95,28.2,28.8,119510
2017-02-23,28.9,28.9,28.0,28.45,109392
2017-02-24,28.3,28.65,28.0,28.0,60814
2017-02-27,28.0,28.9,27.85,28.9,119516
2017-02-28,28.8,28.8,27.7,27.9,148848
2017-03-01,28.2,28.5,27.65,28.2,173998
2017-03-02,27.9,28.15,27.475,27.55,141539
2017-03-03,27.5,27.85,26.8,27.0,243066
2017-03-06,26.75,26.95,26.2,26.35,88857
2017-03-07,26.3,27.8,26.25,26.9,573552
2017-03-08,26.3,27.05,24.6,25.5,700282
2017-03-09,25.95,26.0,23.1,23.5,829675
2017-03-10,23.75,24.225,23.5,24.0,488458
2017-03-13,23.9,24.7,23.8,24.6,254877
2017-03-14,24.5,24.65,23.5,23.55,308274
2017-03-15,23.85,25.1,23.75,24.9,266061
2017-03-16,25.1,25.6,24.7,25.25,172867
2017-03-17,25.3,25.5,25.1,25.35,308975
2017-03-20,25.25,25.55,24.95,25.2,214170
2017-03-21,25.35,25.4,24.05,24.15,396864
2017-03-22,24.1,24.35,23.45,23.55,274896
2017-03-23,23.5,23.8,23.1,23.25,268323
2017-03-24,23.1,23.7,23.1,23.65,157213
