date,open,high,low,close,volume
2017-01-03,56.6479,56.7364,54.5808,55.2698,727426
2017-01-04,55.319,57.583,55.2698,56.9432,699592
2017-01-05,56.5986,56.9432,55.9195,56.0573,577011
2017-01-06,56.1065,56.1065,53.941,54.63,695204
2017-01-09,54.3839,56.4018,54.0886,55.7127,559784
2017-01-10,55.3682,56.6872,54.9253,55.5651,1037848
2017-01-11,55.8112,56.1557,54.5562,56.1557,868317
2017-01-12,55.7127,55.9096,54.2746,54.7776,517633
2017-01-13,55.0729,56.6971,54.9745,56.6479,580665
2017-01-17,56.3033,57.0219,55.1222,55.3682,585473
2017-01-18,55.4174,56.008,55.1714,55.762,441882
2017-01-19,55.8604,56.2049,54.3347,54.3347,691392
2017-01-20,54.4823,55.4174,54.187,54.8761,632726
2017-01-23,54.8269,55.2944,52.5247,53.0551,946772
2017-01-24,53.7441,54.1378,53.3012,54.0886,866589
2017-01-25,53.1535,54.9745,50.3482,50.988,2182128
2017-01-26,50.7419,52.6072,50.7419,51.9723,1042271
2017-01-27,51.8739,51.8739,50.4958,50.6927,803864
2017-01-30,50.2005,50.8649,49.4131,50.3974,882626
2017-01-31,50.0529,50.6435,49.4131,50.1513,840744
2017-02-01,50.299,50.7813,49.4375,49.7084,590242
2017-02-02,49.4623,50.6435,48.9209,49.3639,952537
2017-02-03,49.9052,50.6435,49.4131,50.0037,527226
2017-02-06,50.0037,50.4718,49.1424,49.5607,668006
2017-02-07,49.5115,50.3974,49.4131,49.6099,704127
2017-02-08,49.7084,50.1021,49.1178,49.7084,726122
2017-02-09,50.2005,51.1602,50.1021,50.6927,1133007
2017-02-10,51.1356,51.3325,50.3974,50.545,472644
2017-02-13,51.1356,51.5786,50.9388,51.0372,442174
2017-02-14,50.7911,50.7911,49.7311,50.299,691508
2017-02-15,50.545,51.4181,50.2629,50.3482,921895
2017-02-16,50.3482,50.5135,49.167,49.6099,761913
2017-02-17,49.4623,49.6345,48.5764,49.5115,737606
2017-02-21,49.5115,49.9051,49.0686,49.5115,730348
2017-02-22,49.3146,49.6099,49.0686,49.3639,539804
2017-02-23,49.4131,49.4623,48.5764,48.7733,758255
2017-02-24,48.5764,49.3639,48.4287,49.2162,460707
2017-02-27,49.0686,49.2654,48.5272,48.724,571654
2017-02-28,48.6748,49.044,47.8874,47.8874,786319
2017-03-01,48.5764,49.5115,48.5764,48.6256,853004
2017-03-02,48.6256,48.8225,48.0941,48.3795,717876
2017-03-03,48.5272,49.3639,48.5272,49.167,605644
2017-03-06,48.7733,48.9701,47.8382,48.724,890649
2017-03-07,48.5764,48.8225,47.0999,47.2968,880344
2017-03-08,47.3952,48.1827,46.8046,48.035,843538
2017-03-09,48.0842,48.5272,47.7643,47.8382,526158
2017-03-10,48.035,48.2319,47.0365,47.4444,850636
2017-03-13,47.2476,48.4534,47.0015,48.035,695977
2017-03-14,47.8874,48.1827,47.0753,47.2476,761062
2017-03-15,47.1491,49.4869,47.0015,48.9701,1120610
2017-03-16,49.167,49.2162,47.0999,47.4444,945802
2017-03-17,47.346,49.2162,47.2968,49.1178,1579977
2017-03-20,49.167,49.4623,48.035,48.2319,905743
2017-03-21,48.3795,48.478,45.8301,45.9187,963279
2017-03-22,45.9679,46.6963,45.3281,46.5585,976144
2017-03-23,46.3617,47.0753,45.9187,46.903,502503
2017-03-24,46.903,48.0842,46.8538,47.6905,505638
2017-03-27,47.4936,48.6045,47.0015,48.2319,643957
2017-03-28,47.9858,48.5165,46.5831,47.2476,856540
2017-03-29,47.0015,47.0999,45.9187,46.0172,1117794
2017-03-30,46.1648,46.3617,45.8695,45.9679,661861
2017-03-31,45.9187,46.0418,45.6234,45.7219,1164968
2017-04-03,45.7711,46.657,45.6234,46.5585,774000
2017-04-04,46.214,46.7062,45.5742,45.7219,606301
2017-04-05,45.6234,45.9187,45.1313,45.1805,865979
2017-04-06,45.0328,45.7056,44.7867,45.3281,774083
2017-04-07,45.1313,45.5988,44.7375,45.0328,589372
2017-04-10,46.1156,48.1335,45.9679,47.3952,1427648
2017-04-11,47.1491,48.2319,46.7062,48.1581,723027
2017-04-12,48.2319,49.1178,47.6659,47.8874,778046
2017-04-13,48.1335,48.2319,47.5429,47.5921,674123
2017-04-17,48.035,48.1335,47.3165,47.8382,671057
2017-04-18,47.6413,48.1335,47.2476,47.7397,618684
2017-04-19,48.035,50.0037,48.0094,49.7084,917259
2017-04-20,50.1021,51.1356,49.856,51.0864,1212369
2017-04-21,52.9074,55.2698,52.0215,52.4153,2863970
2017-04-24,53.498,54.4823,53.2027,53.9902,1074660
2017-04-25,53.9902,54.7284,52.8582,53.2027,1059814
2017-04-26,53.2027,53.6949,53.1043,53.498,1105260
2017-04-27,53.1043,54.1378,52.8582,53.5472,1342723
2017-04-28,53.5472,53.8917,53.1043,53.4488,661910
2017-05-01,53.7441,53.8868,52.9074,53.1043,671572
2017-05-02,53.1043,54.8269,52.6712,54.753,735746
2017-05-03,54.4823,54.9253,53.498,54.5316,550005
2017-05-04,54.7776,54.8269,53.3012,53.6949,579380
2017-05-05,53.9902,54.0148,52.8582,52.9566,679872
2017-05-08,52.9566,53.6457,52.2184,52.2676,596975
2017-05-09,52.3168,53.2519,52.3168,52.9566,583205
2017-05-10,52.809,53.4242,52.5137,52.6121,436143
2017-05-11,52.4645,52.7106,51.7755,52.366,419997
2017-05-12,52.2676,52.6121,51.9723,52.4645,466401
2017-05-15,52.7106,53.2519,52.4153,52.7598,593953
