date,open,high,low,close,volume
2017-01-03,17.8513,18.4669,17.3237,18.0712,492413
2017-01-04,18.2031,18.6648,17.9616,18.4669,472178
2017-01-05,18.5548,18.8186,17.2358,17.7634,542369
2017-01-06,17.7634,18.0272,16.972,17.1478,599639
2017-01-09,17.0599,17.1918,16.0046,16.4883,989921
2017-01-10,16.5762,16.884,16.0046,16.3564,530493
2017-01-11,16.3564,16.928,16.3564,16.7081,570533
2017-01-12,17.0599,17.0599,16.1805,16.5323,361270
2017-01-13,16.3124,16.5762,16.1805,16.5762,451389
2017-01-17,16.7081,16.7081,16.4443,16.6642,395709
2017-01-18,16.5762,16.7081,16.4004,16.6202,632846
2017-01-19,16.884,17.1039,16.3124,16.4004,449903
2017-01-20,16.6202,17.6755,16.6202,16.972,842020
2017-01-23,16.972,17.1918,16.3784,16.7081,647808
2017-01-24,16.8401,17.4996,16.4883,17.1478,1680209
2017-01-25,17.1478,17.6755,17.0599,17.3677,1160065
2017-01-26,17.5436,17.8513,17.0159,17.5436,879747
2017-01-27,17.4556,17.8513,17.3895,17.5436,539017
2017-01-30,17.4116,17.4116,16.5762,17.0599,432720
2017-01-31,17.1478,17.4556,16.972,17.3677,273592
2017-02-01,17.5436,17.7696,17.1918,17.4556,428464
2017-02-02,17.5875,17.6755,16.928,17.1039,390548
2017-02-03,17.3237,18.0712,16.884,17.9393,939828
2017-02-06,17.9393,18.5988,17.8953,18.1591,1284922
2017-02-07,17.9393,18.5548,17.2358,17.4116,772512
2017-02-08,17.3237,17.4556,16.4004,17.3677,919139
2017-02-09,17.5875,17.9393,17.3457,17.4996,620620
2017-02-10,17.7194,18.1151,17.4556,17.9393,629001
2017-02-13,17.8074,18.2031,17.6755,17.8953,352128
2017-02-14,17.9832,18.5548,17.7194,18.5109,437415
2017-02-15,18.379,18.5548,18.0272,18.291,359233
2017-02-16,18.379,18.5988,17.8513,18.4669,477184
2017-02-17,18.4229,18.9066,17.9832,18.7307,695567
2017-02-21,18.9945,19.5221,18.6867,18.8186,1222243
2017-02-22,18.6867,20.4895,18.5109,19.3023,1888545
2017-02-23,19.786,19.9179,17.8953,18.0712,1652679
2017-02-24,15.7848,16.2245,15.2572,15.2572,18614458
2017-02-27,15.3891,15.9607,15.3891,15.6529,5615516
2017-02-28,15.6969,15.8727,14.8615,15.1253,3491068
2017-03-01,15.3451,15.7848,15.2132,15.565,2548424
2017-03-02,15.6969,15.8288,15.455,15.477,2061762
2017-03-03,15.521,16.1805,15.3451,15.9167,2340691
2017-03-06,15.8727,16.3564,15.565,16.3564,1425096
2017-03-07,16.4443,16.4443,15.9607,16.0926,926126
2017-03-08,16.0926,16.2245,14.5976,15.1692,4661704
2017-03-09,14.9494,15.0179,12.3552,13.5864,6761751
2017-03-10,13.7622,14.2019,13.3665,13.9821,1692482
2017-03-13,14.07,14.3118,13.2346,13.6303,1255910
2017-03-14,13.2346,13.7622,12.2673,13.6743,2698988
2017-03-15,14.07,14.5976,13.5035,14.3338,1266926
2017-03-16,14.4657,14.5976,13.8502,14.2899,970596
2017-03-17,14.3338,14.8615,14.2899,14.6416,782608
2017-03-20,14.6416,14.6416,13.5864,13.8502,1215846
2017-03-21,13.8941,14.0041,12.2233,12.3992,3279264
2017-03-22,12.0914,12.707,11.9155,12.5751,1938028
2017-03-23,12.4871,13.4105,12.1794,13.0587,1444353
2017-03-24,13.4545,13.8941,13.2346,13.4984,2138351
2017-03-27,13.3665,13.9381,12.751,13.5424,1455089
2017-03-28,14.158,14.8175,13.6743,14.5537,2380694
2017-03-29,14.5976,15.2572,14.5097,14.9494,1980071
2017-03-30,15.1253,15.3891,14.5097,14.8615,1362112
2017-03-31,14.8175,15.3891,14.5097,15.2572,800228
2017-04-03,15.3891,15.7408,14.9054,15.0373,1341755
2017-04-04,15.3891,15.6529,15.1253,15.3891,979388
2017-04-05,15.6529,16.0486,15.0813,15.1692,1099424
2017-04-06,15.3891,15.9167,15.3847,15.6089,908022
2017-04-07,15.6969,15.7408,15.2132,15.565,1039085
2017-04-10,15.6969,16.0046,15.477,15.7408,1659773
2017-04-11,15.7408,15.8727,15.0373,15.8727,1946843
2017-04-12,15.9167,15.9607,15.1692,15.2572,1318072
2017-04-13,15.3451,15.3451,14.5097,14.7295,1508523
2017-04-17,14.7295,14.7735,13.6743,13.8502,2142211
2017-04-18,13.7183,14.3778,13.6743,14.158,1356666
2017-04-19,14.2019,14.4613,12.8389,12.9268,2406539
2017-04-20,13.1027,13.16,12.6338,12.7949,1820506
2017-04-21,12.7949,12.8389,12.0475,12.3992,3179185
2017-04-24,12.5751,13.2786,12.3992,12.9708,1859492
2017-04-25,13.3225,13.3665,12.751,13.2786,1454841
2017-04-26,13.1467,13.7622,13.0148,13.3225,1404097
2017-04-27,13.1906,13.1906,12.619,12.707,968481
2017-04-28,12.9268,12.9268,12.2717,12.4432,1779592
2017-05-01,12.4432,12.6988,12.0914,12.663,2238896
2017-05-02,12.663,13.0148,12.3992,12.9268,2082959
2017-05-03,12.9708,13.0148,12.1354,12.2673,1192479
2017-05-04,12.0914,12.0914,10.5085,11.3879,4055069
2017-05-05,11.4319,11.8716,11.0801,11.6957,2892652
2017-05-08,11.6517,11.9155,11.3,11.6957,736192
2017-05-09,11.7397,12.0475,11.322,11.8276,3111717
2017-05-10,12.0475,12.8153,11.8716,12.2673,5638873
2017-05-11,12.4432,12.751,12.3113,12.5751,2397149
2017-05-12,12.663,13.1027,12.4871,12.7949,1633379
2017-05-15,13.4105,13.5864,12.9268,13.1467,1341112
2017-05-16,13.1906,13.4105,13.0587,13.2346,763776
2017-05-17,13.0587,13.5424,12.5751,12.5751,1243115
2017-05-18,12.4871,12.9268,12.0914,12.7949,1520119
2017-05-19,12.9268,13.4764,12.9268,13.2786,1598730
2017-05-22,13.4545,13.4984,12.3113,12.3992,3173441
2017-05-23,12.4432,12.663,12.1354,12.663,1158665
2017-05-24,12.5311,12.707,12.1354,12.2673,1005757
2017-05-25,12.1354,12.707,11.5638,11.7836,1359669
2017-05-26,12.0035,12.1794,11.6957,12.0035,1123688
2017-05-30,11.8716,11.8716,11.1681,11.212,1669262
2017-05-31,10.8603,11.5418,10.6844,11.4759,1870097
2017-06-01,11.5198,11.9155,11.3,11.6078,1559092
2017-06-02,11.4319,11.5638,10.9922,11.1241,1023050
2017-06-05,11.0362,11.1461,10.4646,11.0362,1140885
2017-06-06,10.9482,11.8276,10.6404,11.6957,915087
2017-06-07,11.6957,11.7397,10.4646,10.5085,2408626
2017-06-08,10.5085,10.7724,10.3327,10.4646,1458713
2017-06-09,10.5085,10.9043,10.2008,10.8163,1576897
2017-06-12,10.9482,11.1681,10.8091,11.0362,990728
2017-06-13,10.9922,11.278,10.4206,11.1681,1715272
2017-06-14,11.1681,11.1681,10.0689,10.4206,2009326
2017-06-15,10.3766,10.3766,9.2334,9.2774,3032994
2017-06-16,9.4533,9.5412,8.9696,9.2334,1783659
2017-06-19,9.2334,9.3654,9.0136,9.0136,960900
2017-06-20,8.7498,9.2334,8.1782,9.1455,2349092
2017-06-21,9.1455,9.4093,8.1782,8.398,1651804
2017-06-22,8.442,8.7058,8.3541,8.398,1053205
2017-06-23,8.5739,8.8817,8.442,8.8817,1102873
2017-06-26,8.9696,9.2774,8.7498,9.1015,1254716
2017-06-27,9.2774,9.5852,8.9257,9.1895,1463186
2017-06-28,9.1455,9.9589,9.1015,9.4093,1966348
2017-06-29,9.6731,9.9369,9.3654,9.5852,1542515
2017-06-30,9.6731,9.893,9.5192,9.5412,938865
2017-07-03,9.6292,10.0249,9.6292,9.805,840685
2017-07-05,9.6731,9.7171,9.0796,9.1895,982700
2017-07-06,9.2774,9.5852,9.0576,9.2334,736078
2017-07-07,9.0576,9.1455,8.0023,8.0903,2728058
2017-07-10,8.0463,8.3321,7.9584,8.2222,1630716
2017-07-11,8.2661,8.3101,7.9144,8.2661,1810569
2017-07-12,8.5299,8.7058,8.0903,8.1782,1214107
2017-07-13,8.1782,8.7498,8.0683,8.7058,1412321
2017-07-14,8.7938,9.1015,8.6619,8.6619,1637061
2017-07-17,8.6619,9.1455,8.6399,8.8377,1635118
2017-07-18,9.0136,9.1015,8.7058,8.8817,1171495
2017-07-19,8.9257,9.5412,8.7938,9.1895,1378693
2017-07-20,9.2334,9.2554,8.2661,8.3101,2299341
2017-07-21,8.3541,8.442,8.1342,8.1782,1091110
2017-07-24,8.486,8.486,6.991,7.079,6100671
2017-07-25,7.3868,7.4307,7.079,7.1229,2621135
2017-07-26,7.2109,7.8264,7.1669,7.3428,2318208
2017-07-27,7.3868,7.3868,7.1229,7.2988,1265265
2017-07-28,7.2988,7.5846,7.1229,7.3428,1148001
2017-07-31,7.3428,7.5187,7.2109,7.2988,1109888
2017-08-01,7.5187,8.2499,7.4747,8.0903,2923632
2017-08-02,7.2109,7.5626,6.7712,7.3868,2283230
2017-08-03,8.1782,8.1782,6.6833,7.5187,8347867
2017-08-04,7.5187,8.2499,7.4747,8.0903,2923632
2017-08-07,8.1342,8.1342,7.2549,7.7825,2469339
2017-08-08,7.7385,7.7825,7.2109,7.2549,2339492
2017-08-09,7.2549,7.2988,7.035,7.2549,1177310
2017-08-10,7.2988,7.4747,7.079,7.1669,1372692
2017-08-11,7.079,7.2549,7.035,7.1229,768287
2017-08-14,7.1229,7.1625,6.7272,6.8152,2072537
2017-08-15,6.8152,6.8591,6.4854,6.6833,2251523
2017-08-16,6.6833,6.7712,6.4634,6.5514,1896850
2017-08-17,6.4634,6.7712,6.4194,6.5074,1154630
2017-08-18,6.5953,6.8459,6.3755,6.6393,1215888
2017-08-21,6.5953,6.7712,6.5074,6.6393,940068
2017-08-22,6.6833,6.9471,6.6393,6.7272,3076646
2017-08-23,6.7272,6.8591,6.6393,6.7272,2154321
2017-08-24,6.8152,6.8591,6.5953,6.8152,3302829
2017-08-25,6.8591,7.1229,6.8152,7.035,3486149
2017-08-28,6.9031,7.1669,6.9031,7.035,4166552
2017-08-29,6.991,7.079,6.8811,6.991,801511
2017-08-30,6.9471,7.079,6.8591,6.991,2152012
2017-08-31,7.079,7.2329,6.9251,7.035,2325601
2017-09-01,7.035,7.3868,6.9471,7.2549,2126707
2017-09-05,7.3428,7.5626,7.1229,7.2109,1241313
2017-09-06,7.2549,7.4307,7.1669,7.2109,1227142
2017-09-07,7.2109,7.2988,7.079,7.1229,1025056
2017-09-08,7.2109,7.2109,6.8371,6.9471,1283246
2017-09-11,6.9031,7.035,6.7712,6.9471,1186324
2017-09-12,6.9471,7.6945,6.9453,7.4747,2678069
2017-09-13,7.5626,8.1342,7.5187,7.9584,2815083
2017-09-14,8.0023,8.2222,7.7385,8.0903,1914155
2017-09-15,8.1782,8.2222,7.9144,7.9584,1135635
2017-09-18,7.9584,8.2222,7.9584,8.1342,1053650
2017-09-19,7.9144,8.1342,7.8264,8.0023,3641307
2017-09-20,8.0903,8.464,8.0023,8.2222,3879588
2017-09-21,8.2661,8.6619,8.0903,8.6179,2413769
2017-09-22,8.486,9.1895,8.442,8.8817,3256285
2017-09-25,9.1455,9.3654,8.8817,9.0136,2477567
2017-09-26,8.8817,9.2115,8.7938,9.1895,1930754
2017-09-27,9.1895,9.273,8.2661,8.486,3377445
2017-09-28,8.6179,8.6619,8.0463,8.3101,2684171
2017-09-29,8.2222,8.464,8.0903,8.3541,1504111
2017-10-02,8.2222,8.7498,8.0683,8.7498,1578888
2017-10-03,8.7938,9.2334,8.398,9.1895,2881451
2017-10-04,9.1015,9.3214,8.6619,8.6619,1633998
2017-10-05,8.7498,8.9696,8.6619,8.7498,1157079
2017-10-06,8.6179,8.7938,8.0463,8.0903,3857530
2017-10-09,8.0903,8.3035,8.0463,8.1782,1363790
2017-10-10,8.2222,8.6179,8.2222,8.442,1305313
