date,open,high,low,close,volume
2017-01-03,5.9475,6.063,5.8705,5.986,3095820
2017-01-04,6.0148,6.1496,6.0148,6.0726,2306762
2017-01-05,6.1496,6.15,6.0437,6.0726,1486428
2017-01-06,6.0918,6.1303,5.7742,5.8224,4153604
2017-01-09,5.7742,5.8897,5.6973,5.8512,5008463
2017-01-10,5.8224,5.8705,5.7165,5.8416,7120822
2017-01-11,5.7742,5.8127,5.7069,5.7742,4105539
2017-01-12,5.7454,5.7887,5.4855,5.6491,5472573
2017-01-13,5.6106,5.6588,5.4855,5.5529,4043060
2017-01-17,5.5337,5.6973,5.5048,5.5818,3020597
2017-01-18,5.4374,5.5048,5.3893,5.4855,3238020
2017-01-19,5.4663,5.5048,5.1776,5.2546,6053223
2017-01-20,5.3412,5.3412,5.2257,5.2449,2240164
2017-01-23,5.2738,5.3316,5.1198,5.2738,2566430
2017-01-24,5.3123,5.3412,5.2257,5.2931,2167446
2017-01-25,5.3412,5.3508,5.1487,5.2064,3908965
2017-01-26,5.2353,5.5433,5.1295,5.2642,4683655
2017-01-27,5.2449,5.2449,5.1391,5.2064,2786314
2017-01-30,5.1295,5.1583,4.8119,4.937,6564341
2017-01-31,4.9081,4.9995,4.8985,4.9755,2614985
2017-02-01,5.0236,5.1439,4.9755,5.0813,2316593
2017-02-02,5.0428,5.2064,5.0043,5.1198,2242756
2017-02-03,5.168,5.2064,4.9755,5.0428,3131627
2017-02-06,5.0813,5.1776,4.8985,4.9466,5137784
2017-02-07,4.8792,4.9274,4.8215,4.8696,2986275
2017-02-08,4.8889,4.937,4.7156,4.8792,2719849
2017-02-09,4.9081,4.9081,4.7541,4.7638,2650542
2017-02-10,4.7445,4.9081,4.6964,4.8696,2866196
2017-02-13,4.9659,5.2353,4.9562,5.168,4003355
2017-02-14,5.2161,5.8416,5.1487,5.8224,11791206
2017-02-15,5.8897,6.1496,5.4278,6.1303,13977730
2017-02-16,6.5538,6.7077,6.2651,6.5057,15019492
2017-02-17,6.4383,6.7847,6.419,6.6789,7310395
2017-02-21,6.7366,7.2659,6.7174,7.1312,8359387
2017-02-22,7.1216,7.3237,6.65,6.7366,10393507
2017-02-23,6.7174,6.9483,6.7029,6.804,4997490
2017-02-24,6.7751,6.8322,6.6211,6.727,2842474
2017-02-27,6.9291,6.9386,6.6404,6.6693,2913862
2017-02-28,6.7751,6.7751,6.4768,6.5249,2583041
2017-03-01,6.7462,6.9291,6.5826,6.8906,5005595
2017-03-02,6.881,6.9387,6.7751,6.881,2724540
2017-03-03,6.9002,7.0157,6.7751,6.9387,2795522
2017-03-06,6.9676,6.9676,6.7462,6.881,2584744
2017-03-07,6.881,6.9435,6.7751,6.8136,1476152
2017-03-08,6.9772,7.6509,6.9291,7.3718,9486839
2017-03-09,7.5546,7.6894,7.1889,7.3044,5197364
2017-03-10,7.4488,7.6509,7.4103,7.4584,2945912
2017-03-13,7.6028,7.6509,7.3718,7.545,2176234
2017-03-14,7.5065,7.7279,7.4295,7.622,3712369
2017-03-15,7.622,7.9781,7.622,7.8722,5822834
2017-03-16,7.8722,7.9492,7.8145,7.853,2478206
2017-03-17,8.0358,8.3245,7.9781,8.2764,6507102
2017-03-20,8.3342,8.594,8.3101,8.517,7030409
2017-03-21,8.6133,8.9116,8.3534,8.3823,9157702
2017-03-22,8.4112,8.7865,8.3751,8.7191,5633560
2017-03-23,8.7191,8.9405,8.6806,8.7384,3331553
2017-03-24,8.8442,9.3158,8.825,8.9308,5841923
2017-03-27,8.9982,9.0944,8.5844,9.0848,4783739
2017-03-28,9.1426,9.2292,9.0085,9.0752,3130819
2017-03-29,9.0944,9.1329,8.6325,8.9308,5117033
2017-03-30,8.9116,8.9308,8.2668,8.3823,8706469
2017-03-31,8.4689,8.8731,8.0454,8.7769,9533466
2017-04-03,8.7576,8.9116,8.7095,8.825,4051703
2017-04-04,8.8057,8.8635,8.546,8.6806,3256724
2017-04-05,8.594,8.7384,8.3727,8.671,3865603
2017-04-06,8.671,8.9356,8.6421,8.8442,3356493
2017-04-07,8.8153,9.1233,8.8057,8.9405,3533763
