date,open,high,low,close,volume
2017-01-03,13.9,14.45,13.65,14.45,756325
2017-01-04,14.5,14.65,14.2,14.55,507083
2017-01-05,14.5,14.6,13.9,14.15,377456
2017-01-06,14.15,14.25,13.85,13.9,396242
2017-01-09,13.85,13.85,13.45,13.5,404258
2017-01-10,13.6,13.95,13.5,13.9,389121
2017-01-11,13.95,14.0,13.75,13.9,333533
2017-01-12,13.9,13.95,13.0,13.3,550808
2017-01-13,13.4,13.6,13.1,13.3,489228
2017-01-17,13.2,13.3,12.65,12.85,520594
2017-01-18,12.8,13.2,12.65,13.05,600382
2017-01-19,13.1,13.4,12.95,13.2,389729
2017-01-20,13.2,13.5,13.2,13.3,353882
2017-01-23,13.3,13.425,13.15,13.35,442124
2017-01-24,13.55,13.9,13.4104,13.7,503153
2017-01-25,13.85,14.2,13.7,14.1,458139
2017-01-26,14.15,14.3,14.0,14.15,511267
2017-01-27,14.15,14.15,13.6,13.7,358712
2017-01-30,13.5,13.6,13.1,13.45,534265
2017-01-31,13.45,13.5,12.85,13.35,866797
2017-02-01,13.45,13.8,13.155,13.4,345344
2017-02-02,13.4,13.4,13.05,13.15,261171
2017-02-03,13.25,13.75,13.15,13.65,433930
2017-02-06,13.65,13.7,13.35,13.7,406211
2017-02-07,13.7,13.9,13.65,13.8,445571
2017-02-08,13.65,13.7,13.25,13.65,489010
2017-02-09,13.75,14.2,13.65,13.9,419970
2017-02-10,14.1,14.25,13.9,14.2,257490
2017-02-13,14.3,14.45,14.2,14.3,347476
2017-02-14,14.25,14.35,13.9,14.25,330035
2017-02-15,14.15,14.6,14.15,14.45,383421
2017-02-16,14.35,14.5,13.8,13.9,287229
2017-02-17,13.85,14.05,13.65,14.0,389549
2017-02-21,14.05,14.3,13.95,14.15,238059
2017-02-22,14.0,14.1,13.7,14.1,412198
2017-02-23,14.1,14.2,13.55,13.7,626984
2017-02-24,13.3,13.7,13.05,13.25,770833
2017-02-27,13.3,14.5,13.2,14.4,1383810
2017-02-28,14.3,14.3,13.95,14.1,598252
2017-03-01,14.5,14.8,14.35,14.6,601893
2017-03-02,14.45,14.525,13.75,13.75,393718
2017-03-03,13.85,14.0,13.55,13.7,468700
2017-03-06,13.45,13.7,13.2,13.6,366818
2017-03-07,13.5,13.6,12.975,13.0,442417
2017-03-08,13.2,13.35,12.65,12.75,572067
2017-03-09,12.75,12.85,12.3,12.35,401834
2017-03-10,12.5,12.545,12.0,12.1,636950
2017-03-13,12.15,12.65,12.05,12.45,656610
2017-03-14,12.25,12.35,11.875,11.95,573686
2017-03-15,12.1,12.45,11.95,12.25,627979
2017-03-16,12.3,12.425,12.15,12.25,826334
2017-03-17,12.3,12.55,12.15,12.45,1299234
2017-03-20,12.45,12.65,12.3,12.4,713446
2017-03-21,12.45,12.55,11.95,12.0,689534
2017-03-22,12.0,12.35,11.85,12.05,484982
2017-03-23,12.05,12.55,12.0,12.5,482020
2017-03-24,12.45,12.7,12.075,12.25,387296
2017-03-27,11.8,12.3,11.75,12.1,383743
2017-03-28,11.95,12.45,11.95,12.35,415159
2017-03-29,12.25,12.7,12.2,12.6,323229
2017-03-30,12.65,12.85,12.55,12.7,411846
2017-03-31,12.65,13.05,12.5,12.75,779984
2017-04-03,12.8,12.95,12.4,12.55,413815
2017-04-04,12.55,12.8,12.3,12.45,456415
2017-04-05,12.6,12.9,12.05,12.2,560254
2017-04-06,12.25,12.7,12.2,12.6,490786
2017-04-07,12.55,12.7,12.35,12.55,679199
2017-04-10,12.6,12.9,12.55,12.75,301897
2017-04-11,12.7,12.9,12.4,12.85,327096
2017-04-12,12.75,12.8,12.05,12.15,332416
2017-04-13,12.1,12.35,11.75,11.8,348662
2017-04-17,11.9,12.05,11.4,11.65,519610
2017-04-18,11.6,11.85,11.45,11.7,366970
2017-04-19,11.85,11.95,11.45,11.65,634160
2017-04-20,11.85,12.4,11.75,12.3,451018
2017-04-21,12.25,12.45,12.05,12.3,400323
2017-04-24,12.75,12.85,12.45,12.65,376621
2017-04-25,12.85,13.4,12.8,13.05,513258
2017-04-26,12.95,13.7,12.95,13.6,429626
2017-04-27,13.55,13.6,13.075,13.2,436954
2017-04-28,13.25,13.3,13.0,13.05,336120
2017-05-01,13.15,13.35,12.8,12.95,350901
2017-05-02,12.95,13.25,12.8,12.95,391545
2017-05-03,14.0,15.4,13.95,15.05,2282158
2017-05-04,15.2,15.75,14.5,14.85,725229
2017-05-05,15.0,15.65,14.75,15.55,647875
2017-05-08,15.5,15.7,15.175,15.3,533007
2017-05-09,15.3,15.5,14.95,15.05,372490
2017-05-10,15.15,15.5,15.0,15.3,503348
2017-05-11,15.3,15.4,14.8,15.2,314807
2017-05-12,15.1,15.15,14.55,14.55,310238
2017-05-15,14.8,15.25,14.775,14.95,481086
2017-05-16,15.05,15.1,14.55,14.85,330375
2017-05-17,14.45,14.525,13.65,13.9,691111
2017-05-18,13.75,14.0,13.55,13.7,863946
2017-05-19,13.8,14.15,13.734,13.9,809622
2017-05-22,14.1,14.2,13.75,14.15,381670
2017-05-23,14.15,14.35,13.875,14.3,385649
2017-05-24,14.3,14.55,14.2,14.45,497307
2017-05-25,14.5,14.6,14.3,14.55,494752
2017-05-26,14.5,14.9,14.35,14.9,379418
2017-05-30,14.9,14.9,14.35,14.65,458503
2017-05-31,14.65,15.0,14.2663,14.9,697416
2017-06-01,15.05,15.45,14.65,15.45,568217
2017-06-02,15.45,15.845,15.15,15.6,716701
2017-06-05,15.6,15.7,15.15,15.45,492513
2017-06-06,15.25,15.65,15.0,15.5,358257
2017-06-07,15.65,15.65,15.325,15.6,521522
2017-06-08,15.6,16.2,15.518,16.0,558950
2017-06-09,16.05,16.65,16.0,16.25,556580
2017-06-12,16.3,16.8,16.05,16.7,882442
2017-06-13,16.75,16.875,16.4,16.85,477822
2017-06-14,16.85,16.85,16.45,16.8,780812
2017-06-15,16.45,16.8,16.2212,16.7,498261
2017-06-16,16.5,16.825,16.4,16.8,880626
2017-06-19,16.95,17.075,16.75,16.95,664345
2017-06-20,16.75,16.9,16.1,16.2,555016
2017-06-21,16.2,16.3789,15.0,15.0,799419
2017-06-22,15.0,15.45,14.95,15.45,579518
2017-06-23,15.5,15.5,15.075,15.15,2288699
2017-06-26,15.3,15.6,15.19,15.4,619630
2017-06-27,15.3,15.55,15.225,15.3,549196
2017-06-28,15.6,16.15,15.55,16.05,461160
2017-06-29,16.15,16.425,15.7207,16.05,381488
2017-06-30,16.25,16.3,15.9,16.1,430153
2017-07-03,16.35,16.6,16.25,16.55,194278
2017-07-05,16.55,16.55,16.15,16.45,355082
