date,open,high,low,close,volume
2017-01-03,10.77,11.14,10.64,11.14,761918
2017-01-04,11.16,11.455,11.01,11.37,946583
2017-01-05,11.34,11.45,11.1734,11.36,409469
2017-01-06,11.35,11.7,11.27,11.52,403757
2017-01-09,11.53,11.709,11.43,11.64,406229
2017-01-10,11.59,11.74,11.49,11.5,474969
2017-01-11,11.53,11.56,11.15,11.5,1129022
2017-01-12,11.4,11.6,11.23,11.54,374238
2017-01-13,11.51,11.74,11.34,11.35,294308
2017-01-17,11.29,11.33,10.865,10.88,989332
2017-01-18,10.96,10.98,10.75,10.86,781009
2017-01-19,10.86,10.97,10.54,10.55,727255
2017-01-20,10.56,10.66,10.37,10.52,670945
2017-01-23,10.54,10.68,10.45,10.59,372803
2017-01-24,10.61,10.705,10.51,10.69,319405
2017-01-25,10.76,10.91,10.74,10.85,313297
2017-01-26,10.79,10.96,10.65,10.8,362510
2017-01-27,10.84,10.9,10.65,10.81,395518
2017-01-30,10.76,10.76,10.4,10.43,806597
2017-01-31,10.4,10.69,10.3,10.6,1195930
2017-02-01,10.61,10.77,10.5,10.6,1000052
2017-02-02,10.63,10.78,10.47,10.65,408456
2017-02-03,10.77,11.03,10.57,11.02,502122
2017-02-06,10.93,11.1,10.88,11.03,359961
2017-02-07,11.03,11.14,10.7,10.72,504489
2017-02-08,10.67,11.08,10.65,10.94,875859
2017-02-09,10.87,11.24,10.87,11.1,947175
2017-02-10,11.88,11.88,11.06,11.13,2162971
2017-02-13,11.21,11.56,11.1,11.55,1195113
2017-02-14,11.5,11.88,11.5,11.8,984252
2017-02-15,11.8,12.17,11.73,12.05,1432214
2017-02-16,12.04,12.2,11.83,12.005,711912
2017-02-17,11.97,12.09,11.815,12.04,646899
2017-02-21,12.07,12.1,11.745,11.79,501809
2017-02-22,11.76,11.76,11.51,11.66,881408
2017-02-23,11.68,11.89,11.41,11.52,770409
2017-02-24,11.44,11.77,11.3524,11.48,532256
2017-02-27,11.49,11.9,11.405,11.9,884185
2017-02-28,11.79,11.81,11.516,11.55,1355519
2017-03-01,11.65,11.93,11.6,11.85,1159679
2017-03-02,11.79,11.79,11.58,11.61,784989
2017-03-03,11.64,11.77,11.395,11.55,1365492
2017-03-06,11.54,11.71,11.41,11.63,923667
2017-03-07,12.0,12.64,11.8,12.32,4142181
2017-03-08,12.35,13.08,12.35,12.98,2655239
2017-03-09,12.89,13.05,12.82,12.85,993889
2017-03-10,12.97,13.1,12.58,12.67,817986
2017-03-13,12.67,12.98,12.5,12.79,2501282
2017-03-14,12.74,12.74,12.46,12.525,1308570
2017-03-15,12.55,12.59,12.3,12.445,1311069
2017-03-16,12.48,12.66,12.4,12.64,756284
2017-03-17,12.49,12.95,12.49,12.95,1611486
2017-03-20,12.96,13.44,12.91,13.235,1120696
2017-03-21,13.28,13.43,12.82,12.86,1107874
2017-03-22,12.89,12.99,12.7321,12.86,1014960
2017-03-23,12.88,13.18,12.83,12.91,2400920
2017-03-24,12.97,13.07,12.72,12.85,1347725
2017-03-27,12.74,13.12,12.74,13.02,2430740
2017-03-28,13.01,13.69,13.01,13.16,2975370
2017-03-29,13.2,13.74,12.96,13.43,2281636
2017-03-30,13.65,13.91,13.42,13.82,2755999
2017-03-31,13.78,14.05,13.71,13.83,1054107
2017-04-03,13.83,13.9,13.16,13.42,1410110
2017-04-04,13.44,13.79,13.41,13.695,734918
2017-04-05,13.8,13.85,13.365,13.46,1304561
2017-04-06,13.49,13.76,13.3,13.53,1424038
2017-04-07,13.44,13.755,13.2843,13.625,9868603
2017-04-10,13.7,14.31,13.521,14.22,4911697
2017-04-11,14.25,14.48,14.086,14.42,1613514
2017-04-12,14.5,14.55,14.2401,14.29,1374569
2017-04-13,14.27,14.39,14.135,14.19,903218
2017-04-17,14.17,14.3,14.11,14.14,886018
2017-04-18,14.15,14.37,13.85,13.93,883342
2017-04-19,13.98,14.17,13.8725,14.02,1131091
2017-04-20,14.05,14.085,12.44,12.59,2776322
2017-04-21,12.61,12.73,12.36,12.52,1377269
2017-04-24,12.7,13.06,12.7,12.82,1205195
2017-04-25,12.68,13.16,12.68,13.07,1054828
2017-04-26,13.09,13.09,12.81,12.85,1047942
2017-04-27,12.9,12.97,12.57,12.59,1397008
2017-04-28,11.81,11.99,11.02,11.785,2463271
2017-05-01,11.78,12.38,11.61,12.25,1269558
2017-05-02,12.29,12.31,11.57,11.61,1281578
2017-05-03,11.6,11.77,11.455,11.47,928016
2017-05-04,11.5,11.54,11.28,11.51,837558
2017-05-05,11.59,11.59,11.34,11.44,727615
2017-05-08,11.39,11.67,11.34,11.67,918039
2017-05-09,11.64,11.95,11.44,11.5,1302642
2017-05-10,11.42,11.76,11.37,11.64,900042
2017-05-11,11.87,11.9101,11.52,11.84,853453
2017-05-12,11.78,11.97,11.7,11.71,516005
