date,open,high,low,close,volume
2017-01-03,45.0,45.63,43.87,44.68,473650
2017-01-04,44.98,45.36,44.56,44.67,408674
2017-01-05,44.68,45.515,44.01,44.37,442733
2017-01-06,44.42,44.69,44.05,44.25,249324
2017-01-09,44.34,46.12,44.18,44.71,656665
2017-01-10,45.21,45.98,44.9,45.59,1288848
2017-01-11,45.46,47.21,45.4,46.34,737317
2017-01-12,45.98,47.02,45.41,47.02,505048
2017-01-13,47.34,48.79,47.1316,47.64,744028
2017-01-17,47.17,47.74,46.141,46.67,603724
2017-01-18,47.06,47.06,46.01,46.75,412507
2017-01-19,46.63,47.33,46.15,46.19,433293
2017-01-20,46.56,47.155,45.91,46.4,545910
2017-01-23,46.37,46.5978,45.67,45.9,409658
2017-01-24,46.27,46.95,45.64,46.51,709707
2017-01-25,47.18,47.49,46.62,46.68,406756
2017-01-26,47.0,47.21,45.93,46.25,495633
2017-01-27,46.47,46.92,45.98,46.62,305145
2017-01-30,46.08,46.49,44.85,46.31,521634
2017-01-31,45.81,45.99,45.2,45.82,505070
2017-02-01,46.59,47.3,46.02,47.24,605954
2017-02-02,46.46,48.14,46.46,47.49,599648
2017-02-03,47.86,48.02,47.5793,47.69,355970
2017-02-06,47.75,48.31,47.45,47.82,425144
2017-02-07,47.94,49.17,47.65,48.92,1743006
2017-02-08,51.28,51.28,45.33,48.94,3653055
2017-02-09,49.21,49.27,48.09,48.71,1265075
2017-02-10,49.16,49.21,47.61,47.75,798420
2017-02-13,48.18,48.19,47.06,47.38,699534
2017-02-14,47.12,48.49,46.881,48.33,719697
2017-02-15,48.25,50.16,48.003,49.76,1000177
2017-02-16,49.98,50.515,49.685,50.3,608122
2017-02-17,49.91,50.83,49.5,50.61,667821
2017-02-21,50.74,51.56,50.73,51.4,682653
2017-02-22,51.7,51.78,50.85,51.03,460477
2017-02-23,50.9,50.92,47.51,49.39,1281790
2017-02-24,48.1,48.7,47.4,48.68,880699
2017-02-27,48.5,48.765,47.38,47.5,1145677
2017-02-28,47.49,47.79,46.78,46.94,1154653
2017-03-01,47.48,47.8899,45.6,46.36,1149325
2017-03-02,46.21,46.88,45.69,45.88,639406
2017-03-03,45.9,46.85,45.53,46.77,909392
2017-03-06,46.18,46.77,45.12,45.42,924735
2017-03-07,45.11,45.76,45.005,45.12,969969
2017-03-08,45.23,45.8,44.22,44.4,1089735
2017-03-09,44.18,44.78,43.51,44.34,1020033
2017-03-10,44.65,45.2,43.11,43.71,1639144
2017-03-13,43.72,43.84,42.58,42.89,991811
2017-03-14,42.73,42.73,41.62,41.89,1009558
2017-03-15,41.92,43.92,41.81,43.63,1511715
2017-03-16,43.48,45.6,43.44,44.83,1644521
2017-03-17,45.17,46.2998,44.83,45.57,1342630
2017-03-20,45.57,46.59,44.92,46.4,872218
2017-03-21,46.57,46.84,44.44,44.59,979421
2017-03-22,44.72,45.57,44.175,45.55,700280
2017-03-23,45.39,46.51,45.39,45.65,873854
2017-03-24,46.02,47.16,46.02,46.83,754898
2017-03-27,45.98,46.95,45.21,46.78,575128
2017-03-28,46.43,48.59,46.43,48.01,1163274
2017-03-29,47.98,48.36,47.49,47.84,793376
2017-03-30,47.4,48.88,47.3632,48.86,870777
2017-03-31,48.75,49.09,48.47,48.82,831662
2017-04-03,48.98,49.0,46.77,47.3,695703
2017-04-04,46.96,47.69,46.76,47.29,1054445
2017-04-05,47.43,47.87,45.13,45.75,1053283
2017-04-06,45.63,46.81,45.07,46.41,926531
2017-04-07,46.43,47.0,46.095,46.4,926625
2017-04-10,46.31,46.63,45.7555,46.26,661856
2017-04-11,45.86,46.14,45.17,45.82,749129
2017-04-12,45.78,45.78,44.6,44.67,631691
2017-04-13,44.8,45.97,44.4,44.46,882946
2017-04-17,44.61,44.99,44.1,44.94,420660
2017-04-18,44.12,45.115,44.07,45.02,391469
2017-04-19,45.33,45.689,42.71,42.99,1651336
2017-04-20,43.46,44.3575,43.16,44.16,622167
2017-04-21,44.12,45.03,43.48,44.42,687459
2017-04-24,45.1,45.93,45.0,45.9,518373
2017-04-25,46.38,46.92,46.0,46.84,691287
2017-04-26,46.31,46.36,42.41,42.63,3225588
2017-04-27,43.07,43.76,42.5,43.08,1558474
2017-04-28,43.15,43.2797,41.16,41.42,1179641
2017-05-01,41.5,42.64,41.5,42.35,967561
2017-05-02,41.98,42.35,40.18,40.54,3250188
2017-05-03,34.65,36.74,33.0,36.16,12149955
2017-05-04,36.0,37.01,34.58,35.73,3783277
2017-05-05,36.11,36.65,35.0,36.61,1925934
2017-05-08,36.47,36.95,36.168,36.24,1240383
2017-05-09,36.5,37.9,36.35,37.86,1532431
2017-05-10,38.23,38.67,37.48,37.55,970021
2017-05-11,37.31,37.79,36.45,37.42,966021
2017-05-12,37.45,37.75,36.71,37.52,633510
2017-05-15,37.61,38.62,37.5,38.32,975150
2017-05-16,38.56,38.83,38.13,38.75,1135752
2017-05-17,38.01,38.3,36.05,36.18,1748555
2017-05-18,36.14,37.49,35.1,37.09,1107000
2017-05-19,37.5,38.98,37.25,38.39,1064571
2017-05-22,39.12,41.4,38.8,41.14,1761365
2017-05-23,41.11,41.85,40.06,40.45,1389593
2017-05-24,40.61,40.61,39.45,39.91,720299
2017-05-25,40.11,40.505,39.32,39.69,1029231
2017-05-26,39.5,40.61,38.9,40.56,857801
2017-05-30,40.35,40.79,40.2,40.73,712786
2017-05-31,40.95,40.97,39.57,39.68,1064103
2017-06-01,40.1,40.505,39.13,39.51,1214978
2017-06-02,39.74,39.9,39.09,39.24,653422
2017-06-05,39.06,39.78,38.4,39.37,916839
2017-06-06,39.03,41.74,38.81,40.71,1167933
2017-06-07,40.84,41.075,39.25,39.82,974047
2017-06-08,39.65,40.0,38.94,39.72,923480
2017-06-09,39.97,40.41,36.82,37.73,1425662
2017-06-12,36.88,37.74,35.575,37.29,993620
2017-06-13,37.96,38.32,36.53,37.21,545451
2017-06-14,37.42,37.44,36.09,36.71,714352
2017-06-15,35.87,36.46,35.56,36.18,910453
2017-06-16,35.98,36.65,35.75,36.62,896778
2017-06-19,37.28,38.24,37.1201,38.03,643015
2017-06-20,37.785,38.3,37.27,37.33,1196638
2017-06-21,37.67,38.44,37.41,37.52,689191
2017-06-22,37.54,37.98,37.03,37.55,524573
2017-06-23,37.66,39.25,37.52,38.97,846930
2017-06-26,39.43,39.45,37.0,37.12,1187042
2017-06-27,36.9,36.9553,35.11,35.58,1194814
2017-06-28,35.78,36.45,35.14,35.97,1195072
2017-06-29,35.86,35.86,33.3368,34.36,2211406
2017-06-30,34.51,34.95,33.86,34.3,901743
2017-07-03,34.57,35.31,33.77,33.87,420098
2017-07-05,34.17,35.25,33.88,34.18,941009
2017-07-06,33.74,34.7,33.6,34.58,971076
2017-07-07,34.88,36.51,34.87,36.39,1099393
2017-07-10,36.4,36.91,35.93,36.49,559350
2017-07-11,36.56,36.95,35.56,36.9,838274
2017-07-12,37.1,40.28,37.08,38.52,3593812
2017-07-13,38.55,39.19,38.01,38.48,1221283
2017-07-14,38.72,39.19,38.0,38.38,456415
2017-07-17,38.4,38.49,37.25,37.69,628192
2017-07-18,37.48,37.68,36.5,36.62,1340188
2017-07-19,36.97,38.55,36.12,37.85,1461355
2017-07-20,37.98,38.85,37.44,38.67,466618
2017-07-21,38.3,39.39,37.73,38.99,912171
2017-07-24,39.09,39.3,38.39,39.22,674072
2017-07-25,39.34,39.4,38.3,38.77,583567
2017-07-26,39.1,39.32,38.67,39.02,906880
2017-07-27,39.24,39.38,37.0,37.76,698156
2017-07-28,37.41,38.74,37.2898,38.07,341995
2017-07-31,38.32,38.48,37.57,38.4,462769
2017-08-01,38.66,39.37,37.94,39.32,577466
2017-08-02,37.5,37.6,35.1,35.76,2403360
2017-08-03,36.05,36.36,34.12,34.46,1602713
2017-08-04,33.86,34.85,33.86,34.69,1320326
2017-08-07,34.55,35.9,34.39,35.43,1866098
2017-08-08,36.5,39.29,34.7,36.53,3280241
2017-08-09,36.1,37.59,36.1,37.58,999533
2017-08-10,37.2,37.21,35.99,36.01,1176008
2017-08-11,35.73,36.61,35.63,36.19,821512
2017-08-14,36.75,37.58,36.52,37.28,603536
2017-08-15,37.36,37.4,36.83,37.27,382549
2017-08-16,37.32,37.45,35.97,36.84,957635
2017-08-17,36.39,36.68,35.19,35.3,674165
2017-08-18,35.09,35.3,34.73,35.11,622587
2017-08-21,35.2,35.36,33.93,34.39,495249
2017-08-22,34.71,35.14,34.2875,34.96,490955
2017-08-23,34.56,36.74,34.56,36.65,696969
2017-08-24,37.62,38.98,37.43,38.03,1864606
2017-08-25,38.5,38.9,37.59,37.98,697495
2017-08-28,38.1,38.319,37.6051,38.08,389461
2017-08-29,37.49,38.34,37.42,38.16,388078
2017-08-30,38.18,38.6,37.79,38.2,486023
2017-08-31,38.31,38.58,37.68,38.29,506327
2017-09-01,38.42,38.79,37.91,38.75,624710
2017-09-05,38.47,38.79,37.17,37.51,951742
2017-09-06,37.81,38.04,37.18,37.5,667919
2017-09-07,37.8,38.0,36.2,36.31,542651
2017-09-08,36.12,37.01,35.8,36.05,480386
2017-09-11,36.41,37.98,36.34,37.98,513346
2017-09-12,38.15,39.07,38.05,38.91,667086
2017-09-13,38.8,39.89,38.49,39.74,712781
2017-09-14,39.62,39.73,38.38,38.6,724231
2017-09-15,38.67,40.26,38.48,40.19,986902
2017-09-18,40.27,40.989,39.76,39.83,653830
2017-09-19,39.96,40.075,38.99,39.0,398923
2017-09-20,38.97,39.13,37.84,38.23,515095
2017-09-21,38.23,38.61,37.57,37.76,388012
2017-09-22,37.45,38.46,37.45,38.4,343006
2017-09-25,38.09,38.24,37.07,37.87,463118
2017-09-26,38.27,38.85,38.0,38.19,536441
2017-09-27,38.71,40.05,38.47,39.48,846203
2017-09-28,39.29,39.74,38.85,39.42,271111
2017-09-29,39.77,39.77,39.06,39.69,339205
2017-10-02,39.89,40.08,39.48,40.06,506695
2017-10-03,40.05,40.73,39.795,40.04,362625
2017-10-04,39.89,40.305,39.5,39.99,539491
2017-10-05,39.59,39.96,38.32,38.5,1754820
2017-10-06,38.32,40.0,38.26,39.41,595637
2017-10-09,39.58,40.0,39.14,39.35,196066
2017-10-10,39.55,39.84,38.86,39.01,378611
2017-10-11,38.94,39.38,38.82,38.86,495627
2017-10-12,38.78,39.12,38.22,38.29,492777
2017-10-13,38.49,38.49,36.85,37.45,1044799
2017-10-16,37.35,37.44,35.18,36.25,1584179
2017-10-17,35.75,36.83,35.58,36.53,931434
2017-10-18,36.7,37.77,35.51,37.5,986800
2017-10-19,36.89,37.51,36.47,37.25,1162514
2017-10-20,37.44,37.815,36.71,37.17,658449
2017-10-23,37.4,38.17,36.95,38.13,527860
2017-10-24,38.37,39.28,38.161,38.94,677090
2017-10-25,38.65,39.08,37.61,38.39,492093
2017-10-26,38.65,38.89,38.08,38.33,570278
2017-10-27,39.05,39.08,37.84,38.44,737387
2017-10-30,38.44,40.26,38.16,40.2,970699
2017-10-31,40.26,41.44,40.06,40.98,1322787
2017-11-01,40.35,42.54,40.0,41.15,1940767
2017-11-02,40.65,40.65,37.4,38.47,2114023
2017-11-03,38.48,40.05,37.48,40.0,1144468
2017-11-06,40.0,41.0,39.88,40.34,743945
2017-11-07,39.95,40.39,39.08,39.49,661489
2017-11-08,39.45,40.88,39.07,40.79,502256
2017-11-09,40.12,40.725,39.65,40.67,614751
2017-11-10,40.77,41.66,40.49,40.86,528924
2017-11-13,40.33,41.23,39.87,41.15,657071
2017-11-14,41.12,41.12,39.63,40.13,582563
2017-11-15,39.48,40.69,38.755,40.4,1066403
2017-11-16,40.88,41.22,39.93,40.09,795194
2017-11-17,40.0,40.73,39.76,40.1,704424
2017-11-20,40.35,41.2,40.22,41.15,499265
2017-11-21,41.49,43.14,41.3,43.12,858034
2017-11-22,43.19,44.32,42.66,42.68,731204
2017-11-24,42.81,42.9999,42.31,42.46,116118
2017-11-27,42.08,42.41,41.59,42.18,314150
2017-11-28,42.23,42.255,41.36,42.1,324783
2017-11-29,42.05,42.27,40.17,40.74,506405
2017-11-30,41.03,41.67,40.55,41.07,605222
2017-12-01,40.89,41.23,39.54,41.21,348934
2017-12-04,41.82,41.979,40.31,40.45,577080
2017-12-05,40.45,41.29,39.02,39.32,799002
2017-12-06,39.02,39.38,38.64,38.92,549954
2017-12-07,37.3,38.05,36.25,37.84,1522712
2017-12-08,37.91,38.59,36.59,36.87,982434
2017-12-11,36.91,37.88,36.85,37.17,492160
2017-12-12,36.87,37.28,36.54,36.61,430786
2017-12-13,36.89,37.32,36.53,36.86,461250
2017-12-14,37.0,37.56,36.59,36.93,371959
2017-12-15,37.045,37.88,36.64,37.64,568861
2017-12-18,38.29,39.14,37.68,38.78,798265
2017-12-19,39.13,39.5,38.6,38.92,475526
2017-12-20,39.04,39.5,38.77,39.21,231456
2017-12-21,39.21,39.5,39.0,39.13,322724
2017-12-22,38.99,39.33,38.54,38.72,319715
2017-12-26,38.35,38.67,37.44,37.56,431607
2017-12-27,37.47,38.0,37.03,37.36,368067
2017-12-28,37.59,37.615,37.0,37.19,286444
2017-12-29,37.3,37.37,36.6,36.6,410873
2018-01-02,36.97,37.765,36.3,37.75,556251
2018-01-03,37.91,38.63,37.91,38.17,459506
2018-01-04,38.57,38.82,37.72,38.36,602965
2018-01-05,38.68,39.2,37.99,38.6,557984
2018-01-08,38.57,39.055,38.08,38.98,311101
2018-01-09,38.99,38.9983,37.65,37.76,645420
2018-01-10,37.51,37.82,36.61,36.89,475778
2018-01-11,36.97,38.47,36.69,38.39,477331
2018-01-12,38.7,39.0,38.47,38.63,369751
2018-01-16,39.04,39.27,37.81,37.86,582399
2018-01-17,38.13,38.13,37.74,37.87,291154
2018-01-18,36.9,37.12,34.5288,35.4,2871141
2018-01-19,33.19,33.98,31.97,32.07,3590738
2018-01-22,31.92,32.22,31.25,31.42,1187152
2018-01-23,31.17,32.26,30.8,31.15,1586994
2018-01-24,31.16,31.3,30.23,30.57,697895
2018-01-25,30.77,31.5,30.44,31.09,733892
2018-01-26,31.5,31.79,31.28,31.79,542529
2018-01-29,31.46,31.61,30.07,30.51,775991
2018-01-30,29.76,30.83,29.55,30.37,606751
2018-01-31,30.65,30.95,29.58,29.87,864243
2018-02-01,29.85,29.97,29.45,29.65,583788
2018-02-02,29.22,30.14,29.04,30.0,1110414
2018-02-05,29.71,30.52,28.81,28.82,1409580
2018-02-06,28.28,32.35,27.98,32.09,2342673
2018-02-07,31.7,32.13,29.6,29.71,2726500
2018-02-08,24.04,27.685,23.65,25.09,5651850
2018-02-09,25.25,26.38,24.1301,24.51,2474680
2018-02-12,24.84,26.4,24.7,25.86,1622623
2018-02-13,25.63,25.83,24.9,24.98,820698
2018-02-14,24.79,25.56,24.58,25.15,1071043
2018-02-15,25.63,25.78,24.92,25.57,1063281
2018-02-16,25.47,25.76,24.41,24.44,1579196
2018-02-20,24.3,25.37,24.18,25.2,1266932
2018-02-21,26.65,26.65,24.87,25.1,1330411
2018-02-22,25.06,25.95,24.81,25.84,929685
2018-02-23,25.87,26.34,25.305,26.31,1216517
2018-02-26,27.05,28.63,26.75,28.52,1524445
2018-02-27,28.35,28.98,28.08,28.18,1602131
2018-02-28,28.19,28.51,27.3,27.75,983837
2018-03-01,27.75,28.339,27.36,27.51,864865
2018-03-02,27.22,29.625,27.011,29.52,1201905
2018-03-05,29.48,29.72,29.0425,29.46,925468
2018-03-06,29.87,29.96,29.06,29.91,1168551
2018-03-07,29.58,30.23,29.58,30.19,890397
2018-03-08,30.44,30.73,30.06,30.46,576454
2018-03-09,30.66,31.9,30.57,31.63,1063942
2018-03-12,32.5,33.4,32.05,32.93,1364255
2018-03-13,33.01,33.57,32.12,32.27,1028113
2018-03-14,32.55,32.67,31.59,32.49,1060854
2018-03-15,32.53,33.03,31.865,32.96,1075011
2018-03-16,33.0,33.4,32.39,33.27,1020471
2018-03-19,31.94,32.02,29.77,31.21,1738670
2018-03-20,31.12,31.98,30.95,31.96,623689
2018-03-21,31.97,32.34,31.46,32.08,661408
2018-03-22,31.48,32.45,31.28,31.3,682072
2018-03-23,31.2,31.34,30.16,30.18,836749
2018-03-26,31.16,31.16,29.64,30.38,628048
2018-03-27,30.55,30.96,30.04,30.39,836422
2018-03-28,30.31,30.31,29.08,29.19,502441
2018-03-29,29.27,30.47,29.0,30.1,564725
2018-04-02,29.93,30.22,29.28,29.7,467940
2018-04-03,30.05,30.11,29.19,29.94,757968
2018-04-04,29.22,30.6,28.96,30.47,713333
2018-04-05,30.85,30.99,30.22,30.42,400139
2018-04-06,29.95,30.66,29.25,29.5,445461
2018-04-09,29.92,30.05,29.04,29.08,343996
2018-04-10,29.77,31.21,29.62,30.88,917171
2018-04-11,30.63,32.29,30.63,31.87,546425
