date,open,high,low,close,volume
2017-01-03,15.44,15.49,14.75,14.87,1000069
2017-01-04,14.85,15.47,14.775,15.35,2039821
2017-01-05,15.33,15.56,15.13,15.43,1191139
2017-01-06,15.43,16.0,15.43,15.85,861849
2017-01-09,15.96,16.45,15.66,16.31,1547074
2017-01-10,16.39,16.56,16.18,16.38,1429228
2017-01-11,16.18,16.39,15.4,15.665,2099897
2017-01-12,15.6,15.69,15.24,15.51,1072302
2017-01-13,15.61,15.82,15.5,15.67,913658
2017-01-17,15.2,15.84,14.8899,15.04,927259
2017-01-18,15.17,15.22,15.005,15.2,679182
2017-01-19,15.2,15.3749,14.76,14.76,1682601
2017-01-20,14.77,15.005,14.62,14.77,737771
2017-01-23,14.77,14.82,14.5,14.65,865134
2017-01-24,14.67,14.79,14.05,14.52,2289326
2017-01-25,14.69,14.77,14.34,14.38,980507
2017-01-26,14.35,14.59,13.94,13.95,971172
2017-01-27,13.93,14.06,13.65,13.97,1112757
2017-01-30,14.08,14.371,13.43,14.0,1702426
2017-01-31,13.9,14.48,13.86,14.38,1404367
2017-02-01,14.38,15.11,14.37,15.07,1744978
2017-02-02,14.74,15.87,14.74,15.46,2352626
2017-02-03,15.51,15.555,15.16,15.42,1399177
2017-02-06,15.42,15.81,14.6,15.76,994439
2017-02-07,15.78,16.19,15.57,15.64,1982706
2017-02-08,15.55,15.89,15.38,15.6,1395789
2017-02-09,15.6,16.39,15.55,16.38,1761480
2017-02-10,16.35,16.53,16.2,16.44,1171182
2017-02-13,16.51,16.51,16.281,16.41,699071
2017-02-14,16.34,16.815,16.15,16.77,1079142
2017-02-15,16.71,17.19,16.1662,17.18,893147
2017-02-16,17.15,17.24,16.7,16.98,1260937
2017-02-17,16.98,17.21,16.71,17.14,790648
2017-02-21,17.11,17.3097,16.985,17.12,1209564
2017-02-22,17.12,17.49,16.3901,16.87,1391390
2017-02-23,16.83,16.95,16.55,16.81,1451512
2017-02-24,16.64,16.77,16.3,16.42,1287620
2017-02-27,16.39,16.8,16.04,16.77,1356976
2017-02-28,16.7,17.26,16.48,16.89,1874395
2017-03-01,17.15,17.33,16.83,17.295,2036691
2017-03-02,17.25,17.665,17.19,17.4,2851158
2017-03-03,17.39,17.5999,16.98,17.48,1470459
2017-03-06,17.28,17.745,17.23,17.46,1128498
2017-03-07,17.31,17.51,17.1,17.45,1711224
2017-03-08,17.48,17.925,17.42,17.72,2391042
2017-03-09,17.79,18.5299,17.79,18.0,3171355
2017-03-10,18.21,18.22,17.31,17.37,2161015
2017-03-13,17.33,17.33,16.89,17.03,3129635
2017-03-14,16.96,17.17,16.78,17.16,1112262
2017-03-15,17.2,17.59,17.115,17.54,1049672
2017-03-16,17.5,17.75,17.3073,17.67,757880
2017-03-17,17.59,17.67,17.22,17.56,1105717
2017-03-20,17.54,17.92,17.38,17.61,1940320
2017-03-21,17.68,17.68,16.91,16.95,1266936
2017-03-22,17.03,17.14,16.84,17.1,767799
2017-03-23,16.84,17.34,16.84,17.15,843203
2017-03-24,17.21,17.42,16.97,17.14,1051573
2017-03-27,16.7,17.29,16.7,17.17,985675
2017-03-28,17.18,17.57,17.14,17.51,771993
2017-03-29,17.24,17.96,17.24,17.75,691612
2017-03-30,17.78,17.82,17.39,17.77,1045659
2017-03-31,17.73,17.93,17.0,17.06,2049973
2017-04-03,17.07,17.17,16.78,16.86,1537181
2017-04-04,16.84,17.08,16.725,16.8,880975
2017-04-05,16.85,16.96,16.425,16.48,1656673
2017-04-06,16.54,16.6,16.13,16.32,1463654
2017-04-07,16.36,16.69,16.14,16.46,1487529
2017-04-10,16.53,16.66,16.02,16.02,1341732
2017-04-11,15.99,16.04,15.55,15.91,1789812
2017-04-12,15.94,16.06,15.5,15.5,1364105
2017-04-13,15.56,15.68,15.45,15.55,1111092
2017-04-17,15.57,15.72,15.38,15.62,725754
2017-04-18,15.57,15.9,15.32,15.48,1050955
2017-04-19,15.5,15.72,15.36,15.64,863345
2017-04-20,15.72,16.18,15.62,16.06,1141013
2017-04-21,16.01,16.08,15.87,15.9,1522285
2017-04-24,16.13,16.66,15.98,16.65,1832809
2017-04-25,16.76,16.88,16.52,16.54,974726
2017-04-26,16.58,16.7,16.231,16.55,913741
2017-04-27,16.62,16.7,16.36,16.38,664170
2017-04-28,16.44,16.63,16.28,16.32,736441
2017-05-01,16.35,16.45,16.24,16.38,875065
2017-05-02,16.4,16.55,15.76,15.92,731400
2017-05-03,16.18,16.25,15.55,15.63,2108045
2017-05-04,15.72,16.06,15.49,16.02,1467079
2017-05-05,16.02,16.155,15.85,16.1,753628
2017-05-08,15.45,15.85,14.93,15.74,4261683
2017-05-09,15.72,17.44,15.71,16.94,3393587
2017-05-10,16.84,17.53,16.82,17.5,2683799
2017-05-11,17.41,18.08,17.39,17.51,1630550
2017-05-12,17.51,18.19,17.41,18.17,1582369
2017-05-15,18.43,18.54,17.93,18.18,1382535
2017-05-16,18.16,18.25,17.84,17.97,1213666
2017-05-17,17.77,17.9,17.42,17.43,1624915
2017-05-18,17.49,18.26,17.27,18.16,2011079
2017-05-19,18.12,18.3464,17.47,17.66,969614
2017-05-22,17.7,18.05,17.63,18.0,758174
2017-05-23,17.96,18.32,17.825,18.31,663458
2017-05-24,18.33,19.06,18.3,18.9,1624667
2017-05-25,18.96,19.39,18.45,19.07,2186192
2017-05-26,19.04,19.2,18.54,18.62,997106
2017-05-30,18.54,18.64,17.93,17.98,1319799
2017-05-31,18.01,18.08,17.6199,17.71,1427967
2017-06-01,17.75,18.05,17.57,18.04,750259
2017-06-02,18.06,18.22,17.87,18.16,804680
2017-06-05,18.24,18.24,17.87,18.05,472258
2017-06-06,17.94,18.29,17.89,18.11,483457
2017-06-07,18.18,18.21,17.64,17.79,1003594
2017-06-08,17.85,18.09,17.58,18.0,897110
2017-06-09,18.01,18.28,17.7,17.83,910460
2017-06-12,17.81,17.9,17.45,17.66,804119
2017-06-13,17.68,17.84,17.57,17.78,514957
2017-06-14,17.79,17.98,17.58,17.74,877912
2017-06-15,17.63,17.71,17.36,17.51,635402
2017-06-16,17.41,17.7,17.32,17.59,1684902
2017-06-19,17.66,18.18,17.64,17.97,575400
2017-06-20,18.0,18.89,17.87,18.61,1245877
2017-06-21,18.43,19.61,18.22,19.44,1486231
