date,open,high,low,close,volume
2017-01-03,16.92,17.25,16.54,16.75,499449
2017-01-04,16.83,17.05,16.8,16.95,520298
2017-01-05,16.72,16.81,16.4,16.55,506527
2017-01-06,16.67,16.67,16.33,16.41,387007
2017-01-09,16.48,16.54,16.06,16.27,969287
2017-01-10,16.25,16.8,16.23,16.66,802046
2017-01-11,16.68,16.88,16.45,16.82,338112
2017-01-12,17.12,17.3,16.5,17.22,642347
2017-01-13,17.37,17.72,17.33,17.48,747858
2017-01-17,17.32,17.37,17.06,17.35,1683649
2017-01-18,17.44,17.72,17.19,17.6,553161
2017-01-19,17.53,17.6,16.96,17.05,1118322
2017-01-20,17.07,17.43,17.02,17.34,607480
2017-01-23,17.26,17.66,17.26,17.66,690522
2017-01-24,17.84,18.25,17.74,18.0,1097846
2017-01-25,18.21,18.21,17.76,17.9,651077
2017-01-26,17.96,18.02,17.69,17.88,629177
2017-01-27,17.97,18.21,17.86,18.0,579636
2017-01-30,17.84,18.06,17.59,17.87,677365
2017-01-31,17.79,18.02,17.53,18.02,869677
2017-02-01,18.27,18.35,17.92,18.11,755156
2017-02-02,18.08,18.11,17.73,17.92,939595
2017-02-03,18.11,18.34,17.905,18.2,953641
2017-02-06,18.08,18.21,17.805,17.98,1505234
2017-02-07,17.97,19.34,17.85,18.75,3142409
2017-02-08,18.71,18.8,18.38,18.59,1098229
2017-02-09,18.63,18.79,18.48,18.64,1034917
2017-02-10,18.82,18.83,18.54,18.7,473530
2017-02-13,18.9,19.0,18.78,18.92,625620
2017-02-14,18.82,19.28,18.76,19.26,659006
2017-02-15,19.16,19.53,18.96,19.42,543822
2017-02-16,19.48,19.5299,19.05,19.28,462424
2017-02-17,19.26,19.68,19.07,19.42,743996
2017-02-21,19.3,19.82,19.3,19.49,624086
2017-02-22,19.3,19.44,19.11,19.32,656850
2017-02-23,19.32,19.33,18.9,19.0,1069470
2017-02-24,18.72,18.87,18.49,18.66,1113077
2017-02-27,18.63,19.16,18.531,19.14,756984
2017-02-28,19.05,19.05,18.68,18.93,868641
2017-03-01,19.26,19.63,19.26,19.38,751920
2017-03-02,19.28,19.32,18.77,18.79,591344
2017-03-03,18.86,18.88,18.585,18.69,461842
2017-03-06,18.48,18.54,18.2,18.34,573953
2017-03-07,18.37,18.49,18.2,18.33,496723
2017-03-08,18.34,18.47,18.22,18.24,420471
2017-03-09,18.22,18.3263,18.005,18.02,664555
2017-03-10,18.23,18.51,18.09,18.33,574301
2017-03-13,18.27,18.58,18.27,18.35,433666
2017-03-14,18.22,18.65,18.08,18.57,421601
2017-03-15,18.65,18.8999,18.62,18.71,694839
2017-03-16,18.8,19.21,18.45,18.99,900714
2017-03-17,19.07,19.17,18.8,19.12,1113339
2017-03-20,18.99,19.29,18.81,19.22,533076
2017-03-21,19.32,19.32,18.27,18.28,590842
2017-03-22,18.16,18.57,18.15,18.55,737721
2017-03-23,18.6,18.85,18.46,18.81,562272
2017-03-24,18.93,19.21,18.69,18.75,544985
2017-03-27,18.5,18.88,18.37,18.64,852724
2017-03-28,18.54,19.06,18.46,19.04,512625
2017-03-29,18.99,19.1,18.64,18.79,612876
2017-03-30,18.78,19.21,18.78,19.02,857425
2017-03-31,19.02,19.2,18.88,18.95,576238
2017-04-03,19.03,19.03,18.4,18.6,727861
2017-04-04,18.5,18.88,18.5,18.75,803342
2017-04-05,18.89,18.99,18.47,18.55,452655
2017-04-06,18.55,18.84,18.44,18.62,560188
2017-04-07,18.54,18.96,18.4,18.86,464210
2017-04-10,18.9,19.23,18.67,18.69,495011
2017-04-11,18.67,18.88,18.31,18.85,637893
2017-04-12,18.85,18.88,18.45,18.49,902402
2017-04-13,18.46,18.83,18.411,18.51,593100
2017-04-17,18.65,19.08,18.6,18.92,448978
2017-04-18,18.91,19.07,18.84,19.07,809744
