date,open,high,low,close,volume
2017-01-03,5.27,5.55,5.25,5.42,4208053
2017-01-04,5.47,5.78,5.4,5.74,6765837
2017-01-05,5.68,5.71,5.54,5.65,2892398
2017-01-06,5.67,5.815,5.61,5.63,3330450
2017-01-09,5.58,5.725,5.5301,5.66,2568663
2017-01-10,5.67,5.8199,5.63,5.75,4376446
2017-01-11,5.67,5.74,5.58,5.68,2755679
2017-01-12,5.63,5.68,5.43,5.6,3124139
2017-01-13,5.64,5.8,5.59,5.61,2442415
2017-01-17,5.6,5.6,5.43,5.49,2348155
2017-01-18,5.49,5.55,5.41,5.49,3605200
2017-01-19,5.49,5.83,5.49,5.78,7991794
2017-01-20,5.77,5.92,5.67,5.75,8883505
2017-01-23,5.7,6.04,5.67,5.89,11272093
2017-01-24,5.89,5.96,5.61,5.9,10481936
2017-01-25,6.06,6.29,5.98,6.1,10822664
2017-01-26,6.1,6.2099,5.925,6.12,11035023
2017-01-27,6.12,6.18,6.01,6.14,4854612
2017-01-30,6.09,6.1384,5.87,6.05,4589577
2017-01-31,6.05,6.23,5.96,6.17,5168921
2017-02-01,6.23,6.37,6.17,6.32,5524382
2017-02-02,6.24,6.38,6.2,6.23,4604937
2017-02-03,6.22,6.35,6.22,6.34,4363364
2017-02-06,6.28,6.415,6.2,6.24,7512420
2017-02-07,6.27,6.335,6.19,6.31,4116654
2017-02-08,6.32,6.32,6.15,6.2,3628262
2017-02-09,6.23,6.49,6.2001,6.45,5770115
2017-02-10,6.46,6.72,6.4,6.68,8582915
2017-02-13,6.69,6.785,6.57,6.68,6670377
2017-02-14,6.69,6.69,6.49,6.6,11031313
2017-02-15,6.11,6.34,6.01,6.29,19520638
2017-02-16,6.14,6.225,5.74,5.78,18254128
2017-02-17,5.82,5.88,5.6,5.63,9564334
2017-02-21,5.62,5.805,5.62,5.68,8516486
2017-02-22,5.68,5.739,5.605,5.64,4084865
2017-02-23,5.66,5.69,5.41,5.56,5405586
2017-02-24,5.47,5.51,5.36,5.45,6940300
2017-02-27,5.45,5.72,5.42,5.58,7092555
2017-02-28,5.54,5.61,5.33,5.34,7267801
2017-03-01,5.45,5.51,5.17,5.29,7643601
2017-03-02,5.26,5.47,5.24,5.25,8539694
2017-03-03,5.23,5.26,5.03,5.13,6612514
2017-03-06,5.13,5.13,4.99,5.05,6074986
2017-03-07,5.08,5.25,5.03,5.06,7094185
2017-03-08,5.08,5.45,5.08,5.31,11297196
2017-03-09,5.35,5.44,5.26,5.37,7457648
2017-03-10,5.33,5.4,5.27,5.31,3873005
2017-03-13,5.37,5.41,5.24,5.26,4240198
2017-03-14,5.27,5.27,5.15,5.26,3813002
2017-03-15,5.3,5.38,5.18,5.35,3528317
2017-03-16,5.5,5.62,5.45,5.49,5367235
2017-03-17,5.49,5.54,5.36,5.36,3743950
2017-03-20,5.37,5.47,5.33,5.39,3290941
2017-03-21,5.39,5.43,5.07,5.22,9673082
2017-03-22,5.34,5.34,5.12,5.21,5153653
2017-03-23,5.22,5.33,5.18,5.2,3133674
2017-03-24,5.21,5.3394,5.2,5.2,2809223
2017-03-27,5.12,5.275,5.08,5.26,3845433
2017-03-28,5.23,5.46,5.23,5.45,4038762
2017-03-29,5.45,5.5,5.37,5.45,3260529
2017-03-30,5.44,5.5,5.31,5.47,7556071
2017-03-31,5.47,5.51,5.34,5.49,5587291
2017-04-03,5.47,5.48,5.255,5.29,4763898
2017-04-04,5.29,5.31,5.18,5.23,3736505
2017-04-05,5.26,5.39,5.17,5.24,4476624
