date,open,high,low,close,volume
2017-01-03,14.49,14.93,14.34,14.9,3460036
2017-01-04,14.85,15.325,14.7,15.21,4157507
2017-01-05,15.27,15.55,14.92,15.02,3107897
2017-01-06,15.04,15.175,14.75,14.91,1758919
2017-01-09,14.72,14.82,14.37,14.39,1913097
2017-01-10,14.47,14.51,14.15,14.21,2216875
2017-01-11,14.32,14.54,14.065,14.38,2755507
2017-01-12,14.65,14.6741,14.12,14.13,2163652
2017-01-13,14.08,14.335,13.81,13.83,1768515
2017-01-17,14.11,14.12,13.33,13.37,4294003
2017-01-18,13.3,13.92,13.11,13.42,4439059
2017-01-19,13.51,13.63,13.165,13.32,3603563
2017-01-20,13.62,13.825,13.49,13.56,2934152
2017-01-23,13.47,13.64,13.29,13.52,2723167
2017-01-24,13.78,13.88,13.48,13.66,1741743
2017-01-25,13.71,14.42,13.6,14.08,4875204
2017-01-26,14.22,14.425,14.12,14.28,3054138
2017-01-27,14.13,14.215,13.83,14.09,2106902
2017-01-30,13.92,13.97,13.23,13.62,3983400
2017-01-31,13.68,13.8,13.34,13.55,2885854
2017-02-01,13.72,13.81,13.18,13.57,2440143
2017-02-02,13.6,14.1,13.32,13.96,3974359
2017-02-03,13.95,14.31,13.68,14.31,2824612
2017-02-06,14.24,14.37,13.79,13.96,2927036
2017-02-07,13.71,13.79,13.17,13.44,4280864
2017-02-08,13.23,13.8,12.9,13.55,4093669
2017-02-09,13.78,13.98,13.66,13.81,2227658
2017-02-10,14.12,14.285,14.05,14.25,2361744
2017-02-13,14.13,14.3,13.92,14.11,2698954
2017-02-14,14.2,14.38,13.79,14.31,2351198
2017-02-15,14.18,14.47,14.11,14.33,4201273
2017-02-16,14.87,14.92,14.335,14.45,6749087
2017-02-17,14.35,14.585,13.99,14.12,4146620
2017-02-21,14.52,15.09,14.44,14.98,5967588
2017-02-22,14.75,14.91,14.33,14.34,3793982
2017-02-23,14.69,14.85,14.175,14.43,5570374
2017-02-24,14.17,14.17,13.52,13.62,5159741
2017-02-27,13.71,14.03,13.55,13.91,4203387
2017-02-28,13.71,13.96,13.64,13.83,4093495
2017-03-01,13.96,14.45,13.85,14.42,4597497
2017-03-02,14.13,14.21,13.83,13.85,3991821
2017-03-03,13.82,14.23,13.74,14.19,4407211
2017-03-06,14.17,14.41,14.04,14.37,3271304
2017-03-07,14.35,14.4,13.845,13.92,4626271
2017-03-08,13.78,13.97,12.85,12.9,4480554
2017-03-09,12.83,13.17,12.52,13.08,3934233
2017-03-10,13.25,13.2999,12.99,13.2,2775219
2017-03-13,13.17,13.4125,12.95,13.07,4517860
2017-03-14,12.88,12.96,12.345,12.95,6735146
2017-03-15,13.1,13.62,12.985,13.56,4218922
2017-03-16,13.58,13.63,13.37,13.4,2381791
2017-03-17,13.46,13.61,13.34,13.46,3140135
2017-03-20,13.25,13.65,13.17,13.62,2930928
2017-03-21,13.65,13.719,13.0,13.09,3306258
2017-03-22,12.94,13.18,12.7,12.88,3324346
