date,open,high,low,close,volume
2017-01-03,14.0148,14.0697,13.694,13.7856,410505
2017-01-04,13.7581,13.9781,13.7581,13.9231,439673
2017-01-05,13.9231,13.9781,13.8131,13.9231,430280
2017-01-06,13.8314,13.9873,13.7986,13.9323,269675
2017-01-09,13.9506,13.9506,13.6985,13.7123,247027
2017-01-10,13.7489,13.7856,13.6115,13.6665,253898
2017-01-11,13.639,13.6573,13.5015,13.5931,368145
2017-01-12,13.584,13.6573,13.4373,13.6206,234213
2017-01-13,13.6023,13.7031,13.5416,13.584,151353
2017-01-17,13.5656,13.6481,13.5106,13.5931,266303
2017-01-18,13.6023,13.7306,13.5106,13.6665,227862
2017-01-19,13.6298,13.6298,13.5198,13.6023,185383
2017-01-20,13.5656,13.7673,13.5656,13.7215,221349
2017-01-23,13.7489,13.9139,13.7306,13.8864,150851
2017-01-24,13.8956,13.9139,13.7398,13.8773,225466
2017-01-25,13.8773,13.8864,13.7948,13.8131,228365
2017-01-26,13.8406,13.8864,13.7856,13.7856,189880
2017-01-27,13.8406,13.8406,13.474,13.5381,271846
2017-01-30,13.5015,13.5015,13.2632,13.2723,183993
2017-01-31,13.2723,13.5087,13.2311,13.3823,242747
2017-02-01,13.3915,13.529,13.1715,13.1807,187488
2017-02-02,13.199,13.3823,13.199,13.2815,148721
2017-02-03,13.4006,13.5106,13.3456,13.474,187165
2017-02-06,13.4923,13.5473,13.3823,13.4098,161101
2017-02-07,13.4281,13.474,13.2632,13.2723,155989
2017-02-08,13.2723,13.3548,13.1532,13.2723,176186
2017-02-09,13.2998,13.694,13.2906,13.3548,239207
2017-02-10,13.3548,13.4923,13.2906,13.4923,332723
2017-02-13,13.5016,13.5016,13.3348,13.4274,205455
2017-02-14,13.3255,13.3904,13.2606,13.3626,265568
2017-02-15,13.2606,13.2699,13.0395,13.1958,409718
2017-02-16,13.1958,13.3626,13.1726,13.3348,192846
2017-02-17,13.3626,13.4599,13.2884,13.446,272154
2017-02-21,13.446,13.6776,13.402,13.6313,333849
2017-02-22,13.6313,13.6406,13.3904,13.5942,255917
2017-02-23,13.6313,13.6498,13.4738,13.5664,135069
2017-02-24,13.5664,13.6962,13.5664,13.6684,227119
2017-02-27,13.6591,13.8074,13.5942,13.7147,226182
2017-02-28,13.724,13.7287,13.4645,13.5294,332454
2017-03-01,13.4923,13.7054,13.4552,13.6498,211355
2017-03-02,13.6035,13.7054,13.4923,13.6035,125889
2017-03-03,13.6313,13.724,13.3626,13.6035,198321
2017-03-06,13.5108,13.5108,13.3533,13.483,230740
2017-03-07,13.4274,13.446,13.307,13.3348,230336
2017-03-08,13.2699,13.2792,12.9919,12.9919,225335
2017-03-09,13.0012,13.1216,12.8251,12.8344,180219
2017-03-10,12.927,12.9919,12.6768,12.8344,313801
2017-03-13,12.8251,12.9595,12.8158,12.8807,220014
2017-03-14,12.8344,12.8436,12.7046,12.788,193198
2017-03-15,12.7973,13.0938,12.783,13.029,562841
2017-03-16,13.029,13.2328,13.029,13.1402,265625
2017-03-17,13.1958,13.3904,13.1958,13.2699,513779
2017-03-20,13.2699,13.2884,12.9919,13.066,292097
2017-03-21,13.1309,13.205,13.0104,13.0475,349100
2017-03-22,13.0938,13.1587,12.7695,12.8714,353342
2017-03-23,12.8529,13.1124,12.8529,13.066,349566
2017-03-24,13.1031,13.205,13.029,13.1031,171469
2017-03-27,13.0938,13.1494,12.9456,13.0382,243592
2017-03-28,13.0382,13.1031,12.9641,13.0568,265733
2017-03-29,13.0568,13.1494,13.0012,13.0475,277268
2017-03-30,13.0197,13.0938,12.9456,13.0846,260222
2017-03-31,13.066,13.2514,13.066,13.2236,355575
2017-04-03,13.205,13.2792,13.1402,13.2143,184366
2017-04-04,13.205,13.3162,13.1772,13.2421,212935
2017-04-05,13.2792,13.3533,13.1402,13.168,384711
2017-04-06,13.168,13.4367,13.1179,13.2884,415616
