date,open,high,low,close,volume
2017-01-03,7.3971,7.4886,7.2752,7.4581,1722081
2017-01-04,7.493,7.5975,7.4233,7.5975,1414193
2017-01-05,7.6237,7.6411,7.5191,7.5888,892930
2017-01-06,7.5975,7.6237,7.5017,7.5627,967961
2017-01-09,7.5627,7.5801,7.3449,7.3971,1772621
2017-01-10,7.3884,7.5017,7.3884,7.4059,1310209
2017-01-11,7.4059,7.628,7.3945,7.5975,1205843
2017-01-12,7.5975,7.6063,7.4581,7.5453,920028
2017-01-13,7.5801,7.6455,7.5366,7.6063,1309103
2017-01-17,7.6063,7.7195,7.5758,7.676,1843980
2017-01-18,7.6672,8.0158,7.5888,8.0158,2099396
2017-01-19,8.0158,8.0158,7.7718,7.9112,1904056
2017-01-20,7.9199,8.1783,7.8067,8.1552,2159796
2017-01-23,7.7805,7.7805,7.432,7.4669,4439209
2017-01-24,7.5627,7.6237,7.4581,7.5801,1934904
2017-01-25,7.5714,7.6324,7.5191,7.5714,1403272
2017-01-26,7.5975,7.8154,7.5975,7.6498,1044482
2017-01-27,7.6237,7.7326,7.5801,7.6498,904742
2017-01-30,7.6498,7.6672,7.4716,7.5975,1143513
2017-01-31,7.6324,7.6324,7.4756,7.5278,1073232
2017-02-01,7.5627,7.6324,7.3536,7.3971,1892227
2017-02-02,7.3187,7.4146,7.2185,7.2403,1740459
2017-02-03,7.188,7.2839,7.1271,7.2752,1646865
2017-02-06,7.3623,7.5975,7.3536,7.5627,2075535
2017-02-07,7.615,7.6847,7.4756,7.4843,1486393
2017-02-08,7.4932,7.743,7.3772,7.743,2003601
2017-02-09,7.7162,7.7162,7.404,7.4575,2529711
2017-02-10,7.4575,7.6181,7.4397,7.5378,1312416
2017-02-13,7.5824,7.6627,7.4932,7.5467,1279608
2017-02-14,7.4932,7.5913,7.4308,7.5467,926645
2017-02-15,7.4932,7.5735,7.4486,7.511,943121
2017-02-16,7.4664,7.5021,7.3772,7.3951,1031861
2017-02-17,7.404,7.4397,7.3326,7.4397,1090973
2017-02-21,7.4486,7.4754,7.3326,7.3951,1187693
2017-02-22,7.3862,7.4308,7.2836,7.3683,1012387
2017-02-23,7.3683,7.4218,7.2969,7.3505,876579
2017-02-24,7.3594,7.3683,7.0739,7.1096,2481265
2017-02-27,7.1364,7.3059,7.1096,7.2077,1962440
2017-02-28,7.1988,7.2256,7.0293,7.0829,2500169
2017-03-01,7.1364,7.1631,7.0561,7.0918,1747901
2017-03-02,7.0739,7.2791,7.0383,7.0739,1850991
2017-03-03,7.0739,7.1988,7.0561,7.1185,1043388
