date,open,high,low,close,volume
2017-01-03,7.7,7.9,7.6,7.7,580336
2017-01-04,7.75,8.4,7.7,8.35,1805091
2017-01-05,8.75,8.75,8.15,8.35,776075
2017-01-06,8.35,8.75,8.3,8.45,670800
2017-01-09,8.4,8.45,8.05,8.1,739860
2017-01-10,8.1,8.35,7.9,8.05,1329181
2017-01-11,8.1,8.5,8.0,8.1,817986
2017-01-12,8.15,8.2,7.65,7.95,919252
2017-01-13,7.85,8.05,7.7,7.9,642373
2017-01-17,7.85,7.95,7.75,7.8,773342
2017-01-18,7.75,7.9,7.55,7.6,688318
2017-01-19,7.6,7.725,7.4,7.65,883788
2017-01-20,7.65,7.8,7.6,7.7,354822
2017-01-23,7.65,7.8,7.5,7.6,361859
2017-01-24,7.7,7.925,7.55,7.85,515429
2017-01-25,7.85,8.1,7.8,8.05,497070
2017-01-26,8.1,8.2,7.9,7.95,400885
2017-01-27,7.85,7.9,7.7,7.85,202401
2017-01-30,7.75,7.75,7.5,7.65,542582
2017-01-31,7.65,7.7,7.45,7.55,642687
2017-02-01,7.65,7.75,7.3,7.4,472836
2017-02-02,7.45,7.5,7.25,7.4,421665
2017-02-03,7.45,7.75,7.4,7.7,405536
2017-02-06,7.7,7.75,7.5,7.65,316507
2017-02-07,7.6,7.75,7.5,7.6,318663
2017-02-08,7.6,7.75,7.45,7.7,494513
2017-02-09,7.75,8.15,7.7,8.15,810709
2017-02-10,8.0,8.4,7.75,8.15,786495
2017-02-13,8.2,8.3,7.6,7.7,730742
2017-02-14,7.85,8.25,7.65,8.25,812696
2017-02-15,8.2,8.25,8.0,8.1,454066
2017-02-16,8.15,8.15,7.6,7.6,511997
2017-02-17,7.6,7.7,7.4,7.5,676747
2017-02-21,7.65,8.2,7.6,8.15,896627
2017-02-22,8.0,8.15,7.7,7.85,578399
2017-02-23,7.95,8.075,7.8,7.9,892396
2017-02-24,7.85,7.9,7.4,7.5,624406
2017-02-27,7.45,8.0,7.45,7.9,656557
2017-02-28,7.9,7.95,7.65,7.7,870227
2017-03-01,7.8,8.15,7.75,8.0,590015
2017-03-02,7.85,8.0,7.55,7.6,605409
2017-03-03,7.6,7.75,7.4,7.5,692294
2017-03-06,7.5,7.6,7.25,7.5,484783
2017-03-07,7.55,7.65,7.15,7.2,484307
2017-03-08,7.25,7.3,6.9,6.9,983149
2017-03-09,6.9,7.0,6.65,6.85,810962
2017-03-10,6.9,7.0,6.6,6.75,496057
2017-03-13,6.75,6.9,6.65,6.75,450328
2017-03-14,6.6,6.8,6.4,6.75,619101
2017-03-15,6.85,7.3,6.75,7.25,1110821
2017-03-16,7.35,7.375,7.05,7.3,755269
2017-03-17,7.35,7.65,7.25,7.6,2397678
2017-03-20,7.5,7.6,7.175,7.3,1559137
2017-03-21,7.3,7.55,7.15,7.3,1114930
2017-03-22,7.2,7.35,7.025,7.25,680648
2017-03-23,7.2,7.7,7.0,7.65,1103368
2017-03-24,7.65,7.7,7.5,7.6,1512617
2017-03-27,7.4,7.55,7.275,7.5,797023
2017-03-28,7.5,7.85,7.4,7.8,613371
2017-03-29,7.75,8.05,7.65,7.9,584670
2017-03-30,8.05,8.075,7.85,8.0,955000
2017-03-31,8.05,8.2,8.0,8.1,784527
2017-04-03,8.15,8.2,7.8,7.9,720638
2017-04-04,7.9,8.2,7.85,8.0,1020218
2017-04-05,8.2,8.275,7.95,7.95,1136024
2017-04-06,8.05,8.15,7.875,8.15,689350
2017-04-07,8.1,8.15,7.9,8.05,559748
2017-04-10,8.15,8.275,8.025,8.2,1138514
2017-04-11,8.2,8.25,8.05,8.25,530214
2017-04-12,8.2,8.25,7.95,8.1,766794
2017-04-13,8.1,8.2,7.825,7.95,761882
2017-04-17,7.9,8.1,7.85,8.1,539663
2017-04-18,8.05,8.15,7.825,8.0,784190
2017-04-19,8.05,8.15,7.745,7.75,709824
