date,open,high,low,close,volume
2017-01-03,5.1608,5.1762,5.0835,5.1221,857876
2017-01-04,5.1453,5.1762,5.1221,5.1608,743805
2017-01-05,5.1762,5.1762,5.0912,5.1299,643670
2017-01-06,5.1453,5.1646,5.1067,5.1453,636680
2017-01-09,5.1376,5.1608,5.0912,5.0989,498700
2017-01-10,5.0989,5.2535,5.0951,5.2457,903574
2017-01-11,5.2535,5.2921,5.1994,5.2689,574681
2017-01-12,5.2612,5.2766,5.1762,5.2303,743857
2017-01-13,5.2071,5.2612,5.1762,5.2535,488522
2017-01-17,5.1994,5.2457,4.9058,4.9213,3032317
2017-01-18,4.9213,4.9753,4.8363,4.8672,2462190
2017-01-19,4.8749,4.9058,4.7899,4.844,1745131
2017-01-20,4.8285,4.8826,4.8285,4.8595,825064
2017-01-23,4.8595,4.9676,4.8595,4.9367,1097421
2017-01-24,4.9367,5.0758,4.9213,5.0449,1477048
2017-01-25,5.0603,5.1221,4.9985,5.1144,1336965
2017-01-26,5.1685,5.1762,5.068,5.0758,773333
2017-01-27,5.0835,5.1221,5.0294,5.0835,936854
2017-01-30,5.0758,5.0758,4.9483,5.0294,1002151
2017-01-31,5.0217,5.0217,4.8401,4.9522,1114222
2017-02-01,4.9985,5.0419,4.9522,4.9753,771571
2017-02-02,5.0062,5.0062,4.9058,4.9908,664969
2017-02-03,5.0062,5.0217,4.9444,5.0062,703993
2017-02-06,4.9908,5.0449,4.9831,5.0294,586314
2017-02-07,5.068,5.0758,5.0062,5.0526,656293
2017-02-08,5.0526,5.0758,5.014,5.0526,594820
2017-02-09,5.1105,5.1183,5.0294,5.0912,658628
2017-02-10,5.0989,5.1376,5.068,5.1067,532252
2017-02-13,5.1299,5.2071,5.1221,5.1453,979453
2017-02-14,5.1376,5.1453,5.0487,5.0835,706526
2017-02-15,5.0835,5.153,5.0371,5.153,918072
2017-02-16,5.153,5.1994,5.1067,5.1453,718580
2017-02-17,5.153,5.153,5.0371,5.0371,863581
2017-02-21,5.0371,5.0758,5.0062,5.0603,1455273
2017-02-22,4.8904,4.9058,4.674,4.8672,5268319
2017-02-23,4.8131,5.014,4.7976,4.9908,1951647
2017-02-24,4.929,5.0062,4.9165,4.9753,1016915
2017-02-27,4.9831,5.0062,4.9135,4.9213,1595486
2017-02-28,4.9135,4.9522,4.8672,4.8904,2235036
2017-03-01,4.9213,5.0217,4.9019,4.9444,1389171
2017-03-02,4.9444,4.9908,4.9213,4.9831,927396
2017-03-03,4.9753,4.9831,4.8981,4.9831,1157041
