date,open,high,low,close,volume
2017-01-03,52.55,53.02,51.64,52.77,478123
2017-01-04,53.13,53.8,53.08,53.29,453815
2017-01-05,53.44,53.63,52.68,53.37,271524
2017-01-06,53.25,53.36,52.74,52.76,229529
2017-01-09,52.56,52.84,52.23,52.66,595960
2017-01-10,52.33,52.77,51.88,52.37,630728
2017-01-11,52.24,52.69,51.73,52.08,393548
2017-01-12,51.78,51.85,51.38,51.48,294975
2017-01-13,51.79,52.27,51.6,51.9,165439
2017-01-17,51.54,52.1,51.02,51.91,300725
2017-01-18,52.15,52.15,51.69,51.87,212263
2017-01-19,51.78,52.11,51.52,51.72,245181
2017-01-20,51.61,51.99,51.47,51.72,325374
2017-01-23,51.89,52.19,51.56,51.71,197792
2017-01-24,51.57,52.69,51.455,52.56,210704
2017-01-25,52.8,52.97,52.42,52.63,173980
2017-01-26,52.44,52.78,52.14,52.5,183453
2017-01-27,52.68,52.79,52.07,52.13,243138
2017-01-30,52.34,52.39,51.5,51.84,395871
2017-01-31,51.76,52.92,51.58,52.76,245169
2017-02-01,52.84,53.18,52.53,53.01,246709
2017-02-02,53.81,56.905,53.56,56.32,646193
2017-02-03,56.94,57.13,55.9,56.08,540067
2017-02-06,55.92,56.13,55.32,55.43,329561
2017-02-07,55.26,55.95,55.1662,55.59,238860
2017-02-08,55.3,55.71,54.98,55.46,202742
2017-02-09,55.75,56.19,55.38,56.07,197604
2017-02-10,56.0,56.46,55.78,56.22,147053
2017-02-13,56.38,56.7,56.23,56.42,147941
2017-02-14,56.3,57.0,56.21,56.24,310426
2017-02-15,56.01,57.02,55.92,56.88,191472
2017-02-16,57.1,57.25,56.255,56.34,281872
2017-02-17,56.48,56.51,56.02,56.15,237099
2017-02-21,56.15,56.88,55.94,56.78,257454
2017-02-22,56.73,57.11,56.53,56.92,199493
2017-02-23,57.25,57.66,56.5301,57.46,321233
2017-02-24,56.8,57.28,56.53,57.28,229121
2017-02-27,57.31,57.85,57.15,57.66,366935
2017-02-28,57.44,57.51,56.36,56.62,553022
2017-03-01,57.27,58.08,56.98,57.92,319766
2017-03-02,57.84,58.03,57.255,57.28,311235
2017-03-03,57.42,57.72,56.76,57.17,312168
2017-03-06,56.73,57.05,56.22,56.29,322258
2017-03-07,56.48,57.54,56.0,57.22,506022
2017-03-08,57.24,57.645,56.96,57.12,238182
2017-03-09,57.27,57.49,56.78,57.11,228489
2017-03-10,57.32,57.69,57.15,57.59,351641
2017-03-13,57.75,57.8,56.53,56.83,242010
2017-03-14,56.8,56.9,55.91,56.39,590702
2017-03-15,56.52,57.82,56.52,57.61,268938
2017-03-16,57.62,57.64,56.75,57.02,211604
2017-03-17,57.06,57.44,56.58,57.21,491165
2017-03-20,57.21,57.43,56.87,57.36,226177
2017-03-21,57.58,57.58,55.95,56.01,242418
2017-03-22,56.15,56.26,55.34,56.21,436208
2017-03-23,56.15,56.76,55.595,56.06,419929
2017-03-24,56.11,56.89,55.72,55.94,367718
2017-03-27,55.46,56.44,55.28,56.32,388569
2017-03-28,56.04,56.42,55.645,56.36,360756
2017-03-29,56.37,56.59,56.0,56.31,300719
2017-03-30,56.29,56.63,55.71,55.96,577805
2017-03-31,55.75,55.98,55.5,55.56,396951
2017-04-03,55.57,56.3,55.52,56.0,426864
2017-04-04,55.93,56.75,55.72,56.11,456176
2017-04-05,56.2,56.22,55.24,55.55,297110
2017-04-06,55.65,55.82,55.35,55.58,277793
2017-04-07,55.41,56.21,55.24,56.2,414476
2017-04-10,56.22,56.78,55.86,56.75,325656
2017-04-11,56.48,59.63,56.09,56.69,329546
2017-04-12,56.72,56.91,56.3001,56.8,350481
2017-04-13,56.59,56.71,56.24,56.24,375452
2017-04-17,56.25,56.5,55.83,56.5,231456
2017-04-18,56.3,56.63,55.565,56.33,334728
