date,open,high,low,close,volume
2017-01-03,11.5,11.55,11.1,11.35,385019
2017-01-04,11.3,11.4,11.1,11.3,240176
2017-01-05,11.25,11.4,11.1,11.15,349764
2017-01-06,11.2,11.25,11.05,11.05,357951
2017-01-09,10.95,11.2,10.95,11.0,599005
2017-01-10,10.95,11.0,10.75,10.8,450614
2017-01-11,10.85,11.1,10.7,11.0,555230
2017-01-12,11.0,11.075,10.8,11.0,738495
2017-01-13,11.15,11.4,11.05,11.4,535478
2017-01-17,11.45,11.5,11.2,11.35,506297
2017-01-18,11.35,11.45,11.25,11.4,460300
2017-01-19,11.4,11.5,11.2,11.25,423253
2017-01-20,11.25,11.45,11.25,11.35,353679
2017-01-23,11.35,11.45,11.25,11.35,301798
2017-01-24,11.4,11.6,11.35,11.55,686344
2017-01-25,11.6,11.925,11.6,11.85,531920
2017-01-26,11.8,11.95,11.7,11.85,355286
2017-01-27,11.9,11.95,11.6,11.65,233089
2017-01-30,11.65,11.65,11.4,11.4,300597
2017-01-31,11.35,11.65,11.35,11.5,286526
2017-02-01,11.65,11.8,11.4,11.45,350806
2017-02-02,11.45,11.55,11.35,11.45,371873
2017-02-03,11.6,11.7,11.5,11.6,298294
2017-02-06,11.55,11.75,11.45,11.65,251562
2017-02-07,11.65,11.65,11.3,11.35,278584
2017-02-08,11.35,11.4,11.25,11.3,216044
2017-02-09,11.4,11.75,11.25,11.55,418813
2017-02-10,11.65,11.75,11.3,11.65,173317
2017-02-13,11.75,11.8,11.3,11.3,320287
2017-02-14,11.2,11.35,11.1,11.3,371817
2017-02-15,10.7,11.65,10.7,11.4,585424
2017-02-16,11.4,11.5,11.0,11.2,418023
2017-02-17,11.2,11.35,11.0,11.25,424583
2017-02-21,11.2,11.45,11.155,11.3,278724
2017-02-22,11.2,11.275,10.95,11.05,205095
2017-02-23,10.95,11.075,10.85,10.85,262735
2017-02-24,10.8,11.1,10.75,10.9,254617
2017-02-27,10.95,10.95,10.75,10.85,267527
2017-02-28,10.75,10.85,10.6,10.7,394685
2017-03-01,10.8,11.1,10.7,11.05,492031
2017-03-02,11.0,11.05,10.85,10.95,196862
2017-03-03,10.95,10.95,10.75,10.8,213125
2017-03-06,10.5,10.8,10.4,10.75,400016
2017-03-07,10.75,10.95,10.7,10.75,397207
2017-03-08,10.75,10.95,10.65,10.8,165171
2017-03-09,10.8,10.8,10.55,10.55,164033
2017-03-10,10.65,10.8,10.6,10.7,199573
2017-03-13,10.7,10.9,10.6,10.7,89377
2017-03-14,10.65,10.75,10.5,10.65,107697
2017-03-15,10.6,10.825,10.55,10.8,143266
2017-03-16,10.8,10.85,10.75,10.8,106873
2017-03-17,10.7,11.1,10.65,11.1,511391
2017-03-20,11.1,11.2,11.05,11.2,209164
2017-03-21,11.2,11.3,10.8,10.85,297808
2017-03-22,10.85,10.95,10.75,10.85,259747
2017-03-23,10.85,11.15,10.85,10.9,166199
2017-03-24,10.95,11.1,10.75,10.85,212844
2017-03-27,10.75,11.0,10.65,10.9,339567
2017-03-28,10.85,11.0,10.7,10.75,198948
2017-03-29,10.7,10.75,10.55,10.65,233763
2017-03-30,10.6,10.7,10.55,10.65,180523
2017-03-31,10.6,10.75,10.55,10.7,331605
2017-04-03,10.65,10.8,10.525,10.55,283032
2017-04-04,10.5,10.8,10.3,10.6,631345
2017-04-05,10.6,10.8,10.45,10.5,337425
2017-04-06,10.5,10.6,10.35,10.5,251289
2017-04-07,10.45,10.9,10.45,10.8,414166
2017-04-10,10.8,11.0,10.7,10.9,363298
2017-04-11,10.85,10.95,10.7,10.8,193963
2017-04-12,10.8,10.825,10.6,10.75,245525
2017-04-13,10.75,10.8,10.65,10.65,315104
2017-04-17,10.65,10.9,10.65,10.9,162024
2017-04-18,10.8,10.925,10.725,10.85,259282
2017-04-19,10.85,11.125,10.8,11.05,373562
2017-04-20,11.1,11.2,10.95,11.15,906794
2017-04-21,11.15,11.25,10.8,11.1,255051
2017-04-24,11.25,11.25,10.85,11.1,308201
2017-04-25,11.2,11.25,11.1,11.15,327756
2017-04-26,11.1,11.45,11.1,11.4,777348
2017-04-27,11.45,11.75,11.45,11.65,805975
2017-04-28,11.65,11.65,11.3,11.5,324497
2017-05-01,11.5,11.625,11.4,11.55,340510
2017-05-02,11.6,11.6,11.375,11.5,233100
2017-05-03,11.45,11.45,11.125,11.3,299692
2017-05-04,11.35,11.4,11.2,11.4,263830
2017-05-05,11.4,11.45,11.3,11.3,178242
2017-05-08,11.3,11.4,11.15,11.2,151068
2017-05-09,11.25,11.55,11.225,11.45,259301
2017-05-10,11.45,11.6,11.35,11.5,348486
2017-05-11,11.45,11.6,11.25,11.5,214136
2017-05-12,11.45,11.55,11.3,11.3,253525
2017-05-15,11.35,11.6,11.275,11.55,796375
2017-05-16,11.55,11.6,11.35,11.55,976036
2017-05-17,9.05,10.7,8.8,10.25,1813138
2017-05-18,10.2,10.5,10.05,10.45,767746
2017-05-19,10.45,10.45,10.025,10.1,765962
2017-05-22,10.15,10.3,9.95,10.15,1581180
2017-05-23,10.2,10.3,9.925,10.25,999007
2017-05-24,10.25,10.25,10.0,10.0,377686
2017-05-25,10.05,10.1,10.0,10.0,200008
2017-05-26,10.05,10.3,9.975,10.25,305641
2017-05-30,10.2,10.25,10.05,10.1,465379
2017-05-31,10.1,10.2,10.0,10.05,498888
2017-06-01,10.05,10.25,10.0,10.2,350121
2017-06-02,10.2,10.7,10.2,10.6,545071
2017-06-05,10.6,10.7,10.35,10.475,452170
2017-06-06,10.45,10.5,10.25,10.3,291570
2017-06-07,10.35,10.42,10.2,10.3,635683
2017-06-08,10.3,10.625,10.25,10.6,700541
2017-06-09,10.65,10.8,10.2,10.3,537244
2017-06-12,10.25,10.4,10.0,10.15,301457
2017-06-13,10.25,10.4,10.0,10.35,518584
2017-06-14,10.35,10.35,10.0,10.2,449469
2017-06-15,10.05,10.15,9.95,10.0,447385
2017-06-16,9.9,10.1,9.8,9.95,667900
2017-06-19,10.0,10.1,9.9,10.0,281807
2017-06-20,9.95,10.0,9.6,9.7,504245
2017-06-21,9.7,9.85,9.45,9.65,929092
2017-06-22,9.65,9.8,9.45,9.5,407056
2017-06-23,9.45,9.75,9.35,9.6,880456
2017-06-26,9.6,9.7,9.35,9.5,446365
2017-06-27,9.5,9.55,9.3,9.3,591926
2017-06-28,9.4,9.65,9.3,9.65,487225
2017-06-29,9.65,9.65,9.25,9.35,519885
2017-06-30,9.4,9.5,9.3,9.4,624862
2017-07-03,9.35,9.5,9.3,9.4,371477
2017-07-05,9.4,9.6,9.3,9.5,389541
2017-07-06,9.4,9.6,9.4,9.5,621874
2017-07-07,9.55,9.7,9.55,9.6,158237
2017-07-10,9.6,9.8,9.55,9.7,353917
2017-07-11,9.75,9.9,9.675,9.9,291812
2017-07-12,10.0,10.05,9.875,9.9,520862
2017-07-13,9.9,10.05,9.85,9.95,571368
2017-07-14,9.95,10.15,9.95,10.15,151694
2017-07-17,10.1,10.2,10.0,10.15,307628
2017-07-18,10.15,10.2,10.05,10.2,197339
2017-07-19,10.25,10.3,9.95,10.3,357381
2017-07-20,10.35,10.35,10.1,10.25,155022
2017-07-21,10.3,10.3,10.05,10.15,222602
