date,open,high,low,close,volume
2017-01-03,31.0442,31.4322,30.8308,31.0927,155651
2017-01-04,30.9957,31.3546,30.8599,31.18,295497
2017-01-05,31.18,31.3546,30.5203,30.7337,253666
2017-01-06,30.7434,30.7628,30.4912,30.5882,144676
2017-01-09,30.3651,30.7725,30.239,30.3554,167341
2017-01-10,30.3651,30.53,30.3069,30.3845,201989
2017-01-11,30.4233,30.9666,30.4233,30.7823,303258
2017-01-12,30.6949,30.7434,30.142,30.724,204027
2017-01-13,30.7337,31.4419,30.7337,31.2867,343832
2017-01-17,28.5801,29.3756,26.3478,26.8047,1376426
2017-01-18,26.8047,27.5226,26.7671,27.2316,493008
2017-01-19,27.2607,27.445,26.9925,27.1831,350534
2017-01-20,27.1831,27.445,27.1734,27.3383,329781
2017-01-23,27.3286,27.901,27.3286,27.6293,286189
2017-01-24,27.6681,28.095,27.5711,27.8913,240829
2017-01-25,28.1823,28.2987,27.7748,28.0174,182170
2017-01-26,28.0174,28.0174,27.6536,27.7069,117456
2017-01-27,27.7069,27.7457,27.5226,27.6002,104745
2017-01-30,27.3577,27.4838,26.9891,27.0764,171907
2017-01-31,27.0375,27.2898,26.9211,27.1831,193198
2017-02-01,27.3771,27.3965,26.7514,26.9502,204863
2017-02-02,26.9308,26.9405,26.6204,26.8629,188933
2017-02-03,27.1152,27.2219,27.0084,27.0666,361091
2017-02-06,27.0666,27.2316,26.9308,27.1443,150352
2017-02-07,27.251,27.3771,27.0181,27.0861,176887
2017-02-08,27.0375,27.3577,26.8338,27.3286,287017
2017-02-09,27.3674,27.8136,27.3674,27.7554,257447
2017-02-10,27.9689,28.095,27.7069,27.9495,237378
2017-02-13,28.1629,28.3666,28.0174,28.0465,199845
2017-02-14,27.8816,28.192,27.4256,27.8913,332501
2017-02-15,27.7748,28.1629,27.7651,27.998,614609
2017-02-16,28.0562,28.386,28.0174,28.2599,1086981
2017-02-17,28.2987,28.6383,28.1338,28.3763,687272
2017-02-21,28.5024,28.6189,28.2599,28.5412,322863
2017-02-22,28.5704,28.5704,28.1144,28.1241,177573
2017-02-23,28.2502,28.4782,28.0077,28.1144,332361
2017-02-24,28.0562,28.1338,27.9301,28.1144,362184
2017-02-27,28.0316,28.5577,27.9634,28.3726,684210
2017-02-28,28.3823,28.3823,27.9341,27.9439,554645
2017-03-01,28.2362,28.5674,27.9634,28.4603,477853
2017-03-02,28.4408,28.6064,28.2167,28.2849,346724
2017-03-03,28.3141,28.3141,27.8464,28.0316,303008
2017-03-06,27.9146,28.1631,27.71,27.8075,407324
2017-03-07,27.7685,28.3141,27.7685,28.1485,354089
2017-03-08,28.2751,28.4505,28.1436,28.1777,401294
2017-03-09,28.2557,28.3434,28.0803,28.1582,190044
2017-03-10,28.3141,28.4213,28.1095,28.3726,196766
2017-03-13,28.3141,28.4992,28.2654,28.431,155150
2017-03-14,28.3044,28.3239,27.9731,28.2167,116945
2017-03-15,28.4116,28.5187,28.0803,28.2654,231415
2017-03-16,28.4505,28.6551,28.3044,28.3531,213418
2017-03-17,28.2459,28.3044,28.0218,28.168,680996
2017-03-20,28.1972,28.1972,27.6223,27.7685,368391
2017-03-21,27.8562,27.8562,27.0085,27.0865,390742
2017-03-22,27.0475,27.2716,26.7552,27.1644,224189
2017-03-23,27.1547,27.5444,27.1059,27.4275,246754
2017-03-24,27.5639,27.5736,27.2521,27.3106,302012
2017-03-27,26.989,27.5688,26.7649,27.4665,294513
2017-03-28,27.4177,27.6321,27.3008,27.5736,253685
2017-03-29,27.5054,27.9439,27.5054,27.9341,292765
2017-03-30,29.4443,29.912,28.396,28.5967,1550613
2017-03-31,28.4992,28.5869,28.1485,28.3044,661468
2017-04-03,28.3726,28.8013,28.2167,28.4018,512054
2017-04-04,28.2557,28.7039,28.1387,28.3823,528337
2017-04-05,28.4992,28.8792,28.431,28.47,525508
2017-04-06,28.5187,29.0546,28.3921,28.9669,460204
2017-04-07,28.85,29.0985,28.7818,28.9279,663150
2017-04-10,28.9279,29.152,28.8208,28.85,462389
2017-04-11,28.8013,29.0546,28.7428,29.0254,401950
2017-04-12,28.9864,29.0838,28.5772,28.6162,271386
2017-04-13,28.5674,28.7039,28.3336,28.3434,346843
