date,open,high,low,close,volume
2017-01-03,14.3,14.7,13.65,14.0,358671
2017-01-04,14.05,14.4,14.0,14.25,258163
2017-01-05,14.05,14.2,13.65,13.8,343375
2017-01-06,13.85,13.85,13.05,13.3,584783
2017-01-09,13.35,13.55,12.75,13.5,602656
2017-01-10,13.85,14.65,13.75,14.0,890642
2017-01-11,14.0,14.5,14.0,14.45,610916
2017-01-12,14.45,14.6,13.95,14.5,315507
2017-01-13,14.55,14.9,14.525,14.7,356680
2017-01-17,14.8,15.45,14.75,15.35,410611
2017-01-18,15.15,15.35,14.6,14.9,500815
2017-01-19,14.85,15.1,14.75,14.95,311784
2017-01-20,15.0,15.15,14.425,14.45,332734
2017-01-23,14.45,14.55,14.1,14.35,521284
2017-01-24,14.45,14.7,14.3,14.4,237157
2017-01-25,14.4,14.6,14.35,14.45,273126
2017-01-26,14.45,14.6,14.1,14.15,163213
2017-01-27,14.1,14.15,13.85,14.15,247912
2017-01-30,13.95,14.2,13.655,14.05,227176
2017-01-31,13.9,14.55,13.75,14.45,290465
2017-02-01,14.45,14.6,14.15,14.15,168981
2017-02-02,14.25,14.75,14.05,14.6,252836
2017-02-03,14.6,15.0,14.55,14.85,225988
2017-02-06,14.8,14.85,14.175,14.4,247176
2017-02-07,14.45,14.5,14.15,14.2,191565
2017-02-08,14.25,14.575,14.15,14.45,149277
2017-02-09,14.4,15.225,14.4,15.2,230426
2017-02-10,15.25,15.5,15.2,15.4,168654
2017-02-13,15.5,15.5,15.125,15.35,138879
2017-02-14,15.3,15.95,15.15,15.85,350187
2017-02-15,15.7,15.8,15.35,15.8,465965
2017-02-16,15.75,15.75,15.1,15.25,549446
2017-02-17,15.25,15.7,15.1353,15.55,369654
2017-02-21,15.7,15.85,15.4,15.55,573519
2017-02-22,15.6,15.6,15.1,15.15,253955
2017-02-23,15.2,15.25,14.35,14.4,592379
2017-02-24,14.35,14.85,14.35,14.5,463899
2017-02-27,14.5,14.65,14.4,14.5,311562
2017-02-28,14.4,14.5,14.1,14.45,733701
2017-03-01,14.65,14.65,13.95,14.35,689461
2017-03-02,14.25,14.4,14.125,14.2,220332
2017-03-03,14.1,14.35,14.0,14.25,290540
2017-03-06,14.2,14.275,13.875,14.25,222337
