date,open,high,low,close,volume
2017-01-03,2.25,2.33,2.2496,2.29,18866
2017-01-04,2.31,2.31,2.29,2.31,68688
2017-01-05,2.32,2.35,2.29,2.3,10326
2017-01-06,2.29,2.3,2.29,2.29,108941
2017-01-09,2.3,2.3,2.25,2.3,38309
2017-01-10,2.3,2.34,2.28,2.3,160604
2017-01-11,2.316,2.316,2.21,2.26,95821
2017-01-12,2.27,2.27,2.25,2.26,32048
2017-01-13,2.26,2.26,2.24,2.25,147656
2017-01-17,2.29,2.29,2.22,2.25,53623
2017-01-18,2.25,2.26,2.24,2.25,55456
2017-01-19,2.25,2.26,2.24,2.25,100638
2017-01-20,2.26,2.27,2.245,2.26,503218
2017-01-23,2.3,2.3,2.25,2.29,267566
2017-01-24,2.3,2.3,2.27,2.28,62145
2017-01-25,2.3,2.3,2.28,2.29,77525
2017-01-26,2.35,2.38,2.3,2.3,188189
2017-01-27,2.36,2.49,2.35,2.36,175939
2017-01-30,2.5,2.6,2.38,2.4,611847
2017-01-31,2.45,2.47,2.4,2.435,284056
2017-02-01,2.44,2.45,2.41,2.45,277127
2017-02-02,2.47,2.47,2.36,2.37,131375
2017-02-03,2.37,2.395,2.3,2.3,84062
2017-02-06,2.43,2.45,2.32,2.42,135520
2017-02-07,2.42,2.45,2.4,2.41,115878
2017-02-08,2.405,2.45,2.36,2.36,262247
2017-02-09,2.4,2.42,2.38,2.39,66934
2017-02-10,2.38,2.4,2.38,2.4,106172
2017-02-13,2.4,2.4,2.39,2.4,451183
2017-02-14,2.4,2.4,2.35,2.35,81681
2017-02-15,2.35,2.43,2.35,2.38,82769
2017-02-16,2.38,2.39,2.35,2.35,79455
2017-02-17,2.36,2.37,2.33,2.33,222965
2017-02-21,2.355,2.43,2.33,2.36,424190
2017-02-22,2.4,2.4,2.26,2.26,184936
2017-02-23,2.26,2.3,2.13,2.23,374182
2017-02-24,2.23,2.24,2.15,2.15,294906
2017-02-27,2.13,2.18,2.02,2.16,364441
2017-02-28,2.16,2.16,2.1,2.14,285592
2017-03-01,2.14,2.2,2.12,2.18,86340
2017-03-02,2.25,2.37,2.2,2.35,1152123
2017-03-03,2.36,2.47,2.32,2.43,572194
2017-03-06,2.43,2.45,2.39,2.4,512332
2017-03-07,2.4,2.41,2.37,2.41,335246
2017-03-08,2.39,2.5,2.39,2.47,265647
2017-03-09,2.44,2.6,2.38,2.6,723306
2017-03-10,2.6,2.61,2.5,2.53,70680
2017-03-13,2.47,2.49,2.4,2.435,394359
2017-03-14,2.48,2.6,2.46,2.57,175174
2017-03-15,2.6,2.99,2.5752,2.7,227823
2017-03-16,2.75,2.75,2.67,2.75,153464
2017-03-17,2.75,2.9,2.7005,2.9,235715
2017-03-20,2.9,2.93,2.8,2.9,161168
2017-03-21,2.91,2.91,2.73,2.75,192875
2017-03-22,2.8,2.93,2.67,2.72,186965
2017-03-23,2.7,2.9,2.64,2.89,206580
2017-03-24,2.9,2.9001,2.75,2.83,147850
2017-03-27,2.83,2.9,2.75,2.9,203670
2017-03-28,2.86,2.89,2.79,2.85,151879
2017-03-29,2.89,2.9,2.86,2.89,172613
2017-03-30,2.9,3.05,2.86,2.98,608087
2017-03-31,3.04,3.13,2.99,3.09,519861
2017-04-03,3.1,3.1,3.02,3.08,159036
2017-04-04,3.1,3.1,3.03,3.1,104520
2017-04-05,3.15,3.24,3.08,3.16,89047
2017-04-06,3.1,3.419,3.1,3.21,387564
2017-04-07,3.21,3.27,3.1989,3.27,284518
2017-04-10,3.3,3.4,3.25,3.37,352431
2017-04-11,3.4,3.5,3.35,3.43,474861
2017-04-12,3.43,3.5,3.4,3.46,236310
2017-04-13,3.5,3.5,3.43,3.5,189413
2017-04-17,3.5,3.5,3.42,3.45,211665
2017-04-18,3.5,3.52,3.43,3.45,346368
2017-04-19,3.45,3.5153,3.435,3.48,271429
2017-04-20,3.5,3.6,3.4899,3.59,300066
2017-04-21,3.6,3.66,3.5,3.58,272780
2017-04-24,3.73,3.76,3.61,3.75,461642
2017-04-25,3.85,3.99,3.75,3.98,969634
2017-04-26,4.0,4.0,3.75,3.91,633283
2017-04-27,3.95,3.95,3.79,3.88,490960
2017-04-28,3.78,3.94,3.77,3.89,642342
2017-05-01,3.96,3.98,3.93,3.96,210866
2017-05-02,3.98,3.99,3.86,3.96,280711
2017-05-03,3.98,4.0,3.85,3.88,187491
2017-05-04,3.88,3.95,3.75,3.89,448241
2017-05-05,3.92,3.92,3.66,3.75,504294
2017-05-08,3.75,3.755,3.69,3.74,231460
2017-05-09,3.75,3.782,3.31,3.62,414604
2017-05-10,4.0,4.0,3.74,3.82,395089
2017-05-11,3.83,3.95,3.77,3.83,317930
2017-05-12,3.86,3.9,3.68,3.74,297658
2017-05-15,3.76,3.8,3.64,3.67,185999
2017-05-16,3.64,3.72,3.61,3.64,161680
2017-05-17,3.63,3.69,3.4552,3.55,537331
2017-05-18,3.55,3.55,3.34,3.4,466963
2017-05-19,3.4,3.59,3.39,3.51,345723
2017-05-22,3.46,3.53,3.41,3.41,369265
2017-05-23,3.42,3.45,3.36,3.41,177233
2017-05-24,3.39,3.42,3.34,3.38,704250
2017-05-25,3.35,3.52,3.35,3.51,314678
2017-05-26,3.48,3.52,3.42,3.47,192196
2017-05-30,3.44,3.47,3.4,3.45,163015
2017-05-31,3.43,3.6,3.37,3.57,365821
2017-06-01,3.59,3.77,3.55,3.75,372333
2017-06-02,3.75,3.78,3.66,3.75,391236
2017-06-05,3.7,3.8,3.69,3.72,232362
2017-06-06,3.71,3.8,3.59,3.62,308737
2017-06-07,3.65,3.69,3.56,3.69,207098
2017-06-08,3.67,3.72,3.59,3.68,322937
2017-06-09,3.65,3.8,3.65,3.73,263951
2017-06-12,3.77,4.0418,3.72,3.85,796957
2017-06-13,3.81,4.0,3.81,3.95,546260
2017-06-14,3.95,4.14,3.95,4.07,695078
2017-06-15,4.11,4.37,4.11,4.24,1167223
2017-06-16,4.25,4.3,3.99,3.99,3198845
2017-06-19,3.98,4.15,3.8,4.04,1302694
2017-06-20,4.03,4.18,3.93,4.07,503781
2017-06-21,4.05,4.07,3.77,3.84,364329
2017-06-22,3.84,3.9,3.7,3.79,767073
2017-06-23,3.8,3.86,3.5,3.75,11418855
2017-06-26,3.75,3.99,3.645,3.88,1105719
2017-06-27,3.85,3.89,3.7,3.75,432719
2017-06-28,3.73,3.87,3.68,3.87,377583
2017-06-29,3.85,3.85,3.67,3.74,387651
2017-06-30,3.76,3.78,3.66,3.75,367849
2017-07-03,3.72,3.74,3.51,3.55,285511
2017-07-05,3.55,3.86,3.533,3.85,971476
2017-07-06,3.83,3.85,3.67,3.69,447432
2017-07-07,3.66,3.74,3.57,3.68,334705
2017-07-10,3.66,3.78,3.6,3.7,384844
2017-07-11,3.7,3.8,3.6228,3.7,237996
2017-07-12,3.71,3.77,3.67,3.74,277872
2017-07-13,3.72,3.72,3.61,3.68,246482
2017-07-14,3.66,3.77,3.61,3.71,239861
2017-07-17,3.65,3.79,3.58,3.59,352558
2017-07-18,3.64,3.7,3.52,3.56,313358
2017-07-19,3.57,3.65,3.45,3.49,541020
2017-07-20,3.47,3.56,3.41,3.5,616149
2017-07-21,3.57,3.6,3.43,3.46,558207
2017-07-24,3.44,3.51,3.35,3.47,304381
2017-07-25,3.48,3.575,3.46,3.53,499386
2017-07-26,3.54,3.58,3.38,3.44,652480
2017-07-27,3.41,3.45,3.3,3.4,876316
2017-07-28,3.39,3.46,3.285,3.3,837472
2017-07-31,3.3,3.45,3.27,3.39,504177
2017-08-01,3.41,3.43,3.29,3.33,577378
2017-08-02,3.31,3.35,3.21,3.29,614835
2017-08-03,3.34,3.65,3.31,3.36,1489397
2017-08-04,3.35,3.38,3.2,3.2,838950
2017-08-07,3.16,3.25,3.12,3.2,512333
2017-08-08,3.24,3.31,3.2,3.26,303144
2017-08-09,3.24,3.26,3.17,3.21,212747
2017-08-10,3.2,3.23,3.13,3.13,243761
2017-08-11,3.13,3.15,3.06,3.08,297541
2017-08-14,3.12,3.35,3.12,3.27,332143
2017-08-15,3.25,3.35,3.25,3.33,269961
2017-08-16,3.32,3.34,3.21,3.22,182812
2017-08-17,3.2,3.22,3.13,3.16,245655
2017-08-18,3.09,3.2,3.05,3.17,247683
2017-08-21,3.18,3.18,3.1,3.16,192911
2017-08-22,3.17,3.2,3.14,3.18,197279
2017-08-23,3.13,3.22,3.09,3.18,282431
2017-08-24,3.19,3.24,3.15,3.23,105688
2017-08-25,3.22,3.2336,3.15,3.2,246689
2017-08-28,3.2,3.23,3.17,3.21,89628
2017-08-29,3.21,3.29,3.17,3.24,161571
2017-08-30,3.27,3.29,3.23,3.25,104592
2017-08-31,3.24,3.33,3.2,3.3,246634
2017-09-01,3.28,3.31,3.25,3.27,184626
2017-09-05,3.29,3.31,3.23,3.26,172812
2017-09-06,3.26,3.29,3.16,3.23,198331
2017-09-07,3.25,3.3,3.22,3.27,178836
2017-09-08,3.25,3.2899,3.23,3.26,143592
2017-09-11,3.3,3.3,3.25,3.28,135198
2017-09-12,3.27,3.27,3.16,3.17,263113
2017-09-13,3.13,3.21,3.11,3.11,230224
