date,open,high,low,close,volume
2017-01-03,34.804,35.028,34.7234,34.9115,2426042
2017-01-04,34.5441,35.1535,34.5083,35.1356,3119661
2017-01-05,34.5352,35.2968,34.5352,35.2341,3898077
2017-01-06,34.7861,34.9563,34.3828,34.4008,3582566
2017-01-09,34.3739,34.6965,34.2843,34.3739,4089799
2017-01-10,36.3184,36.7485,36.1443,36.7395,5717786
2017-01-11,37.0173,37.4294,36.7709,37.3668,4782630
2017-01-12,38.4152,38.4152,37.5819,37.7521,5007815
2017-01-13,37.4027,37.8597,37.1249,37.6715,3090039
2017-01-17,38.2719,38.5317,38.0299,38.0478,3514190
2017-01-18,38.478,39.0246,38.3794,38.8274,4121179
2017-01-19,38.6393,38.7468,38.2584,38.5407,1832676
2017-01-20,37.9672,38.6034,37.9582,38.469,2422714
2017-01-23,39.0425,39.3113,38.935,39.2576,2830749
2017-01-24,40.7003,41.1483,40.6018,40.9512,5937290
2017-01-25,40.3866,41.2558,40.2701,41.1841,5233273
2017-01-26,40.3687,40.5927,39.9744,40.1984,3439877
2017-01-27,40.3329,40.6734,40.1985,40.6375,2939027
2017-01-30,39.9565,40.1716,39.5533,39.7773,2872640
2017-01-31,40.4045,40.4314,39.7413,40.1357,2654943
2017-02-01,40.4225,40.8347,40.1671,40.7182,3194135
2017-02-02,40.0461,40.1984,39.7594,39.9744,3291193
2017-02-03,38.7647,38.8454,38.2181,38.236,5409614
2017-02-06,38.0478,38.3704,37.9493,38.3346,7227539
2017-02-07,38.6482,38.926,38.478,38.5496,5102694
2017-02-08,38.2898,38.6482,38.0299,38.478,3627704
2017-02-09,38.2181,38.702,38.003,38.6572,4377759
2017-02-10,39.5085,40.6913,39.4816,40.6913,5837059
2017-02-13,41.2917,42.2146,41.2737,41.8024,10257250
2017-02-14,41.3096,41.5202,40.9512,41.444,3547919
2017-02-15,41.3275,41.5336,41.0766,41.1573,2168619
2017-02-16,41.3813,41.4888,41.1393,41.3365,2409486
2017-02-17,40.5838,40.7719,40.4314,40.7719,2245886
2017-02-21,41.211,41.435,41.108,41.3544,3233331
2017-02-22,40.4942,41.0331,40.4666,40.8443,2902814
2017-02-23,40.9824,41.0561,39.0941,39.1585,10057362
2017-02-24,38.2374,38.8822,37.9979,38.4032,6574586
2017-02-27,38.4124,39.0572,38.3663,38.5321,4609245
2017-02-28,38.1268,38.4032,38.09,38.2466,2896542
2017-03-01,38.9375,39.6283,38.8039,39.527,4902426
2017-03-02,39.1401,39.2783,37.9058,37.9794,4255803
2017-03-03,38.1268,38.5091,37.9979,38.4953,2590387
2017-03-06,37.611,37.6939,37.3346,37.4728,3035229
2017-03-07,37.7676,37.8229,37.3853,37.4175,3483539
2017-03-08,37.7952,37.8321,36.5977,36.7543,8132677
2017-03-09,36.3306,36.6668,36.045,36.3029,5291655
2017-03-10,36.6622,36.8096,35.9805,36.2845,4954952
2017-03-13,37.5741,37.7952,37.4452,37.6294,3743290
2017-03-14,37.1228,37.6755,36.7819,37.3531,3521101
2017-03-15,38.265,39.702,37.9426,39.6652,7646503
2017-03-16,39.9784,40.0475,39.4809,39.5454,6785503
2017-03-17,39.9047,40.0336,39.5869,39.6375,3210852
2017-03-20,39.6744,39.9231,39.4902,39.8494,2175672
2017-03-21,39.5454,39.6668,37.7492,37.7768,6132384
2017-03-22,37.9518,38.5045,37.7584,38.2834,3774001
2017-03-23,38.1545,38.394,37.8229,38.0716,2742584
2017-03-24,38.0624,38.136,37.3807,37.6202,6281487
2017-03-27,36.7727,37.1412,36.3398,37.0583,5055912
2017-03-28,37.132,37.8597,37.0951,37.6386,3192821
2017-03-29,37.3623,37.8275,37.3162,37.657,3056531
2017-03-30,37.915,38.2282,37.7952,37.8413,2921079
2017-03-31,37.1688,37.6985,36.9754,37.4728,2423596
2017-04-03,37.5834,37.786,36.9385,37.2794,2671650
2017-04-04,37.8136,37.9334,37.5189,37.7952,2565501
2017-04-05,38.4861,38.6703,37.5097,37.5373,3463149
2017-04-06,37.8689,38.1545,37.5834,37.7492,5023171
2017-04-07,36.9201,37.8873,36.8464,37.4083,3305643
2017-04-10,37.6663,37.8229,37.4912,37.6478,2822894
2017-04-11,38.5598,38.5966,37.5189,38.1729,4012550
2017-04-12,36.8372,36.9293,35.9851,36.1832,5776593
2017-04-13,36.0634,36.2937,35.778,35.87,2975019
2017-04-17,36.1095,36.1279,35.5854,35.9345,2345578
2017-04-18,35.5844,35.87,35.216,35.5752,4297445
2017-04-19,36.2108,36.2661,35.414,35.4831,3514154
2017-04-20,36.1648,36.6253,36.045,36.4503,3470292
2017-04-21,36.699,36.7082,36.2172,36.4135,2973646
2017-04-24,36.9201,37.1043,36.699,36.9477,3008283
2017-04-25,36.9754,37.2333,36.7368,37.1596,2695646
2017-04-26,36.3951,37.2425,36.3858,36.9201,2249434
2017-04-27,36.7267,36.7267,35.9713,36.4135,2789304
2017-04-28,36.9477,36.9938,36.6299,36.6806,1574977
2017-05-01,36.8096,36.9846,36.5885,36.9109,1774989
2017-05-02,36.4687,36.7451,36.4503,36.699,3097507
2017-05-03,35.7134,35.8424,35.2436,35.3449,3225344
2017-05-04,34.9488,35.1791,34.7001,35.0686,3830614
2017-05-05,35.5476,36.0174,35.3726,35.8331,3220582
2017-05-08,35.3265,35.4739,35.1607,35.437,2181344
2017-05-09,35.8516,35.999,35.3403,35.4463,4299285
2017-05-10,35.9437,36.0082,35.6673,35.7502,2094371
2017-05-11,35.87,35.8884,35.5936,35.7134,2243135
2017-05-12,35.4647,35.6397,35.4002,35.6397,1582371
2017-05-15,36.2108,36.3766,36.0266,36.1003,2532978
2017-05-16,36.7912,37.3531,36.7635,37.2609,4109094
2017-05-17,37.0583,37.436,36.9293,36.9385,4816983
2017-05-18,36.7267,37.4268,36.5056,37.2241,3995800
2017-05-19,37.8689,38.4308,37.8044,38.1176,4370931
2017-05-22,38.8822,38.9743,38.5321,38.8085,3363478
2017-05-23,38.5598,38.744,38.4262,38.5598,2934732
2017-05-24,37.9702,38.4032,37.8873,38.2282,2883462
2017-05-25,38.2742,38.6519,37.786,38.1268,3156942
2017-05-26,38.1453,38.2005,37.7215,37.7492,2046949
2017-05-30,38.0255,38.1913,37.8321,38.0439,1237482
2017-05-31,37.3623,37.5741,37.0675,37.132,2881779
2017-06-01,37.3162,37.6386,37.2517,37.4452,1873800
2017-06-02,37.5281,37.7952,37.1412,37.5834,2329457
2017-06-05,37.4175,37.5373,37.1679,37.2241,1587536
2017-06-06,37.178,37.8136,37.1372,37.7307,2052780
2017-06-07,38.0624,38.2236,37.6478,37.9887,3218831
2017-06-08,37.9702,38.8361,37.961,38.7901,2591349
2017-06-09,38.3387,38.873,38.1821,38.44,2837922
2017-06-12,38.3203,38.5321,37.6801,37.8044,5171755
2017-06-13,37.8505,38.0347,37.7353,37.915,2172827
2017-06-14,37.9979,38.0163,36.4734,36.7451,3817302
2017-06-15,36.3398,36.5885,35.8884,36.2477,3258551
2017-06-16,36.3214,36.3951,35.8193,36.2016,3250885
2017-06-19,36.4227,36.6253,36.1371,36.1556,2431525
2017-06-20,35.6213,35.6305,34.6909,35.0041,4195312
2017-06-21,35.5384,35.7226,35.0962,35.2989,3200733
2017-06-22,35.0778,35.9161,35.0778,35.6581,5617407
2017-06-23,36.0174,36.2661,35.7963,36.0819,2726160
2017-06-26,36.3858,36.4872,35.8792,36.1832,1795617
2017-06-27,37.4268,37.6939,37.0122,37.0214,5701863
2017-06-28,37.8597,38.0163,37.5926,37.9242,3386523
2017-06-29,38.8453,39.0664,38.2374,38.5414,3158241
2017-06-30,39.1954,39.1954,38.761,38.9743,2719800
2017-07-03,39.8218,40.3837,39.7297,40.1626,3051049
2017-07-05,40.4021,40.485,39.7389,39.877,4896318
2017-07-06,39.8402,40.2179,39.679,39.7389,3800506
2017-07-07,40.1073,40.1902,39.7481,40.0705,3722065
2017-07-10,39.3243,40.8903,39.2875,40.7337,4726248
2017-07-11,40.9087,41.3325,40.7153,41.1943,4563519
2017-07-12,41.2035,41.3877,40.9824,41.1667,2660562
2017-07-13,41.0746,41.3187,40.789,41.0469,2438264
2017-07-14,41.7286,41.9865,41.5258,41.6088,3529384
2017-07-17,41.8575,42.1034,41.8115,41.8667,2513450
2017-07-18,41.1114,41.9128,41.0469,41.8944,3872698
2017-07-19,41.7194,41.9773,41.6457,41.7838,2167704
2017-07-20,41.1851,41.3062,40.6232,41.0285,2950259
2017-07-21,40.8535,40.9123,40.3929,40.66,3276114
2017-07-24,40.5587,40.6969,39.7204,40.4389,4568114
2017-07-25,41.6641,42.5392,41.5259,42.3089,6872388
2017-07-26,42.4379,42.576,41.9681,42.3918,4256658
2017-07-27,42.8892,42.8892,42.051,42.2536,3077390
2017-07-28,42.3273,43.1472,42.2905,42.9353,3720285
2017-07-31,43.4788,43.7643,43.2807,43.6446,4547683
2017-08-01,43.2945,43.5064,43.0827,43.4143,3056809
2017-08-02,41.9865,42.4148,41.7654,42.3826,3787273
2017-08-03,42.5392,42.8109,42.3181,42.5392,1874220
2017-08-04,43.359,43.3682,42.9629,43.1379,2268171
2017-08-07,43.7643,44.2433,43.7091,44.0775,2989826
2017-08-08,43.4511,43.8565,43.3406,43.5617,3563869
2017-08-09,43.4578,43.7267,43.2126,43.5427,3812885
2017-08-10,43.1088,43.2314,42.7692,42.7975,2259853
2017-08-11,41.8165,42.2127,41.7316,42.0806,5583534
2017-08-14,42.1749,42.4957,42.1372,42.2221,2486500
2017-08-15,41.4675,41.8165,41.3873,41.7033,3159361
2017-08-16,42.3636,42.7975,42.241,42.6749,2830225
2017-08-17,42.3542,42.4579,41.7504,41.807,1995405
2017-08-18,42.0523,42.2976,41.9391,42.1089,1906551
2017-08-21,42.59,42.7598,42.4108,42.6372,2226049
2017-08-22,43.3729,43.6748,43.288,43.5333,4196991
2017-08-23,43.6465,44.7218,43.571,44.6275,7937265
2017-08-24,44.5615,45.1133,44.3068,44.8916,3737755
2017-08-25,45.4388,45.5048,44.9482,44.986,3351048
2017-08-28,45.118,45.4718,44.9577,45.3067,1704616
2017-08-29,44.8916,45.5519,44.8067,45.3822,2793197
2017-08-30,45.4293,45.5897,45.1746,45.1935,3006918
2017-08-31,46.066,46.4764,45.9764,46.2972,4176157
2017-09-01,46.7594,46.9669,46.4858,46.7216,2535383
2017-09-05,46.5141,46.6179,45.5142,46.0708,4863010
2017-09-06,46.0708,46.4952,46.0142,46.3632,2098222
2017-09-07,46.6556,46.7688,46.4386,46.7216,1986998
2017-09-08,46.4858,46.5424,45.2878,45.5331,3285153
2017-09-11,45.8444,46.6367,45.8161,46.4481,2116611
2017-09-12,46.7594,47.0612,46.6745,46.8443,2701858
2017-09-13,45.9104,46.1179,45.7783,46.0708,2265686
2017-09-14,45.0048,45.269,44.7879,45.2407,2715793
2017-09-15,44.9954,45.2124,44.8964,44.9294,3392007
2017-09-18,45.118,45.5331,45.0944,45.5048,2019664
2017-09-19,45.269,45.7642,45.0614,45.7029,2079877
2017-09-20,45.4953,45.651,44.7313,45.1086,3282304
2017-09-21,44.8067,45.3633,44.5992,45.1369,3621549
2017-09-22,44.9954,45.4482,44.9482,45.1086,2006718
2017-09-25,44.8067,44.9199,44.1606,44.4106,2299969
2017-09-26,44.4106,44.486,43.8729,43.9672,2929752
2017-09-27,44.5615,44.5992,43.92,44.2879,1970242
2017-09-28,43.7502,44.3917,43.6182,44.2879,2406442
2017-09-29,44.5709,44.7596,44.3823,44.5143,1546271
2017-10-02,44.7501,45.3067,44.7218,45.2124,1804039
2017-10-03,45.5708,45.6934,45.4199,45.6463,2229678
2017-10-04,46.0047,46.0896,45.6557,45.7689,1373877
2017-10-05,45.9859,46.3821,45.9293,45.967,1864455
2017-10-06,46.0519,46.4009,45.8821,46.2972,2709245
2017-10-09,46.3632,46.4575,45.2407,45.3444,3612061
2017-10-10,45.4576,45.6557,45.2595,45.5236,2010604
2017-10-11,45.3916,45.4105,44.8539,45.0426,1808430
2017-10-12,45.1463,45.5048,44.9813,45.3539,2230420
2017-10-13,46.6179,47.2876,46.4481,47.1744,3803235
2017-10-16,47.797,47.8913,47.0046,47.1839,2596240
2017-10-17,47.0707,47.1791,46.7443,46.9669,1937101
2017-10-18,46.0896,46.2406,44.9388,45.2973,5009509
2017-10-19,45.1463,45.6651,45.0803,45.401,2201994
2017-10-20,45.7029,45.8727,45.1275,45.6274,2163723
2017-10-23,45.2407,45.455,45.1841,45.2407,1115095
2017-10-24,44.9199,45.4105,44.9105,45.2595,1713469
2017-10-25,44.8822,44.8822,44.1087,44.4294,1895669
2017-10-26,45.1652,45.1935,44.5238,44.5332,2291755
2017-10-27,44.1087,44.953,44.0521,44.7596,1788453
2017-10-30,44.9954,45.1275,44.5473,44.6464,1738099
2017-10-31,44.6464,45.3691,44.486,45.2124,1845132
2017-11-01,46.6556,46.665,46.1934,46.25,2660908
2017-11-02,46.4669,46.9527,46.4104,46.6745,1899578
2017-11-03,46.8443,46.8443,46.2217,46.4481,1358467
2017-11-06,47.2027,47.5753,47.165,47.5329,2318323
2017-11-07,47.5234,47.5612,46.7122,47.0612,2144191
2017-11-08,47.3631,47.6885,46.9584,47.6366,2300358
2017-11-09,46.1745,46.3443,45.8161,46.3349,3413057
2017-11-10,46.5896,46.8537,46.349,46.7028,1695556
2017-11-13,45.9859,46.7028,45.9859,46.4104,1957495
2017-11-14,45.6463,45.7312,44.9954,45.2784,2870868
2017-11-15,44.4672,45.0426,44.071,44.8633,3204344
2017-11-16,45.1369,45.1558,44.6935,44.9294,1895996
2017-11-17,44.8539,45.1558,44.7501,44.8916,1933084
2017-11-20,44.7879,45.1227,44.5615,45.1086,2454424
2017-11-21,45.2312,45.618,45.1558,45.3256,2579463
2017-11-22,45.9764,46.3443,45.9481,46.2311,1934515
2017-11-24,46.4764,46.8348,46.4764,46.6273,1084675
2017-11-27,46.7405,46.8065,46.0613,46.1085,1317478
2017-11-28,45.5897,45.9717,45.4671,45.9481,2108714
2017-11-29,45.3916,45.7689,44.9671,45.1746,2171992
2017-11-30,45.401,45.5189,45.0803,45.1841,1809397
2017-12-01,45.3256,45.9576,44.9294,45.5614,2623967
2017-12-04,45.7406,45.9866,45.5331,45.5519,1895512
2017-12-05,44.5615,44.9765,44.4011,44.5238,2886212
2017-12-06,44.3351,44.9388,44.3068,44.7596,3001281
2017-12-07,44.1653,44.5049,44.1181,44.3917,2682439
2017-12-08,44.6464,44.8539,44.3728,44.4955,2329078
2017-12-11,45.1841,45.5048,45.1275,45.2312,1932037
2017-12-12,44.8728,45.3067,44.6747,44.9954,3417962
2017-12-13,45.2407,45.9859,45.1086,45.8444,4166540
2017-12-14,46.033,46.0613,45.3161,45.335,3277212
2017-12-15,45.9764,46.3632,45.9198,46.3349,3388810
2017-12-18,46.7499,47.3254,46.7311,47.0518,2297256
2017-12-19,46.6367,46.9575,46.4669,46.6839,1740441
2017-12-20,47.4244,47.8347,47.1839,47.7027,2754670
2017-12-21,48.0423,48.5422,47.9857,48.495,2561326
2017-12-22,48.3818,48.495,48.0517,48.1932,1619640
2017-12-26,48.1366,48.7875,47.5423,48.5045,2299528
2017-12-27,49.061,49.212,48.6837,48.8158,1887740
2017-12-28,49.6459,49.8817,49.4478,49.7685,2387387
2017-12-29,50.6458,50.6458,49.6176,49.9289,2964394
2018-01-02,50.891,51.7683,50.7684,51.6457,3908206
2018-01-03,51.6457,51.8815,51.3438,51.8343,2849232
2018-01-04,51.7589,51.8815,51.5419,51.5985,2377675
2018-01-05,51.5513,51.5608,51.0797,51.4476,3632600
2018-01-08,51.8815,52.5229,51.8249,52.4946,2781625
2018-01-09,52.8248,52.9569,52.4569,52.5795,2735103
2018-01-10,52.7493,52.9756,52.5418,52.9003,2497608
2018-01-11,53.4474,54.0322,53.4096,53.9945,2577964
2018-01-12,54.2775,54.5039,54.169,54.4001,2364016
2018-01-16,53.3625,53.5134,52.5179,52.6173,3844892
2018-01-17,53.1172,53.2823,52.7399,53.0795,2348142
2018-01-18,53.07,53.2304,52.6833,53.0512,2059127
2018-01-19,53.3436,53.5606,52.7399,52.872,2510689
2018-01-22,53.1361,53.2681,52.7872,53.2493,2278008
2018-01-23,52.7022,52.721,52.0041,52.5041,2684337
2018-01-24,53.2587,53.3719,52.7965,52.9663,2116936
2018-01-25,53.636,53.7492,52.5512,52.5984,2522796
2018-01-26,52.7871,53.2304,52.6644,53.1172,1413929
2018-01-29,53.9379,54.0322,53.3908,53.4379,2507805
2018-01-30,53.5323,53.5417,52.9003,52.9851,1914350
2018-01-31,53.0323,53.2115,52.6078,52.9286,2124116
2018-02-01,53.0229,53.4568,52.9191,53.3153,2255667
2018-02-02,53.3247,53.3247,51.0514,51.2495,4950639
2018-02-05,51.8626,52.4475,49.7308,50.2684,3873583
2018-02-06,50.6363,52.4522,50.3911,52.0607,6956328
2018-02-07,51.2872,51.6079,50.7536,50.8439,4165444
2018-02-08,50.9382,51.0514,49.1742,49.3063,4991932
2018-02-09,50.1364,50.891,48.8441,50.6741,5096656
2018-02-12,51.1363,52.3437,51.0797,52.0607,5615469
2018-02-13,52.2305,52.8154,52.0136,52.5512,3190992
2018-02-14,52.0984,54.9,51.9853,54.7491,5440703
2018-02-15,55.6924,55.8905,54.9095,55.5604,3404626
2018-02-16,54.768,55.4,54.4567,54.5416,3362034
2018-02-20,53.3436,53.6549,52.7871,53.0795,3964914
2018-02-21,53.1644,53.9379,52.7965,52.7965,2268040
2018-02-22,52.9757,53.7775,52.8531,53.4002,2319259
2018-02-23,53.4474,53.853,53.2587,53.8341,1287878
2018-02-26,54.3435,54.8906,53.9567,54.7208,2900115
2018-02-27,54.2209,54.2396,53.2681,53.3436,4201942
2018-02-28,52.2399,52.4569,51.5608,51.6079,5777051
2018-03-01,51.8045,51.9509,50.7216,51.3557,4861604
2018-03-02,50.146,50.546,49.5314,50.224,5407990
2018-03-05,49.8631,51.0435,49.8045,50.9753,2914912
2018-03-06,51.4923,52.2631,51.4923,51.9216,4165240
2018-03-07,51.1509,51.6679,50.907,51.3265,3759458
2018-03-08,50.907,50.9655,50.0582,50.6436,4681245
2018-03-09,50.9557,51.4435,50.5753,50.7996,3275508
2018-03-12,50.985,51.1314,50.7314,50.946,2079705
2018-03-13,51.4826,51.6972,50.7314,50.7704,2551582
2018-03-14,51.7655,51.8338,50.6436,50.9265,2944419
2018-03-15,51.385,51.5411,51.0826,51.3167,5063205
2018-03-16,51.3753,51.6401,51.1118,51.2972,2006651
2018-03-19,50.7314,50.7509,49.9411,50.3606,2816741
2018-03-20,50.4289,50.946,50.185,50.4387,2106655
2018-03-21,50.5655,52.185,50.4387,51.9606,3824165
2018-03-22,50.4094,50.6045,49.3753,49.5509,4288761
2018-03-23,49.7655,50.3801,49.2289,49.2777,3124255
2018-03-26,50.3606,50.4192,49.5021,50.1948,2292146
2018-03-27,50.8875,50.8972,49.224,49.4533,3806328
2018-03-28,49.0728,49.2728,48.4777,48.9753,3365128
2018-03-29,49.9509,50.6338,49.8533,50.2728,3074107
2018-04-02,50.4582,50.7411,49.7655,50.0582,2179673
2018-04-03,50.5362,50.9557,49.7314,50.0387,2950875
2018-04-04,48.8387,49.8143,48.8289,49.7362,2624359
2018-04-05,50.3411,50.6728,50.0923,50.2631,3076581
2018-04-06,49.746,49.9509,49.0923,49.3167,2545130
2018-04-09,49.7362,50.3606,49.1801,49.6875,3645445
2018-04-10,51.824,52.2923,51.4826,51.8435,4517366
2018-04-11,51.4923,52.4533,51.4728,51.8435,3228190
2018-04-12,52.0777,52.7509,51.8631,52.4972,2604265
2018-04-13,53.3069,53.346,52.8045,52.9362,2687894
2018-04-16,53.6289,53.6387,52.5557,52.907,2414505
2018-04-17,53.3069,53.5479,53.0533,53.4045,4476483
2018-04-18,55.346,55.9996,55.2582,55.463,5314616
2018-04-19,55.6191,55.746,54.7704,55.1801,2665996
2018-04-20,55.1801,55.5411,54.8191,55.2191,2489459
2018-04-23,53.9411,54.5655,53.7069,54.1655,3019650
2018-04-24,54.7313,55.1118,53.8143,54.3216,2321723
2018-04-25,53.6679,54.1362,53.3313,53.8826,2535319
2018-04-26,54.8484,54.8484,53.9899,54.3216,1910113
2018-04-27,53.6874,54.1947,53.5899,53.7947,2835648
2018-04-30,53.6679,53.9899,53.5704,53.6094,1855421
2018-05-01,53.385,53.424,52.5655,53.2289,2493426
2018-05-02,54.0777,54.224,53.5118,53.6777,2115027
2018-05-03,54.1265,54.2826,53.3167,54.1069,1911010
2018-05-04,53.863,54.5265,53.785,54.263,1997616
2018-05-07,54.4386,54.4972,53.8923,54.1265,1757539
2018-05-08,53.9996,54.0679,53.3594,54.0582,2571313
2018-05-09,54.6045,55.3996,54.4777,55.1801,3765947
2018-05-10,55.3947,56.0386,55.2386,55.9508,2198667
2018-05-11,56.5557,56.702,55.824,55.9899,2502919
2018-05-14,56.5752,56.7802,56.2581,56.4386,1983685
2018-05-15,55.6094,56.2923,55.424,56.1167,1449321
2018-05-16,57.5216,57.824,57.4045,57.4923,2722394
2018-05-17,57.1216,57.7411,57.063,57.5411,1521286
2018-05-18,57.1216,57.4533,56.824,56.985,1965199
2018-05-21,57.5508,57.8533,57.4142,57.7167,2269497
2018-05-22,57.7459,58.2045,57.3167,57.5216,4042986
2018-05-23,56.2728,56.4484,55.7362,56.3508,2611624
2018-05-24,56.1167,56.263,55.6289,56.1947,1468661
2018-05-25,55.5118,55.746,55.1606,55.5899,1229329
2018-05-29,54.985,55.2582,54.224,54.4582,2025064
2018-05-30,55.024,55.7021,54.7118,55.3264,2375727
2018-05-31,55.7069,55.7752,54.946,55.3167,1629236
2018-06-01,55.9606,56.4094,55.746,56.1362,1590544
2018-06-04,56.5752,56.6825,56.1411,56.2533,1157950
2018-06-05,56.7118,57.1703,56.6102,57.102,1889931
2018-06-06,58.1264,59.2386,58.1069,59.1898,4521153
2018-06-07,58.4776,58.985,57.624,58.185,2969380
2018-06-08,58.0679,58.1752,57.6191,57.7752,1929913
2018-06-11,57.785,58.0679,57.6191,57.6581,2422784
2018-06-12,57.2972,57.5411,57.0435,57.3362,1472097
2018-06-13,57.1216,57.6289,56.8777,57.2972,1677377
2018-06-14,57.2777,57.5996,56.7703,57.0728,1959788
2018-06-15,55.6582,55.746,54.7118,55.4045,3674236
2018-06-18,54.7411,55.7069,54.6728,55.6679,2698438
2018-06-19,53.1606,53.6484,52.9497,53.6094,4656683
2018-06-20,54.1947,54.2045,53.3167,53.7265,2452467
2018-06-21,53.4728,53.6582,53.1899,53.385,2221574
2018-06-22,54.6533,54.7313,54.0582,54.1069,2409709
2018-06-25,53.0338,53.1996,52.3118,52.7996,2767393
2018-06-26,52.9265,53.9801,52.8289,53.7655,5309839
2018-06-27,53.9606,54.5167,53.4045,53.5996,6252711
2018-06-28,53.4045,54.4386,53.2874,54.1655,5145707
2018-06-29,54.6533,55.0653,54.0338,54.1265,3327899
2018-07-02,52.8289,52.9557,52.2533,52.6435,4498621
2018-07-03,53.2191,53.2582,52.3509,52.4874,2389599
2018-07-05,52.6143,52.907,52.3704,52.7606,1847654
2018-07-06,52.5948,53.4777,52.4484,53.3167,4816067
2018-07-09,54.0094,54.6484,53.7167,54.6045,4294285
2018-07-10,54.2728,54.8582,54.185,54.8386,5835132
2018-07-11,52.6923,53.1021,51.6874,52.0777,6101001
2018-07-12,52.624,52.785,52.2143,52.7313,2413201
2018-07-13,52.4972,52.8541,52.2826,52.6826,1499626
2018-07-16,52.3216,52.4631,52.0874,52.3313,1793114
2018-07-17,52.7118,53.1899,52.5655,52.9167,2114706
2018-07-18,53.0923,53.6191,52.7313,53.5996,2194198
2018-07-19,52.585,52.7509,51.7655,52.3216,3211726
2018-07-20,52.1557,52.9948,52.0874,52.5265,2730348
2018-07-23,52.5557,52.6289,52.3313,52.4874,2040226
2018-07-24,55.2094,55.5655,54.4972,54.5167,5503327
2018-07-25,53.7752,54.9362,53.6191,54.9362,2697817
2018-07-26,53.7362,54.1265,53.424,53.746,3633379
2018-07-27,53.8533,54.3508,53.5021,53.7167,2186968
2018-07-30,53.5704,54.2338,53.4728,53.5021,2921644
2018-07-31,54.946,54.9752,54.0972,54.146,2822118
2018-08-01,52.8874,52.9752,52.2143,52.4777,2389484
2018-08-02,50.3801,50.7682,50.1557,50.585,6363050
2018-08-03,50.3509,51.5704,50.3314,51.4143,6532289
2018-08-06,50.185,50.4875,49.7655,50.0875,3486582
2018-08-07,51.4435,51.4728,50.1265,50.2533,3017718
2018-08-08,50.4582,50.9265,49.9021,50.7021,3059135
2018-08-09,50.86,50.93,50.28,50.34,1724724
2018-08-10,49.03,49.635,49.03,49.53,4540912
2018-08-13,49.77,49.9,49.19,49.48,2337567
2018-08-14,48.96,49.29,48.71,49.03,2571346
2018-08-15,47.28,47.5,46.73,47.43,4388655
2018-08-16,47.83,48.14,47.49,47.56,2363188
2018-08-17,47.44,48.53,47.27,48.26,2067936
2018-08-20,48.62,48.7,48.06,48.2,2059090
2018-08-21,48.03,48.15,47.68,47.82,2433471
2018-08-22,48.61,48.64,48.05,48.28,2713538
2018-08-23,47.74,47.85,47.22,47.27,2061458
2018-08-24,48.33,48.525,48.01,48.29,2036353
2018-08-27,48.72,49.04,48.54,48.75,2067545
2018-08-28,49.68,49.69,48.685,48.76,3616942
2018-08-29,48.73,49.15,48.53,48.99,1552798
2018-08-30,48.61,48.67,48.12,48.25,2074537
2018-08-31,48.07,48.29,47.73,48.03,1501366
2018-09-04,46.5,46.73,46.2375,46.59,3222108
2018-09-05,46.81,47.03,46.4632,46.77,2562948
2018-09-06,46.85,47.23,46.3,46.59,2625057
2018-09-07,46.15,46.48,45.76,46.27,3224309
2018-09-10,46.67,46.7,46.335,46.44,2242106
2018-09-11,45.75,46.3,45.62,46.28,2082268
2018-09-12,46.45,47.32,46.32,47.09,2609559
2018-09-13,47.67,47.75,46.88,47.23,3187421
2018-09-14,47.74,47.88,47.34,47.45,1461433
2018-09-17,47.87,48.0545,47.48,47.54,1777489
2018-09-18,48.28,48.53,48.05,48.34,2478231
2018-09-19,49.23,49.8099,49.185,49.28,3317624
2018-09-20,51.57,51.57,50.84,51.15,6404530
2018-09-21,51.6,51.92,51.41,51.58,2754515
2018-09-24,52.0,52.155,51.39,51.48,2471341
2018-09-25,52.2,52.65,52.16,52.21,3001418
2018-09-26,51.69,51.93,51.41,51.53,2289858
2018-09-27,51.17,51.5,50.98,51.33,1763632
2018-09-28,50.94,51.45,50.83,51.02,2353166
2018-10-01,50.89,51.12,50.44,50.96,1739293
2018-10-02,50.99,51.32,50.92,51.19,2061610
2018-10-03,51.71,51.81,51.18,51.3,2185396
2018-10-04,51.87,51.87,50.905,51.16,1954928
2018-10-05,50.3,50.31,49.315,49.8,3675361
2018-10-08,49.72,49.905,49.28,49.83,1920425
2018-10-09,49.67,50.625,49.33,50.19,3889522
2018-10-10,49.57,49.68,48.495,48.73,3665470
2018-10-11,48.63,49.315,48.35,48.93,4585275
2018-10-12,49.88,49.89,48.79,49.19,2658279
2018-10-15,49.59,50.1201,49.47,49.53,2768584
2018-10-16,50.16,50.18,49.625,49.85,2205410
