date,open,high,low,close,volume
2017-01-03,25.337,25.6868,25.1427,25.4439,1029971
2017-01-04,25.5313,26.2988,25.5313,26.2988,1048934
2017-01-05,26.1434,26.4834,25.9394,26.464,1013469
2017-01-06,25.8228,26.1143,25.3468,25.3759,1621214
2017-01-09,25.4925,25.6236,24.9484,25.5119,1051172
2017-01-10,25.5119,25.5216,25.1233,25.3079,680902
2017-01-11,25.2399,25.2982,25.0067,25.2593,1074937
2017-01-12,25.1719,25.4245,24.8416,25.3565,797430
2017-01-13,25.4536,25.7256,25.3565,25.5216,657740
2017-01-17,25.5216,25.6576,25.3468,25.3953,735855
2017-01-18,25.4342,25.5799,24.9484,25.0456,722393
2017-01-19,24.8319,24.9582,24.7347,24.8221,896857
2017-01-20,24.8999,24.9776,24.6181,24.7444,968675
2017-01-23,24.793,24.8221,24.4238,24.6861,929688
2017-01-24,24.7639,24.929,24.7201,24.7736,952840
2017-01-25,24.8319,26.056,24.8319,26.0365,1449146
2017-01-26,25.8519,26.1725,25.2593,25.405,1334273
2017-01-27,25.5119,25.5605,25.1719,25.3856,932780
2017-01-30,25.1719,25.2788,24.8513,25.269,816650
2017-01-31,25.201,25.3759,24.9484,25.1719,1051073
2017-02-01,25.2302,25.5313,24.8124,24.9873,883336
2017-02-02,24.997,25.1427,24.7347,25.0262,520996
2017-02-03,25.2302,25.5945,25.2302,25.4731,528655
2017-02-06,25.3953,25.6576,25.1427,25.2107,1137372
2017-02-07,25.3759,25.4925,25.0553,25.2205,1196731
2017-02-08,25.1039,25.303,24.7153,25.1719,1456311
2017-02-09,25.1233,25.2982,25.0164,25.1622,874485
2017-02-10,25.3079,25.9005,25.2399,25.7451,1189570
2017-02-13,25.9005,26.1531,25.7645,26.0462,600510
2017-02-14,25.9782,26.532,25.9637,26.4931,712624
2017-02-15,26.5126,26.6583,26.2891,26.5126,661262
2017-02-16,26.4154,26.6389,25.9782,26.1045,590477
2017-02-17,26.1045,26.4251,25.9685,26.4154,557257
2017-02-21,26.464,26.7749,26.3377,26.4931,713526
2017-02-22,26.4349,26.7749,26.3377,26.5709,1538813
2017-02-23,26.736,26.8817,26.396,26.6292,1503936
2017-02-24,27.4258,29.0579,27.1732,27.999,2143948
2017-02-27,27.863,27.9116,27.5521,27.5812,1430868
2017-02-28,27.2412,27.481,26.8915,26.9109,1273442
2017-03-01,27.3286,27.5764,27.0955,27.5229,1351472
2017-03-02,27.3286,27.3966,27.0275,27.0663,1284961
2017-03-03,27.0178,27.076,26.6972,26.8429,744408
2017-03-06,26.6,26.8817,26.4543,26.7166,1093759
2017-03-07,26.6094,26.9115,26.4534,26.9115,789434
2017-03-08,26.8726,27.165,26.8141,27.0383,685210
2017-03-09,27.0383,27.2429,26.6484,26.6874,578682
2017-03-10,26.8726,27.2039,26.6386,26.7069,673995
2017-03-13,26.6874,26.7361,26.4197,26.6191,612563
