date,open,high,low,close,volume
2017-01-03,36.5305,36.9597,35.3715,36.3158,587141
2017-01-04,36.4446,36.8739,35.9295,36.7451,336748
2017-01-05,36.788,36.788,35.4573,35.9295,524458
2017-01-06,36.1441,36.1871,35.5002,35.5861,521851
2017-01-09,35.1568,35.4122,34.47,34.6846,693808
2017-01-10,34.6846,34.7705,33.6973,34.0407,819997
2017-01-11,34.2983,34.6417,34.0407,34.6417,934100
2017-01-12,34.9422,35.2427,33.869,34.1266,812937
2017-01-13,34.0407,34.7705,34.0407,34.4271,635184
2017-01-17,34.7705,35.4144,34.5988,35.3285,611906
2017-01-18,34.8563,35.2515,34.3841,34.6846,525153
2017-01-19,34.8134,35.028,34.6417,34.7705,370203
2017-01-20,35.1139,35.2856,34.6846,34.7705,383654
2017-01-23,34.3841,34.7276,33.8261,34.1266,498567
2017-01-24,34.4271,35.1998,33.9678,35.071,530796
2017-01-25,35.071,35.7578,34.8563,35.5002,633792
2017-01-26,35.8436,36.1871,35.5432,35.8866,438109
2017-01-27,35.5432,35.7149,34.4751,35.028,340478
2017-01-30,34.8563,34.8563,33.5685,34.0837,632998
2017-01-31,34.2554,34.2554,33.6544,34.0837,522010
2017-02-01,34.3841,34.8134,33.8261,34.5129,447104
2017-02-02,34.7276,35.1139,33.9549,35.071,560851
2017-02-03,35.071,36.2729,34.8563,36.1441,638857
2017-02-06,36.1012,36.4017,35.028,35.1568,397014
2017-02-07,34.7705,34.9851,33.6544,33.7403,635332
2017-02-08,33.3968,33.912,32.9246,33.7832,519628
2017-02-09,34.0407,34.47,33.9549,34.3841,363971
2017-02-10,35.028,35.028,34.0837,34.4271,270572
2017-02-13,34.1695,34.6202,33.7832,34.4271,370256
2017-02-14,34.47,35.1998,34.0837,34.9851,421300
2017-02-15,34.6846,34.8563,34.3412,34.7705,362347
2017-02-16,34.8563,35.1998,34.0837,34.2554,585718
2017-02-17,34.0837,34.47,33.6544,34.3841,563973
2017-02-21,34.9851,35.071,34.0407,34.0837,313575
2017-02-22,33.4398,33.9549,33.0105,33.1822,411509
2017-02-23,33.8261,33.869,32.8817,33.7403,580650
2017-02-24,32.8388,33.0964,30.9715,31.1217,1542041
2017-02-27,31.3793,31.4651,30.5208,30.6495,1220245
2017-02-28,30.4349,30.8642,30.1344,30.1773,1136156
2017-03-01,30.6066,31.4222,30.2632,30.993,1004942
2017-03-02,30.392,31.8944,30.392,31.4651,742254
2017-03-03,31.4217,32.117,31.0305,31.6824,733796
2017-03-06,31.639,31.9432,31.2478,31.2913,723343
2017-03-07,31.2913,31.2913,30.2048,30.6394,887221
2017-03-08,30.6394,30.7698,29.1183,29.2487,677681
2017-03-09,29.0748,29.2052,28.2274,29.1183,921876
2017-03-10,29.4225,29.5963,28.5098,29.466,1907516
2017-03-13,29.466,30.0309,29.379,29.5963,488414
2017-03-14,28.9879,29.5312,28.4664,28.7706,560075
2017-03-15,29.2052,30.0309,29.0314,29.944,505565
2017-03-16,30.0309,30.2048,29.5963,30.0309,391311
2017-03-17,30.3352,30.3786,29.6833,30.0744,831275
2017-03-20,29.8136,30.3786,29.6615,29.7702,422604
2017-03-21,29.8571,30.0309,28.9879,29.3356,523985
2017-03-22,29.0748,29.4442,28.5968,28.9444,598675
2017-03-23,28.6837,29.4225,28.5968,29.2052,448381
2017-03-24,29.2487,29.379,28.7054,28.7706,586510
2017-03-27,28.5533,28.9879,28.2491,28.8575,586303
2017-03-28,28.9879,29.2487,28.6837,29.1617,497302
2017-03-29,29.1183,31.0305,28.9879,30.8132,1482798
2017-03-30,30.9002,30.9871,30.509,30.8132,711887
2017-03-31,30.7698,31.3782,30.4656,31.2913,634954
2017-04-03,31.2478,31.4651,30.6394,31.0305,405668
2017-04-04,31.074,31.2478,30.5525,31.0305,348625
2017-04-05,31.5086,31.8563,30.3786,30.3786,603900
2017-04-06,30.7263,31.1175,30.3352,30.9002,448203
2017-04-07,31.0305,31.0741,30.5742,30.9002,498545
2017-04-10,31.074,31.3348,30.7263,30.8132,557374
2017-04-11,30.7698,30.9871,30.4656,30.6394,332817
2017-04-12,30.6394,30.7698,30.2482,30.7263,324111
2017-04-13,30.6394,30.8567,29.9875,30.1179,306677
2017-04-17,30.1613,30.2482,29.8136,30.2048,245023
2017-04-18,30.0309,30.1613,29.6398,29.8571,335568
2017-04-19,30.0744,30.0744,29.0748,29.379,414061
2017-04-20,29.5529,29.5529,28.8575,29.0748,392642
2017-04-21,28.9879,29.2052,28.6402,29.1617,591376
2017-04-24,29.466,29.7702,29.0314,29.379,471460
2017-04-25,29.4225,29.9006,29.2487,29.8571,556647
2017-04-26,29.6833,30.5525,29.6833,29.9006,495174
2017-04-27,29.5963,29.9875,28.8575,28.9444,632009
2017-04-28,29.2921,29.2921,28.7706,28.9444,613478
2017-05-01,28.9879,29.3139,28.8141,29.0314,344269
2017-05-02,29.1617,29.4442,29.0314,29.2921,563112
2017-05-03,29.1183,29.379,27.9014,28.1622,723610
2017-05-04,27.9449,27.9449,26.5107,26.9887,865103
2017-05-05,26.5107,28.0318,26.4238,27.9883,737943
2017-05-08,27.9014,28.1187,27.3364,27.771,512407
2017-05-09,27.7276,27.9449,26.9887,27.0322,448401
2017-05-10,27.3364,27.8579,27.1204,27.5972,439243
2017-05-11,27.6853,28.3466,27.509,28.2585,563827
2017-05-12,28.1703,28.3907,28.0821,28.2144,520235
2017-05-15,29.0079,29.4928,28.6993,28.8316,553640
2017-05-16,28.9638,29.1401,28.6552,28.7875,396419
