date,open,high,low,close,volume
2017-01-03,3.33,3.4358,3.28,3.33,1694195
2017-01-04,3.33,3.43,3.29,3.4,1504406
2017-01-05,3.43,3.59,3.39,3.59,2527564
2017-01-06,3.58,3.68,3.46,3.6,4451011
2017-01-09,3.6,3.74,3.54,3.69,2382932
2017-01-10,3.71,3.89,3.674,3.86,4016914
2017-01-11,3.88,3.95,3.71,3.81,3158948
2017-01-12,3.78,3.8,3.46,3.75,2849127
2017-01-13,3.72,3.86,3.63,3.86,3311478
2017-01-17,3.86,3.86,3.61,3.65,2415816
2017-01-18,3.65,3.65,3.48,3.52,1761574
2017-01-19,3.5,3.575,3.46,3.54,1026280
2017-01-20,3.54,3.58,3.5,3.52,756959
2017-01-23,3.49,3.59,3.4,3.57,1556327
2017-01-24,3.6,3.72,3.53,3.71,1519867
2017-01-25,3.69,3.77,3.63,3.74,1202282
2017-01-26,3.76,3.85,3.7,3.79,2234283
2017-01-27,3.81,3.81,3.69,3.74,973799
2017-01-30,3.8,3.8,3.635,3.68,775270
2017-01-31,3.67,3.81,3.67,3.81,1794087
2017-02-01,3.81,3.83,3.73,3.74,909511
2017-02-02,3.75,3.77,3.68,3.69,2286299
2017-02-03,3.69,3.735,3.64,3.69,886139
2017-02-06,3.67,3.67,3.51,3.58,3627308
2017-02-07,3.57,3.62,3.47,3.56,9561207
2017-02-08,3.57,3.5999,3.44,3.45,1980105
2017-02-09,3.45,3.51,3.31,3.35,9957804
2017-02-10,3.35,3.4,3.31,3.4,2791242
2017-02-13,3.4,3.5,3.38,3.4,1738095
2017-02-14,3.41,3.41,3.12,3.13,3403252
2017-02-15,3.15,3.255,3.15,3.24,3214277
2017-02-16,3.25,3.25,3.0,3.03,10030141
2017-02-17,3.02,3.16,3.02,3.11,1972042
2017-02-21,3.1,3.13,3.05,3.06,1802618
2017-02-22,3.06,3.06,2.95,3.02,3242196
2017-02-23,3.02,3.06,3.0,3.0,717229
2017-02-24,2.94,3.01,2.92,2.94,3030022
2017-02-27,2.94,3.04,2.92,3.02,1827101
2017-02-28,3.04,3.12,2.95,2.98,3552667
2017-03-01,3.0,3.05,2.93,3.02,1540256
2017-03-02,3.05,3.05,2.95,2.96,3531422
2017-03-03,2.97,2.98,2.89,2.91,1680424
2017-03-06,2.9,2.91,2.85,2.89,894275
2017-03-07,2.88,2.88,2.83,2.85,1216226
2017-03-08,2.86,2.99,2.85,2.95,1388395
2017-03-09,2.89,3.0,2.85,2.97,1681262
2017-03-10,3.01,3.07,3.0,3.06,2830755
2017-03-13,3.07,3.26,3.07,3.24,5809862
2017-03-14,3.22,3.315,3.15,3.24,2850297
2017-03-15,3.25,3.25,2.96,2.99,3558973
2017-03-16,3.05,3.08,2.93,2.95,3614206
2017-03-17,2.92,3.0,2.89,2.96,1459515
2017-03-20,2.96,3.01,2.85,2.9,1303197
2017-03-21,2.9,2.91,2.79,2.82,2045655
2017-03-22,2.81,2.85,2.73,2.77,3302634
2017-03-23,2.75,2.8,2.71,2.76,2493159
2017-03-24,2.75,2.81,2.73,2.74,1630011
2017-03-27,2.73,2.78,2.68,2.78,1301049
2017-03-28,2.78,2.825,2.73,2.77,1383759
2017-03-29,2.7,2.74,2.46,2.71,4452604
2017-03-30,2.69,2.71,2.63,2.66,2459356
2017-03-31,2.56,3.3,2.56,3.26,16950684
2017-04-03,3.19,3.4,3.17,3.37,6404609
2017-04-04,3.39,3.39,3.21,3.3,4971121
2017-04-05,3.3,3.39,3.26,3.35,3598008
2017-04-06,3.34,3.36,3.285,3.31,3312393
2017-04-07,3.31,3.455,3.27,3.37,1732477
2017-04-10,3.35,3.64,3.33,3.61,3033262
2017-04-11,3.61,3.64,3.43,3.5,1882186
2017-04-12,3.49,3.54,3.45,3.5,1591529
2017-04-13,3.5,3.529,3.44,3.45,927724
2017-04-17,3.46,3.51,3.35,3.38,1356351
2017-04-18,3.35,3.35,3.27,3.34,1050847
2017-04-19,3.34,3.45,3.32,3.45,1817033
2017-04-20,3.4816,3.55,3.41,3.53,1984539
2017-04-21,3.51,3.535,3.46,3.49,1167661
2017-04-24,3.53,3.53,3.41,3.44,1056931
2017-04-25,3.44,3.51,3.41,3.45,2135061
2017-04-26,3.44,3.48,3.39,3.42,2177895
2017-04-27,3.42,3.48,3.38,3.38,1830360
2017-04-28,3.41,3.41,3.31,3.35,988867
2017-05-01,3.36,3.46,3.34,3.4,881912
2017-05-02,3.39,3.41,3.33,3.34,1365010
2017-05-03,3.33,3.37,3.32,3.33,928757
2017-05-04,3.32,3.48,3.27,3.42,1581656
2017-05-05,3.4,3.42,3.375,3.39,1330506
2017-05-08,3.4,3.49,3.38,3.45,2465557
2017-05-09,3.45,3.55,3.44,3.54,1772185
2017-05-10,3.49,3.62,3.46,3.54,1924684
2017-05-11,3.49,3.53,3.18,3.43,3705873
2017-05-12,3.4,3.48,3.34,3.43,677637
2017-05-15,3.42,3.518,3.38,3.42,1719347
2017-05-16,3.43,3.57,3.43,3.52,2398200
2017-05-17,3.49,3.5,3.41,3.45,1398652
2017-05-18,3.43,3.48,3.25,3.32,1515695
2017-05-19,3.34,3.71,3.32,3.67,5821977
2017-05-22,3.69,3.96,3.63,3.8,4103700
2017-05-23,3.83,3.885,3.73,3.74,1423555
2017-05-24,3.73,3.78,3.67,3.7,1179347
2017-05-25,3.6,3.76,3.6,3.62,991618
2017-05-26,3.58,3.685,3.54,3.68,878645
2017-05-30,3.66,3.69,3.6,3.62,864750
2017-05-31,3.61,3.61,3.38,3.4,2841563
2017-06-01,3.38,3.54,3.3302,3.51,1519430
2017-06-02,3.51,3.555,3.43,3.52,1722194
2017-06-05,3.51,3.62,3.4876,3.59,995290
2017-06-06,3.58,3.5875,3.5,3.51,609725
2017-06-07,3.52,3.63,3.47,3.53,2642974
2017-06-08,3.52,3.67,3.52,3.66,1045424
2017-06-09,3.7,3.73,3.515,3.59,1266518
2017-06-12,3.57,3.65,3.51,3.54,1217051
2017-06-13,3.55,3.61,3.49,3.51,971104
2017-06-14,3.53,3.535,3.41,3.47,1687935
2017-06-15,3.44,3.45,3.33,3.4,2575094
2017-06-16,3.38,3.53,3.38,3.49,1833560
2017-06-19,3.53,3.68,3.53,3.66,1394443
2017-06-20,3.4,3.41,3.17,3.19,17749865
2017-06-21,3.2,3.4,3.2,3.38,3518634
2017-06-22,3.35,3.37,3.2,3.21,3288545
2017-06-23,3.17,3.25,3.15,3.19,3320314
2017-06-26,3.2,3.35,3.19,3.33,5039000
2017-06-27,3.32,3.32,3.21,3.27,6025095
2017-06-28,3.28,3.325,3.23,3.24,3248548
2017-06-29,3.23,3.24,3.12,3.19,2925175
2017-06-30,3.19,3.71,3.12,3.71,6687018
2017-07-03,3.65,3.65,3.3,3.33,2420465
2017-07-05,3.35,3.49,3.34,3.38,2750787
2017-07-06,3.38,3.44,3.22,3.23,1478130
2017-07-07,3.23,3.27,3.15,3.16,1453229
2017-07-10,3.18,3.21,3.13,3.17,928709
2017-07-11,3.18,3.21,3.14,3.16,1636942
2017-07-12,3.2,3.21,3.15,3.17,1761024
2017-07-13,3.17,3.23,3.14,3.17,1339679
2017-07-14,3.16,3.21,3.12,3.17,1068061
2017-07-17,3.16,3.2,3.1,3.12,932097
2017-07-18,3.11,3.13,3.01,3.12,1103155
2017-07-19,3.1,3.29,3.06,3.18,3369190
2017-07-20,3.19,3.21,3.16,3.17,851367
2017-07-21,3.16,3.18,3.13,3.15,1238007
2017-07-24,3.14,3.2,3.07,3.08,778114
2017-07-25,3.09,3.1,3.01,3.01,1620331
2017-07-26,3.01,3.165,3.01,3.15,1883458
2017-07-27,3.14,3.22,3.05,3.2,1401378
2017-07-28,3.16,3.215,3.14,3.16,989631
2017-07-31,3.17,3.22,3.15,3.2,2787130
2017-08-01,3.21,3.21,3.15,3.19,1044635
2017-08-02,3.19,3.21,3.04,3.05,1660821
2017-08-03,3.04,3.13,3.02,3.11,1116825
2017-08-04,3.13,3.21,3.12,3.19,1131636
2017-08-07,3.19,3.21,3.15,3.19,1599215
2017-08-08,3.2,3.22,3.17,3.18,1349410
2017-08-09,3.16,3.28,3.15,3.23,3740906
2017-08-10,3.21,3.26,3.15,3.21,2233628
2017-08-11,3.14,3.205,3.01,3.16,1550500
2017-08-14,3.18,3.21,3.13,3.19,1140464
2017-08-15,3.22,3.43,3.135,3.4,3531081
2017-08-16,3.4,3.515,3.3,3.49,2006058
2017-08-17,3.5,3.58,3.33,3.36,1760312
2017-08-18,3.31,3.465,3.26,3.4,2337548
2017-08-21,3.43,3.5,3.3,3.37,2030059
2017-08-22,3.41,3.52,3.39,3.52,2051745
2017-08-23,3.5,3.63,3.47,3.59,2688941
2017-08-24,3.59,3.72,3.56,3.66,2713428
2017-08-25,3.7,3.815,3.6401,3.66,2237497
2017-08-28,3.66,3.7,3.56,3.62,1879601
2017-08-29,3.32,3.57,3.19,3.51,2911533
2017-08-30,3.43,3.65,3.43,3.61,2002006
2017-08-31,3.59,3.7,3.51,3.7,2052858
2017-09-01,3.7,3.83,3.66,3.81,2412791
2017-09-05,3.78,3.87,3.705,3.84,3481676
2017-09-06,3.85,4.02,3.82,3.93,5690506
2017-09-07,3.9,3.94,3.83,3.85,1843146
2017-09-08,3.82,3.9,3.76,3.84,1173422
2017-09-11,3.88,4.13,3.87,4.12,3647175
2017-09-12,4.15,4.54,4.115,4.49,4298429
2017-09-13,4.45,4.7,4.18,4.29,6636697
2017-09-14,4.28,4.39,4.251,4.31,3677408
2017-09-15,4.3,4.35,4.21,4.22,3639887
2017-09-18,4.26,4.38,4.245,4.31,3798807
2017-09-19,4.28,4.34,4.21,4.29,1047644
2017-09-20,4.28,4.349,4.17,4.25,1035604
2017-09-21,4.26,4.34,4.16,4.28,2291105
2017-09-22,4.23,4.3,4.18,4.29,959569
2017-09-25,4.24,4.26,3.71,3.74,5238812
2017-09-26,3.75,4.0,3.74,4.0,3922255
2017-09-27,3.98,4.01,3.91,3.96,2139176
2017-09-28,3.94,4.01,3.94,4.0,1753942
2017-09-29,3.99,4.06,3.99,4.05,1896161
2017-10-02,4.05,4.11,4.03,4.07,818027
2017-10-03,4.07,4.085,3.97,4.06,892309
2017-10-04,4.05,4.23,3.97,4.2,2294667
2017-10-05,4.2,4.2,4.09,4.13,1399973
2017-10-06,4.11,4.25,4.07,4.19,2202954
2017-10-09,4.16,4.1811,4.0,4.1,1488633
2017-10-10,4.14,4.21,4.06,4.09,1504295
2017-10-11,4.08,4.19,3.97,4.19,2465437
2017-10-12,4.2,4.2,4.15,4.16,623513
2017-10-13,4.19,4.19,4.08,4.1,533111
2017-10-16,4.1,4.475,4.1,4.44,2578637
2017-10-17,4.43,4.59,4.38,4.43,2382114
2017-10-18,4.46,4.56,4.365,4.37,4240515
2017-10-19,4.31,4.33,4.05,4.12,1084443
2017-10-20,4.13,4.26,4.12,4.2,1096044
2017-10-23,4.21,4.26,4.17,4.23,929457
2017-10-24,4.23,4.5464,4.23,4.54,5625389
2017-10-25,4.54,4.58,4.43,4.57,2548708
2017-10-26,4.55,4.56,4.315,4.38,2307354
2017-10-27,4.4,4.43,4.3,4.4,1227715
2017-10-30,4.39,4.53,4.36,4.44,794429
2017-10-31,4.48,4.64,4.445,4.54,2062741
2017-11-01,4.55,4.635,4.51,4.58,1420112
2017-11-02,4.56,4.77,4.56,4.7,1991821
2017-11-03,4.67,4.98,4.67,4.88,3241546
2017-11-06,4.89,5.0,4.78,5.0,2387885
2017-11-07,4.96,4.96,4.75,4.9,2844102
2017-11-08,4.91,5.03,4.85,4.99,2879031
2017-11-09,5.01,5.01,4.78,4.91,3226438
2017-11-10,4.92,4.92,4.46,4.49,4072933
2017-11-13,4.51,4.81,4.455,4.66,3070725
2017-11-14,4.62,4.67,4.5,4.62,1674732
2017-11-15,4.62,4.71,4.48,4.7,1780860
2017-11-16,4.72,5.0,4.72,4.97,2524124
2017-11-17,5.2,5.27,4.65,4.7,7202929
2017-11-20,4.71,4.79,4.66,4.74,3357701
2017-11-21,4.75,4.77,4.54,4.58,2244027
2017-11-22,4.58,4.78,4.53,4.76,3114251
2017-11-24,4.69,4.75,4.62,4.7,1157123
2017-11-27,4.68,4.76,4.65,4.71,1167916
2017-11-28,4.68,4.73,4.48,4.61,2550551
2017-11-29,4.61,4.65,4.49,4.59,3366816
2017-11-30,4.56,4.65,4.475,4.64,3916210
2017-12-01,4.58,4.625,4.37,4.45,2867225
2017-12-04,4.4,4.48,4.215,4.29,1643885
2017-12-05,4.3,4.48,4.27,4.4,1739118
2017-12-06,4.28,4.39,4.27,4.31,3908684
2017-12-07,4.27,4.49,4.27,4.47,1900903
2017-12-08,4.5,4.625,4.27,4.29,2922246
2017-12-11,4.33,4.43,4.26,4.38,3545973
2017-12-12,4.38,4.41,4.27,4.29,1551097
2017-12-13,4.29,4.34,4.14,4.2,1422200
2017-12-14,4.25,4.33,4.18,4.31,588874
2017-12-15,4.21,4.405,4.2,4.37,2423674
2017-12-18,4.46,4.58,4.38,4.58,1480485
2017-12-19,4.55,4.58,4.43,4.55,871983
2017-12-20,4.53,4.59,4.49,4.57,547204
2017-12-21,4.62,4.67,4.52,4.63,561593
2017-12-22,4.56,4.65,4.55,4.63,418138
2017-12-26,4.59,4.75,4.58,4.74,1571164
2017-12-27,4.77,4.91,4.74,4.89,1255571
2017-12-28,4.89,4.93,4.8,4.89,605118
2017-12-29,4.93,5.58,4.895,5.58,9423638
2018-01-02,5.36,5.465,5.16,5.33,10504303
2018-01-03,5.37,5.37,4.95,5.17,4995967
2018-01-04,4.75,4.92,4.56,4.89,12836710
2018-01-05,4.84,5.03,4.8,4.81,2895473
2018-01-08,4.83,4.95,4.77,4.94,3859373
2018-01-09,4.99,4.99,4.82,4.9,4364946
2018-01-10,4.91,4.92,4.8,4.91,1957049
2018-01-11,4.95,5.2271,4.93,5.2,3178189
2018-01-12,5.28,5.3,5.19,5.25,3620414
2018-01-16,5.25,5.33,5.15,5.2,3214972
2018-01-17,5.1,5.2456,5.08,5.22,3015641
2018-01-18,5.2,5.24,5.11,5.23,1450836
2018-01-19,5.25,5.31,5.2,5.24,3779045
2018-01-22,5.24,5.26,5.19,5.25,1487923
2018-01-23,5.23,5.28,5.18,5.27,1537441
2018-01-24,5.25,5.415,5.15,5.4,2561027
2018-01-25,5.36,5.4,5.2807,5.33,8499084
2018-01-26,5.4,5.48,5.3,5.32,2498850
2018-01-29,5.26,5.37,5.24,5.32,2969214
2018-01-30,5.24,5.24,4.96,5.09,4320799
2018-01-31,5.1,5.22,5.03,5.22,3495567
2018-02-01,5.2,5.26,5.09,5.14,3291188
2018-02-02,5.16,5.19,5.0,5.03,5148835
2018-02-05,4.99,5.05,4.825,4.88,5227670
2018-02-06,4.73,5.03,4.44,5.01,4574625
2018-02-07,4.93,4.93,4.7,4.75,2262093
2018-02-08,4.8,4.8,4.66,4.66,2552044
2018-02-09,4.7,4.73,4.41,4.63,2738692
2018-02-12,4.68,4.78,4.62,4.75,1618992
2018-02-13,4.63,5.03,4.6,5.0,1842871
2018-02-14,4.97,5.22,4.97,5.16,1131051
2018-02-15,5.2,5.29,5.1,5.15,1111695
2018-02-16,5.11,5.21,5.02,5.02,638063
2018-02-20,4.94,5.14,4.9,5.12,1094432
2018-02-21,5.13,5.36,5.08,5.31,1272703
2018-02-22,5.3,5.33,5.1,5.12,661874
2018-02-23,5.14,5.19,5.085,5.16,711083
2018-02-26,5.16,5.245,5.09,5.11,800142
2018-02-27,5.1,5.15,5.05,5.07,1163383
2018-02-28,5.1,5.1,5.0,5.06,876051
2018-03-01,4.79,4.79,4.48,4.5,4835040
2018-03-02,4.5,4.78,4.48,4.76,3188488
2018-03-05,4.73,4.84,4.71,4.76,1738615
2018-03-06,4.82,4.915,4.535,4.55,2403425
2018-03-07,4.57,4.66,4.515,4.55,2350718
2018-03-08,4.54,4.63,4.47,4.52,1823020
2018-03-09,4.52,4.685,4.51,4.64,1759058
2018-03-12,4.65,4.69,4.565,4.58,711057
2018-03-13,4.56,4.625,4.485,4.49,1664073
2018-03-14,4.5,4.83,4.46,4.8,3301695
2018-03-15,4.78,4.83,4.71,4.82,547528
2018-03-16,4.78,4.97,4.78,4.95,3052222
2018-03-19,4.89,4.97,4.82,4.96,1331773
2018-03-20,4.95,5.05,4.91,5.03,623056
2018-03-21,4.98,5.13,4.97,5.08,851852
2018-03-22,5.0,5.11,4.95,5.01,1125266
2018-03-23,4.95,5.08,4.9,5.01,1529445
2018-03-26,5.03,5.09,4.97,5.08,1179154
2018-03-27,5.09,5.16,5.0,5.04,3027066
2018-03-28,5.01,5.085,4.905,5.02,1765624
2018-03-29,4.51,5.17,4.41,5.14,1985170
2018-04-02,5.15,5.21,5.08,5.15,1311007
2018-04-03,5.18,5.27,5.1,5.22,1646193
2018-04-04,5.13,5.22,4.98,5.15,2258013
2018-04-05,5.13,5.28,5.13,5.25,1199483
2018-04-06,5.24,5.33,5.06,5.14,2350199
2018-04-09,5.17,5.21,5.01,5.02,1470786
2018-04-10,5.11,5.12,5.01,5.04,3363883
2018-04-11,5.04,5.095,4.99,5.04,1941586
2018-04-12,5.07,5.07,4.93,4.97,891671
2018-04-13,4.96,5.01,4.81,5.0,1541418
2018-04-16,5.02,5.03,4.94,4.97,1494914
2018-04-17,5.0,5.11,4.97,5.05,2356566
2018-04-18,5.1,5.14,4.94,4.99,1325985
2018-04-19,4.98,5.02,4.84,4.85,1437210
2018-04-20,4.85,4.85,4.72,4.75,1002323
2018-04-23,4.77,4.78,4.52,4.54,969866
2018-04-24,4.56,4.61,4.48,4.52,1472536
2018-04-25,4.5,4.55,4.42,4.5,3193716
2018-04-26,4.52,4.67,4.5,4.62,680011
2018-04-27,4.65,4.8,4.65,4.78,854344
2018-04-30,4.8,5.08,4.75,5.0,2113931
2018-05-01,4.96,5.03,4.87,5.01,613723
2018-05-02,4.98,5.02,4.87,4.95,749816
2018-05-03,4.96,5.085,4.9,5.04,918133
