date,open,high,low,close,volume
2017-01-03,56.4643,57.7683,55.1995,55.876,1593511
2017-01-04,56.1996,56.1996,55.0034,55.7584,1561601
2017-01-05,55.7388,56.7094,55.2574,56.2976,1260329
2017-01-06,56.2486,56.6996,54.1308,55.0917,1842369
2017-01-09,54.925,54.925,53.3366,53.7484,1669967
2017-01-10,54.5132,54.7289,53.7092,54.2485,1696083
2017-01-11,54.3563,56.327,54.17,56.1211,1181213
2017-01-12,56.3074,56.5918,55.0819,55.7093,861510
2017-01-13,55.6505,56.3564,55.1799,55.2191,883735
2017-01-17,55.2976,56.0623,55.1603,56.0427,1089561
2017-01-18,56.1309,56.8761,55.2681,56.1996,1142380
2017-01-19,56.4545,57.8369,56.3074,56.3662,1711075
2017-01-20,56.8957,58.1507,56.8957,57.7389,1092903
2017-01-23,57.6604,57.6604,55.8858,56.4839,1178002
2017-01-24,56.9545,57.5418,56.2486,56.9055,967632
2017-01-25,56.8663,58.6409,56.68,58.0036,1449088
2017-01-26,58.1703,58.6899,57.6212,58.1115,1130585
2017-01-27,57.9546,58.1703,57.4644,57.6801,828143
2017-01-30,57.2977,57.3173,54.2387,56.0819,1536009
2017-01-31,57.3369,58.5821,57.1016,57.984,1859825
2017-02-01,58.4546,58.8762,57.2683,58.4448,1759830
2017-02-02,58.6017,58.7193,56.4447,56.4741,1112938
2017-02-03,56.5035,57.6703,55.925,57.082,918903
2017-02-06,57.1212,57.2143,55.6995,56.2584,1056908
2017-02-07,55.8858,56.5721,54.2975,54.3661,1314505
2017-02-08,53.6112,55.1505,52.5229,55.0819,1461349
2017-02-09,55.2583,56.2192,54.8956,56.1211,911520
2017-02-10,56.5623,57.9154,56.1407,56.5623,1155786
2017-02-13,56.7878,57.0232,56.0035,56.5329,817541
2017-02-14,56.5329,58.9007,56.229,58.8076,1364272
2017-02-15,58.082,58.6409,56.18,57.0722,1912539
2017-02-16,56.9251,57.2609,55.6015,56.2388,989158
2017-02-17,55.6995,57.1016,55.0721,55.827,1217391
2017-02-21,56.6016,57.3663,56.4251,56.9643,1280586
2017-02-22,57.0722,59.7586,56.7878,58.337,2738370
2017-02-23,59.3959,60.2881,50.4541,52.2876,8315065
2017-02-24,52.2189,52.6307,49.1893,50.16,6650887
2017-02-27,50.1306,52.6896,50.1306,51.6012,2571298
2017-02-28,51.3855,51.7875,49.3707,49.5815,2455115
2017-03-01,50.6306,52.8758,50.5424,51.9444,2645484
2017-03-02,51.3855,51.6993,50.4541,50.6306,1335783
2017-03-03,50.6502,52.1405,50.6404,52.0621,1382822
2017-03-06,51.3463,52.2876,51.1012,52.0719,1382831
2017-03-07,51.8366,52.4374,51.1698,51.2189,1638580
2017-03-08,51.16,51.16,46.8863,46.9735,3345786
2017-03-09,46.1499,46.748,42.1889,45.2969,8994726
2017-03-10,46.5813,47.3755,45.4734,45.6499,3202875
2017-03-13,45.6523,46.4279,44.5135,45.6523,1936152
2017-03-14,44.592,44.916,41.7842,43.2274,4526062
2017-03-15,43.9048,46.7814,43.9048,46.3494,3236419
2017-03-16,46.6636,47.4293,45.6032,46.3396,1923514
2017-03-17,46.4672,47.5864,45.3185,45.672,2975711
2017-03-20,45.2204,45.8094,44.7589,44.9749,2191264
2017-03-21,45.2596,45.6425,42.5696,42.923,3841210
2017-03-22,42.3241,43.8949,41.4995,43.2372,3261973
2017-03-23,43.0016,44.5135,42.2358,44.3368,2634488
2017-03-24,44.7786,48.0871,44.3171,44.5233,3693974
2017-03-27,43.4532,44.0324,41.8234,43.9833,2884564
2017-03-28,44.8178,46.4083,44.3957,46.261,2717234
2017-03-29,46.261,47.5766,45.8291,46.9679,2120552
2017-03-30,47.2526,48.2246,46.5365,47.1937,2406106
2017-03-31,46.6734,47.5373,46.5065,47.1152,1784311
2017-04-03,47.233,47.4981,45.564,46.2021,2093502
2017-04-04,46.4868,47.4882,46.3003,47.4195,1938870
2017-04-05,47.9497,48.8627,45.888,46.1138,1873132
2017-04-06,46.4967,47.5079,46.3396,47.4293,1226044
2017-04-07,47.1741,48.47,46.5359,47.665,1982318
2017-04-10,48.0773,49.3143,48.038,49.1573,1639867
2017-04-11,49.0885,49.4714,47.2232,48.7155,2056100
2017-04-12,48.47,49.2751,47.7435,47.9202,2023544
2017-04-13,47.6453,47.6473,45.0436,45.0731,2647936
2017-04-17,45.2105,45.4363,43.6692,44.1895,3057736
2017-04-18,43.787,46.0352,43.7379,44.2779,2128590
2017-04-19,44.6509,44.808,41.7007,41.9805,3515645
2017-04-20,42.2947,42.6628,41.5289,42.2652,2157788
2017-04-21,41.7056,41.8234,39.3886,39.7715,5743976
2017-04-24,40.4686,41.0086,39.5948,40.7926,2952130
2017-04-25,42.707,43.1292,39.9482,41.7645,4686466
2017-04-26,41.7253,43.7182,41.7253,42.275,2357825
2017-04-27,41.6565,41.6762,39.8795,41.578,3428001
2017-04-28,41.9314,41.9314,40.7337,40.7435,1993413
2017-05-01,40.7435,40.8809,38.937,39.4181,3338122
2017-05-02,39.4132,40.1937,38.4756,38.8192,2272311
2017-05-03,38.5738,38.6818,36.1586,36.3255,5739258
2017-05-04,35.9426,36.0801,33.7651,34.2049,10270362
2017-05-05,34.4307,36.4826,33.9202,36.4728,3816461
2017-05-08,36.2862,37.16,35.3339,36.2175,2610116
2017-05-09,36.2273,37.0864,35.2357,36.7968,2264751
2017-05-10,37.1993,38.7996,37.1993,38.3676,2919487
2017-05-11,38.829,39.5359,38.3087,38.6621,2437379
2017-05-12,38.6523,39.0352,38.3381,38.3971,2010457
2017-05-15,40.0955,40.714,39.6734,40.2035,2392442
