date,open,high,low,close,volume
2017-01-03,16.75,17.33,16.61,16.82,304659
2017-01-04,17.01,17.51,16.205,17.5,265272
2017-01-05,17.5,17.769,16.78,17.31,227372
2017-01-06,17.38,18.1457,17.145,17.77,586409
2017-01-09,17.93,19.1,17.8,18.23,961197
2017-01-10,18.22,18.585,17.73,18.5,382467
2017-01-11,18.56,19.275,18.39,19.05,421900
2017-01-12,19.16,19.675,18.65,18.93,486808
2017-01-13,19.01,19.07,17.9602,18.15,417660
2017-01-17,17.89,17.99,16.5,17.43,626697
2017-01-18,17.4,19.18,17.28,18.75,417175
2017-01-19,19.74,19.84,18.38,19.09,608283
2017-01-20,18.56,19.04,18.135,18.96,409519
2017-01-23,18.75,18.75,18.1,18.43,312274
2017-01-24,18.54,18.81,18.18,18.43,286055
2017-01-25,18.42,18.82,17.94,17.99,292359
2017-01-26,18.05,18.7,17.92,17.96,239262
2017-01-27,18.01,18.46,17.44,17.71,146320
2017-01-30,17.69,18.269,16.48,16.75,449962
2017-01-31,16.69,17.5,16.41,17.4,280942
2017-02-01,16.89,17.75,16.88,17.65,593701
2017-02-02,18.2,18.315,17.42,17.56,5381064
2017-02-03,17.48,17.8,17.25,17.51,1232547
2017-02-06,17.52,17.56,16.99,17.25,539739
2017-02-07,17.19,17.46,16.72,17.33,661499
2017-02-08,17.24,17.66,16.95,17.51,947147
2017-02-09,17.5,18.25,17.35,17.96,844189
2017-02-10,18.08,18.49,17.44,17.8,998484
2017-02-13,17.8,18.45,17.8,18.19,350713
2017-02-14,18.27,19.21,18.01,19.14,339770
2017-02-15,19.05,19.14,18.57,19.0,307495
2017-02-16,18.99,19.14,18.6797,18.86,334768
2017-02-17,18.84,19.41,18.75,18.84,278909
2017-02-21,18.97,20.24,18.96,19.94,900482
2017-02-22,20.16,21.33,20.0,21.0,758383
2017-02-23,21.27,21.99,19.5,20.06,1107681
2017-02-24,19.35,19.98,17.36,18.05,1495893
2017-02-27,18.11,18.74,17.77,18.19,1340768
2017-02-28,18.01,18.01,16.34,17.17,973761
2017-03-01,17.39,18.27,17.11,18.19,976030
2017-03-02,18.19,18.719,17.15,17.18,631798
2017-03-03,17.28,17.54,16.47,17.0,1048399
2017-03-06,16.86,17.23,16.31,16.72,653236
2017-03-07,16.67,16.73,16.17,16.17,801519
2017-03-08,16.17,16.17,14.83,15.01,860975
2017-03-09,15.09,15.09,13.0,13.76,1689973
2017-03-10,14.0,14.26,13.08,13.33,778324
2017-03-13,13.39,13.48,12.95,13.3,376002
2017-03-14,13.18,13.18,12.51,12.96,759697
2017-03-15,13.21,13.74,12.74,13.63,706792
2017-03-16,14.0,15.31,14.0,14.52,1722053
2017-03-17,15.0,16.82,15.0,15.91,2451104
2017-03-20,15.77,16.02,15.2783,15.92,517675
2017-03-21,15.91,16.2,14.04,14.14,1513722
2017-03-22,14.04,14.76,13.75,14.46,1746954
2017-03-23,14.46,14.72,14.03,14.58,529734
2017-03-24,14.67,15.66,14.6,15.03,895687
2017-03-27,14.76,14.91,14.21,14.6,582187
2017-03-28,14.61,15.64,14.43,15.32,449524
2017-03-29,15.29,16.68,15.12,16.09,557848
2017-03-30,16.18,16.813,15.9,16.01,358331
2017-03-31,15.91,16.755,15.6645,16.25,380849
2017-04-03,16.29,16.45,15.75,15.93,318943
2017-04-04,15.92,16.43,15.59,15.79,454664
2017-04-05,16.09,16.38,15.69,15.87,634732
2017-04-06,15.98,16.322,15.79,16.0,478655
2017-04-07,16.0,16.08,15.57,15.9,382375
2017-04-10,15.95,16.67,15.89,16.16,511102
2017-04-11,16.13,16.3156,15.675,16.06,418486
2017-04-12,16.08,16.23,15.45,15.53,393967
2017-04-13,15.51,15.51,14.16,14.18,615124
2017-04-17,14.28,14.3188,13.41,13.7,423357
2017-04-18,13.56,14.23,13.22,13.29,491988
2017-04-19,13.52,13.95,12.76,12.9,1035327
2017-04-20,13.02,13.32,12.87,12.89,331956
2017-04-21,12.93,12.93,12.2,12.61,522967
2017-04-24,13.06,13.09,12.5,12.67,296911
2017-04-25,12.66,13.11,12.46,13.03,480445
2017-04-26,12.94,13.44,12.94,13.16,438436
2017-04-27,13.1,13.26,12.32,12.74,461536
2017-04-28,12.92,12.92,12.16,12.18,508446
2017-05-01,12.17,12.41,11.81,12.1,491583
2017-05-02,12.15,12.32,11.73,11.96,363921
2017-05-03,12.0,12.02,11.2,11.38,450525
2017-05-04,11.32,11.32,10.23,11.0,934310
2017-05-05,11.03,11.44,10.82,10.94,530005
2017-05-08,10.96,11.26,10.93,11.18,376032
2017-05-09,11.18,11.67,11.11,11.45,530260
2017-05-10,11.57,12.55,11.51,12.2,877179
2017-05-11,11.84,12.51,11.68,12.06,675554
2017-05-12,12.06,12.23,11.84,12.19,345273
2017-05-15,12.61,13.7,12.58,13.34,825751
2017-05-16,13.36,13.5,12.93,13.33,376800
2017-05-17,13.05,13.23,12.52,12.53,687296
2017-05-18,12.42,12.68,12.0,12.52,514151
2017-05-19,12.61,13.0,12.4,12.7,559303
2017-05-22,12.84,12.87,11.4378,11.55,771988
2017-05-23,11.66,11.67,11.18,11.37,523017
2017-05-24,11.38,11.54,10.685,10.86,446746
2017-05-25,10.88,11.179,10.1,10.2,392382
2017-05-26,10.19,10.34,9.71,10.0,980185
2017-05-30,9.92,9.92,9.21,9.37,591415
2017-05-31,9.33,9.84,9.04,9.74,1053124
2017-06-01,9.86,10.3116,9.52,9.98,869613
2017-06-02,10.07,10.41,9.25,9.33,621419
2017-06-05,9.35,9.566,9.125,9.37,546647
2017-06-06,9.41,9.555,8.76,9.49,884266
2017-06-07,9.45,9.53,8.16,8.21,1438431
2017-06-08,8.43,8.787,8.36,8.59,613270
