date,open,high,low,close,volume
2017-01-03,7.8706,7.9743,7.8547,7.9424,776524
2017-01-04,7.9584,8.1258,7.9106,8.1099,881910
2017-01-05,8.1019,8.1258,8.0221,8.1019,675953
2017-01-06,8.1019,8.1019,7.9265,8.078,599893
2017-01-09,8.1099,8.1338,7.9584,8.0859,643820
2017-01-10,8.07,8.0859,7.9025,8.0381,767385
2017-01-11,8.054,8.2056,7.9962,8.1737,828152
2017-01-12,8.1657,8.3292,8.078,8.3252,844023
2017-01-13,8.3252,8.3969,8.2056,8.2614,609413
2017-01-17,8.2694,8.3331,8.2494,8.2933,656914
2017-01-18,8.2933,8.3491,8.2534,8.2853,648314
2017-01-19,8.2933,8.2933,8.0859,8.1019,601651
2017-01-20,8.078,8.1816,8.078,8.1338,513840
2017-01-23,8.1737,8.2135,8.1178,8.1896,449466
2017-01-24,8.1896,8.3172,8.1896,8.2853,681035
2017-01-25,8.3172,8.3331,8.1737,8.2135,464430
2017-01-26,8.2454,8.2964,8.0899,8.0939,492978
2017-01-27,8.1338,8.1418,7.9424,8.0221,605865
2017-01-30,7.9743,7.9902,7.8308,7.9265,776528
2017-01-31,7.9025,8.1418,7.8786,7.9823,642214
2017-02-01,7.9982,8.078,7.9344,7.9504,399052
2017-02-02,7.9504,8.1497,7.9504,8.1497,561347
2017-02-03,8.1816,8.2773,8.1418,8.2773,552352
2017-02-06,8.2694,8.2773,8.1816,8.1976,285950
2017-02-07,8.2215,8.2534,8.1737,8.1976,292426
2017-02-08,8.2215,8.2375,8.1019,8.1816,364894
2017-02-09,8.2056,8.3331,8.1896,8.1976,427266
2017-02-10,8.2215,8.2614,8.1577,8.1816,552546
2017-02-13,8.1976,8.2135,8.1378,8.1816,347596
2017-02-14,8.1338,8.1577,7.9823,8.1258,572655
2017-02-15,8.0859,8.2175,8.0221,8.2056,523414
2017-02-16,8.2454,8.3092,8.1816,8.2534,444239
2017-02-17,8.3092,8.3092,8.1577,8.2454,386123
2017-02-21,8.2933,8.3331,8.1816,8.2853,593927
2017-02-22,8.3012,8.3331,8.2135,8.3252,372183
2017-02-23,8.3571,8.389,8.2295,8.3411,488674
2017-02-24,8.2933,8.3611,8.2135,8.3491,481619
2017-02-27,8.3411,8.5764,8.3252,8.5086,757340
2017-02-28,8.4368,8.5963,8.1976,8.4528,1461496
2017-03-01,8.4209,8.4767,8.3252,8.373,720270
2017-03-02,8.3571,8.4209,8.3132,8.3491,1196105
2017-03-03,8.373,8.4528,8.2973,8.4528,1047466
2017-03-06,8.4528,8.4847,8.373,8.4368,864987
2017-03-07,8.4209,8.4234,8.3571,8.389,795502
2017-03-08,8.389,8.4135,8.1437,8.1437,991811
2017-03-09,8.1355,8.2091,7.9393,7.9393,875532
2017-03-10,8.0129,8.0864,7.8166,7.833,786469
2017-03-13,7.7839,7.9147,7.7349,7.833,766653
2017-03-14,7.7757,7.8657,7.743,7.8084,599922
2017-03-15,7.8166,8.1191,7.8084,8.0619,668815
2017-03-16,8.021,8.1764,8.021,8.1191,690727
2017-03-17,8.1355,8.2581,8.1028,8.2173,634229
2017-03-20,8.0864,8.16,7.9638,7.9965,599195
2017-03-21,7.9883,8.0129,7.8248,7.833,863728
2017-03-22,7.8575,7.9311,7.694,7.8248,853445
2017-03-23,7.833,8.0864,7.8166,7.9638,1037795
2017-03-24,7.972,8.0537,7.9556,7.972,356445
2017-03-27,7.9638,8.0537,7.9474,8.021,423079
2017-03-28,8.0129,8.111,7.972,8.1028,364439
2017-03-29,8.111,8.2909,8.0946,8.2909,384349
2017-03-30,8.2909,8.3236,8.2091,8.3154,373636
2017-03-31,8.299,8.4135,8.299,8.3399,436652
2017-04-03,8.3399,8.3767,8.2827,8.3154,439083
2017-04-04,8.3072,8.4626,8.2909,8.3236,578120
2017-04-05,8.3563,8.3971,8.2336,8.25,513449
2017-04-06,8.25,8.3563,8.2418,8.3481,533301
2017-04-07,8.3726,8.4789,8.3481,8.3563,525680
2017-04-10,8.3808,8.5934,8.3481,8.5852,663869
2017-04-11,8.5852,8.6997,8.5443,8.5525,886780
2017-04-12,8.5525,8.6833,8.5443,8.5934,540004
2017-04-13,8.6097,8.6343,8.5443,8.5852,358167
2017-04-17,8.6343,8.7242,8.6016,8.7242,720760
2017-04-18,8.716,8.8182,8.6997,8.8141,566119
2017-04-19,8.8305,8.8468,8.7242,8.7242,398188
2017-04-20,8.7814,8.8141,8.7242,8.7978,486637
2017-04-21,8.7978,8.8387,8.7487,8.8141,449150
2017-04-24,8.8305,8.8468,8.6097,8.7733,478731
2017-04-25,8.7651,8.8468,8.7569,8.7814,626490
2017-04-26,8.7814,8.8428,8.6997,8.7896,488284
2017-04-27,8.806,8.8387,8.7324,8.7733,389274
2017-04-28,8.7733,8.7814,8.5116,8.5198,511907
2017-05-01,8.5116,8.6097,8.5116,8.577,367209
2017-05-02,8.5607,8.577,8.438,8.4789,351929
2017-05-03,8.4707,8.4789,8.2663,8.3072,606839
2017-05-04,8.2418,8.3072,7.7676,7.9474,1677029
2017-05-05,7.9638,8.1682,7.9311,8.16,653604
2017-05-08,8.1519,8.16,7.972,8.0047,603073
2017-05-09,7.972,7.9883,7.7757,7.8411,743837
2017-05-10,7.8248,8.0088,7.8166,7.9474,542324
2017-05-11,7.9147,7.9556,7.8166,7.9393,479749
2017-05-12,7.8902,7.9556,7.8698,7.9311,448571
2017-05-15,7.9556,8.0701,7.8575,7.8902,571177
2017-05-16,7.9229,7.9638,7.8575,7.8902,350105
2017-05-17,7.8902,8.0129,7.8902,7.9638,564093
2017-05-18,7.9556,8.0374,7.8739,8.0292,601775
2017-05-19,8.0129,8.0701,7.9229,8.0292,435802
2017-05-22,8.0619,8.111,8.021,8.0946,326740
2017-05-23,8.1519,8.1764,8.066,8.0701,366899
2017-05-24,8.0701,8.16,7.9393,7.972,889052
2017-05-25,7.972,8.0374,7.882,7.9229,477614
2017-05-26,7.9147,7.9311,7.8084,7.8739,524591
2017-05-30,7.882,7.9229,7.7676,7.7921,593401
2017-05-31,7.8084,7.8492,7.7349,7.8003,881736
2017-06-01,7.8003,7.9066,7.7594,7.8902,715615
2017-06-02,7.9393,8.1069,7.9066,8.0374,866090
2017-06-05,8.0292,8.0456,7.8962,7.9556,721022
2017-06-06,7.9556,8.0732,7.9556,7.9556,908984
2017-06-07,7.9892,8.1404,7.9808,8.0732,1122118
2017-06-08,8.0816,8.0984,7.9517,8.0144,730060
2017-06-09,8.006,8.2076,7.964,8.132,751695
2017-06-12,8.132,8.2748,8.1236,8.2496,698769
2017-06-13,8.258,8.3673,8.1801,8.3337,812285
2017-06-14,8.3757,8.3757,8.2244,8.2496,514372
2017-06-15,8.1992,8.2832,8.1572,8.2328,377037
2017-06-16,8.1824,8.2917,8.1824,8.2917,976899
2017-06-19,8.3085,8.5185,8.2664,8.4177,736937
2017-06-20,8.4093,8.4513,8.3505,8.4009,416857
2017-06-21,8.4177,8.4513,8.2917,8.3001,466692
2017-06-22,8.3085,8.4513,8.2917,8.3757,535065
2017-06-23,8.4261,8.4933,8.3757,8.4513,1097215
2017-06-26,8.4849,8.6277,8.4513,8.6109,601453
2017-06-27,8.6193,8.6697,8.4345,8.4597,647403
2017-06-28,8.4849,8.5773,8.3925,8.5101,437003
2017-06-29,8.4597,8.4597,8.3673,8.4177,483436
2017-06-30,8.4261,8.4765,8.3757,8.4429,491297
2017-07-03,8.5017,8.7285,8.4345,8.7033,506504
2017-07-05,8.7117,8.7164,8.5184,8.5521,623644
2017-07-06,8.5017,8.5185,8.3673,8.4093,650056
2017-07-07,8.4261,8.4429,8.2832,8.4261,418246
2017-07-10,8.4093,8.4345,8.3169,8.3337,540673
2017-07-11,8.3337,8.4765,8.3085,8.4345,498968
2017-07-12,8.5185,8.5857,8.4429,8.5269,446321
2017-07-13,8.5353,8.5395,8.4513,8.4765,320852
2017-07-14,8.5185,8.6361,8.5185,8.5605,429588
2017-07-17,8.5773,8.6697,8.5521,8.6277,379729
2017-07-18,8.6109,8.6445,8.5521,8.6445,342059
2017-07-19,8.6529,8.7495,8.6193,8.6949,598859
2017-07-20,8.7453,8.7621,8.6613,8.6865,347209
2017-07-21,8.7705,8.7789,8.6109,8.6697,408348
2017-07-24,8.7201,8.7201,8.6193,8.7033,323676
2017-07-25,8.7117,8.7537,8.6319,8.7201,517000
2017-07-26,8.7117,8.8293,8.6613,8.7873,839332
2017-07-27,8.7537,8.8797,8.7117,8.7705,631719
2017-07-28,8.7705,8.8461,8.5773,8.7369,735623
2017-07-31,8.7705,8.7957,8.5395,8.7285,584063
2017-08-01,7.8968,7.9934,7.8632,7.8632,1157646
2017-08-02,8.6949,8.7117,8.6109,8.6949,846433
2017-08-03,8.5025,8.6529,7.8632,7.8968,2547989
2017-08-04,7.8968,7.9934,7.8632,7.8632,1157646
2017-08-07,7.8464,7.8548,7.6616,7.7876,1669937
2017-08-08,7.796,7.8296,7.7036,7.7036,931847
2017-08-09,7.6868,7.7456,7.6028,7.6196,779264
2017-08-10,7.6028,7.6364,7.4096,7.628,1262914
2017-08-11,7.5356,7.6952,7.5104,7.6952,881943
2017-08-14,7.7288,7.8338,7.6868,7.796,614966
2017-08-15,7.7792,7.8044,7.7036,7.7624,755756
2017-08-16,7.7624,7.8716,7.754,7.838,473182
2017-08-17,7.8044,7.8674,7.6868,7.6952,1302546
2017-08-18,7.6364,7.67,7.5356,7.6028,777273
2017-08-21,7.628,7.8212,7.5928,7.8128,650516
2017-08-22,7.8044,7.9724,7.796,7.9388,591778
2017-08-23,7.922,8.006,7.8716,7.964,422904
2017-08-24,7.964,8.0396,7.9472,7.9808,551583
2017-08-25,8.0228,8.0984,7.964,8.0648,465082
2017-08-28,8.0984,8.0984,7.9808,8.0144,322471
2017-08-29,8.006,8.0718,7.9766,8.0228,392538
2017-08-30,7.9724,8.0984,7.9724,8.0816,423736
2017-08-31,7.8464,7.964,7.6868,7.754,1326466
2017-09-01,7.7372,7.7708,7.6532,7.712,742805
2017-09-05,7.7288,7.8128,7.7078,7.7708,652294
2017-09-06,7.7876,7.922,7.7582,7.8296,853748
2017-09-07,7.8296,8.0024,7.8218,7.9592,590925
2017-09-08,7.9333,8.0284,7.916,7.9333,618139
2017-09-11,7.9592,8.0457,7.8901,7.9074,444984
2017-09-12,7.916,7.9679,7.8469,7.8642,449220
2017-09-13,7.9074,7.9938,7.8815,7.9247,835298
