date,open,high,low,close,volume
2017-01-03,12.9652,13.4254,12.9157,13.2621,73602
2017-01-04,13.3314,13.7372,13.3017,13.4205,115857
2017-01-05,13.6085,13.7768,13.5096,13.7471,151351
2017-01-06,13.8154,13.9846,13.658,13.945,227499
2017-01-09,13.9549,13.9549,13.6184,13.8065,46917
2017-01-10,13.8065,14.1331,13.7126,13.9549,104239
2017-01-11,14.0241,14.0539,13.6976,13.8857,100783
2017-01-12,13.8659,14.1529,13.7075,14.1529,15385
2017-01-13,14.2024,14.2519,13.8421,14.2519,25438
2017-01-17,14.3112,14.3112,13.9252,13.9648,21140
2017-01-18,13.9154,13.9154,13.6378,13.7273,575167
2017-01-19,13.9252,13.9945,13.3512,13.4601,219644
2017-01-20,13.3908,13.4997,13.1632,13.3215,882269
2017-01-23,13.3215,13.7075,13.272,13.5591,99835
2017-01-24,13.6184,13.945,13.5912,13.8758,343814
2017-01-25,13.8261,13.95,13.7372,13.8956,517095
2017-01-26,13.9154,14.1677,13.8292,14.1232,170927
2017-01-27,14.1529,14.2519,14.0044,14.1529,286949
2017-01-30,14.1925,14.1925,13.8461,14.0935,31411
2017-01-31,14.0242,14.7269,14.0242,14.5785,653950
2017-02-01,14.6477,14.8457,14.4102,14.5686,36577
2017-02-02,14.5983,14.5983,14.1628,14.4102,129581
2017-02-03,14.3628,14.4102,14.2123,14.3112,79799
2017-02-06,14.3805,14.3904,14.0737,14.1529,97516
2017-02-07,14.0935,14.1628,13.9846,14.0341,201989
2017-02-08,14.0242,14.1925,14.0143,14.1727,71063
2017-02-09,14.1232,14.5191,14.1232,14.331,230100
2017-02-10,14.331,14.6279,14.1628,14.5488,458158
2017-02-13,14.6378,15.0139,14.5785,14.6873,86394
2017-02-14,14.6477,15.1327,14.6448,14.9644,172143
2017-02-15,14.8952,15.3089,14.8853,15.1228,109854
2017-02-16,15.2119,15.3405,15.0139,15.1426,39728
2017-02-17,15.2416,15.6869,15.0733,15.4098,271600
2017-02-21,15.6869,15.6968,15.4593,15.5781,231648
2017-02-22,15.7661,15.7661,15.2218,15.5286,109624
2017-02-23,15.5287,15.5385,15.1921,15.3306,109597
2017-02-24,15.2218,15.5088,15.1624,15.3603,140674
2017-02-27,15.2515,15.4692,14.8853,15.3702,99766
2017-02-28,15.2416,15.3603,14.915,15.1822,458837
2017-03-01,15.3603,15.4692,14.8754,15.0832,131962
2017-03-02,15.004,15.0535,14.6477,14.8952,98143
2017-03-03,14.816,15.2911,14.7269,15.0634,258618
2017-03-06,15.1723,15.3207,14.8358,14.9842,121273
2017-03-07,15.0832,15.1822,14.7269,14.9941,36285
2017-03-08,15.004,15.1327,14.8853,15.004,63783
2017-03-09,14.9249,15.103,14.5488,14.8655,236524
2017-03-10,14.8754,15.1327,14.8556,15.0238,46467
2017-03-13,15.0634,15.1425,14.8457,15.0337,102292
2017-03-14,15.0733,15.2416,14.8902,15.0535,67607
2017-03-15,15.1426,15.3801,14.9447,15.2713,288575
2017-03-16,15.39,15.6859,15.3455,15.5286,420182
2017-03-17,15.6374,15.6374,15.4494,15.5385,463918
2017-03-20,15.5682,15.5682,15.2812,15.4395,137306
2017-03-21,15.588,15.6473,14.9842,15.3108,266629
2017-03-22,15.202,15.3009,15.0535,15.1723,134178
2017-03-23,15.1822,15.5781,15.004,15.3801,566488
2017-03-24,15.5484,15.9047,15.5484,15.776,74193
2017-03-27,15.8255,15.9759,15.5781,15.8156,104825
2017-03-28,15.8354,16.165,15.8354,16.0333,122271
2017-03-29,16.0333,16.3302,15.9245,16.2412,193650
2017-03-30,16.3896,16.6766,16.3896,16.6371,249056
2017-03-31,16.6667,17.023,16.6667,16.8251,297021
2017-04-03,16.7459,17.1666,16.4985,16.8251,197854
2017-04-04,16.835,17.0033,16.6667,16.8944,125830
2017-04-05,16.8746,17.0626,16.7063,16.7558,169588
2017-04-06,16.647,16.9736,16.6024,16.8746,87955
