date,open,high,low,close,volume
2017-01-03,26.553,26.9479,26.1582,26.7505,562086
2017-01-04,27.0466,28.2805,26.9972,28.2311,982185
2017-01-05,27.935,28.1818,26.553,26.6024,607772
2017-01-06,26.7505,26.7505,26.0101,26.3063,729036
2017-01-09,26.1088,26.252,25.6646,25.9114,468210
2017-01-10,26.1088,26.3556,25.8621,26.2076,599887
2017-01-11,26.1582,26.5037,25.8621,26.4543,367782
2017-01-12,26.553,26.553,25.3192,26.2076,442355
2017-01-13,26.3556,27.1453,26.3063,26.6024,432654
2017-01-17,26.553,26.6024,24.7763,25.1217,832791
2017-01-18,25.1217,25.5659,24.8256,25.023,567006
2017-01-19,25.023,25.3685,24.3321,25.3192,576957
2017-01-20,25.4179,25.6153,24.0853,24.2827,924386
2017-01-23,24.0853,24.4308,23.1475,23.6411,857409
2017-01-24,23.8879,25.1217,23.6904,24.5788,666009
2017-01-25,25.1217,25.9608,24.875,25.6646,1004108
2017-01-26,25.8127,25.9608,24.9243,25.3192,456267
2017-01-27,25.4179,25.6153,25.1217,25.5659,489480
2017-01-30,25.2205,25.9608,24.7763,25.6646,673211
2017-01-31,25.4179,26.6024,24.6775,26.405,828602
2017-02-01,26.9479,27.0959,25.788,27.0466,8346526
2017-02-02,27.0466,27.3921,26.0595,27.0959,1879434
2017-02-03,27.1453,28.626,26.7998,28.5272,1077828
2017-02-06,27.6882,28.3792,27.3427,27.5895,1250564
2017-02-07,27.935,28.083,27.244,27.9843,847873
2017-02-08,27.7376,27.7869,27.0466,27.4414,683793
2017-02-09,27.5401,28.2805,27.2934,27.3921,733746
2017-02-10,27.8363,28.1324,27.6882,27.8363,832976
2017-02-13,27.7869,28.0337,27.1453,27.3427,880688
2017-02-14,27.1947,27.2934,26.553,26.8492,853394
2017-02-15,26.8492,26.8583,26.3063,26.7998,705947
2017-02-16,26.7998,26.8492,26.0595,26.4543,595334
2017-02-17,26.3063,26.5037,26.0101,26.4543,506598
2017-02-21,26.6518,26.7505,26.0101,26.1582,632130
2017-02-22,25.9608,26.1582,25.6153,26.0595,526643
2017-02-23,26.1088,26.9972,26.0595,26.3556,687074
2017-02-24,25.9608,26.6024,25.714,26.4543,367901
2017-02-27,26.5433,27.8285,26.4445,27.433,947904
2017-02-28,27.3836,28.0262,27.2106,27.4825,560666
2017-03-01,28.3228,28.471,27.2353,27.5813,861259
2017-03-02,27.433,27.7296,26.7905,26.8893,568189
2017-03-03,26.9882,27.0376,26.4445,26.5433,397130
2017-03-06,26.4445,26.6916,26.1479,26.2962,563109
2017-03-07,26.1479,26.3851,25.6536,25.9007,621591
2017-03-08,26.049,26.049,25.2087,25.2582,688665
2017-03-09,25.2582,25.4559,24.2696,24.6156,770087
2017-03-10,24.9122,24.9122,24.0472,24.0719,645802
2017-03-13,24.0719,24.6156,24.0224,24.2202,555513
2017-03-14,23.7753,24.0719,23.3304,23.8247,488220
2017-03-15,23.973,24.665,23.8247,24.3684,775526
2017-03-16,24.5167,24.9616,24.2202,24.7144,546954
2017-03-17,24.8133,25.1593,24.7144,25.1099,1220542
2017-03-20,25.1099,25.5053,24.8627,25.1593,691358
2017-03-21,25.3076,25.3076,24.0224,24.1707,1083890
2017-03-22,24.1213,24.1707,23.5282,23.5776,712100
2017-03-23,23.5776,24.0224,23.2316,23.8247,807102
2017-03-24,23.973,24.2202,23.3304,23.5282,404789
2017-03-27,23.0339,24.0719,22.7373,23.8742,688847
2017-03-28,23.7259,24.492,23.4787,24.3684,1013928
2017-03-29,24.3684,24.9616,24.3684,24.7144,350315
2017-03-30,24.8133,25.2087,24.8133,25.1099,454878
2017-03-31,25.1593,25.876,25.1593,25.4559,679887
2017-04-03,25.5053,25.5547,24.5662,24.665,472061
2017-04-04,24.6156,25.3076,24.6156,24.7144,600360
2017-04-05,25.0604,25.4559,24.319,24.3684,545306
2017-04-06,24.319,25.4559,24.1589,25.011,558249
2017-04-07,24.7144,25.2087,24.5662,24.9122,658861
2017-04-10,24.8133,25.9996,24.7639,25.6042,615534
2017-04-11,25.357,26.2467,25.2582,25.7525,858218
2017-04-12,25.5547,25.7525,24.7886,25.1099,690492
2017-04-13,24.9122,24.9122,24.5167,24.7144,750333
2017-04-17,24.8133,25.3076,24.6156,25.2087,374820
2017-04-18,25.1593,25.8019,25.1099,25.7525,583941
2017-04-19,25.9502,26.6422,25.703,25.703,487140
2017-04-20,25.9007,26.4939,25.703,26.2467,497189
2017-04-21,26.1479,26.395,25.703,26.049,505218
2017-04-24,26.6916,26.6916,25.8513,25.9502,616041
2017-04-25,26.2467,26.3456,25.7525,25.9007,604987
2017-04-26,25.9007,26.741,25.703,26.3456,984112
2017-04-27,26.395,26.395,25.9007,26.0985,413620
2017-04-28,26.2962,26.3456,25.8266,25.9007,519879
2017-05-01,26.049,26.1973,25.6042,25.7525,504331
2017-05-02,25.7525,25.9255,25.4559,25.6042,315586
2017-05-03,25.4559,25.703,24.6156,24.7639,677454
2017-05-04,25.2087,25.2087,23.9236,24.5167,831249
2017-05-05,24.7144,24.7639,24.319,24.5167,569655
2017-05-08,24.319,25.011,23.8742,24.5662,920094
2017-05-09,24.6156,24.8627,23.973,24.0224,642655
2017-05-10,24.0224,24.1213,20.9826,21.3533,2570117
2017-05-11,21.6004,22.0453,20.3153,20.7107,1911637
2017-05-12,20.513,20.5624,19.4256,19.5738,1637532
2017-05-15,19.6727,20.6613,19.5738,20.2164,1140402
2017-05-16,23.0833,24.8627,21.897,23.5776,2141807
2017-05-17,22.935,23.3799,22.4951,22.5396,1261813
2017-05-18,22.1936,22.4407,21.551,21.8476,709110
2017-05-19,21.9464,22.8856,21.9464,22.6879,634728
