date,open,high,low,close,volume
2017-01-03,11.66,11.78,11.48,11.63,2103195
2017-01-04,11.7,11.97,11.7,11.84,1884166
2017-01-05,11.8,11.91,11.67,11.88,2965652
2017-01-06,12.08,12.08,11.53,11.55,2079768
2017-01-09,11.5,11.51,11.31,11.37,1878591
2017-01-10,11.44,11.58,11.31,11.48,1777860
2017-01-11,11.47,11.6799,11.33,11.67,2440607
2017-01-12,11.62,11.85,11.36,11.8,1820249
2017-01-13,11.89,12.05,11.8,11.91,1383487
2017-01-17,11.81,12.08,11.75,11.95,1276092
2017-01-18,12.05,12.12,11.79,11.94,1201103
2017-01-19,11.95,12.07,11.69,11.76,1027780
2017-01-20,11.78,11.88,11.7,11.87,953162
2017-01-23,11.84,11.98,11.81,11.92,822077
2017-01-24,12.17,12.68,12.05,12.56,2221964
2017-01-25,12.66,12.91,12.61,12.71,1429442
2017-01-26,12.79,12.965,12.72,12.75,1402975
2017-01-27,12.75,12.77,12.47,12.54,1026016
2017-01-30,12.4,12.42,12.15,12.41,1302537
2017-01-31,12.36,12.36,12.175,12.27,1138502
2017-02-01,12.34,12.36,12.17,12.3,1584229
2017-02-02,12.31,12.395,12.18,12.2,1178098
2017-02-03,12.28,12.38,12.14,12.33,1015084
2017-02-06,12.27,12.405,12.16,12.24,871867
2017-02-07,12.24,12.26,12.01,12.09,1078293
2017-02-08,12.05,12.05,11.78,11.94,2386008
2017-02-09,11.93,12.01,11.77,11.93,1409504
2017-02-10,11.99,12.3,11.93,12.28,1169457
2017-02-13,12.34,12.39,12.23,12.32,1365923
2017-02-14,12.24,12.3,12.06,12.13,1344148
2017-02-15,12.07,12.39,12.04,12.34,914857
2017-02-16,12.36,12.43,12.17,12.18,1182341
2017-02-17,12.16,12.18,12.0,12.07,1314507
2017-02-21,12.07,12.22,12.02,12.17,1964019
2017-02-22,12.13,12.53,12.06,12.32,3746859
2017-02-23,12.38,12.43,12.0,12.11,2193773
2017-02-24,12.05,12.28,11.945,12.21,2728814
2017-02-27,11.82,12.19,11.74,12.1,3765768
2017-02-28,12.12,12.14,11.88,11.94,2746586
2017-03-01,12.23,12.58,12.2,12.31,3039171
2017-03-02,12.31,12.31,12.06,12.09,1623740
2017-03-03,12.07,12.28,11.91,12.27,1920139
2017-03-06,12.15,12.22,12.095,12.2,1003755
2017-03-07,12.3,12.45,12.24,12.34,1695300
2017-03-08,12.39,12.66,12.245,12.65,2259738
2017-03-09,12.66,12.67,12.32,12.55,1764070
2017-03-10,12.65,13.185,12.65,12.96,3171502
2017-03-13,12.96,12.975,12.58,12.61,1582137
2017-03-14,12.55,12.58,12.355,12.5,1677718
2017-03-15,12.57,12.78,12.48,12.76,1620426
2017-03-16,12.79,13.37,12.78,13.31,2143426
2017-03-17,12.94,13.05,12.7,12.73,7216249
2017-03-20,12.75,12.885,12.63,12.86,2012774
2017-03-21,12.89,12.89,12.39,12.51,5136200
2017-03-22,12.55,12.55,12.28,12.5,3270436
2017-03-23,12.5,12.71,12.44,12.52,1829119
2017-03-24,12.55,12.7,12.45,12.59,1992178
2017-03-27,12.38,12.63,12.35,12.6,2155850
2017-03-28,12.54,12.905,12.49,12.85,2367632
2017-03-29,12.8,13.01,12.77,12.95,1785262
2017-03-30,12.94,12.99,12.84,12.86,1999991
2017-03-31,12.87,12.93,12.39,12.54,5390864
2017-04-03,12.54,12.585,12.26,12.39,2941184
2017-04-04,12.35,12.46,12.26,12.36,1680516
2017-04-05,12.42,12.565,12.18,12.23,1933600
2017-04-06,12.23,12.35,12.14,12.27,1332778
2017-04-07,12.23,12.29,12.12,12.14,1739794
2017-04-10,12.17,12.38,12.1,12.28,1108412
2017-04-11,12.23,12.38,12.16,12.33,1351631
2017-04-12,12.3,12.335,12.11,12.14,1039451
2017-04-13,12.15,12.28,12.08,12.1,2003450
2017-04-17,12.18,12.34,12.11,12.33,1138601
2017-04-18,12.28,12.55,12.2,12.49,1867983
2017-04-19,12.54,12.6261,12.39,12.4,1373240
2017-04-20,12.49,12.595,12.035,12.22,2545399
2017-04-21,12.2,12.24,12.04,12.16,1988886
2017-04-24,12.4,12.45,12.13,12.3,2694775
2017-04-25,12.34,12.41,12.01,12.33,4333740
2017-04-26,12.41,12.9,12.3,12.64,2533665
2017-04-27,12.73,12.77,12.47,12.66,2189086
2017-04-28,12.67,12.67,12.335,12.45,1753071
2017-05-01,12.48,12.59,12.35,12.42,1562432
2017-05-02,12.41,12.47,12.145,12.32,1947797
2017-05-03,12.28,12.36,12.03,12.09,2072898
2017-05-04,12.11,12.21,12.09,12.17,1464371
2017-05-05,12.23,12.32,12.12,12.31,1374620
2017-05-08,12.3,12.4,12.19,12.25,1176777
2017-05-09,12.3,12.53,12.3,12.52,1560442
2017-05-10,12.47,12.56,12.32,12.52,1488006
2017-05-11,12.48,12.54,12.34,12.49,884137
2017-05-12,12.45,12.53,12.39,12.47,1044352
2017-05-15,12.51,12.72,12.5,12.63,1381333
2017-05-16,12.66,12.68,12.5,12.68,1406518
2017-05-17,12.51,12.63,12.325,12.33,2121629
2017-05-18,12.33,12.62,12.259,12.59,2145714
2017-05-19,12.6,12.81,12.56,12.74,1292392
2017-05-22,12.8,12.85,12.67,12.7,1017432
2017-05-23,12.79,12.89,12.65,12.75,1429601
2017-05-24,12.76,12.82,12.61,12.8,793818
2017-05-25,12.85,12.86,12.55,12.56,823485
2017-05-26,12.53,12.6,12.45,12.49,1106721
2017-05-30,12.45,12.555,12.4,12.53,1543421
2017-05-31,12.6,12.6,12.28,12.37,2515009
2017-06-01,12.41,12.54,12.33,12.5,2094464
2017-06-02,12.5,12.725,12.49,12.61,2308018
2017-06-05,12.62,12.65,12.47,12.53,1280347
2017-06-06,12.43,12.595,12.34,12.43,1352249
2017-06-07,12.44,12.5,12.28,12.31,1378729
2017-06-08,12.27,12.425,12.17,12.21,2307850
2017-06-09,12.26,12.32,12.11,12.25,2687882
2017-06-12,12.22,12.53,12.22,12.35,2961381
2017-06-13,12.39,12.52,12.29,12.5,2763363
2017-06-14,12.52,12.75,12.44,12.72,2281456
2017-06-15,12.58,12.67,12.395,12.45,1445684
2017-06-16,12.22,12.49,12.14,12.48,2709757
2017-06-19,12.51,12.82,12.48,12.65,1560514
2017-06-20,12.73,12.8,12.45,12.55,4227217
2017-06-21,12.62,12.76,12.46,12.49,3117179
2017-06-22,12.45,12.54,12.42,12.46,1511321
2017-06-23,12.43,12.6,12.32,12.57,2297928
2017-06-26,12.65,12.94,12.57,12.85,3190550
2017-06-27,12.85,12.955,12.705,12.74,1276473
2017-06-28,12.85,13.14,12.79,13.06,1191686
2017-06-29,13.03,13.08,12.72,13.05,2686171
2017-06-30,13.08,13.27,13.01,13.19,1610411
