date,open,high,low,close,volume
2017-01-03,5.08,5.13,4.91,5.13,2247390
2017-01-04,5.12,5.27,5.08,5.23,2195757
2017-01-05,5.23,5.285,5.07,5.09,1275227
2017-01-06,5.09,5.1,4.95,5.0,2299133
2017-01-09,4.96,5.01,4.82,4.87,1197000
2017-01-10,4.92,5.03,4.82,5.01,1748853
2017-01-11,5.01,5.09,4.94,5.0,2061948
2017-01-12,5.03,5.03,4.78,4.82,1286477
2017-01-13,4.82,4.87,4.7,4.72,1219406
2017-01-17,4.74,4.81,4.625,4.75,1347587
2017-01-18,4.7,4.7,4.55,4.56,1450140
2017-01-19,4.6,4.64,4.29,4.31,2703595
2017-01-20,4.38,4.51,4.33,4.5,1422799
2017-01-23,4.52,4.56,4.4,4.46,1318028
2017-01-24,4.5,4.58,4.36,4.58,1584396
2017-01-25,4.6,4.86,4.6,4.85,1606300
2017-01-26,4.87,4.99,4.74,4.81,2461521
2017-01-27,4.78,4.91,4.72,4.9,1519424
2017-01-30,4.84,4.88,4.68,4.85,2696784
2017-01-31,4.85,4.98,4.81,4.96,4472577
2017-02-01,5.0,5.08,4.84,4.96,2991995
2017-02-02,4.97,5.0,4.86,4.91,1480838
2017-02-03,4.95,5.05,4.845,5.04,1816051
2017-02-06,5.03,5.06,4.92,4.97,1233098
2017-02-07,4.94,5.03,4.83,4.97,1197678
2017-02-08,4.93,4.98,4.8094,4.93,1600130
2017-02-09,4.97,5.01,4.83,4.91,1231485
2017-02-10,4.98,5.08,4.925,4.94,1005322
2017-02-13,4.93,5.04,4.92,4.99,825701
2017-02-14,5.0,5.09,4.93,5.07,1244653
2017-02-15,5.04,5.05,4.91,4.92,1130788
2017-02-16,4.9,4.95,4.68,4.73,1508258
2017-02-17,4.69,4.705,4.53,4.6,1254638
2017-02-21,4.67,4.77,4.6199,4.72,1056679
2017-02-22,4.68,4.695,4.5,4.51,1151762
2017-02-23,4.57,4.61,4.39,4.56,1829939
2017-02-24,4.49,4.495,4.415,4.45,836171
2017-02-27,4.48,4.65,4.41,4.63,1285547
2017-02-28,4.61,4.73,4.48,4.49,1674627
2017-03-01,4.6,4.6,4.36,4.48,1313621
2017-03-02,4.4,4.59,4.32,4.47,1217189
2017-03-03,4.49,4.54,4.3,4.34,1310453
2017-03-06,4.19,4.35,4.01,4.32,1553413
2017-03-07,4.31,4.33,4.19,4.25,1173652
2017-03-08,4.23,4.26,4.01,4.04,2016047
2017-03-09,4.06,4.1,3.81,3.87,1853139
2017-03-10,3.94,3.95,3.6,3.86,2363827
2017-03-13,3.88,3.92,3.72,3.79,1419151
2017-03-14,3.73,3.74,3.46,3.53,1356388
2017-03-15,3.66,3.83,3.56,3.81,1834325
2017-03-16,3.9,4.03,3.84,3.86,1282053
2017-03-17,3.87,3.9,3.78,3.83,2533676
2017-03-20,3.78,3.8,3.71,3.75,548211
2017-03-21,3.88,3.935,3.77,3.82,1266616
2017-03-22,3.78,3.83,3.65,3.81,1426526
2017-03-23,3.77,3.9,3.765,3.88,1228316
2017-03-24,3.88,3.93,3.78,3.81,842397
2017-03-27,3.71,3.82,3.7,3.77,690703
2017-03-28,3.77,3.93,3.74,3.9,719351
2017-03-29,3.91,4.04,3.88,3.95,1499669
2017-03-30,3.99,4.04,3.91,3.92,875469
2017-03-31,3.97,4.15,3.96,4.07,1653169
2017-04-03,4.05,4.12,3.96,4.06,1243200
2017-04-04,4.07,4.14,3.99,4.01,1070049
2017-04-05,4.05,4.08,3.85,3.86,1130204
2017-04-06,3.88,3.98,3.78,3.98,1604293
2017-04-07,4.05,4.05,3.9,3.91,1394383
2017-04-10,3.92,4.12,3.9,4.05,1115165
2017-04-11,4.3,4.36,4.12,4.26,3246354
2017-04-12,4.27,4.31,4.11,4.14,1087436
2017-04-13,4.24,4.32,3.82,3.88,2404721
2017-04-17,3.9,4.01,3.83,3.99,1237001
2017-04-18,3.93,3.95,3.74,3.75,1222524
2017-04-19,3.78,3.805,3.57,3.57,1071971
2017-04-20,3.61,3.67,3.55,3.56,1113094
2017-04-21,3.54,3.62,3.51,3.55,808500
2017-04-24,3.61,3.61,3.32,3.41,2752072
2017-04-25,3.41,3.6,3.38,3.58,1476954
2017-04-26,3.52,3.68,3.52,3.55,1228666
2017-04-27,3.5,3.505,3.38,3.4,1351040
2017-04-28,3.46,3.46,3.31,3.33,799892
2017-05-01,3.32,3.33,3.25,3.31,1041910
2017-05-02,3.32,3.36,3.21,3.23,2577914
2017-05-03,3.23,3.255,3.16,3.16,1203290
2017-05-04,3.16,3.18,3.0,3.09,988128
2017-05-05,3.09,3.15,3.025,3.09,1312354
2017-05-08,3.1,3.24,3.09,3.2,1012980
2017-05-09,3.21,3.21,3.02,3.09,1659934
2017-05-10,3.08,3.75,3.08,3.66,2753219
2017-05-11,3.75,3.75,3.41,3.45,1273795
2017-05-12,3.44,3.47,3.3,3.31,1265086
2017-05-15,3.43,3.51,3.3,3.31,1232893
2017-05-16,3.36,3.38,3.25,3.37,1257059
2017-05-17,3.32,3.38,3.23,3.24,965986
2017-05-18,3.2,3.26,3.18,3.23,842842
2017-05-19,3.25,3.48,3.25,3.45,730700
2017-05-22,3.5,3.5,3.34,3.44,802509
2017-05-23,3.43,3.455,3.36,3.45,761772
2017-05-24,3.39,3.43,3.3,3.38,871987
2017-05-25,3.32,3.45,3.2,3.26,1018817
2017-05-26,3.26,3.29,3.2,3.29,647947
2017-05-30,3.26,3.265,3.1,3.1,593749
2017-05-31,3.09,3.14,3.0,3.09,1151147
2017-06-01,3.09,3.245,3.025,3.2,627793
2017-06-02,3.16,3.2026,3.06,3.09,1079022
2017-06-05,3.08,3.125,3.04,3.06,668703
2017-06-06,3.03,3.175,2.95,3.17,973147
2017-06-07,3.14,3.18,2.94,2.98,1260825
2017-06-08,2.95,3.0,2.91,2.95,838951
2017-06-09,2.95,3.125,2.875,3.03,1841412
2017-06-12,3.1,3.26,3.09,3.14,968022
2017-06-13,3.15,3.32,3.12,3.27,835927
2017-06-14,3.24,3.2632,3.01,3.11,1042565
2017-06-15,3.07,3.155,3.015,3.05,735235
2017-06-16,3.03,3.16,2.99,3.14,1672252
2017-06-19,3.17,3.17,3.04,3.14,846413
2017-06-20,3.04,3.08,2.92,3.05,524828
2017-06-21,3.01,3.04,2.76,2.83,1664419
2017-06-22,2.84,2.96,2.76,2.76,1096663
2017-06-23,2.77,2.78,2.615,2.67,4687212
2017-06-26,2.68,2.78,2.65,2.67,2343263
2017-06-27,2.67,2.75,2.605,2.7,2670959
2017-06-28,2.72,2.89,2.69,2.76,1157238
2017-06-29,2.77,2.9,2.77,2.85,1288541
2017-06-30,2.87,2.87,2.74,2.79,1175928
2017-07-03,2.78,2.98,2.78,2.94,484815
2017-07-05,2.9,2.95,2.72,2.74,772846
2017-07-06,2.77,2.79,2.64,2.68,1334904
2017-07-07,2.65,2.65,2.49,2.63,1407521
2017-07-10,2.61,2.8,2.59,2.75,894851
2017-07-11,2.77,2.77,2.62,2.63,1676749
2017-07-12,2.68,2.75,2.53,2.6,1640732
2017-07-13,2.6,2.8,2.55,2.8,1351971
2017-07-14,2.8,2.91,2.8,2.86,912262
2017-07-17,2.86,2.92,2.8,2.88,548193
2017-07-18,2.92,2.9475,2.85,2.93,1074561
2017-07-19,2.93,3.09,2.91,3.07,765429
2017-07-20,3.09,3.16,3.07,3.12,1225858
2017-07-21,3.18,3.18,2.81,2.82,1103524
2017-07-24,2.84,2.84,2.68,2.71,636196
2017-07-25,2.77,2.88,2.74,2.79,621233
2017-07-26,2.82,2.925,2.74,2.84,628415
2017-07-27,2.85,2.875,2.75,2.8,511729
2017-07-28,2.79,2.925,2.745,2.81,568154
2017-07-31,2.79,2.855,2.7,2.81,609531
2017-08-01,2.82,2.82,2.71,2.72,469125
2017-08-02,2.71,2.76,2.645,2.7,467878
2017-08-03,2.7,2.79,2.64,2.64,480219
2017-08-04,2.66,2.69,2.59,2.59,1338508
2017-08-07,2.55,2.58,2.49,2.5,698056
2017-08-08,2.5,2.56,2.4,2.43,903745
2017-08-09,2.35,2.45,2.01,2.03,2249570
2017-08-10,2.1,2.2,2.04,2.05,1309191
2017-08-11,2.03,2.1,1.99,1.99,1570740
2017-08-14,2.01,2.09,2.005,2.02,1159958
2017-08-15,2.01,2.03,1.92,1.98,1138779
2017-08-16,1.98,2.035,1.92,1.94,1309480
2017-08-17,1.91,1.97,1.87,1.88,714517
2017-08-18,1.85,1.97,1.85,1.94,1013981
2017-08-21,1.94,1.96,1.88,1.94,1227574
2017-08-22,1.98,2.0,1.89,1.92,597137
2017-08-23,1.91,1.98,1.86,1.87,562224
2017-08-24,1.86,1.96,1.85,1.91,612171
2017-08-25,1.92,1.96,1.9,1.92,333013
2017-08-28,1.95,2.0,1.865,1.9,592549
2017-08-29,1.88,2.14,1.88,2.12,1042231
2017-08-30,2.11,2.11,1.95,2.06,1068829
2017-08-31,2.08,2.09,2.0,2.06,945883
2017-09-01,2.06,2.1,2.01,2.08,570795
2017-09-05,2.1,2.18,2.06,2.1,899467
2017-09-06,2.11,2.245,2.09,2.15,1331756
2017-09-07,2.14,2.17,2.08,2.11,1158959
2017-09-08,2.11,2.14,1.99,2.05,2113689
2017-09-11,2.1,2.1,2.0,2.06,866262
2017-09-12,1.93,2.19,1.921,2.17,1338353
2017-09-13,2.2,2.34,2.13,2.24,1572023
2017-09-14,2.25,2.48,2.23,2.47,2342981
2017-09-15,2.49,2.505,2.28,2.49,4989798
2017-09-18,2.49,2.65,2.44,2.55,2350003
2017-09-19,2.61,2.695,2.5615,2.63,1790956
2017-09-20,2.65,2.75,2.63,2.68,1956713
2017-09-21,2.66,2.7,2.51,2.56,982440
2017-09-22,2.55,2.67,2.55,2.64,1641637
2017-09-25,2.69,2.85,2.68,2.75,1486069
2017-09-26,2.75,2.88,2.73,2.85,1395842
2017-09-27,2.85,2.92,2.72,2.77,2645313
2017-09-28,2.79,2.94,2.755,2.92,1547392
2017-09-29,2.94,2.95,2.835,2.86,907250
2017-10-02,2.83,2.84,2.715,2.77,1165675
2017-10-03,2.76,2.85,2.73,2.83,914621
2017-10-04,2.83,2.85,2.61,2.66,1253519
2017-10-05,2.69,2.82,2.66,2.78,988329
2017-10-06,2.72,2.77,2.66,2.73,518001
2017-10-09,2.76,2.815,2.66,2.69,835028
2017-10-10,2.76,2.82,2.725,2.74,677215
2017-10-11,2.75,2.75,2.67,2.7,678876
2017-10-12,2.68,2.75,2.6,2.73,567139
2017-10-13,2.76,2.8,2.68,2.68,620977
2017-10-16,2.73,2.749,2.65,2.66,578280
2017-10-17,2.64,2.7,2.62,2.69,435094
2017-10-18,2.68,2.73,2.63,2.7,638680
2017-10-19,2.64,2.7,2.61,2.65,576887
2017-10-20,2.65,2.65,2.545,2.63,774753
2017-10-23,2.64,2.69,2.6,2.63,515537
2017-10-24,2.63,2.69,2.59,2.65,813598
2017-10-25,2.65,2.68,2.555,2.68,538767
2017-10-26,2.7,2.7034,2.6,2.66,653847
2017-10-27,2.66,2.7079,2.61,2.7,720186
2017-10-30,2.7,2.81,2.7,2.74,657548
2017-10-31,2.75,2.87,2.74,2.84,976849
2017-11-01,2.91,3.02,2.84,2.92,647105
2017-11-02,2.9,2.97,2.895,2.93,483078
2017-11-03,2.92,2.99,2.86,2.97,691624
2017-11-06,3.01,3.16,2.97,3.15,869962
2017-11-07,3.18,3.33,3.1,3.1,1511222
2017-11-08,3.06,3.24,3.0301,3.09,784622
2017-11-09,3.1,3.63,3.09,3.57,3629472
2017-11-10,3.74,4.1,3.64,3.64,1865059
2017-11-13,3.89,3.9,3.68,3.69,1469534
2017-11-14,3.7,3.755,3.49,3.5,1361815
2017-11-15,3.42,3.64,3.42,3.54,1469757
2017-11-16,3.55,3.67,3.48,3.58,1010957
2017-11-17,3.61,3.795,3.57,3.71,1915554
2017-11-20,3.71,3.94,3.68,3.84,1941517
2017-11-21,3.87,4.01,3.81,3.85,1816707
2017-11-22,3.93,4.09,3.93,4.03,1532994
2017-11-24,4.06,4.18,4.03,4.1,1671062
2017-11-27,4.11,4.1626,3.905,3.99,1397381
2017-11-28,3.97,4.06,3.91,4.0,1674120
2017-11-29,4.0,4.07,3.9,3.97,1875277
2017-11-30,4.01,4.11,3.92,4.02,2181333
2017-12-01,4.12,4.26,3.95,4.13,1792958
2017-12-04,4.14,4.2367,4.08,4.11,1864496
2017-12-05,4.12,4.15,3.971,4.05,969730
2017-12-06,4.03,4.05,3.85,3.9,878403
2017-12-07,3.88,3.95,3.83,3.85,753912
2017-12-08,3.9,3.95,3.785,3.92,778416
2017-12-11,3.91,4.03,3.835,4.02,1016603
2017-12-12,4.03,4.14,4.02,4.09,1276510
2017-12-13,4.11,4.17,4.01,4.05,1624860
2017-12-14,4.06,4.13,3.969,3.99,691479
2017-12-15,4.02,4.12,4.01,4.06,2404001
2017-12-18,4.12,4.195,4.05,4.13,1432506
2017-12-19,4.12,4.175,4.015,4.04,773085
2017-12-20,4.08,4.27,4.04,4.19,870184
2017-12-21,4.17,4.36,4.11,4.28,971238
2017-12-22,4.23,4.305,4.21,4.23,563951
2017-12-26,4.24,4.43,4.24,4.4,1106569
2017-12-27,4.42,4.435,4.305,4.35,604062
2017-12-28,4.41,4.41,4.29,4.31,511909
2017-12-29,4.33,4.37,4.23,4.27,649816
2018-01-02,4.27,4.35,4.215,4.31,662661
2018-01-03,4.32,4.43,4.285,4.39,930589
2018-01-04,4.42,4.54,4.3,4.53,1143266
2018-01-05,4.5,4.5,4.31,4.34,788888
2018-01-08,4.37,4.37,4.24,4.34,651765
2018-01-09,4.33,4.36,4.151,4.18,715220
2018-01-10,4.19,4.23,4.1,4.13,600089
2018-01-11,4.13,4.46,4.065,4.31,1605834
2018-01-12,4.14,4.445,4.13,4.39,1023670
2018-01-16,4.4,4.505,4.235,4.25,1109339
2018-01-17,4.3,4.36,4.24,4.27,764530
2018-01-18,4.26,4.32,4.061,4.09,1007949
2018-01-19,4.04,4.135,3.985,4.1,861805
2018-01-22,4.13,4.25,4.12,4.19,1178387
2018-01-23,4.2,4.23,4.11,4.21,580745
2018-01-24,4.22,4.27,4.135,4.18,472241
2018-01-25,4.22,4.23,4.08,4.12,563839
2018-01-26,4.13,4.13,4.01,4.02,434870
2018-01-29,4.01,4.01,3.84,3.85,549756
2018-01-30,3.83,3.85,3.7101,3.83,755143
2018-01-31,3.86,3.9,3.795,3.84,425713
2018-02-01,3.83,3.99,3.78,3.98,692731
2018-02-02,3.89,3.92,3.72,3.81,1096990
2018-02-05,3.8,4.02,3.76,3.83,1221042
2018-02-06,3.74,3.95,3.73,3.88,1155194
2018-02-07,3.89,3.98,3.84,3.85,911562
2018-02-08,3.85,3.8691,3.45,3.47,1002426
2018-02-09,3.56,3.56,3.42,3.5,1290887
2018-02-12,3.53,3.67,3.4701,3.54,1147160
2018-02-13,3.5,3.54,3.43,3.46,582574
2018-02-14,3.41,3.65,3.4,3.62,587603
2018-02-15,3.62,3.85,3.45,3.59,1005792
